AdjectiveID,meanPerson,meanObject,meanAssociation,Adjective
X1,1,1.25,4.25,allein
X10,1,1.875,5.125,besoffen
X100,1.75,1.375,3.375,hormonhaltig
X101,1.666666667,1.333333333,3.333333333,impardonnabel
X102,1,1.857142857,4,infertil
X103,1,1.857142857,3.571428571,intersexuell
X104,1,1.857142857,4.714285714,kandidierend
X105,1,1.75,3.25,kinderlos
X106,2,1,4.25,konjugal
X107,1,2,4.125,krebskrank
X108,1,1.875,1.25,lesbisch
X109,1,2,3.875,liebeskrank
X11,1,1.875,4.75,betrunken
X110,1,2,4.375,lungenkrank
X111,1,1.857142857,3.428571429,männermordend
X112,1,1.75,1.5,mütterlich
X113,1,1.75,4.25,mutterlos
X114,1,1.75,4,nichtbinär
X115,2,1,5,polemogen
X116,1.25,1.625,3.75,psychisch
X117,1,1,3.75,ridikül
X118,1,1.75,3.75,schwarzäugig
X119,1,2,3.875,schwerkrank
X12,1,1.375,4.625,dahergelaufen
X120,1,1.75,1.5,schwesterlich
X121,1,1.6,3.2,schwindsüchtig
X122,1.125,1.125,4,sexuell
X123,1.125,1.375,3.125,spindeldürr
X124,1,2,3.875,sterbenskrank
X125,1.142857143,1.714285714,2.571428571,stutenbissig
X126,1,2,4.25,tablettensüchtig
X127,1.428571429,1,3.857142857,tierlich
X128,1.6,1.6,3.8,transgen
X129,1,1.75,3.75,transgender
X13,1,1.875,4.625,diensthabend
X130,1,1.75,4,transsexuell
X131,1.5,1,4,treife
X132,1,1.625,3.625,unbekleidet
X133,1.285714286,1.285714286,4.428571429,ungestalt
X134,1,1.571428571,3.714285714,unkeusch
X135,1.4,1.4,1.6,uterin
X136,1.125,1.875,4.375,vernehmungsfähig
X137,1,1.5,1.375,weiblich
X138,1,1.75,4,wohlgeborn
X139,1.25,1.875,4.125,wohnhaft
X14,1.428571429,1.428571429,3.714285714,diskretionär
X140,1,1.625,4.625,zudringlich
X15,1,2,3.625,eifersüchtig
X16,1.833333333,1.333333333,3.833333333,elektrogen
X17,1,1.625,4,elterlich
X18,2,1.125,4,feinpulvrig
X19,1,2,4.875,fluchtverdächtig
X2,1,2,3,alleinerziehend
X20,1,1.857142857,4.142857143,fluchtwillig
X21,1,1,1.75,fraulich
X22,1.333333333,1.666666667,4,fusskrank
X23,2,1,4.333333333,geköpert
X24,1.75,1,3.625,gutsitzend
X25,1,1.875,1.625,hochschwanger
X26,2,1,4.375,hochtechnologisch
X27,1.8,1,4,homonom
X28,1,1.75,4.875,homosexuell
X29,1,1.375,4,jung
X3,1,1.375,3.5,alleinstehend
X30,1.714285714,1,4.285714286,jungsteinzeitlich
X32,1.5,1.166666667,4.666666667,kontraktlich
X33,1,1.6,4.6,kreationär
X34,1.142857143,1.285714286,4,lebend
X35,1,2,4.75,lebensmüde
X36,1,1.75,4.25,ledig
X37,1,1.25,6.375,männisch
X38,1,1.571428571,4.428571429,mannstoll
X39,1,1.875,6.125,muskelbepackt
X4,1,1,4.125,alt
X40,1,2,4.666666667,mutistisch
X41,1.5,1.375,4.5,mutmaßlich
X42,1,1.125,3.75,nackt
X43,1.75,1.5,3.875,plötzlich
X44,1.25,1.5,4.5,postsexuell
X45,1.166666667,1.333333333,5,präsidiabel
X46,1,1.857142857,3.285714286,promigeil
X47,1.666666667,1,4.166666667,quasistationär
X48,1,1.333333333,3.833333333,schlohweiß
X49,1,1.625,6,schnurrbärtig
X5,1.142857143,1.285714286,4.428571429,anderer
X50,1,1.5,1.625,schwanger
X51,1,1.5,3.75,sentimentalisch
X52,1,1.875,5,sexbesessen
X53,1,1.375,4.375,sterbend
X54,1,1.875,4.625,stocknüchtern
X55,1,2,5,sturzbetrunken
X56,1,1.5,4,tot
X57,1.333333333,1.5,3.833333333,transident
X58,1.125,1.25,3.5,traut
X59,1,2,4.857142857,unfallflüchtig
X6,1.833333333,1.166666667,3.833333333,augenrein
X60,1,1.875,3.75,unverheiratet
X61,1.571428571,1.142857143,4.142857143,unzukömmlich
X62,1,1.875,4.25,verheiratet
X63,1.166666667,1.333333333,4,verhutzelt
X64,1,1.625,3.625,verliebt
X65,1.166666667,1.5,4.5,verschnöselt
X66,1,1.875,2.5,verwitwet
X67,1,1.875,4.25,vorpubertierend
X68,1,1.857142857,4,wonnetrunken
X69,1.125,1.875,4.125,wortmächtig
X7,1.875,1.25,4.625,ausländerfrei
X70,1,1.5,2.75,zärtlich
X71,1,1.875,5.25,aidskrank
X72,1.2,1.6,4.4,altkrank
X73,1.333333333,1.333333333,5.833333333,androzentrisch
X74,1,1.875,4,angeheiratet
X75,1.333333333,1.833333333,4,autosexuell
X76,1,1.75,1.875,barbusig
X77,1.571428571,1.714285714,4.142857143,behauptet
X78,1.25,1.625,4.125,beruflich
X79,1,2,4.125,berufstätig
X8,1,1.833333333,3.5,befotzt
X80,1.142857143,1.714285714,3.285714286,bezopft
X81,1,1,2.75,bildhübsch
X82,1,1.75,2,busig
X83,1,1.6,2.6,butch
X84,1.875,1.125,4.5,calciumreich
X85,1.75,1,4.125,cognacfarben
X86,1,1,4,cringe
X87,1,1.25,2.125,damenhaft
X88,1,1.571428571,4.142857143,davongelaufen
X89,1.333333333,1.333333333,3.666666667,erogen
X9,1,1.875,4.375,beinamputiert
X90,1.666666667,1.666666667,4.166666667,erwidert
X91,1,1.714285714,3.142857143,frigid
X92,1,1.714285714,3,frigide
X93,1,1.875,1.75,gebärfähig
X94,1.125,1.75,4,gebürtig
X95,1,1.875,4,geschieden
X96,1,1.375,1.75,großmütterlich
X97,1.2,1.4,2.2,gynozentrisch
X98,1,1.5,3.75,halbnackt
X99,1,2,4,honett
