"AdjectiveID","Adjective","meanPerson","meanObject","meanAssociation"
"X1","allein",1,1.16,4.16
"X10","besoffen",1,1.92,4.92
"X100","hormonhaltig",1.56,1.24,3.24
"X102","infertil",1,1.78260869565217,3.78260869565217
"X103","intersexuell",1,1.91304347826087,3.82608695652174
"X104","kandidierend",1.04166666666667,1.83333333333333,4.45833333333333
"X105","kinderlos",1,1.92,3.44
"X107","krebskrank",1,1.96,4.12
"X108","lesbisch",1,1.92,1.16
"X109","liebeskrank",1,2,3.76
"X11","betrunken",1,1.96,4.64
"X110","lungenkrank",1.04,1.96,4.28
"X111","männermordend",1.04166666666667,1.75,2.875
"X112","mütterlich",1.04,1.64,1.4
"X113","mutterlos",1,1.84,4.24
"X114","nichtbinär",1.08,1.72,3.96
"X116","psychisch",1.2,1.72,3.84
"X118","schwarzäugig",1.04166666666667,1.75,3.95833333333333
"X119","schwerkrank",1,1.92,3.96
"X12","dahergelaufen",1.12,1.68,4.36
"X120","schwesterlich",1,1.76,1.52
"X121","schwindsüchtig",1.05263157894737,1.84210526315789,3.78947368421053
"X122","sexuell",1.04,1.24,4.12
"X123","spindeldürr",1.04,1.44,3.28
"X124","sterbenskrank",1,1.92,4.08
"X125","stutenbissig",1.05,1.9,2.25
"X126","tablettensüchtig",1,2,4.2
"X127","tierlich",1.38095238095238,1.28571428571429,3.9047619047619
"X128","transgen",1.23529411764706,1.82352941176471,3.88235294117647
"X129","transgender",1,1.88,4.08
"X13","diensthabend",1,1.92,4.32
"X130","transsexuell",1,1.92,4.08
"X132","unbekleidet",1,1.72,3.64
"X133","ungestalt",1.28571428571429,1.38095238095238,4.33333333333333
"X134","unkeusch",1,1.73913043478261,3.78260869565217
"X136","vernehmungsfähig",1.04166666666667,1.875,4.33333333333333
"X137","weiblich",1,1.48,1.28
"X138","wohlgeborn",1,1.91304347826087,4.17391304347826
"X139","wohnhaft",1.2,1.84,4.16
"X14","diskretionär",1.25,1.625,3.8125
"X140","zudringlich",1.04545454545455,1.72727272727273,4.36363636363636
"X15","eifersüchtig",1,1.96,3.72
"X16","elektrogen",1.93333333333333,1.13333333333333,4.06666666666667
"X17","elterlich",1.08333333333333,1.625,3.70833333333333
"X18","feinpulvrig",2,1.04,3.92
"X19","fluchtverdächtig",1,1.96,4.64
"X2","alleinerziehend",1,1.96,2.92
"X20","fluchtwillig",1,1.83333333333333,4.16666666666667
"X21","fraulich",1,1.32,1.64
"X22","fusskrank",1.15,1.85,4.1
"X24","gutsitzend",1.72,1.08,3.88
"X25","hochschwanger",1,1.92,1.28
"X26","hochtechnologisch",1.88,1.04,4.48
"X28","homosexuell",1,1.88,4.88
"X29","jung",1,1.44,3.88
"X3","alleinstehend",1,1.36,3.72
"X30","jungsteinzeitlich",1.60869565217391,1.1304347826087,4.21739130434783
"X32","kontraktlich",1.625,1.3125,4.3125
"X33","kreationär",1.05882352941176,1.70588235294118,4.05882352941176
"X34","lebend",1.04166666666667,1.5,4.04166666666667
"X35","lebensmüde",1,2,4.64
"X36","ledig",1,1.875,4.08333333333333
"X37","männisch",1.04761904761905,1.38095238095238,6.42857142857143
"X38","mannstoll",1.05,1.65,4.5
"X39","muskelbepackt",1,1.92,5.8
"X4","alt",1,1.08,4.04
"X41","mutmaßlich",1.44,1.44,4.28
"X42","nackt",1,1.36,3.68
"X43","plötzlich",1.76,1.48,4
"X45","präsidiabel",1.125,1.625,4.8125
"X46","promigeil",1,1.95652173913043,3.60869565217391
"X47","quasistationär",1.71428571428571,1.28571428571429,4.28571428571429
"X48","schlohweiß",1.10526315789474,1.26315789473684,3.78947368421053
"X49","schnurrbärtig",1,1.8,6.44
"X5","anderer",1.26086956521739,1.34782608695652,4.60869565217391
"X50","schwanger",1,1.8,1.28
"X51","sentimentalisch",1,1.6,3.6
"X52","sexbesessen",1,1.92,4.76
"X53","sterbend",1,1.56,4.2
"X54","stocknüchtern",1,1.96,4.16
"X55","sturzbetrunken",1,2,4.92
"X56","tot",1,1.6,4
"X58","traut",1.23809523809524,1.33333333333333,3.71428571428571
"X59","unfallflüchtig",1.04166666666667,1.91666666666667,4.58333333333333
"X6","augenrein",1.70588235294118,1.29411764705882,3.76470588235294
"X60","unverheiratet",1,1.96,3.72
"X61","unzukömmlich",1.26315789473684,1.42105263157895,4
"X62","verheiratet",1,1.96,4
"X63","verhutzelt",1.125,1.25,3.8125
"X64","verliebt",1,1.76,3.56
"X65","verschnöselt",1.08695652173913,1.69565217391304,4.39130434782609
"X66","verwitwet",1,1.96,2.76
"X67","vorpubertierend",1,1.92,4.24
"X68","wonnetrunken",1.09090909090909,1.86363636363636,4.09090909090909
"X69","wortmächtig",1.04,1.92,4.08
"X7","ausländerfrei",1.88,1.36,4.36
"X70","zärtlich",1,1.56,2.84
"X71","aidskrank",1.04,1.96,4.96
"X72","altkrank",1.14285714285714,1.85714285714286,4.23809523809524
"X74","angeheiratet",1,1.92,3.8
"X75","autosexuell",1.1,1.8,4.15
"X76","barbusig",1,1.83333333333333,2.04166666666667
"X77","behauptet",1.47826086956522,1.65217391304348,4.1304347826087
"X78","beruflich",1.24,1.64,4.16
"X79","berufstätig",1,2,4.16
"X8","befotzt",1.10526315789474,1.84210526315789,3
"X80","bezopft",1.09090909090909,1.63636363636364,2.95454545454545
"X81","bildhübsch",1,1.2,2.68
"X82","busig",1.04,1.84,1.96
"X84","calciumreich",1.92,1.04,4.24
"X85","cognacfarben",1.75,1,4.04166666666667
"X86","cringe",1,1.08333333333333,4.29166666666667
"X87","damenhaft",1,1.52,1.72
"X88","davongelaufen",1.08695652173913,1.73913043478261,4
"X89","erogen",1.36363636363636,1.31818181818182,3.81818181818182
"X9","beinamputiert",1.04,1.88,4.36
"X90","erwidert",1.65,1.65,4
"X91","frigid",1.08695652173913,1.73913043478261,2.91304347826087
"X92","frigide",1,1.76190476190476,2.85714285714286
"X93","gebärfähig",1,1.92,1.36
"X94","gebürtig",1.04,1.84,3.84
"X95","geschieden",1,1.92,3.96
"X96","großmütterlich",1,1.56,1.56
"X98","halbnackt",1,1.68,3.6
