"AdjectiveID","Adjective","meanPerson","meanObject","meanAssociation"
"X1","assailant",1.05,1.85,4.55
"X10","bewhiskered",1.06666666666667,1.73333333333333,5.26666666666667
"X100","full-figured",1,1.47619047619048,2.61904761904762
"X101","grandmotherly",1,1.52380952380952,1.38095238095238
"X102","half-naked",1.05,1.65,3.85
"X103","harlot",1,1.94444444444444,1.72222222222222
"X104","hazel-eyed",1,1.85714285714286,3.9047619047619
"X105","hermaphrodite",1,1.89473684210526,4.10526315789474
"X106","high-born",1.07142857142857,1.78571428571429,4.07142857142857
"X107","horse-faced",1,1.84210526315789,3.78947368421053
"X108","husbandless",1,1.85714285714286,2.80952380952381
"X109","lesbian",1,1.95238095238095,1.23809523809524
"X11","black-haired",1,1.71428571428571,4.04761904761905
"X110","male-dominated",1.42857142857143,1.52380952380952,5.76190476190476
"X111","manless",1.05263157894737,1.84210526315789,2.73684210526316
"X112","mannish",1,1.52380952380952,5.76190476190476
"X113","marriageable",1,1.8125,3.9375
"X114","married",1.04761904761905,1.80952380952381,4
"X115","matronly",1,1.55555555555556,1.94444444444444
"X116","mid-aged",1,1.52380952380952,4
"X117","miniskirted",1.1,1.75,1.95
"X118","misogynist",1,1.9047619047619,5.66666666666667
"X119","newlywed",1,1.9047619047619,4
"X12","blond",1,1.3,3.95
"X120","nymphomaniac",1,1.94444444444444,2.55555555555556
"X121","objectified",1.04761904761905,1.76190476190476,3.47619047619048
"X122","patriarchal",1.1,1.7,6.35
"X123","plus-size",1.04761904761905,1.42857142857143,2.71428571428571
"X124","pregnant",1,1.80952380952381,1.04761904761905
"X126","raven-haired",1,1.84210526315789,3.63157894736842
"X127","red-headed",1,1.71428571428571,3.9047619047619
"X128","self-possessed",1.05,1.95,4.05
"X129","sexist",1,1.71428571428571,4.61904761904762
"X13","brawny",1.05263157894737,1.52631578947368,6
"X130","sexy",1,1.28571428571429,3.61904761904762
"X131","statuesque",1,1.36842105263158,3.36842105263158
"X132","strong-minded",1.04761904761905,1.95238095238095,4.14285714285714
"X133","strong-willed",1,1.9047619047619,4.19047619047619
"X134","teen",1,1.76190476190476,4
"X135","teenage",1,1.76190476190476,4
"X136","thirtyish",1,1.42857142857143,4
"X137","transexual",1,1.9047619047619,4.09523809523809
"X138","transgender",1,1.85714285714286,4
"X139","unfaithful",1.04761904761905,1.80952380952381,4.19047619047619
"X14","broad-shouldered",1,1.80952380952381,5.28571428571429
"X140","unfeminist",1.05555555555556,1.72222222222222,4.33333333333333
"X141","unmarriageable",1.06666666666667,1.8,4.06666666666667
"X142","unmarried",1,1.85714285714286,4
"X143","unpregnant",1.05555555555556,1.94444444444444,2.72222222222222
"X144","unwed",1,1.85,3.8
"X145","virginal",1.05,1.65,3.1
"X146","voluptuous",1,1.45,1.95
"X148","wheelchair-bound",1.04761904761905,1.85714285714286,4
"X149","widowed",1,1.95238095238095,2.85714285714286
"X15","bull-necked",1,1.75,5.1875
"X150","womanist",1,1.85714285714286,2.64285714285714
"X151","womanless",1,1.89473684210526,5.21052631578947
"X152","womanlike",1,1.66666666666667,1.76190476190476
"X153","womanly",1,1.47619047619048,1.52380952380952
"X154","womenless",1,1.78947368421053,5.42105263157895
"X16","burly",1,1.5,5.85
"X17","chivalrous",1,1.95,5.8
"X18","clean-shaven",1,1.85714285714286,5.57142857142857
"X19","coward",1.04761904761905,1.95238095238095,4.57142857142857
"X2","bald-headed",1,1.85714285714286,5.38095238095238
"X20","dapper",1,1.36842105263158,5.89473684210526
"X21","dark-haired",1,1.71428571428571,4.09523809523809
"X22","fair-haired",1,1.85714285714286,3.85714285714286
"X23","fiftyish",1,1.42857142857143,4
"X24","fine-looking",1,1.28571428571429,4.14285714285714
"X25","fortyish",1,1.38095238095238,4
"X26","full-bearded",1,1.85,6.6
"X27","genius",1,1.52380952380952,4.04761904761905
"X28","gentle-hearted",1,1.9047619047619,3.95238095238095
"X29","ginger-haired",1,1.76190476190476,4.04761904761905
"X3","balding",1,1.71428571428571,5.52380952380952
"X30","goateed",1,1.78947368421053,6.31578947368421
"X31","God-fearing",1.04761904761905,1.9047619047619,4
"X32","good-looking",1,1.28571428571429,4
"X33","grandfatherly",1,1.52380952380952,6.66666666666667
"X34","grey-haired",1,1.80952380952381,4.04761904761905
"X35","handsome",1,1.38095238095238,6.04761904761905
"X36","heavyset",1,1.5,4.15
"X37","hunky",1,1.65,6.2
"X38","kind-hearted",1,1.95238095238095,3.85714285714286
"X4","barrel-chested",1,1.68421052631579,5.68421052631579
"X40","lion-hearted",1,1.94117647058824,5.11764705882353
"X41","long-haired",1,1.61904761904762,3.42857142857143
"X42","macho",1,1.45,6.5
"X43","male",1,1.61904761904762,6.95238095238095
"X44","manlike",1,1.47619047619048,5.85714285714286
"X45","manly",1,1.47619047619048,6.57142857142857
"X46","metrosexual",1,1.76470588235294,5.76470588235294
"X47","middle-aged",1,1.57142857142857,4
"X48","moustached",1,1.76190476190476,6.38095238095238
"X5","bastard",1.04761904761905,1.85714285714286,5.14285714285714
"X50","one-armed",1,1.52380952380952,4.04761904761905
"X51","one-eyed",1,1.61904761904762,4.09523809523809
"X52","paraplegic",1,1.73684210526316,3.94736842105263
"X53","paunchy",1,1.69230769230769,4.30769230769231
"X54","portly",1,1.64285714285714,5.14285714285714
"X55","rascal",1,1.8,4.95
"X56","red-blooded",1.05,1.85,4.35
"X57","red-haired",1,1.66666666666667,3.85714285714286
"X58","reverend",1.11111111111111,1.94444444444444,5.5
"X59","ruffian",1.05882352941176,1.88235294117647,5.23529411764706
"X6","bearded",1,1.80952380952381,6.47619047619048
"X60","schoolboy",1,1.85714285714286,6.66666666666667
"X61","self-made",1,1.95238095238095,4.09523809523809
"X64","silver-haired",1,1.76190476190476,4.09523809523809
"X65","sixtyish",1.04761904761905,1.38095238095238,3.95238095238095
"X66","stocky",1,1.45,5.25
"X67","studly",1,1.57894736842105,6.10526315789474
"X68","thick-set",1,1.44444444444444,4.11111111111111
"X69","true-hearted",1,1.95,3.9
"X7","beast",1,1.52380952380952,5.38095238095238
"X70","unshaven",1,1.76190476190476,4.80952380952381
"X71","virile",1.15384615384615,1.84615384615385,5.15384615384615
"X72","weakling",1,1.76190476190476,4.23809523809524
"X73","well-dressed",1,1.55,4
"X74","well-spoken",1,1.95238095238095,3.9047619047619
"X75","white-haired",1,1.75,4
"X76","young",1,1.23809523809524,4
"X77","youngish",1,1.47619047619048,4
"X78","accosted",1.5,1.75,4.375
"X79","adulterous",1.1,1.9,4
"X8","beer-bellied",1.04761904761905,1.9047619047619,5.57142857142857
"X80","androgynous",1,1.68421052631579,4
"X81","anti-feminist",1,1.71428571428571,4.95238095238095
"X82","bare-breasted",1.04761904761905,1.95238095238095,2.57142857142857
"X83","bare-shouldered",1,1.85714285714286,3.42857142857143
"X84","betrothed",1.11764705882353,1.94117647058824,3.64705882352941
"X85","big-breasted",1,1.85714285714286,1.42857142857143
"X86","bisexual",1,2,3.95238095238095
"X87","blonde",1,1.33333333333333,3.61904761904762
"X88","brunette",1.04761904761905,1.47619047619048,3.33333333333333
"X89","butch",1,1.65,3.85
"X9","bespectacled",1.06666666666667,1.73333333333333,4.2
"X90","butchy",1,1.57894736842105,4
"X91","buxom",1.06666666666667,1.73333333333333,1.93333333333333
"X92","chauvinist",1.0625,1.9375,5.8125
"X93","childless",1,1.9047619047619,3.76190476190476
"X94","cisgendered",1,1.80952380952381,4.14285714285714
"X95","female",1,1.61904761904762,1.19047619047619
"X96","feminine",1,1.23809523809524,1.47619047619048
"X97","feminist",1,1.76190476190476,2.57142857142857
"X98","feministic",1,1.55,2.5
"X99","femme",1.04761904761905,1.38095238095238,1.52380952380952
