"AdjectiveID","Adjective","meanPerson","meanObject","meanAssociation"
"X1","individuo",1.05,1.8,4.4
"X10","campesino",1.05,1.75,4.3
"X100","transgénero",1.05,1.75,4
"X101","despampanante",1.05,1.25,3.5
"X102","sexy",1,1.3,3.15
"X103","extraconyugal",1.5625,1.5625,4.0625
"X104","divorciado",1,1.95,4
"X105","sexista",1.05,1.6,4.7
"X106","activista",1,1.9,3.9
"X107","extramarital",1.58823529411765,1.52941176470588,4
"X108","inocente",1,1.65,3.9
"X109","lesbiano",1,2,1.35
"X11","adinerado",1,1.95,4.15
"X111","marital",1.57894736842105,1.36842105263158,3.84210526315789
"X112","hermafrodito",1,1.82352941176471,3.47058823529412
"X113","sentimental",1,1.7,3.6
"X114","preadolescente",1,1.95,4
"X116","valiente",1,2,4.55
"X117","pseudofeminista",1.07142857142857,1.64285714285714,3
"X118","migrante",1,1.95,4.4
"X119","emigrante",1,1.95,4.2
"X12","fornido",1,1.66666666666667,5.05555555555556
"X121","travestido",1.06666666666667,1.93333333333333,4.33333333333333
"X122","ultrafeminista",1,1.64705882352941,1.82352941176471
"X123","enamorado",1.05,2,4.05
"X124","pobre",1,1.3,4.15
"X125","postadolescente",1.05263157894737,1.89473684210526,4.10526315789474
"X127","escultural",1.36842105263158,1.10526315789474,4.31578947368421
"X128","indígeno",1.05,1.45,3.8
"X129","gay",1,1.7,5.35
"X13","trabajador",1,1.9,4.2
"X130","travestista",1.07692307692308,1.92307692307692,4.46153846153846
"X131","violador",1,2,5.1
"X133","enamoradísimo",1.1,2,4.05
"X134","cantante",1,1.7,4.15
"X136","infanticido",1.11764705882353,1.82352941176471,3.94117647058824
"X137","gentil",1,1.85,3.95
"X139","primogénito",1,1.95,4.4
"X14","sujeto",1.15,1.6,4.65
"X140","empoderante",1.35,1.3,3.9
"X141","sobreviviente",1.05,1.75,4.15
"X142","invidente",1,1.94736842105263,4.21052631578947
"X143","prepúber",1,2,4.125
"X144","concubinario",1.11764705882353,1.94117647058824,4
"X145","misógino",1,1.8,5.6
"X146","familiar",1.1,1.15,3.9
"X147","cornudo",1.05263157894737,1.63157894736842,4.52631578947368
"X148","feminizante",1.6875,1.0625,1.875
"X15","desgraciado",1.05,1.65,4.45
"X16","vagabundo",1.05,1.9,4.6
"X17","guapo",1,1.75,4.05
"X18","cristiano",1.05,1.3,4
"X19","desdichado",1.05263157894737,2,3.94736842105263
"X2","humano",1,1.65,4.3
"X20","pecador",1.05,1.9,4.15
"X21","soñador",1,1.95,4.1
"X22","procreador",1.05,1.95,3.75
"X23","barbudo",1,1.8,6
"X24","corpulento",1,1.65,4.6
"X25","viejo",1,1.05,4.15
"X26","amante",1,2,4.2
"X27","perro",1.25,1.6,4.2
"X28","cazador",1.05,1.8,4.7
"X29","pescador",1.05,1.85,4.5
"X3","chico",1,1.35,4
"X30","soltero",1,2,3.95
"X31","seductor",1,1.65,3.95
"X32","señor",1,2,4.05
"X33","delincuente",1.05,2,4.7
"X34","afortunado",1.05,1.9,3.9
