"AdjectiveID","meanAssociation","medianAssociation","meanObject","medianObject","meanPerson","medianPerson","percentKnown","Adjective"
"X1",4.15384615384615,4,1.15384615384615,1,1,1,100,"allein"
"X10",4.88461538461539,5,1.92307692307692,2,1,1,100,"besoffen"
"X100",3.24,4,1.30769230769231,1,1.61538461538462,2,96.1538461538462,"hormonhaltig"
"X101",3.88888888888889,4,2.5,3,2.42307692307692,3,34.6153846153846,"impardonnabel"
"X102",3.70833333333333,4,1.88461538461538,2,1.11538461538462,1,92.3076923076923,"infertil"
"X103",3.82608695652174,4,2.03846153846154,2,1.23076923076923,1,88.4615384615385,"intersexuell"
"X104",4.44,4,1.88461538461538,2,1.11538461538462,1,96.1538461538462,"kandidierend"
"X105",3.42307692307692,4,1.92307692307692,2,1,1,100,"kinderlos"
"X106",4.07692307692308,4,2.15384615384615,2.5,2.34615384615385,2.5,50,"konjugal"
"X107",4.11538461538461,4,1.96153846153846,2,1,1,100,"krebskrank"
"X108",1.15384615384615,1,1.92307692307692,2,1,1,100,"lesbisch"
"X109",3.76923076923077,4,2,2,1,1,100,"liebeskrank"
"X11",4.65384615384615,5,1.96153846153846,2,1,1,100,"betrunken"
"X110",4.26923076923077,4,1.96153846153846,2,1.03846153846154,1,100,"lungenkrank"
"X111",2.84,3,1.80769230769231,2,1.11538461538462,1,96.1538461538462,"männermordend"
"X112",1.38461538461538,1,1.65384615384615,2,1.03846153846154,1,100,"mütterlich"
"X113",4.23076923076923,4,1.84615384615385,2,1,1,100,"mutterlos"
"X114",3.96153846153846,4,1.76923076923077,2,1.15384615384615,1,100,"nichtbinär"
"X115",5,5,2.76923076923077,3,2.84615384615385,3,11.5384615384615,"polemogen"
"X116",3.84615384615385,4,1.69230769230769,2,1.19230769230769,1,100,"psychisch"
"X117",4,4,2.19230769230769,3,2.07692307692308,3,46.1538461538462,"ridikül"
"X118",3.95833333333333,4,1.84615384615385,2,1.19230769230769,1,92.3076923076923,"schwarzäugig"
"X119",3.96153846153846,4,1.92307692307692,2,1,1,100,"schwerkrank"
"X12",4.34615384615385,4,1.69230769230769,2,1.11538461538462,1,100,"dahergelaufen"
"X120",1.61538461538462,1,1.76923076923077,2,1,1,100,"schwesterlich"
"X121",3.78947368421053,4,2.15384615384615,2,1.57692307692308,1,73.0769230769231,"schwindsüchtig"
"X122",4.11538461538461,4,1.23076923076923,1,1.03846153846154,1,100,"sexuell"
"X123",3.30769230769231,4,1.42307692307692,1,1.03846153846154,1,100,"spindeldürr"
"X124",4.07692307692308,4,1.92307692307692,2,1,1,100,"sterbenskrank"
"X125",2.33333333333333,2,2.11538461538462,2,1.42307692307692,1,80.7692307692308,"stutenbissig"
"X126",4.19230769230769,4,2,2,1,1,100,"tablettensüchtig"
"X127",3.9047619047619,4,1.61538461538462,1,1.69230769230769,1.5,80.7692307692308,"tierlich"
"X128",3.88235294117647,4,2.23076923076923,2,1.84615384615385,1.5,65.3846153846154,"transgen"
"X129",4.11538461538461,4,1.88461538461538,2,1,1,100,"transgender"
"X13",4.34615384615385,4,1.92307692307692,2,1,1,100,"diensthabend"
"X130",4.07692307692308,4,1.92307692307692,2,1,1,100,"transsexuell"
"X131",4,4,2.76923076923077,3,2.80769230769231,3,11.5384615384615,"treife"
"X132",3.65384615384615,4,1.73076923076923,2,1,1,100,"unbekleidet"
"X133",4.31818181818182,4,1.65384615384615,1.5,1.53846153846154,1,84.6153846153846,"ungestalt"
"X134",3.75,4,1.84615384615385,2,1.15384615384615,1,92.3076923076923,"unkeusch"
"X135",1.92307692307692,2,2.26923076923077,2.5,2.15384615384615,2.5,50,"uterin"
"X136",4.32,4,1.92307692307692,2,1.11538461538462,1,96.1538461538462,"vernehmungsfähig"
"X137",1.30769230769231,1,1.46153846153846,1,1,1,100,"weiblich"
"X138",4.16666666666667,4,2,2,1.15384615384615,1,92.3076923076923,"wohlgeborn"
"X139",4.15384615384615,4,1.84615384615385,2,1.19230769230769,1,100,"wohnhaft"
"X14",3.8125,4,2.15384615384615,2,1.92307692307692,2,61.5384615384615,"diskretionär"
"X140",4.36363636363636,4,1.92307692307692,2,1.34615384615385,1,84.6153846153846,"zudringlich"
"X15",3.73076923076923,4,1.96153846153846,2,1,1,100,"eifersüchtig"
"X16",4.0625,4,1.92307692307692,1.5,2.38461538461538,2,61.5384615384615,"elektrogen"
"X17",3.72,4,1.69230769230769,2,1.15384615384615,1,96.1538461538462,"elterlich"
"X18",3.92307692307692,4,1.03846153846154,1,2,2,100,"feinpulvrig"
"X19",4.61538461538461,4,1.96153846153846,2,1,1,100,"fluchtverdächtig"
"X2",2.92307692307692,3,1.96153846153846,2,1,1,100,"alleinerziehend"
"X20",4.16,4,1.84615384615385,2,1.11538461538462,1,96.1538461538462,"fluchtwillig"
"X21",1.65384615384615,1.5,1.34615384615385,1,1,1,100,"fraulich"
"X22",4.1,4,2.11538461538462,2,1.57692307692308,1,76.9230769230769,"fusskrank"
"X23",4,4,2.5,3,2.61538461538462,3,26.9230769230769,"geköpert"
"X24",3.88461538461538,4,1.07692307692308,1,1.69230769230769,2,100,"gutsitzend"
"X25",1.26923076923077,1,1.92307692307692,2,1,1,100,"hochschwanger"
"X26",4.46153846153846,4,1.03846153846154,1,1.88461538461538,2,100,"hochtechnologisch"
"X27",4.1,4,2.38461538461538,3,2.5,3,38.4615384615385,"homonom"
"X28",4.96153846153846,4,1.88461538461538,2,1,1,100,"homosexuell"
"X29",3.88461538461538,4,1.46153846153846,1,1,1,100,"jung"
"X3",3.73076923076923,4,1.34615384615385,1,1,1,100,"alleinstehend"
"X30",4.20833333333333,4,1.26923076923077,1,1.73076923076923,2,92.3076923076923,"jungsteinzeitlich"
"X31",NA,NA,3,3,3,3,0,"katexochen"
"X32",4.3125,4,1.96153846153846,2,2.15384615384615,2,61.5384615384615,"kontraktlich"
"X33",4.05882352941176,4,2.15384615384615,2,1.73076923076923,1,65.3846153846154,"kreationär"
"X34",4.04,4,1.53846153846154,1.5,1.11538461538462,1,96.1538461538462,"lebend"
"X35",4.61538461538461,4,2,2,1,1,100,"lebensmüde"
"X36",4.08,4,1.92307692307692,2,1.07692307692308,1,96.1538461538462,"ledig"
"X37",6.36363636363636,7,1.69230769230769,1.5,1.42307692307692,1,84.6153846153846,"männisch"
"X38",4.5,4.5,1.96153846153846,2,1.5,1,76.9230769230769,"mannstoll"
"X39",5.80769230769231,6,1.92307692307692,2,1,1,100,"muskelbepackt"
"X4",4.03846153846154,4,1.07692307692308,1,1,1,100,"alt"
"X40",4.3,4,2.53846153846154,3,2.26923076923077,3,38.4615384615385,"mutistisch"
"X41",4.26923076923077,4,1.46153846153846,1,1.46153846153846,1,100,"mutmaßlich"
"X42",3.69230769230769,4,1.34615384615385,1,1,1,100,"nackt"
"X43",4,4,1.46153846153846,1,1.76923076923077,2,100,"plötzlich"
"X44",4.16666666666667,4,2.38461538461538,3,2.15384615384615,3,46.1538461538462,"postsexuell"
"X45",4.8125,4,2.15384615384615,2,1.84615384615385,1,61.5384615384615,"präsidiabel"
"X46",3.625,4,2.03846153846154,2,1.15384615384615,1,92.3076923076923,"promigeil"
"X47",4.25,4,2,2,2.26923076923077,2,61.5384615384615,"quasistationär"
"X48",3.78947368421053,4,1.73076923076923,1,1.61538461538462,1,73.0769230769231,"schlohweiß"
"X49",6.46153846153846,7,1.80769230769231,2,1,1,100,"schnurrbärtig"
"X5",4.58333333333333,4,1.46153846153846,1,1.42307692307692,1,92.3076923076923,"anderer"
