"AdjectiveID","meanAssociation","medianAssociation","meanObject","medianObject","meanPerson","medianPerson","percentKnown","Adjective"
"X1",4.45454545454545,4,1.81818181818182,2,1.04545454545455,1,100,"individuo"
"X10",4.27272727272727,4,1.77272727272727,2,1.04545454545455,1,100,"campesino"
"X100",4,4,1.77272727272727,2,1.04545454545455,1,100,"transgénero"
"X101",3.52380952380952,4,1.36363636363636,1,1.13636363636364,1,95.4545454545455,"despampanante"
"X102",3.22727272727273,3.5,1.31818181818182,1,1,1,100,"sexy"
"X103",4.05882352941176,4,1.90909090909091,2,1.86363636363636,2,77.2727272727273,"extraconyugal"
"X104",4,4,1.95454545454545,2,1,1,100,"divorciado"
"X105",4.63636363636364,4,1.59090909090909,2,1.04545454545455,1,100,"sexista"
"X106",3.90909090909091,4,1.90909090909091,2,1,1,100,"activista"
"X107",4.05263157894737,4,1.72727272727273,2,1.77272727272727,2,86.3636363636364,"extramarital"
"X108",3.90909090909091,4,1.63636363636364,2,1,1,100,"inocente"
"X109",1.36363636363636,1,2,2,1,1,100,"lesbiano"
"X11",4.13636363636364,4,1.95454545454545,2,1,1,100,"adinerado"
"X110",2.15384615384615,2,2.13636363636364,2,1.86363636363636,1,59.0909090909091,"anarcofeminista"
"X111",3.85714285714286,4,1.45454545454545,1,1.63636363636364,2,95.4545454545455,"marital"
"X112",3.52631578947368,4,2,2,1.27272727272727,1,86.3636363636364,"hermafrodito"
"X113",3.54545454545455,4,1.68181818181818,2,1,1,100,"sentimental"
"X114",4,4,1.95454545454545,2,1,1,100,"preadolescente"
"X115",2.08333333333333,1.5,2.22727272727273,2,2,2,54.5454545454545,"matronal"
"X116",4.5,4,2,2,1,1,100,"valiente"
"X117",2.9375,3,2,2,1.59090909090909,1,72.7272727272727,"pseudofeminista"
"X118",4.36363636363636,4,1.95454545454545,2,1,1,100,"migrante"
"X119",4.22727272727273,4,1.90909090909091,2,1,1,100,"emigrante"
"X12",4.95,4.5,1.81818181818182,2,1.18181818181818,1,90.9090909090909,"fornido"
"X120",3.76923076923077,4,2.45454545454545,2.5,2.13636363636364,2.5,59.0909090909091,"casadero"
"X121",4.29411764705882,4,2.18181818181818,2,1.5,1,77.2727272727273,"travestido"
"X122",1.89473684210526,1,1.81818181818182,2,1.27272727272727,1,86.3636363636364,"ultrafeminista"
"X123",4.04545454545455,4,2,2,1.04545454545455,1,100,"enamorado"
"X124",4.13636363636364,4,1.31818181818182,1,1,1,100,"pobre"
"X125",4.0952380952381,4,1.95454545454545,2,1.13636363636364,1,95.4545454545455,"postadolescente"
"X126",5.57142857142857,5.5,2.09090909090909,2,1.95454545454545,2,63.6363636363636,"heteropatriarcal"
"X127",4.28571428571429,4,1.22727272727273,1,1.45454545454545,1,95.4545454545455,"escultural"
"X128",3.72727272727273,4,1.45454545454545,1,1.04545454545455,1,100,"indígeno"
"X129",5.40909090909091,6,1.68181818181818,2,1,1,100,"gay"
"X13",4.18181818181818,4,1.90909090909091,2,1,1,100,"trabajador"
"X130",4.42857142857143,4,2.31818181818182,2,1.77272727272727,1,63.6363636363636,"travestista"
"X131",5.04545454545455,5,2,2,1,1,100,"violador"
"X132",1.9,2,2.54545454545455,3,2.09090909090909,3,45.4545454545455,"núbil"
"X133",4.04545454545455,4,2,2,1.09090909090909,1,100,"enamoradísimo"
"X134",4.13636363636364,4,1.72727272727273,2,1,1,100,"cantante"
"X135",2.11111111111111,2,2.40909090909091,3,2.27272727272727,3,40.9090909090909,"posfeminista"
"X136",3.94736842105263,4,2,2,1.36363636363636,1,86.3636363636364,"infanticido"
"X137",3.95454545454545,4,1.86363636363636,2,1,1,100,"gentil"
"X138",4.375,4,2.63636363636364,3,2.36363636363636,3,36.3636363636364,"filicido"
"X139",4.36363636363636,4,1.95454545454545,2,1,1,100,"primogénito"
"X14",4.63636363636364,4,1.63636363636364,2,1.13636363636364,1,100,"sujeto"
"X140",3.90909090909091,4,1.31818181818182,1,1.36363636363636,1,100,"empoderante"
"X141",4.13636363636364,4,1.77272727272727,2,1.04545454545455,1,100,"sobreviviente"
"X142",4.19047619047619,4,2,2,1.09090909090909,1,95.4545454545455,"invidente"
"X143",4.11764705882353,4,2.22727272727273,2,1.45454545454545,1,77.2727272727273,"prepúber"
"X144",4,4,2.09090909090909,2,1.36363636363636,1,86.3636363636364,"concubinario"
"X145",5.45454545454545,5,1.77272727272727,2,1,1,100,"misógino"
"X146",3.90909090909091,4,1.13636363636364,1,1.09090909090909,1,100,"familiar"
"X147",4.47619047619048,4,1.72727272727273,2,1.13636363636364,1,95.4545454545455,"cornudo"
