noun,article,phrase,unweighted_masculine_probability,unweighted_feminine_probability,weighted_masculine_probability,weighted_feminine_probability,unweighted_masculine_proportion,unweighted_feminine_proportion,weighted_masculine_proportion,weighted_feminine_proportion,unweighted_proportional_difference,weighted_proportional_difference
toaster,the,the toaster is,3.268193611145517e-07,5.69046938602775e-08,1.3854696517587976e-07,3.7006326120489774e-08,0.851704126643793,0.14829587335620706,0.7892017526574561,0.21079824734254396,0.7034082532875859,0.5784035053149121
moon,the,the moon is,5.511535635362656e-08,2.1279031314083428e-08,3.397310850685734e-08,1.7039714516397366e-08,0.7214581860824635,0.2785418139175366,0.6659719359457985,0.33402806405420143,0.4429163721649269,0.3319438718915971
broom,the,the broom is,1.9828128937891944e-07,4.748603634892231e-08,1.0702823002577234e-07,3.145936653316951e-08,0.806784582904615,0.1932154170953851,0.7728362155539319,0.2271637844460681,0.6135691658092299,0.5456724311078638
whale,the,the whale is,3.289677513089122e-07,8.51827360333519e-08,2.4442740946378145e-07,6.730168954664945e-08,0.7943193630412059,0.20568063695879418,0.7841019983046323,0.2158980016953677,0.5886387260824117,0.5682039966092647
fork,the,the fork is,2.119450229888438e-07,7.207004948933264e-08,7.928890009456068e-08,5.542419196527976e-08,0.7462456873838255,0.2537543126161745,0.5885760536128146,0.4114239463871854,0.492491374767651,0.17715210722562924
mouse,the,the mouse is,7.020045663493535e-08,3.7772785699727794e-08,4.1699817717912595e-08,1.6005074432852604e-08,0.6501653105623056,0.34983468943769436,0.722639210709618,0.277360789290382,0.3003306211246113,0.445278421419236
snail,the,the snail is,5.991815516594666e-07,2.6786121414716014e-07,4.1635137997505257e-07,2.204769568041132e-07,0.691063434572384,0.30893656542761605,0.6537890290510605,0.3462109709489395,0.3821268691447679,0.307578058102121
cat,the,the cat is,3.9819224580595215e-07,1.608009262645318e-07,2.802532666767678e-07,1.3494618801032095e-07,0.7123382998240696,0.28766170017593035,0.6749846694475504,0.3250153305524496,0.42467659964813925,0.34996933889510085
spoon,the,the spoon is,1.403355780627186e-07,3.38247677078894e-08,7.284093158945715e-08,2.0010195115316304e-08,0.8057837588790674,0.1942162411209326,0.7844916284221289,0.21550837157787106,0.6115675177581348,0.5689832568442579
ball,the,the ball is,5.362697412387293e-08,7.102789972507077e-09,1.6353333301116895e-08,3.5535316552789558e-09,0.8830426879110755,0.11695731208892447,0.8214921504183287,0.1785078495816714,0.7660853758221511,0.6429843008366573
