noun,article,phrase,unweighted_masculine_probability,unweighted_feminine_probability,weighted_masculine_probability,weighted_feminine_probability,unweighted_masculine_proportion,unweighted_feminine_proportion,weighted_masculine_proportion,weighted_feminine_proportion,unweighted_proportional_difference,weighted_proportional_difference
tostadora,la,la tostadora es,0.0004307613777530453,1.8335562608208942e-05,2.2544229651300712e-05,2.7023716253351862e-06,0.9591723724649297,0.04082762753507024,0.8929609734108623,0.10703902658913764,0.9183447449298594,0.7859219468217247
luna,la,la luna es,0.00021067640749605613,1.3782078104377815e-05,1.62484405665855e-05,2.428275384638428e-06,0.9385985427661142,0.06140145723388579,0.8699838134830499,0.13001618651695016,0.8771970855322284,0.7399676269660997
escoba,la,la escoba es,0.00037119181096489164,9.345517059035473e-06,1.9364201076286494e-05,1.779919069578751e-06,0.9754412606312097,0.024558739368790262,0.9158196672502915,0.08418033274970849,0.9508825212624195,0.831639334500583
ballena,la,la ballena es,0.000848259234479521,1.9752383688465213e-05,4.4631257671628195e-05,3.819696587970788e-06,0.9772441021813115,0.022755897818688572,0.9211636458694921,0.07883635413050795,0.9544882043626229,0.8423272917389841
tenedor,el,el tenedor es,0.00029511685312682054,3.293007113924037e-05,1.5781388723963097e-05,4.15032066311539e-06,0.8996178025051911,0.10038219749480898,0.7917729692664495,0.20822703073355053,0.7992356050103822,0.5835459385328989
ratón,el,el ratón es,0.00013655998676513831,1.3711790080269107e-05,8.747775535303872e-06,1.4843747216433647e-06,0.9087533909020378,0.09124660909796226,0.8549303240894521,0.14506967591054787,0.8175067818040755,0.7098606481789043
caracol,el,el caracol es,0.0001857688639681606,3.02711324259159e-05,1.1703652203499631e-05,3.916108975672666e-06,0.8598818138716379,0.14011818612836216,0.7492849646834239,0.250715035316576,0.7197636277432757,0.49856992936684785
gato,el,el gato es,0.0003988114329858059,1.4718816348880278e-05,2.2125741702513703e-05,1.2351492047893036e-06,0.9644069173354044,0.03559308266459551,0.9471274785841676,0.05287252141583245,0.9288138346708089,0.8942549571683351
cuchara,la,la cuchara es,0.00015297115581524006,1.6875241558588314e-05,8.939933887226505e-06,2.8085454226446985e-06,0.9006441006726433,0.09935589932735671,0.760943918904898,0.239056081095102,0.8012882013452867,0.521887837809796
pelota,la,la pelota es,0.0001999253146386513,2.044491757807203e-05,1.1093710396793164e-05,4.294884117417822e-06,0.9072246856010686,0.0927753143989314,0.7209047185269842,0.2790952814730158,0.8144493712021372,0.4418094370539684
calcetín,el,el calcetín es,0.00011828903933674849,7.87478530779406e-06,8.626512178449366e-06,1.1497828351813032e-06,0.937582858398747,0.06241714160125295,0.8823907386614038,0.11760926133859607,0.875165716797494,0.7647814773228078
frijol,el,el frijol es,3.6691673366248914e-05,1.821138877179687e-05,3.3790990143406402e-06,2.286141463957334e-06,0.668299215697533,0.3317007843024671,0.5964617084279242,0.4035382915720758,0.33659843139506596,0.1929234168558484
jabón,el,el jabón es,9.019648634420708e-05,4.489871648297977e-06,6.722084526067892e-06,6.573593519701051e-07,0.9525816417117514,0.04741835828824861,0.9109202044443381,0.08907979555566184,0.9051632834235028,0.8218404088886763
roca,la,la roca es,0.00034444489321595407,1.04750372213897e-05,2.061125968256724e-05,1.8451812335759764e-06,0.9704861961161719,0.02951380388382817,0.9178328729620937,0.08216712703790628,0.9409723922323437,0.8356657459241874
baño,el,el baño es,0.00036642988069357214,4.243564816902491e-06,1.8216959067626734e-05,4.6295783553839335e-07,0.9885517431359065,0.011448256864093533,0.9752162797116111,0.024783720288388957,0.977103486271813,0.9504325594232221
lluvia,la,la lluvia es,9.23129282495595e-05,1.0856988082175523e-05,6.250178958466418e-06,2.071258393924248e-06,0.8947659504998947,0.10523404950010529,0.7510936745405893,0.24890632545941074,0.7895319009997894,0.5021873490811786
calzoncillos,el,el calzoncillos es,0.00035939796506461797,1.3795438513148454e-05,1.927030077134853e-05,1.6361574830729259e-06,0.963034077288363,0.036965922711636956,0.9217391361481854,0.07826086385181473,0.926068154576726,0.8434782722963706
pantalones,el,el pantalones es,0.0013505793991286828,4.6048331129109074e-05,6.364016728039492e-05,5.576876672054801e-06,0.9670289153426666,0.032971084657333415,0.9194291412403285,0.0805708587596715,0.9340578306853331,0.838858282480657
cola,la,la cola es,0.0001928358694449477,1.2045365641156217e-05,9.953085433998718e-06,1.3765707317680862e-06,0.941208058238745,0.058791941761255004,0.8784984547079661,0.12150154529203387,0.88241611647749,0.7569969094159322
labio,el,el labio es,7.488139881882649e-05,1.4266921530624318e-05,4.271893664306013e-06,2.0069430403131897e-06,0.8399642138550713,0.16003578614492886,0.6803638739582564,0.31963612604174363,0.6799284277101424,0.36072774791651274
mariposa,la,la mariposa es,0.004798010576029567,2.0448971903126272e-05,0.000215210127911201,3.130604641617387e-06,0.99575611838188,0.004243881618119982,0.9856618387003897,0.014338161299610318,0.9915122367637601,0.9713236774007794
