LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
de,nouns,masculine,Toaster,genders,Mann,0.86418056
de,nouns,masculine,Mond,genders,Mann,0.8915963
de,nouns,masculine,Besen,genders,Mann,0.88149714
de,nouns,masculine,Wal,genders,Mann,0.8680629
de,nouns,masculine,Löfel,genders,Mann,0.7442826
de,nouns,masculine,Felsen,genders,Mann,0.8501158
de,nouns,masculine,Regen,genders,Mann,0.86706716
de,nouns,masculine,Schwanz,genders,Mann,0.8593373
de,nouns,masculine,Schmetterling,genders,Mann,0.8375151
de,nouns,masculine,Fisch,genders,Mann,0.85343504
de,nouns,masculine,Stiefel,genders,Mann,0.87158746
de,nouns,masculine,Apfel,genders,Mann,0.8426276
de,nouns,masculine,Frosch,genders,Mann,0.8528283
de,nouns,masculine,Kopfsalat,genders,Mann,0.82154
de,nouns,masculine,Schmutz,genders,Mann,0.78354573
de,nouns,masculine,Bürgersteig,genders,Mann,0.78089345
de,nouns,masculine,Waschlappen,genders,Mann,0.84401065
de,nouns,masculine,Herd,genders,Mann,0.89381146
de,nouns,masculine,Sand,genders,Mann,0.8107763
de,nouns,masculine,Kasten,genders,Mann,0.8966119
de,nouns,masculine,Sandkasten,genders,Mann,0.862884
de,nouns,masculine,Schnee,genders,Mann,0.846158
de,nouns,masculine,Tisch,genders,Mann,0.8755161
de,nouns,masculine,Pfannkuchen,genders,Mann,0.7899681
de,nouns,masculine,Schlafanzug,genders,Mann,0.8351604
de,nouns,masculine,Toast,genders,Mann,0.86779445
de,nouns,masculine,Schwamm,genders,Mann,0.86631644
de,nouns,masculine,Käfig,genders,Mann,0.8757701
de,nouns,masculine,Marienkäfer,genders,Mann,0.845116
de,nouns,masculine,Kürbis,genders,Mann,0.83838534
de,nouns,masculine,Stern,genders,Mann,0.8689101
de,nouns,masculine,Tannenzapfen,genders,Mann,0.6500417
de,nouns,masculine,Streifen,genders,Mann,0.7733486
de,nouns,masculine,Stuhl,genders,Mann,0.8354803
de,nouns,masculine,Film,genders,Mann,0.75067353
de,nouns,masculine,Flügel,genders,Mann,0.8367076
de,nouns,masculine,Burger,genders,Mann,0.82898563
de,nouns,masculine,Fingernagel,genders,Mann,0.83491373
de,nouns,masculine,Kopf,genders,Mann,0.863259
de,nouns,masculine,Schlüssel,genders,Mann,0.8083509
de,nouns,masculine,Bauch,genders,Mann,0.8614083
de,nouns,masculine,Toaster,genders,Frau,0.74593556
de,nouns,masculine,Mond,genders,Frau,0.77015084
de,nouns,masculine,Besen,genders,Frau,0.7753246
de,nouns,masculine,Wal,genders,Frau,0.73445344
de,nouns,masculine,Löfel,genders,Frau,0.68401057
de,nouns,masculine,Felsen,genders,Frau,0.7675131
de,nouns,masculine,Regen,genders,Frau,0.74850154
de,nouns,masculine,Schwanz,genders,Frau,0.7761569
de,nouns,masculine,Schmetterling,genders,Frau,0.7748502
de,nouns,masculine,Fisch,genders,Frau,0.7243398
de,nouns,masculine,Stiefel,genders,Frau,0.7882342
de,nouns,masculine,Apfel,genders,Frau,0.7568606
de,nouns,masculine,Frosch,genders,Frau,0.7551736
de,nouns,masculine,Kopfsalat,genders,Frau,0.7416913
de,nouns,masculine,Schmutz,genders,Frau,0.6856415
de,nouns,masculine,Bürgersteig,genders,Frau,0.73846555
de,nouns,masculine,Waschlappen,genders,Frau,0.757331
de,nouns,masculine,Herd,genders,Frau,0.7744049
de,nouns,masculine,Sand,genders,Frau,0.68105596
de,nouns,masculine,Kasten,genders,Frau,0.7921286
de,nouns,masculine,Sandkasten,genders,Frau,0.7599931
de,nouns,masculine,Schnee,genders,Frau,0.75042856
de,nouns,masculine,Tisch,genders,Frau,0.7765457
de,nouns,masculine,Pfannkuchen,genders,Frau,0.7051079
de,nouns,masculine,Schlafanzug,genders,Frau,0.7837422
de,nouns,masculine,Toast,genders,Frau,0.7560251
de,nouns,masculine,Schwamm,genders,Frau,0.76548225
de,nouns,masculine,Käfig,genders,Frau,0.77843374
de,nouns,masculine,Marienkäfer,genders,Frau,0.7668253
de,nouns,masculine,Kürbis,genders,Frau,0.7497572
de,nouns,masculine,Stern,genders,Frau,0.7123684
de,nouns,masculine,Tannenzapfen,genders,Frau,0.5727284
de,nouns,masculine,Streifen,genders,Frau,0.7769879
de,nouns,masculine,Stuhl,genders,Frau,0.76391655
de,nouns,masculine,Film,genders,Frau,0.80078286
de,nouns,masculine,Flügel,genders,Frau,0.74715215
de,nouns,masculine,Burger,genders,Frau,0.7423404
de,nouns,masculine,Fingernagel,genders,Frau,0.7611085
de,nouns,masculine,Kopf,genders,Frau,0.7702945
de,nouns,masculine,Schlüssel,genders,Frau,0.7229903
de,nouns,masculine,Bauch,genders,Frau,0.75381637
de,nouns,masculine,Toaster,determiners,der,0.63329864
de,nouns,masculine,Mond,determiners,der,0.6654205
de,nouns,masculine,Besen,determiners,der,0.68094534
de,nouns,masculine,Wal,determiners,der,0.6403545
de,nouns,masculine,Löfel,determiners,der,0.6103571
de,nouns,masculine,Felsen,determiners,der,0.6789393
de,nouns,masculine,Regen,determiners,der,0.6899714
de,nouns,masculine,Schwanz,determiners,der,0.7258105
de,nouns,masculine,Schmetterling,determiners,der,0.7133912
de,nouns,masculine,Fisch,determiners,der,0.66652805
de,nouns,masculine,Stiefel,determiners,der,0.70153904
de,nouns,masculine,Apfel,determiners,der,0.7093922
de,nouns,masculine,Frosch,determiners,der,0.65812474
de,nouns,masculine,Kopfsalat,determiners,der,0.66744745
de,nouns,masculine,Schmutz,determiners,der,0.666121
de,nouns,masculine,Bürgersteig,determiners,der,0.6789124
de,nouns,masculine,Waschlappen,determiners,der,0.701211
de,nouns,masculine,Herd,determiners,der,0.67680687
de,nouns,masculine,Sand,determiners,der,0.5399955
de,nouns,masculine,Kasten,determiners,der,0.69562995
