LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
de,nouns,masculine,Toaster,genders,Mann,0.10804896
de,nouns,masculine,Mond,genders,Mann,0.24324065
de,nouns,masculine,Besen,genders,Mann,0.0686109
de,nouns,masculine,Wal,genders,Mann,0.007455238
de,nouns,masculine,Löfel,genders,Mann,0.07708659
de,nouns,masculine,Felsen,genders,Mann,0.0686109
de,nouns,masculine,Regen,genders,Mann,0.11328147
de,nouns,masculine,Schwanz,genders,Mann,0.0039590453
de,nouns,masculine,Schmetterling,genders,Mann,0.095458835
de,nouns,masculine,Fisch,genders,Mann,0.14915977
de,nouns,masculine,Stiefel,genders,Mann,0.029050775
de,nouns,masculine,Apfel,genders,Mann,0.029050775
de,nouns,masculine,Frosch,genders,Mann,0.047270518
de,nouns,masculine,Kopfsalat,genders,Mann,0.048649117
de,nouns,masculine,Schmutz,genders,Mann,0.005823899
de,nouns,masculine,Bürgersteig,genders,Mann,0.055043016
de,nouns,masculine,Waschlappen,genders,Mann,0.059491217
de,nouns,masculine,Herd,genders,Mann,0.07340361
de,nouns,masculine,Sand,genders,Mann,0.21607995
de,nouns,masculine,Kasten,genders,Mann,0.116346195
de,nouns,masculine,Sandkasten,genders,Mann,0.09316506
de,nouns,masculine,Schnee,genders,Mann,0.063845426
de,nouns,masculine,Tisch,genders,Mann,0.1058496
de,nouns,masculine,Pfannkuchen,genders,Mann,0.04691777
de,nouns,masculine,Schlafanzug,genders,Mann,0.037417512
de,nouns,masculine,Toast,genders,Mann,0.025275266
de,nouns,masculine,Schwamm,genders,Mann,0.12330025
de,nouns,masculine,Käfig,genders,Mann,-0.004508407
de,nouns,masculine,Marienkäfer,genders,Mann,0.021566853
de,nouns,masculine,Kürbis,genders,Mann,-0.009114425
de,nouns,masculine,Stern,genders,Mann,0.20759585
de,nouns,masculine,Tannenzapfen,genders,Mann,0.028346237
de,nouns,masculine,Streifen,genders,Mann,0.061217844
de,nouns,masculine,Stuhl,genders,Mann,0.07708659
de,nouns,masculine,Film,genders,Mann,0.15135486
de,nouns,masculine,Flügel,genders,Mann,0.16802843
de,nouns,masculine,Burger,genders,Mann,0.10682803
de,nouns,masculine,Fingernagel,genders,Mann,0.07708659
de,nouns,masculine,Kopf,genders,Mann,0.2232772
de,nouns,masculine,Schlüssel,genders,Mann,0.08200006
de,nouns,masculine,Bauch,genders,Mann,0.06577486
de,nouns,masculine,Toaster,genders,Frau,0.04104086
de,nouns,masculine,Mond,genders,Frau,0.1848488
de,nouns,masculine,Besen,genders,Frau,0.06636643
de,nouns,masculine,Wal,genders,Frau,0.032559957
de,nouns,masculine,Löfel,genders,Frau,0.04691461
de,nouns,masculine,Felsen,genders,Frau,0.06636643
de,nouns,masculine,Regen,genders,Frau,0.060364548
de,nouns,masculine,Schwanz,genders,Frau,0.09110297
de,nouns,masculine,Schmetterling,genders,Frau,0.05020783
de,nouns,masculine,Fisch,genders,Frau,0.18092002
de,nouns,masculine,Stiefel,genders,Frau,0.035143647
de,nouns,masculine,Apfel,genders,Frau,0.035143647
de,nouns,masculine,Frosch,genders,Frau,0.048839264
de,nouns,masculine,Kopfsalat,genders,Frau,0.044385623
de,nouns,masculine,Schmutz,genders,Frau,0.051880687
de,nouns,masculine,Bürgersteig,genders,Frau,0.054492965
de,nouns,masculine,Waschlappen,genders,Frau,0.060553934
de,nouns,masculine,Herd,genders,Frau,0.05755972
de,nouns,masculine,Sand,genders,Frau,0.078560784
de,nouns,masculine,Kasten,genders,Frau,0.07742947
de,nouns,masculine,Sandkasten,genders,Frau,0.04610917
de,nouns,masculine,Schnee,genders,Frau,0.048167445
de,nouns,masculine,Tisch,genders,Frau,0.09068777
de,nouns,masculine,Pfannkuchen,genders,Frau,0.091316245
de,nouns,masculine,Schlafanzug,genders,Frau,0.007893545
de,nouns,masculine,Toast,genders,Frau,0.058822878
de,nouns,masculine,Schwamm,genders,Frau,0.05995094
de,nouns,masculine,Käfig,genders,Frau,0.027052727
de,nouns,masculine,Marienkäfer,genders,Frau,0.06645362
de,nouns,masculine,Kürbis,genders,Frau,-0.020153688
de,nouns,masculine,Stern,genders,Frau,0.14992681
de,nouns,masculine,Tannenzapfen,genders,Frau,0.04129018
de,nouns,masculine,Streifen,genders,Frau,0.09388041
de,nouns,masculine,Stuhl,genders,Frau,0.04691461
de,nouns,masculine,Film,genders,Frau,0.12414661
de,nouns,masculine,Flügel,genders,Frau,0.10401818
de,nouns,masculine,Burger,genders,Frau,0.14368366
de,nouns,masculine,Fingernagel,genders,Frau,0.04691461
de,nouns,masculine,Kopf,genders,Frau,0.20280531
de,nouns,masculine,Schlüssel,genders,Frau,0.05331033
de,nouns,masculine,Bauch,genders,Frau,0.061980058
de,nouns,masculine,Toaster,determiners,der,-0.022613725
de,nouns,masculine,Mond,determiners,der,0.12958427
de,nouns,masculine,Besen,determiners,der,0.095687255
de,nouns,masculine,Wal,determiners,der,0.16458581
de,nouns,masculine,Löfel,determiners,der,0.14177291
de,nouns,masculine,Felsen,determiners,der,0.095687255
de,nouns,masculine,Regen,determiners,der,0.25968894
de,nouns,masculine,Schwanz,determiners,der,0.06010895
de,nouns,masculine,Schmetterling,determiners,der,0.08266085
de,nouns,masculine,Fisch,determiners,der,0.10012277
de,nouns,masculine,Stiefel,determiners,der,0.12986726
de,nouns,masculine,Apfel,determiners,der,0.12986726
de,nouns,masculine,Frosch,determiners,der,0.15803993
de,nouns,masculine,Kopfsalat,determiners,der,0.15713607
de,nouns,masculine,Schmutz,determiners,der,0.049621515
de,nouns,masculine,Bürgersteig,determiners,der,0.12296766
de,nouns,masculine,Waschlappen,determiners,der,0.061165694
de,nouns,masculine,Herd,determiners,der,0.16545281
de,nouns,masculine,Sand,determiners,der,0.11635122
de,nouns,masculine,Kasten,determiners,der,0.12535839
de,nouns,masculine,Sandkasten,determiners,der,0.2436087
de,nouns,masculine,Schnee,determiners,der,0.20645323
de,nouns,masculine,Tisch,determiners,der,0.15897146
de,nouns,masculine,Pfannkuchen,determiners,der,0.13213679
de,nouns,masculine,Schlafanzug,determiners,der,0.12816341
de,nouns,masculine,Toast,determiners,der,0.03304576
de,nouns,masculine,Schwamm,determiners,der,0.037216
de,nouns,masculine,Käfig,determiners,der,-0.006626978
de,nouns,masculine,Marienkäfer,determiners,der,0.026764033
de,nouns,masculine,Kürbis,determiners,der,0.055779282
de,nouns,masculine,Stern,determiners,der,0.14110376
