LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
de,nouns,masculine,Toaster,genders,Mann,0.56604046
de,nouns,masculine,Mond,genders,Mann,0.7494214
de,nouns,masculine,Besen,genders,Mann,0.5727806
de,nouns,masculine,Wal,genders,Mann,0.5772501
de,nouns,masculine,Löfel,genders,Mann,0.4186268
de,nouns,masculine,Felsen,genders,Mann,0.5536907
de,nouns,masculine,Regen,genders,Mann,0.61114854
de,nouns,masculine,Schwanz,genders,Mann,0.4778421
de,nouns,masculine,Schmetterling,genders,Mann,0.44572318
de,nouns,masculine,Fisch,genders,Mann,0.69605947
de,nouns,masculine,Stiefel,genders,Mann,0.5402688
de,nouns,masculine,Apfel,genders,Mann,0.49073765
de,nouns,masculine,Frosch,genders,Mann,0.5672903
de,nouns,masculine,Kopfsalat,genders,Mann,0.43608204
de,nouns,masculine,Schmutz,genders,Mann,0.49840993
de,nouns,masculine,Bürgersteig,genders,Mann,0.36275545
de,nouns,masculine,Waschlappen,genders,Mann,0.49470404
de,nouns,masculine,Herd,genders,Mann,0.6327897
de,nouns,masculine,Sand,genders,Mann,0.6703401
de,nouns,masculine,Kasten,genders,Mann,0.5879141
de,nouns,masculine,Sandkasten,genders,Mann,0.57528126
de,nouns,masculine,Schnee,genders,Mann,0.48837304
de,nouns,masculine,Tisch,genders,Mann,0.5628784
de,nouns,masculine,Pfannkuchen,genders,Mann,0.47190225
de,nouns,masculine,Schlafanzug,genders,Mann,0.46540788
de,nouns,masculine,Toast,genders,Mann,0.57701206
de,nouns,masculine,Schwamm,genders,Mann,0.55273205
de,nouns,masculine,Käfig,genders,Mann,0.49913633
de,nouns,masculine,Marienkäfer,genders,Mann,0.5101015
de,nouns,masculine,Kürbis,genders,Mann,0.4235829
de,nouns,masculine,Stern,genders,Mann,0.6935743
de,nouns,masculine,Tannenzapfen,genders,Mann,0.36085984
de,nouns,masculine,Streifen,genders,Mann,0.360998
de,nouns,masculine,Stuhl,genders,Mann,0.49272114
de,nouns,masculine,Film,genders,Mann,0.44546524
de,nouns,masculine,Flügel,genders,Mann,0.6501364
de,nouns,masculine,Burger,genders,Mann,0.59205157
de,nouns,masculine,Fingernagel,genders,Mann,0.5154482
de,nouns,masculine,Kopf,genders,Mann,0.67757636
de,nouns,masculine,Schlüssel,genders,Mann,0.50493217
de,nouns,masculine,Bauch,genders,Mann,0.618068
de,nouns,masculine,Toaster,genders,Frau,0.41622472
de,nouns,masculine,Mond,genders,Frau,0.5582899
de,nouns,masculine,Besen,genders,Frau,0.3634684
de,nouns,masculine,Wal,genders,Frau,0.38286313
de,nouns,masculine,Löfel,genders,Frau,0.36320204
de,nouns,masculine,Felsen,genders,Frau,0.42517915
de,nouns,masculine,Regen,genders,Frau,0.46151465
de,nouns,masculine,Schwanz,genders,Frau,0.43431482
de,nouns,masculine,Schmetterling,genders,Frau,0.36253908
de,nouns,masculine,Fisch,genders,Frau,0.5402299
de,nouns,masculine,Stiefel,genders,Frau,0.42838368
de,nouns,masculine,Apfel,genders,Frau,0.409351
de,nouns,masculine,Frosch,genders,Frau,0.4627907
de,nouns,masculine,Kopfsalat,genders,Frau,0.41455206
de,nouns,masculine,Schmutz,genders,Frau,0.39295688
de,nouns,masculine,Bürgersteig,genders,Frau,0.33262837
de,nouns,masculine,Waschlappen,genders,Frau,0.3721125
de,nouns,masculine,Herd,genders,Frau,0.4778674
de,nouns,masculine,Sand,genders,Frau,0.501915
de,nouns,masculine,Kasten,genders,Frau,0.43128183
de,nouns,masculine,Sandkasten,genders,Frau,0.43399337
de,nouns,masculine,Schnee,genders,Frau,0.42184946
de,nouns,masculine,Tisch,genders,Frau,0.4088143
