LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
de,nouns,masculine,Toaster,genders,Mann,0.35935277
de,nouns,masculine,Mond,genders,Mann,0.8915961
de,nouns,masculine,Besen,genders,Mann,0.40787184
de,nouns,masculine,Wal,genders,Mann,0.3571809
de,nouns,masculine,Löfel,genders,Mann,0.20888734
de,nouns,masculine,Felsen,genders,Mann,0.3376115
de,nouns,masculine,Regen,genders,Mann,0.40119067
de,nouns,masculine,Schwanz,genders,Mann,0.25699654
de,nouns,masculine,Schmetterling,genders,Mann,0.17367135
de,nouns,masculine,Fisch,genders,Mann,0.8534349
de,nouns,masculine,Stiefel,genders,Mann,0.25635087
de,nouns,masculine,Apfel,genders,Mann,0.25561878
de,nouns,masculine,Frosch,genders,Mann,0.29049754
de,nouns,masculine,Kopfsalat,genders,Mann,0.25814226
de,nouns,masculine,Schmutz,genders,Mann,0.22274661
de,nouns,masculine,Bürgersteig,genders,Mann,0.15758249
de,nouns,masculine,Waschlappen,genders,Mann,0.28744915
de,nouns,masculine,Herd,genders,Mann,0.40344864
de,nouns,masculine,Sand,genders,Mann,0.81077576
de,nouns,masculine,Kasten,genders,Mann,0.41981986
de,nouns,masculine,Sandkasten,genders,Mann,0.3171667
de,nouns,masculine,Schnee,genders,Mann,0.22781192
de,nouns,masculine,Tisch,genders,Mann,0.43237105
de,nouns,masculine,Pfannkuchen,genders,Mann,0.25499043
de,nouns,masculine,Schlafanzug,genders,Mann,0.22465637
de,nouns,masculine,Toast,genders,Mann,0.3465757
de,nouns,masculine,Schwamm,genders,Mann,0.29073837
de,nouns,masculine,Käfig,genders,Mann,0.31377003
de,nouns,masculine,Marienkäfer,genders,Mann,0.3014745
de,nouns,masculine,Kürbis,genders,Mann,0.24741846
de,nouns,masculine,Stern,genders,Mann,0.86890984
de,nouns,masculine,Tannenzapfen,genders,Mann,0.17641996
de,nouns,masculine,Streifen,genders,Mann,0.2608343
de,nouns,masculine,Stuhl,genders,Mann,0.27169934
de,nouns,masculine,Film,genders,Mann,0.7506731
de,nouns,masculine,Flügel,genders,Mann,0.8367072
de,nouns,masculine,Burger,genders,Mann,0.82898533
de,nouns,masculine,Fingernagel,genders,Mann,0.24926026
de,nouns,masculine,Kopf,genders,Mann,0.8632586
de,nouns,masculine,Schlüssel,genders,Mann,0.2901435
de,nouns,masculine,Bauch,genders,Mann,0.38639575
de,nouns,masculine,Toaster,genders,Frau,0.2223442
de,nouns,masculine,Mond,genders,Frau,0.77015084
de,nouns,masculine,Besen,genders,Frau,0.27827898
de,nouns,masculine,Wal,genders,Frau,0.20625742
de,nouns,masculine,Löfel,genders,Frau,0.21522921
de,nouns,masculine,Felsen,genders,Frau,0.2689059
de,nouns,masculine,Regen,genders,Frau,0.26281136
de,nouns,masculine,Schwanz,genders,Frau,0.23257576
de,nouns,masculine,Schmetterling,genders,Frau,0.15412104
de,nouns,masculine,Fisch,genders,Frau,0.72434014
de,nouns,masculine,Stiefel,genders,Frau,0.23248452
de,nouns,masculine,Apfel,genders,Frau,0.19076958
de,nouns,masculine,Frosch,genders,Frau,0.25225058
de,nouns,masculine,Kopfsalat,genders,Frau,0.20469762
de,nouns,masculine,Schmutz,genders,Frau,0.18327409
de,nouns,masculine,Bürgersteig,genders,Frau,0.15478489
