LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
de,nouns,masculine,Toaster,genders,Mann,0.5977084
de,nouns,masculine,Mond,genders,Mann,0.7494214
de,nouns,masculine,Besen,genders,Mann,0.6234349
de,nouns,masculine,Wal,genders,Mann,0.6116758
de,nouns,masculine,Löfel,genders,Mann,0.44649488
de,nouns,masculine,Felsen,genders,Mann,0.5716965
de,nouns,masculine,Regen,genders,Mann,0.6325686
de,nouns,masculine,Schwanz,genders,Mann,0.5265482
de,nouns,masculine,Schmetterling,genders,Mann,0.46799237
de,nouns,masculine,Fisch,genders,Mann,0.69605947
de,nouns,masculine,Stiefel,genders,Mann,0.5637146
de,nouns,masculine,Apfel,genders,Mann,0.5444336
de,nouns,masculine,Frosch,genders,Mann,0.6110335
de,nouns,masculine,Kopfsalat,genders,Mann,0.5031136
de,nouns,masculine,Schmutz,genders,Mann,0.5125484
de,nouns,masculine,Bürgersteig,genders,Mann,0.41479635
de,nouns,masculine,Waschlappen,genders,Mann,0.54081047
de,nouns,masculine,Herd,genders,Mann,0.6507152
de,nouns,masculine,Sand,genders,Mann,0.6703401
de,nouns,masculine,Kasten,genders,Mann,0.65957433
de,nouns,masculine,Sandkasten,genders,Mann,0.6081569
de,nouns,masculine,Schnee,genders,Mann,0.5104746
de,nouns,masculine,Tisch,genders,Mann,0.6136989
de,nouns,masculine,Pfannkuchen,genders,Mann,0.50029564
de,nouns,masculine,Schlafanzug,genders,Mann,0.47232604
de,nouns,masculine,Toast,genders,Mann,0.6150989
de,nouns,masculine,Schwamm,genders,Mann,0.5690807
de,nouns,masculine,Käfig,genders,Mann,0.5592755
de,nouns,masculine,Marienkäfer,genders,Mann,0.562099
de,nouns,masculine,Kürbis,genders,Mann,0.48729146
de,nouns,masculine,Stern,genders,Mann,0.6935743
de,nouns,masculine,Tannenzapfen,genders,Mann,0.38463813
de,nouns,masculine,Streifen,genders,Mann,0.4005567
de,nouns,masculine,Stuhl,genders,Mann,0.5141594
de,nouns,masculine,Film,genders,Mann,0.44546524
de,nouns,masculine,Flügel,genders,Mann,0.6501364
de,nouns,masculine,Burger,genders,Mann,0.59205157
de,nouns,masculine,Fingernagel,genders,Mann,0.55195004
de,nouns,masculine,Kopf,genders,Mann,0.67757636
de,nouns,masculine,Schlüssel,genders,Mann,0.5295586
de,nouns,masculine,Bauch,genders,Mann,0.6427113
de,nouns,masculine,Toaster,genders,Frau,0.4342359
de,nouns,masculine,Mond,genders,Frau,0.5582899
de,nouns,masculine,Besen,genders,Frau,0.404856
de,nouns,masculine,Wal,genders,Frau,0.40025872
de,nouns,masculine,Löfel,genders,Frau,0.4095469
de,nouns,masculine,Felsen,genders,Frau,0.45121667
de,nouns,masculine,Regen,genders,Frau,0.46231404
de,nouns,masculine,Schwanz,genders,Frau,0.47800726
de,nouns,masculine,Schmetterling,genders,Frau,0.4222599
de,nouns,masculine,Fisch,genders,Frau,0.5402299
de,nouns,masculine,Stiefel,genders,Frau,0.4673339
de,nouns,masculine,Apfel,genders,Frau,0.44329885
de,nouns,masculine,Frosch,genders,Frau,0.51976556
de,nouns,masculine,Kopfsalat,genders,Frau,0.43430883
de,nouns,masculine,Schmutz,genders,Frau,0.41548887
de,nouns,masculine,Bürgersteig,genders,Frau,0.3860247
de,nouns,masculine,Waschlappen,genders,Frau,0.42146802
de,nouns,masculine,Herd,genders,Frau,0.4886973
de,nouns,masculine,Sand,genders,Frau,0.501915
de,nouns,masculine,Kasten,genders,Frau,0.47112715
de,nouns,masculine,Sandkasten,genders,Frau,0.44233572
de,nouns,masculine,Schnee,genders,Frau,0.4291279
de,nouns,masculine,Tisch,genders,Frau,0.4394384
de,nouns,masculine,Pfannkuchen,genders,Frau,0.38932282
de,nouns,masculine,Schlafanzug,genders,Frau,0.45365998
de,nouns,masculine,Toast,genders,Frau,0.46216425
de,nouns,masculine,Schwamm,genders,Frau,0.45578134
de,nouns,masculine,Käfig,genders,Frau,0.46898025
de,nouns,masculine,Marienkäfer,genders,Frau,0.47747996
de,nouns,masculine,Kürbis,genders,Frau,0.3651091
de,nouns,masculine,Stern,genders,Frau,0.43966362
de,nouns,masculine,Tannenzapfen,genders,Frau,0.340949
de,nouns,masculine,Streifen,genders,Frau,0.50682837
de,nouns,masculine,Stuhl,genders,Frau,0.45764723
de,nouns,masculine,Film,genders,Frau,0.58907497
de,nouns,masculine,Flügel,genders,Frau,0.5282615
de,nouns,masculine,Burger,genders,Frau,0.4666555
de,nouns,masculine,Fingernagel,genders,Frau,0.5005659
de,nouns,masculine,Kopf,genders,Frau,0.5537611
de,nouns,masculine,Schlüssel,genders,Frau,0.45345086
