LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
de,nouns,masculine,Toaster,genders,Mann,0.69903946
de,nouns,masculine,Mond,genders,Mann,0.8915961
de,nouns,masculine,Besen,genders,Mann,0.7739235
de,nouns,masculine,Wal,genders,Mann,0.69228184
de,nouns,masculine,Löfel,genders,Mann,0.4674315
de,nouns,masculine,Felsen,genders,Mann,0.7042469
de,nouns,masculine,Regen,genders,Mann,0.7160498
de,nouns,masculine,Schwanz,genders,Mann,0.54292125
de,nouns,masculine,Schmetterling,genders,Mann,0.4395633
de,nouns,masculine,Fisch,genders,Mann,0.8534349
de,nouns,masculine,Stiefel,genders,Mann,0.5852386
de,nouns,masculine,Apfel,genders,Mann,0.5425131
de,nouns,masculine,Frosch,genders,Mann,0.58029747
de,nouns,masculine,Kopfsalat,genders,Mann,0.5357096
de,nouns,masculine,Schmutz,genders,Mann,0.47340092
de,nouns,masculine,Bürgersteig,genders,Mann,0.4784215
de,nouns,masculine,Waschlappen,genders,Mann,0.5190621
de,nouns,masculine,Herd,genders,Mann,0.75927025
de,nouns,masculine,Sand,genders,Mann,0.81077576
de,nouns,masculine,Kasten,genders,Mann,0.79909915
de,nouns,masculine,Sandkasten,genders,Mann,0.632456
de,nouns,masculine,Schnee,genders,Mann,0.53073925
de,nouns,masculine,Tisch,genders,Mann,0.77015907
de,nouns,masculine,Pfannkuchen,genders,Mann,0.43147516
de,nouns,masculine,Schlafanzug,genders,Mann,0.46395355
de,nouns,masculine,Toast,genders,Mann,0.7213603
de,nouns,masculine,Schwamm,genders,Mann,0.5606531
de,nouns,masculine,Käfig,genders,Mann,0.62200683
de,nouns,masculine,Marienkäfer,genders,Mann,0.56667894
de,nouns,masculine,Kürbis,genders,Mann,0.57998806
de,nouns,masculine,Stern,genders,Mann,0.86890984
de,nouns,masculine,Tannenzapfen,genders,Mann,0.3206394
de,nouns,masculine,Streifen,genders,Mann,0.6044289
de,nouns,masculine,Stuhl,genders,Mann,0.5500147
de,nouns,masculine,Film,genders,Mann,0.7506731
de,nouns,masculine,Flügel,genders,Mann,0.8367072
de,nouns,masculine,Burger,genders,Mann,0.82898533
de,nouns,masculine,Fingernagel,genders,Mann,0.5460465
de,nouns,masculine,Kopf,genders,Mann,0.8632586
de,nouns,masculine,Schlüssel,genders,Mann,0.46954346
de,nouns,masculine,Bauch,genders,Mann,0.69376755
de,nouns,masculine,Toaster,genders,Frau,0.55117947
de,nouns,masculine,Mond,genders,Frau,0.77015084
de,nouns,masculine,Besen,genders,Frau,0.63325864
de,nouns,masculine,Wal,genders,Frau,0.52762085
de,nouns,masculine,Löfel,genders,Frau,0.42777997
de,nouns,masculine,Felsen,genders,Frau,0.6149569
de,nouns,masculine,Regen,genders,Frau,0.5698082
de,nouns,masculine,Schwanz,genders,Frau,0.47603694
de,nouns,masculine,Schmetterling,genders,Frau,0.38884163
de,nouns,masculine,Fisch,genders,Frau,0.72434014
de,nouns,masculine,Stiefel,genders,Frau,0.5158584
de,nouns,masculine,Apfel,genders,Frau,0.45642844
