LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.7089579
en,nouns,neuter,moon,genders,man,0.81834775
en,nouns,neuter,broom,genders,man,0.7811451
en,nouns,neuter,whale,genders,man,0.7182422
en,nouns,neuter,fork,genders,man,0.7505754
en,nouns,neuter,mouse,genders,man,0.7989164
en,nouns,neuter,snail,genders,man,0.7450581
en,nouns,neuter,cat,genders,man,0.7424786
en,nouns,neuter,spoon,genders,man,0.7859286
en,nouns,neuter,sock,genders,man,0.77474254
en,nouns,neuter,bean,genders,man,0.8221604
en,nouns,neuter,soap,genders,man,0.77208394
en,nouns,neuter,rock,genders,man,0.73282963
en,nouns,neuter,toilet,genders,man,0.6268462
en,nouns,neuter,rain,genders,man,0.6978164
en,nouns,neuter,underpants,genders,man,0.70419127
en,nouns,neuter,pants,genders,man,0.77289486
en,nouns,neuter,tail,genders,man,0.77287084
en,nouns,neuter,lip,genders,man,0.7656062
en,nouns,neuter,butterfly,genders,man,0.62842196
en,nouns,neuter,fish,genders,man,0.7470858
en,nouns,neuter,boot,genders,man,0.78999317
en,nouns,neuter,apple,genders,man,0.7754419
en,nouns,neuter,sun,genders,man,0.78696805
en,nouns,neuter,diaper,genders,man,0.7620839
en,nouns,neuter,bumblebee,genders,man,0.75129235
en,nouns,neuter,frog,genders,man,0.8032056
en,nouns,neuter,spaghetti,genders,man,0.5062406
en,nouns,neuter,toothbrush,genders,man,0.75034624
en,nouns,neuter,pea,genders,man,0.79730093
en,nouns,neuter,lettuce,genders,man,0.5893104
en,nouns,neuter,wall,genders,man,0.7285813
en,nouns,neuter,clock,genders,man,0.7817279
en,nouns,neuter,dirt,genders,man,0.7771519
en,nouns,neuter,dresser,genders,man,0.66680783
en,nouns,neuter,sidewalk,genders,man,0.72607356
en,nouns,neuter,washcloth,genders,man,0.72643185
en,nouns,neuter,stove,genders,man,0.8113135
en,nouns,neuter,tomato,genders,man,0.6855615
en,nouns,neuter,sand,genders,man,0.83206093
en,nouns,neuter,lemon,genders,man,0.7708193
en,nouns,neuter,noodle,genders,man,0.79393065
en,nouns,neuter,box,genders,man,0.757501
en,nouns,neuter,candy,genders,man,0.7051641
en,nouns,neuter,sandbox,genders,man,0.76726544
en,nouns,neuter,snow,genders,man,0.62504804
en,nouns,neuter,bench,genders,man,0.47673473
en,nouns,neuter,drum,genders,man,0.717416
en,nouns,neuter,shoulder,genders,man,0.56450164
en,nouns,neuter,table,genders,man,0.74651283
en,nouns,neuter,bowl,genders,man,0.77662486
en,nouns,neuter,pancake,genders,man,0.6933672
en,nouns,neuter,fist,genders,man,0.8178693
en,nouns,neuter,pajamas,genders,man,0.6923689
en,nouns,neuter,button,genders,man,0.8026309
en,nouns,neuter,toast,genders,man,0.74770385
en,nouns,neuter,sponge,genders,man,0.78762156
en,nouns,neuter,couch,genders,man,0.7959847
en,nouns,neuter,cage,genders,man,0.77466655
en,nouns,neuter,mattress,genders,man,0.7752911
en,nouns,neuter,seesaw,genders,man,0.7335409
en,nouns,neuter,necklace,genders,man,0.6048776
en,nouns,neuter,melon,genders,man,0.7671233
en,nouns,neuter,ladybug,genders,man,0.7881599
en,nouns,neuter,pumpkin,genders,man,0.54668134
en,nouns,neuter,star,genders,man,0.84062386
en,nouns,neuter,pinecone,genders,man,0.70966077
en,nouns,neuter,stripe,genders,man,0.72369725
en,nouns,neuter,plane,genders,man,0.7017385
en,nouns,neuter,chair,genders,man,0.82262176
en,nouns,neuter,chest,genders,man,0.7065421
en,nouns,neuter,movie,genders,man,0.3857511
en,nouns,neuter,wing,genders,man,0.76619565
en,nouns,neuter,ceiling,genders,man,0.43221095
en,nouns,neuter,barn,genders,man,0.7083645
en,nouns,neuter,burger,genders,man,0.7240331
en,nouns,neuter,peanut,genders,man,0.74328876
en,nouns,neuter,fingernail,genders,man,0.6086359
en,nouns,neuter,head,genders,man,0.7334253
en,nouns,neuter,key,genders,man,0.5646189
en,nouns,neuter,bridge,genders,man,0.5407368
en,nouns,neuter,belly,genders,man,0.7410338
en,nouns,neuter,toaster,genders,woman,0.5462539
en,nouns,neuter,moon,genders,woman,0.6676646
en,nouns,neuter,broom,genders,woman,0.61077625
en,nouns,neuter,whale,genders,woman,0.61359984
en,nouns,neuter,fork,genders,woman,0.5803896
en,nouns,neuter,mouse,genders,woman,0.69189477
en,nouns,neuter,snail,genders,woman,0.60170877
en,nouns,neuter,cat,genders,woman,0.66812396
en,nouns,neuter,spoon,genders,woman,0.59817195
en,nouns,neuter,sock,genders,woman,0.57736504
en,nouns,neuter,bean,genders,woman,0.6410656
en,nouns,neuter,soap,genders,woman,0.71538836
en,nouns,neuter,rock,genders,woman,0.60127467
en,nouns,neuter,toilet,genders,woman,0.5245517
en,nouns,neuter,rain,genders,woman,0.5826038
en,nouns,neuter,underpants,genders,woman,0.5305252
en,nouns,neuter,pants,genders,woman,0.6243131
en,nouns,neuter,tail,genders,woman,0.6407855
en,nouns,neuter,lip,genders,woman,0.5938686
en,nouns,neuter,butterfly,genders,woman,0.6138561
en,nouns,neuter,fish,genders,woman,0.65729815
en,nouns,neuter,boot,genders,woman,0.611123
en,nouns,neuter,apple,genders,woman,0.61335754
en,nouns,neuter,sun,genders,woman,0.69018227
en,nouns,neuter,diaper,genders,woman,0.60185933
en,nouns,neuter,bumblebee,genders,woman,0.6241659
en,nouns,neuter,frog,genders,woman,0.65772367
en,nouns,neuter,spaghetti,genders,woman,0.42182833
en,nouns,neuter,toothbrush,genders,woman,0.614417
en,nouns,neuter,pea,genders,woman,0.63377523
en,nouns,neuter,lettuce,genders,woman,0.490801
en,nouns,neuter,wall,genders,woman,0.58003414
en,nouns,neuter,clock,genders,woman,0.68972343
en,nouns,neuter,dirt,genders,woman,0.5765202
en,nouns,neuter,dresser,genders,woman,0.61280054
en,nouns,neuter,sidewalk,genders,woman,0.64065903
en,nouns,neuter,washcloth,genders,woman,0.5873043
en,nouns,neuter,stove,genders,woman,0.57996637
en,nouns,neuter,tomato,genders,woman,0.4897573
en,nouns,neuter,sand,genders,woman,0.6159537
en,nouns,neuter,lemon,genders,woman,0.6361096
en,nouns,neuter,noodle,genders,woman,0.60411716
en,nouns,neuter,box,genders,woman,0.6122057
en,nouns,neuter,candy,genders,woman,0.57972443
en,nouns,neuter,sandbox,genders,woman,0.5969988
en,nouns,neuter,snow,genders,woman,0.5756698
en,nouns,neuter,bench,genders,woman,0.44283593
en,nouns,neuter,drum,genders,woman,0.5887504
en,nouns,neuter,shoulder,genders,woman,0.5236834
en,nouns,neuter,table,genders,woman,0.6249085
en,nouns,neuter,bowl,genders,woman,0.6584518
en,nouns,neuter,pancake,genders,woman,0.55896515
en,nouns,neuter,fist,genders,woman,0.63267106
en,nouns,neuter,pajamas,genders,woman,0.5733201
en,nouns,neuter,button,genders,woman,0.6107493
en,nouns,neuter,toast,genders,woman,0.58175
en,nouns,neuter,sponge,genders,woman,0.62641454
en,nouns,neuter,couch,genders,woman,0.58999956
en,nouns,neuter,cage,genders,woman,0.5761276
en,nouns,neuter,mattress,genders,woman,0.66012114
en,nouns,neuter,seesaw,genders,woman,0.59735197
en,nouns,neuter,necklace,genders,woman,0.5513345
en,nouns,neuter,melon,genders,woman,0.62496966
en,nouns,neuter,ladybug,genders,woman,0.65067476
en,nouns,neuter,pumpkin,genders,woman,0.5394946
en,nouns,neuter,star,genders,woman,0.65485406
en,nouns,neuter,pinecone,genders,woman,0.54091847
en,nouns,neuter,stripe,genders,woman,0.5517099
en,nouns,neuter,plane,genders,woman,0.6340441
en,nouns,neuter,chair,genders,woman,0.6778913
en,nouns,neuter,chest,genders,woman,0.5571083
en,nouns,neuter,movie,genders,woman,0.40565103
en,nouns,neuter,wing,genders,woman,0.64944744
en,nouns,neuter,ceiling,genders,woman,0.48966572
en,nouns,neuter,barn,genders,woman,0.58203447
en,nouns,neuter,burger,genders,woman,0.6305469
en,nouns,neuter,peanut,genders,woman,0.5763807
en,nouns,neuter,fingernail,genders,woman,0.5140372
en,nouns,neuter,head,genders,woman,0.63532156
en,nouns,neuter,key,genders,woman,0.6004387
en,nouns,neuter,bridge,genders,woman,0.5483894
en,nouns,neuter,belly,genders,woman,0.6381782
en,nouns,neuter,toaster,determiners,the,0.5992074
en,nouns,neuter,moon,determiners,the,0.67691946
en,nouns,neuter,broom,determiners,the,0.679786
en,nouns,neuter,whale,determiners,the,0.6698506
en,nouns,neuter,fork,determiners,the,0.71252525
en,nouns,neuter,mouse,determiners,the,0.6411713
en,nouns,neuter,snail,determiners,the,0.64454114
en,nouns,neuter,cat,determiners,the,0.6600952
en,nouns,neuter,spoon,determiners,the,0.65640265
en,nouns,neuter,sock,determiners,the,0.63003206
en,nouns,neuter,bean,determiners,the,0.7135035
en,nouns,neuter,soap,determiners,the,0.68012184
en,nouns,neuter,rock,determiners,the,0.6492525
en,nouns,neuter,toilet,determiners,the,0.58430743
en,nouns,neuter,rain,determiners,the,0.5284891
en,nouns,neuter,underpants,determiners,the,0.65664065
en,nouns,neuter,pants,determiners,the,0.61776763
en,nouns,neuter,tail,determiners,the,0.68869287
en,nouns,neuter,lip,determiners,the,0.69985443
en,nouns,neuter,butterfly,determiners,the,0.60458344
en,nouns,neuter,fish,determiners,the,0.6522463
en,nouns,neuter,boot,determiners,the,0.65944487
en,nouns,neuter,apple,determiners,the,0.6715604
en,nouns,neuter,sun,determiners,the,0.6280785
en,nouns,neuter,diaper,determiners,the,0.7081222
en,nouns,neuter,bumblebee,determiners,the,0.6384683
en,nouns,neuter,frog,determiners,the,0.67533195
en,nouns,neuter,spaghetti,determiners,the,0.47055477
en,nouns,neuter,toothbrush,determiners,the,0.6908259
en,nouns,neuter,pea,determiners,the,0.71469414
en,nouns,neuter,lettuce,determiners,the,0.4684329
en,nouns,neuter,wall,determiners,the,0.5919718
