LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.12039978
en,nouns,neuter,moon,genders,man,0.14095296
en,nouns,neuter,broom,genders,man,0.094217174
en,nouns,neuter,whale,genders,man,0.027033417
en,nouns,neuter,fork,genders,man,0.11371607
en,nouns,neuter,mouse,genders,man,0.15395555
en,nouns,neuter,snail,genders,man,0.13015787
en,nouns,neuter,cat,genders,man,0.23059428
en,nouns,neuter,spoon,genders,man,0.05890084
en,nouns,neuter,sock,genders,man,0.09993529
en,nouns,neuter,bean,genders,man,0.1819387
en,nouns,neuter,soap,genders,man,0.12139213
en,nouns,neuter,rock,genders,man,0.15769824
en,nouns,neuter,toilet,genders,man,0.1556032
en,nouns,neuter,rain,genders,man,0.17100364
en,nouns,neuter,underpants,genders,man,0.07430296
en,nouns,neuter,pants,genders,man,0.09032598
en,nouns,neuter,tail,genders,man,0.12058369
en,nouns,neuter,lip,genders,man,0.10737297
en,nouns,neuter,butterfly,genders,man,0.09449241
en,nouns,neuter,fish,genders,man,0.16543409
en,nouns,neuter,boot,genders,man,0.12416537
en,nouns,neuter,apple,genders,man,0.05385306
en,nouns,neuter,sun,genders,man,0.14166045
en,nouns,neuter,diaper,genders,man,0.14540362
en,nouns,neuter,bumblebee,genders,man,-0.022535924
en,nouns,neuter,frog,genders,man,0.11631524
en,nouns,neuter,spaghetti,genders,man,0.012072198
en,nouns,neuter,toothbrush,genders,man,0.033237908
en,nouns,neuter,pea,genders,man,0.131406
en,nouns,neuter,lettuce,genders,man,0.057001036
en,nouns,neuter,wall,genders,man,0.15675779
en,nouns,neuter,clock,genders,man,0.103015386
en,nouns,neuter,dirt,genders,man,0.1556032
en,nouns,neuter,dresser,genders,man,0.17176647
en,nouns,neuter,sidewalk,genders,man,-0.005770738
en,nouns,neuter,washcloth,genders,man,0.08735718
en,nouns,neuter,stove,genders,man,0.074336536
en,nouns,neuter,tomato,genders,man,0.14000857
en,nouns,neuter,sand,genders,man,0.19156273
en,nouns,neuter,lemon,genders,man,0.10262308
en,nouns,neuter,noodle,genders,man,0.037435655
en,nouns,neuter,box,genders,man,0.18659388
en,nouns,neuter,candy,genders,man,0.108812705
en,nouns,neuter,sandbox,genders,man,0.05271004
en,nouns,neuter,snow,genders,man,0.12918064
en,nouns,neuter,bench,genders,man,0.1599299
en,nouns,neuter,drum,genders,man,0.17608556
en,nouns,neuter,shoulder,genders,man,0.113183126
en,nouns,neuter,table,genders,man,0.16925314
en,nouns,neuter,bowl,genders,man,0.06008842
en,nouns,neuter,pancake,genders,man,0.15129513
en,nouns,neuter,fist,genders,man,0.1433809
en,nouns,neuter,pajamas,genders,man,0.05168182
en,nouns,neuter,button,genders,man,0.075886436
en,nouns,neuter,toast,genders,man,0.1433809
en,nouns,neuter,sponge,genders,man,-0.023757061
en,nouns,neuter,couch,genders,man,0.08644405
en,nouns,neuter,cage,genders,man,0.08238958
en,nouns,neuter,mattress,genders,man,0.016063962
en,nouns,neuter,seesaw,genders,man,0.05692781
en,nouns,neuter,necklace,genders,man,-0.05974731
en,nouns,neuter,melon,genders,man,0.09256949
en,nouns,neuter,ladybug,genders,man,0.13755502
en,nouns,neuter,pumpkin,genders,man,0.12421036
en,nouns,neuter,star,genders,man,0.1965864
en,nouns,neuter,pinecone,genders,man,-0.010779409
en,nouns,neuter,stripe,genders,man,0.16948752
en,nouns,neuter,plane,genders,man,0.20152263
en,nouns,neuter,chair,genders,man,0.11143937
en,nouns,neuter,chest,genders,man,0.10122385
en,nouns,neuter,movie,genders,man,0.1777966
en,nouns,neuter,wing,genders,man,0.14122693
en,nouns,neuter,ceiling,genders,man,0.10453737
en,nouns,neuter,barn,genders,man,0.17127666
en,nouns,neuter,burger,genders,man,0.07092491
en,nouns,neuter,peanut,genders,man,-0.033425413
en,nouns,neuter,fingernail,genders,man,0.097695686
en,nouns,neuter,head,genders,man,0.1981111
en,nouns,neuter,key,genders,man,0.12522265
en,nouns,neuter,bridge,genders,man,0.13108097
en,nouns,neuter,belly,genders,man,0.108812705
en,nouns,neuter,toaster,genders,woman,0.07836828
en,nouns,neuter,moon,genders,woman,0.22852415
en,nouns,neuter,broom,genders,woman,-0.021475514
en,nouns,neuter,whale,genders,woman,0.11598632
en,nouns,neuter,fork,genders,woman,0.0708921
en,nouns,neuter,mouse,genders,woman,0.2665054
en,nouns,neuter,snail,genders,woman,0.22823763
en,nouns,neuter,cat,genders,woman,0.16230193
en,nouns,neuter,spoon,genders,woman,0.070070624
en,nouns,neuter,sock,genders,woman,0.061121535
en,nouns,neuter,bean,genders,woman,0.06684849
en,nouns,neuter,soap,genders,woman,0.20384052
en,nouns,neuter,rock,genders,woman,0.18324164
en,nouns,neuter,toilet,genders,woman,0.03063788
en,nouns,neuter,rain,genders,woman,0.171431
en,nouns,neuter,underpants,genders,woman,-0.0024965922
en,nouns,neuter,pants,genders,woman,0.015714131
en,nouns,neuter,tail,genders,woman,0.14633615
en,nouns,neuter,lip,genders,woman,0.034489702
en,nouns,neuter,butterfly,genders,woman,0.22505328
en,nouns,neuter,fish,genders,woman,0.20343244
en,nouns,neuter,boot,genders,woman,0.11110787
en,nouns,neuter,apple,genders,woman,0.019075278
en,nouns,neuter,sun,genders,woman,0.1558918
