LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,-0.023321457
en,nouns,neuter,moon,genders,man,1.0000001
en,nouns,neuter,broom,genders,man,0.018534802
en,nouns,neuter,whale,genders,man,0.021430206
en,nouns,neuter,fork,genders,man,0.0071332846
en,nouns,neuter,mouse,genders,man,1.0000001
en,nouns,neuter,snail,genders,man,1.0000001
en,nouns,neuter,cat,genders,man,1.0000001
en,nouns,neuter,spoon,genders,man,-0.007067546
en,nouns,neuter,sock,genders,man,-0.015730917
en,nouns,neuter,bean,genders,man,-0.0140077
en,nouns,neuter,soap,genders,man,1.0000001
en,nouns,neuter,rock,genders,man,1.0000001
en,nouns,neuter,toilet,genders,man,-0.00033498742
en,nouns,neuter,rain,genders,man,1.0000001
en,nouns,neuter,underpants,genders,man,-0.009063178
en,nouns,neuter,pants,genders,man,0.0037036033
en,nouns,neuter,tail,genders,man,1.0000001
en,nouns,neuter,lip,genders,man,-0.0045082136
en,nouns,neuter,butterfly,genders,man,1.0000001
en,nouns,neuter,fish,genders,man,1.0000001
en,nouns,neuter,boot,genders,man,1.0000001
en,nouns,neuter,apple,genders,man,-0.0072401976
en,nouns,neuter,sun,genders,man,1.0000001
en,nouns,neuter,diaper,genders,man,-0.01676048
en,nouns,neuter,bumblebee,genders,man,-0.012308692
en,nouns,neuter,frog,genders,man,-0.022530906
en,nouns,neuter,spaghetti,genders,man,-0.025195401
en,nouns,neuter,toothbrush,genders,man,0.01242918
en,nouns,neuter,pea,genders,man,-0.020375071
en,nouns,neuter,lettuce,genders,man,0.013042214
en,nouns,neuter,wall,genders,man,1.0000001
en,nouns,neuter,clock,genders,man,1.0000001
en,nouns,neuter,dirt,genders,man,-0.0010178026
en,nouns,neuter,dresser,genders,man,-0.033436663
en,nouns,neuter,sidewalk,genders,man,-0.014419811
en,nouns,neuter,washcloth,genders,man,0.013462469
en,nouns,neuter,stove,genders,man,0.034275524
en,nouns,neuter,tomato,genders,man,0.03217713
en,nouns,neuter,sand,genders,man,1.0000001
en,nouns,neuter,lemon,genders,man,-0.01478959
en,nouns,neuter,noodle,genders,man,0.0044026724
en,nouns,neuter,box,genders,man,1.0000001
en,nouns,neuter,candy,genders,man,-0.02050356
en,nouns,neuter,sandbox,genders,man,-0.00877682
en,nouns,neuter,snow,genders,man,1.0000001
en,nouns,neuter,bench,genders,man,1.0000001
en,nouns,neuter,drum,genders,man,1.0000001
en,nouns,neuter,shoulder,genders,man,1.0000001
en,nouns,neuter,table,genders,man,1.0000001
en,nouns,neuter,bowl,genders,man,1.0000001
en,nouns,neuter,pancake,genders,man,0.0016594146
en,nouns,neuter,fist,genders,man,-0.029211879
en,nouns,neuter,pajamas,genders,man,0.022617178
en,nouns,neuter,button,genders,man,0.0040199743
en,nouns,neuter,toast,genders,man,-0.023321457
en,nouns,neuter,sponge,genders,man,-0.007067546
en,nouns,neuter,couch,genders,man,-0.023403626
en,nouns,neuter,cage,genders,man,-0.01218608
en,nouns,neuter,mattress,genders,man,-0.013441293
en,nouns,neuter,seesaw,genders,man,-0.0048517357
en,nouns,neuter,necklace,genders,man,0.011979839
en,nouns,neuter,melon,genders,man,-0.024064366
en,nouns,neuter,ladybug,genders,man,-0.02631453
en,nouns,neuter,pumpkin,genders,man,-0.0032614763
en,nouns,neuter,star,genders,man,1.0000001
en,nouns,neuter,pinecone,genders,man,-0.010863525
en,nouns,neuter,stripe,genders,man,-0.014654545
en,nouns,neuter,plane,genders,man,1.0000001
en,nouns,neuter,chair,genders,man,1.0000001
en,nouns,neuter,chest,genders,man,1.0000001
en,nouns,neuter,movie,genders,man,1.0000001
en,nouns,neuter,wing,genders,man,1.0000001
en,nouns,neuter,ceiling,genders,man,1.0000001
en,nouns,neuter,barn,genders,man,1.0000001
en,nouns,neuter,burger,genders,man,-0.01898795
en,nouns,neuter,peanut,genders,man,-0.020375071
en,nouns,neuter,fingernail,genders,man,-0.018032435
en,nouns,neuter,head,genders,man,1.0000001
en,nouns,neuter,key,genders,man,1.0000001
en,nouns,neuter,bridge,genders,man,1.0000001
en,nouns,neuter,belly,genders,man,-0.0089994
en,nouns,neuter,toaster,genders,woman,-0.023321457
en,nouns,neuter,moon,genders,woman,1.0000001
en,nouns,neuter,broom,genders,woman,0.018534802
en,nouns,neuter,whale,genders,woman,0.021430206
en,nouns,neuter,fork,genders,woman,0.0071332846
en,nouns,neuter,mouse,genders,woman,1.0000001
en,nouns,neuter,snail,genders,woman,1.0000001
en,nouns,neuter,cat,genders,woman,1.0000001
en,nouns,neuter,spoon,genders,woman,-0.007067546
en,nouns,neuter,sock,genders,woman,-0.015730917
en,nouns,neuter,bean,genders,woman,-0.0140077
en,nouns,neuter,soap,genders,woman,1.0000001
en,nouns,neuter,rock,genders,woman,1.0000001
en,nouns,neuter,toilet,genders,woman,-0.00033498742
en,nouns,neuter,rain,genders,woman,1.0000001
en,nouns,neuter,underpants,genders,woman,-0.009063178
en,nouns,neuter,pants,genders,woman,0.0037036033
en,nouns,neuter,tail,genders,woman,1.0000001
en,nouns,neuter,lip,genders,woman,-0.0045082136
en,nouns,neuter,butterfly,genders,woman,1.0000001
en,nouns,neuter,fish,genders,woman,1.0000001
en,nouns,neuter,boot,genders,woman,1.0000001
en,nouns,neuter,apple,genders,woman,-0.0072401976
en,nouns,neuter,sun,genders,woman,1.0000001
en,nouns,neuter,diaper,genders,woman,-0.01676048
en,nouns,neuter,bumblebee,genders,woman,-0.012308692
en,nouns,neuter,frog,genders,woman,-0.022530906
en,nouns,neuter,spaghetti,genders,woman,-0.025195401
en,nouns,neuter,toothbrush,genders,woman,0.01242918
en,nouns,neuter,pea,genders,woman,-0.020375071
en,nouns,neuter,lettuce,genders,woman,0.013042214
en,nouns,neuter,wall,genders,woman,1.0000001
en,nouns,neuter,clock,genders,woman,1.0000001
en,nouns,neuter,dirt,genders,woman,-0.0010178026
en,nouns,neuter,dresser,genders,woman,-0.033436663
en,nouns,neuter,sidewalk,genders,woman,-0.014419811
en,nouns,neuter,washcloth,genders,woman,0.013462469
en,nouns,neuter,stove,genders,woman,0.034275524
en,nouns,neuter,tomato,genders,woman,0.03217713
en,nouns,neuter,sand,genders,woman,1.0000001
en,nouns,neuter,lemon,genders,woman,-0.01478959
en,nouns,neuter,noodle,genders,woman,0.0044026724
en,nouns,neuter,box,genders,woman,1.0000001
en,nouns,neuter,candy,genders,woman,-0.02050356
en,nouns,neuter,sandbox,genders,woman,-0.00877682
en,nouns,neuter,snow,genders,woman,1.0000001
en,nouns,neuter,bench,genders,woman,1.0000001
en,nouns,neuter,drum,genders,woman,1.0000001
en,nouns,neuter,shoulder,genders,woman,1.0000001
en,nouns,neuter,table,genders,woman,1.0000001
en,nouns,neuter,bowl,genders,woman,1.0000001
en,nouns,neuter,pancake,genders,woman,0.0016594146
en,nouns,neuter,fist,genders,woman,-0.029211879
en,nouns,neuter,pajamas,genders,woman,0.022617178
en,nouns,neuter,button,genders,woman,0.0040199743
en,nouns,neuter,toast,genders,woman,-0.023321457
en,nouns,neuter,sponge,genders,woman,-0.007067546
en,nouns,neuter,couch,genders,woman,-0.023403626
en,nouns,neuter,cage,genders,woman,-0.01218608
en,nouns,neuter,mattress,genders,woman,-0.013441293
en,nouns,neuter,seesaw,genders,woman,-0.0048517357
en,nouns,neuter,necklace,genders,woman,0.011979839
en,nouns,neuter,melon,genders,woman,-0.024064366
en,nouns,neuter,ladybug,genders,woman,-0.02631453
en,nouns,neuter,pumpkin,genders,woman,-0.0032614763
en,nouns,neuter,star,genders,woman,1.0000001
en,nouns,neuter,pinecone,genders,woman,-0.010863525
en,nouns,neuter,stripe,genders,woman,-0.014654545
en,nouns,neuter,plane,genders,woman,1.0000001
en,nouns,neuter,chair,genders,woman,1.0000001
en,nouns,neuter,chest,genders,woman,1.0000001
en,nouns,neuter,movie,genders,woman,1.0000001
en,nouns,neuter,wing,genders,woman,1.0000001
en,nouns,neuter,ceiling,genders,woman,1.0000001
en,nouns,neuter,barn,genders,woman,1.0000001
en,nouns,neuter,burger,genders,woman,-0.01898795
en,nouns,neuter,peanut,genders,woman,-0.020375071
en,nouns,neuter,fingernail,genders,woman,-0.018032435
en,nouns,neuter,head,genders,woman,1.0000001
en,nouns,neuter,key,genders,woman,1.0000001
en,nouns,neuter,bridge,genders,woman,1.0000001
en,nouns,neuter,belly,genders,woman,-0.0089994
en,nouns,neuter,toaster,determiners,the,-0.023321457
en,nouns,neuter,moon,determiners,the,1.0000001
en,nouns,neuter,broom,determiners,the,0.018534802
en,nouns,neuter,whale,determiners,the,0.021430206
en,nouns,neuter,fork,determiners,the,0.0071332846
en,nouns,neuter,mouse,determiners,the,1.0000001
en,nouns,neuter,snail,determiners,the,1.0000001
en,nouns,neuter,cat,determiners,the,1.0000001
en,nouns,neuter,spoon,determiners,the,-0.007067546
en,nouns,neuter,sock,determiners,the,-0.015730917
en,nouns,neuter,bean,determiners,the,-0.0140077
en,nouns,neuter,soap,determiners,the,1.0000001
en,nouns,neuter,rock,determiners,the,1.0000001
en,nouns,neuter,toilet,determiners,the,-0.00033498742
en,nouns,neuter,rain,determiners,the,1.0000001
en,nouns,neuter,underpants,determiners,the,-0.009063178
en,nouns,neuter,pants,determiners,the,0.0037036033
en,nouns,neuter,tail,determiners,the,1.0000001
en,nouns,neuter,lip,determiners,the,-0.0045082136
en,nouns,neuter,butterfly,determiners,the,1.0000001
en,nouns,neuter,fish,determiners,the,1.0000001
en,nouns,neuter,boot,determiners,the,1.0000001
en,nouns,neuter,apple,determiners,the,-0.0072401976
en,nouns,neuter,sun,determiners,the,1.0000001
en,nouns,neuter,diaper,determiners,the,-0.01676048
en,nouns,neuter,bumblebee,determiners,the,-0.012308692
en,nouns,neuter,frog,determiners,the,-0.022530906
en,nouns,neuter,spaghetti,determiners,the,-0.025195401
en,nouns,neuter,toothbrush,determiners,the,0.01242918
en,nouns,neuter,pea,determiners,the,-0.020375071
en,nouns,neuter,lettuce,determiners,the,0.013042214
en,nouns,neuter,wall,determiners,the,1.0000001
en,nouns,neuter,clock,determiners,the,1.0000001
en,nouns,neuter,dirt,determiners,the,-0.0010178026
en,nouns,neuter,dresser,determiners,the,-0.033436663
en,nouns,neuter,sidewalk,determiners,the,-0.014419811
en,nouns,neuter,washcloth,determiners,the,0.013462469
en,nouns,neuter,stove,determiners,the,0.034275524
en,nouns,neuter,tomato,determiners,the,0.03217713
en,nouns,neuter,sand,determiners,the,1.0000001
en,nouns,neuter,lemon,determiners,the,-0.01478959
en,nouns,neuter,noodle,determiners,the,0.0044026724
en,nouns,neuter,box,determiners,the,1.0000001
en,nouns,neuter,candy,determiners,the,-0.02050356
en,nouns,neuter,sandbox,determiners,the,-0.00877682
en,nouns,neuter,snow,determiners,the,1.0000001
en,nouns,neuter,bench,determiners,the,1.0000001
en,nouns,neuter,drum,determiners,the,1.0000001
en,nouns,neuter,shoulder,determiners,the,1.0000001
en,nouns,neuter,table,determiners,the,1.0000001
en,nouns,neuter,bowl,determiners,the,1.0000001
en,nouns,neuter,pancake,determiners,the,0.0016594146
en,nouns,neuter,fist,determiners,the,-0.029211879
en,nouns,neuter,pajamas,determiners,the,0.022617178
en,nouns,neuter,button,determiners,the,0.0040199743
en,nouns,neuter,toast,determiners,the,-0.023321457
en,nouns,neuter,sponge,determiners,the,-0.007067546
en,nouns,neuter,couch,determiners,the,-0.023403626
en,nouns,neuter,cage,determiners,the,-0.01218608
en,nouns,neuter,mattress,determiners,the,-0.013441293
en,nouns,neuter,seesaw,determiners,the,-0.0048517357
en,nouns,neuter,necklace,determiners,the,0.011979839
en,nouns,neuter,melon,determiners,the,-0.024064366
en,nouns,neuter,ladybug,determiners,the,-0.02631453
en,nouns,neuter,pumpkin,determiners,the,-0.0032614763
en,nouns,neuter,star,determiners,the,1.0000001
en,nouns,neuter,pinecone,determiners,the,-0.010863525
en,nouns,neuter,stripe,determiners,the,-0.014654545
en,nouns,neuter,plane,determiners,the,1.0000001
en,nouns,neuter,chair,determiners,the,1.0000001
en,nouns,neuter,chest,determiners,the,1.0000001
en,nouns,neuter,movie,determiners,the,1.0000001
en,nouns,neuter,wing,determiners,the,1.0000001
en,nouns,neuter,ceiling,determiners,the,1.0000001
en,nouns,neuter,barn,determiners,the,1.0000001
en,nouns,neuter,burger,determiners,the,-0.01898795
en,nouns,neuter,peanut,determiners,the,-0.020375071
en,nouns,neuter,fingernail,determiners,the,-0.018032435
en,nouns,neuter,head,determiners,the,1.0000001
en,nouns,neuter,key,determiners,the,1.0000001
en,nouns,neuter,bridge,determiners,the,1.0000001
en,nouns,neuter,belly,determiners,the,-0.0089994
en,adjectives,masculine,young,genders,man,1.0000001
en,adjectives,masculine,bald-headed,genders,man,-0.008399074
en,adjectives,masculine,heavyset,genders,man,-0.016825246
en,adjectives,masculine,bearded,genders,man,2.3664192e-05
en,adjectives,masculine,middle-aged,genders,man,-0.008399074
en,adjectives,masculine,handsome,genders,man,0.0053611277
en,adjectives,masculine,white-haired,genders,man,0.009453441
en,adjectives,masculine,virile,genders,man,0.016430058
en,adjectives,masculine,well-dressed,genders,man,-0.008399074
en,adjectives,masculine,burly,genders,man,-0.01898795
en,adjectives,masculine,bastard,genders,man,-0.022703752
en,adjectives,masculine,manlike,genders,man,-0.0294808
en,adjectives,masculine,manly,genders,man,-0.0294808
en,adjectives,masculine,rascal,genders,man,0.0029332999
en,adjectives,masculine,God-fearing,genders,man,-0.017171066
en,adjectives,masculine,dark-haired,genders,man,0.009453441
en,adjectives,masculine,full-bearded,genders,man,-0.0054865354
en,adjectives,masculine,portly,genders,man,-0.014422997
en,adjectives,masculine,one-eyed,genders,man,-0.012056034
en,adjectives,masculine,good-looking,genders,man,-0.008399074
en,adjectives,masculine,male,genders,man,1.0000001
en,adjectives,masculine,broad-shouldered,genders,man,-0.017119031
en,adjectives,masculine,beast,genders,man,-0.0140077
en,adjectives,masculine,youngish,genders,man,-0.01909582
en,adjectives,masculine,grey-haired,genders,man,0.009453441
en,adjectives,masculine,bespectacled,genders,man,0.024367563
en,adjectives,masculine,goateed,genders,man,-0.0119871795
en,adjectives,masculine,balding,genders,man,-0.009404844
en,adjectives,masculine,bull-necked,genders,man,0.007378087
en,adjectives,masculine,lantern-jawed,genders,man,-0.003024312
en,adjectives,masculine,sixtyish,genders,man,-0.0022388592
en,adjectives,masculine,fine-looking,genders,man,-0.008399074
en,adjectives,masculine,assailant,genders,man,0.03286103
en,adjectives,masculine,kind-hearted,genders,man,-0.024107805
en,adjectives,masculine,silver-haired,genders,man,0.009453441
en,adjectives,masculine,dapper,genders,man,-0.005556906
en,adjectives,masculine,black-haired,genders,man,0.009453441
en,adjectives,masculine,hunky,genders,man,-0.015478945
en,adjectives,masculine,lion-hearted,genders,man,-0.024107805
en,adjectives,masculine,septuagenarian,genders,man,0.0029514052
en,adjectives,masculine,schoolboy,genders,man,-0.020407619
en,adjectives,masculine,studly,genders,man,-0.013808678
en,adjectives,masculine,self-made,genders,man,-0.008399074
en,adjectives,masculine,red-haired,genders,man,0.009453441
en,adjectives,masculine,reverend,genders,man,-0.016535496
en,adjectives,masculine,beer-bellied,genders,man,-0.029443232
en,adjectives,masculine,ginger-haired,genders,man,0.010792011
en,adjectives,masculine,moustached,genders,man,0.02581086
en,adjectives,masculine,thick-set,genders,man,-0.008399074
en,adjectives,masculine,coward,genders,man,-0.023403626
