LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.16596456
en,nouns,neuter,moon,genders,man,0.14095296
en,nouns,neuter,broom,genders,man,0.18869649
en,nouns,neuter,whale,genders,man,0.14503947
en,nouns,neuter,fork,genders,man,0.24841471
en,nouns,neuter,mouse,genders,man,0.15395555
en,nouns,neuter,snail,genders,man,0.13015787
en,nouns,neuter,cat,genders,man,0.23059428
en,nouns,neuter,spoon,genders,man,0.18093474
en,nouns,neuter,sock,genders,man,0.24812257
en,nouns,neuter,bean,genders,man,0.27907735
en,nouns,neuter,soap,genders,man,0.12139213
en,nouns,neuter,rock,genders,man,0.15769824
en,nouns,neuter,toilet,genders,man,0.16277468
en,nouns,neuter,rain,genders,man,0.17100364
en,nouns,neuter,underpants,genders,man,0.22324629
en,nouns,neuter,pants,genders,man,0.2488423
en,nouns,neuter,tail,genders,man,0.12058369
en,nouns,neuter,lip,genders,man,0.19024697
en,nouns,neuter,butterfly,genders,man,0.09449241
en,nouns,neuter,fish,genders,man,0.16543409
en,nouns,neuter,boot,genders,man,0.12416537
en,nouns,neuter,apple,genders,man,0.14930569
en,nouns,neuter,sun,genders,man,0.14166045
en,nouns,neuter,diaper,genders,man,0.23077701
en,nouns,neuter,bumblebee,genders,man,0.07649876
en,nouns,neuter,frog,genders,man,0.2657177
en,nouns,neuter,spaghetti,genders,man,0.11619052
en,nouns,neuter,toothbrush,genders,man,0.09537389
en,nouns,neuter,pea,genders,man,0.1962409
en,nouns,neuter,lettuce,genders,man,0.14285414
en,nouns,neuter,wall,genders,man,0.15675779
en,nouns,neuter,clock,genders,man,0.103015386
en,nouns,neuter,dirt,genders,man,0.20461373
en,nouns,neuter,dresser,genders,man,0.2559269
en,nouns,neuter,sidewalk,genders,man,0.13489756
en,nouns,neuter,washcloth,genders,man,0.16091466
en,nouns,neuter,stove,genders,man,0.17471176
en,nouns,neuter,tomato,genders,man,0.2192888
en,nouns,neuter,sand,genders,man,0.19156273
en,nouns,neuter,lemon,genders,man,0.23352341
en,nouns,neuter,noodle,genders,man,0.17552353
en,nouns,neuter,box,genders,man,0.18659388
en,nouns,neuter,candy,genders,man,0.1647106
en,nouns,neuter,sandbox,genders,man,0.16587588
en,nouns,neuter,snow,genders,man,0.12918064
en,nouns,neuter,bench,genders,man,0.1599299
en,nouns,neuter,drum,genders,man,0.17608556
en,nouns,neuter,shoulder,genders,man,0.113183126
en,nouns,neuter,table,genders,man,0.16925314
en,nouns,neuter,bowl,genders,man,0.06008842
en,nouns,neuter,pancake,genders,man,0.22890802
en,nouns,neuter,fist,genders,man,0.24070686
en,nouns,neuter,pajamas,genders,man,0.08873948
en,nouns,neuter,button,genders,man,0.21260327
en,nouns,neuter,toast,genders,man,0.1803549
en,nouns,neuter,sponge,genders,man,0.12467259
en,nouns,neuter,couch,genders,man,0.2642101
en,nouns,neuter,cage,genders,man,0.22889929
en,nouns,neuter,mattress,genders,man,0.19272035
en,nouns,neuter,seesaw,genders,man,0.12814094
en,nouns,neuter,necklace,genders,man,0.058498938
en,nouns,neuter,melon,genders,man,0.22500817
en,nouns,neuter,ladybug,genders,man,0.24378867
en,nouns,neuter,pumpkin,genders,man,0.14461517
en,nouns,neuter,star,genders,man,0.1965864
en,nouns,neuter,pinecone,genders,man,0.07468274
en,nouns,neuter,stripe,genders,man,0.19847159
en,nouns,neuter,plane,genders,man,0.20152263
en,nouns,neuter,chair,genders,man,0.11143937
en,nouns,neuter,chest,genders,man,0.10122385
en,nouns,neuter,movie,genders,man,0.1777966
en,nouns,neuter,wing,genders,man,0.14122693
en,nouns,neuter,ceiling,genders,man,0.10453737
en,nouns,neuter,barn,genders,man,0.17127666
en,nouns,neuter,burger,genders,man,0.17859034
en,nouns,neuter,peanut,genders,man,0.081110656
en,nouns,neuter,fingernail,genders,man,0.13260126
en,nouns,neuter,head,genders,man,0.1981111
en,nouns,neuter,key,genders,man,0.12522265
en,nouns,neuter,bridge,genders,man,0.13108097
en,nouns,neuter,belly,genders,man,0.1896833
en,nouns,neuter,toaster,genders,woman,0.14359614
en,nouns,neuter,moon,genders,woman,0.22852415
en,nouns,neuter,broom,genders,woman,0.056246303
en,nouns,neuter,whale,genders,woman,0.1808401
en,nouns,neuter,fork,genders,woman,0.1404111
en,nouns,neuter,mouse,genders,woman,0.2665054
en,nouns,neuter,snail,genders,woman,0.22823763
en,nouns,neuter,cat,genders,woman,0.16230193
en,nouns,neuter,spoon,genders,woman,0.14777987
en,nouns,neuter,sock,genders,woman,0.11312362
en,nouns,neuter,bean,genders,woman,0.15970302
en,nouns,neuter,soap,genders,woman,0.20384052
en,nouns,neuter,rock,genders,woman,0.18324164
en,nouns,neuter,toilet,genders,woman,0.13686636
en,nouns,neuter,rain,genders,woman,0.171431
en,nouns,neuter,underpants,genders,woman,0.09185849
en,nouns,neuter,pants,genders,woman,0.10649956
en,nouns,neuter,tail,genders,woman,0.14633615
en,nouns,neuter,lip,genders,woman,0.11026303
en,nouns,neuter,butterfly,genders,woman,0.22505328
en,nouns,neuter,fish,genders,woman,0.20343244
en,nouns,neuter,boot,genders,woman,0.11110787
en,nouns,neuter,apple,genders,woman,0.11552165
en,nouns,neuter,sun,genders,woman,0.1558918
en,nouns,neuter,diaper,genders,woman,0.13991912
en,nouns,neuter,bumblebee,genders,woman,0.10814908
en,nouns,neuter,frog,genders,woman,0.12941787
en,nouns,neuter,spaghetti,genders,woman,0.1357033
en,nouns,neuter,toothbrush,genders,woman,0.12628974
en,nouns,neuter,pea,genders,woman,0.15947828
en,nouns,neuter,lettuce,genders,woman,0.14326638
en,nouns,neuter,wall,genders,woman,0.24592908
en,nouns,neuter,clock,genders,woman,0.1472301
en,nouns,neuter,dirt,genders,woman,0.11116034
en,nouns,neuter,dresser,genders,woman,0.2555477
en,nouns,neuter,sidewalk,genders,woman,0.19171868
en,nouns,neuter,washcloth,genders,woman,0.14406776
en,nouns,neuter,stove,genders,woman,0.17084476
en,nouns,neuter,tomato,genders,woman,0.09453532
en,nouns,neuter,sand,genders,woman,0.14471018
en,nouns,neuter,lemon,genders,woman,0.12168215
en,nouns,neuter,noodle,genders,woman,0.079517595
en,nouns,neuter,box,genders,woman,0.16785869
en,nouns,neuter,candy,genders,woman,0.19033498
en,nouns,neuter,sandbox,genders,woman,0.13961092
en,nouns,neuter,snow,genders,woman,0.18323044
en,nouns,neuter,bench,genders,woman,0.16371635
en,nouns,neuter,drum,genders,woman,0.08049863
en,nouns,neuter,shoulder,genders,woman,0.25957042
en,nouns,neuter,table,genders,woman,0.14221281
en,nouns,neuter,bowl,genders,woman,0.15616879
en,nouns,neuter,pancake,genders,woman,0.08258554
en,nouns,neuter,fist,genders,woman,0.119024724
en,nouns,neuter,pajamas,genders,woman,0.084203295
en,nouns,neuter,button,genders,woman,0.10797603
en,nouns,neuter,toast,genders,woman,0.12163533
en,nouns,neuter,sponge,genders,woman,0.105856664
en,nouns,neuter,couch,genders,woman,0.18512307
en,nouns,neuter,cage,genders,woman,0.14519359
en,nouns,neuter,mattress,genders,woman,0.24353918
en,nouns,neuter,seesaw,genders,woman,0.17421623
en,nouns,neuter,necklace,genders,woman,0.19281459
en,nouns,neuter,melon,genders,woman,0.13963504
en,nouns,neuter,ladybug,genders,woman,0.31060502
en,nouns,neuter,pumpkin,genders,woman,0.13381882
en,nouns,neuter,star,genders,woman,0.19639537
en,nouns,neuter,pinecone,genders,woman,0.11155277
en,nouns,neuter,stripe,genders,woman,0.13045338
en,nouns,neuter,plane,genders,woman,0.15118887
en,nouns,neuter,chair,genders,woman,0.23681313
en,nouns,neuter,chest,genders,woman,0.13057718
en,nouns,neuter,movie,genders,woman,0.2451105
en,nouns,neuter,wing,genders,woman,0.1640086
en,nouns,neuter,ceiling,genders,woman,0.2304691
en,nouns,neuter,barn,genders,woman,0.20316976
en,nouns,neuter,burger,genders,woman,0.14250621
en,nouns,neuter,peanut,genders,woman,0.14826936
en,nouns,neuter,fingernail,genders,woman,0.13611045
en,nouns,neuter,head,genders,woman,0.25076956
en,nouns,neuter,key,genders,woman,0.15847103
en,nouns,neuter,bridge,genders,woman,0.21932746
en,nouns,neuter,belly,genders,woman,0.16872334
en,nouns,neuter,toaster,determiners,the,0.14661339
en,nouns,neuter,moon,determiners,the,0.12987399
en,nouns,neuter,broom,determiners,the,0.19296433
en,nouns,neuter,whale,determiners,the,0.27557817
en,nouns,neuter,fork,determiners,the,0.4226812
en,nouns,neuter,mouse,determiners,the,0.10796478
en,nouns,neuter,snail,determiners,the,0.04846692
en,nouns,neuter,cat,determiners,the,0.17877144
en,nouns,neuter,spoon,determiners,the,0.21344253
en,nouns,neuter,sock,determiners,the,0.2516274
en,nouns,neuter,bean,determiners,the,0.3200196
en,nouns,neuter,soap,determiners,the,0.07710405
en,nouns,neuter,rock,determiners,the,0.1947597
en,nouns,neuter,toilet,determiners,the,0.2092087
en,nouns,neuter,rain,determiners,the,0.18433489
en,nouns,neuter,underpants,determiners,the,0.25158787
en,nouns,neuter,pants,determiners,the,0.20124322
en,nouns,neuter,tail,determiners,the,0.12920618
en,nouns,neuter,lip,determiners,the,0.2703473
en,nouns,neuter,butterfly,determiners,the,0.08826935
en,nouns,neuter,fish,determiners,the,0.18496615
en,nouns,neuter,boot,determiners,the,0.14531606
en,nouns,neuter,apple,determiners,the,0.2435893
en,nouns,neuter,sun,determiners,the,0.14691615
en,nouns,neuter,diaper,determiners,the,0.20586166
en,nouns,neuter,bumblebee,determiners,the,0.16314864
en,nouns,neuter,frog,determiners,the,0.17740883
en,nouns,neuter,spaghetti,determiners,the,0.14417492
en,nouns,neuter,toothbrush,determiners,the,0.21970251
en,nouns,neuter,pea,determiners,the,0.29653254
en,nouns,neuter,lettuce,determiners,the,0.15624127
en,nouns,neuter,wall,determiners,the,0.15243782
en,nouns,neuter,clock,determiners,the,0.116772085
en,nouns,neuter,dirt,determiners,the,0.21361439
en,nouns,neuter,dresser,determiners,the,0.2448282
en,nouns,neuter,sidewalk,determiners,the,0.18398409
en,nouns,neuter,washcloth,determiners,the,0.3441504
en,nouns,neuter,stove,determiners,the,0.23430601
en,nouns,neuter,tomato,determiners,the,0.19432695
en,nouns,neuter,sand,determiners,the,0.15224361
en,nouns,neuter,lemon,determiners,the,0.288136
en,nouns,neuter,noodle,determiners,the,0.3092912
en,nouns,neuter,box,determiners,the,0.1189011
en,nouns,neuter,candy,determiners,the,0.24291363
en,nouns,neuter,sandbox,determiners,the,0.13205007
en,nouns,neuter,snow,determiners,the,0.12510312
