LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.53028953
en,nouns,neuter,moon,genders,man,1.0000001
en,nouns,neuter,broom,genders,man,0.5615912
en,nouns,neuter,whale,genders,man,0.60828644
en,nouns,neuter,fork,genders,man,0.59406817
en,nouns,neuter,mouse,genders,man,1.0000001
en,nouns,neuter,snail,genders,man,1.0000001
en,nouns,neuter,cat,genders,man,1.0000001
en,nouns,neuter,spoon,genders,man,0.5626024
en,nouns,neuter,sock,genders,man,0.5562785
en,nouns,neuter,bean,genders,man,0.57031983
en,nouns,neuter,soap,genders,man,1.0000001
en,nouns,neuter,rock,genders,man,1.0000001
en,nouns,neuter,toilet,genders,man,0.54510814
en,nouns,neuter,rain,genders,man,1.0000001
en,nouns,neuter,underpants,genders,man,0.43457565
en,nouns,neuter,pants,genders,man,0.5613498
en,nouns,neuter,tail,genders,man,1.0000001
en,nouns,neuter,lip,genders,man,0.55836266
en,nouns,neuter,butterfly,genders,man,1.0000001
en,nouns,neuter,fish,genders,man,1.0000001
en,nouns,neuter,boot,genders,man,1.0000001
en,nouns,neuter,apple,genders,man,0.5510975
en,nouns,neuter,sun,genders,man,1.0000001
en,nouns,neuter,diaper,genders,man,0.54350185
en,nouns,neuter,bumblebee,genders,man,0.3911192
en,nouns,neuter,frog,genders,man,0.5277851
en,nouns,neuter,spaghetti,genders,man,0.39311522
en,nouns,neuter,toothbrush,genders,man,0.34396046
en,nouns,neuter,pea,genders,man,0.5580747
en,nouns,neuter,lettuce,genders,man,0.5560211
en,nouns,neuter,wall,genders,man,1.0000001
en,nouns,neuter,clock,genders,man,1.0000001
en,nouns,neuter,dirt,genders,man,0.5330698
en,nouns,neuter,dresser,genders,man,0.52872604
en,nouns,neuter,sidewalk,genders,man,0.541018
en,nouns,neuter,washcloth,genders,man,0.35743165
en,nouns,neuter,stove,genders,man,0.571439
en,nouns,neuter,tomato,genders,man,0.56901455
en,nouns,neuter,sand,genders,man,1.0000001
en,nouns,neuter,lemon,genders,man,0.5780465
en,nouns,neuter,noodle,genders,man,0.4117177
en,nouns,neuter,box,genders,man,1.0000001
en,nouns,neuter,candy,genders,man,0.5220772
en,nouns,neuter,sandbox,genders,man,0.5432883
en,nouns,neuter,snow,genders,man,1.0000001
en,nouns,neuter,bench,genders,man,1.0000001
en,nouns,neuter,drum,genders,man,1.0000001
en,nouns,neuter,shoulder,genders,man,1.0000001
en,nouns,neuter,table,genders,man,1.0000001
en,nouns,neuter,bowl,genders,man,1.0000001
en,nouns,neuter,pancake,genders,man,0.4115435
en,nouns,neuter,fist,genders,man,0.5277291
en,nouns,neuter,pajamas,genders,man,0.5463516
en,nouns,neuter,button,genders,man,0.57676023
en,nouns,neuter,toast,genders,man,0.53028953
en,nouns,neuter,sponge,genders,man,0.5626024
en,nouns,neuter,couch,genders,man,0.54333067
en,nouns,neuter,cage,genders,man,0.5502643
en,nouns,neuter,mattress,genders,man,0.5453615
en,nouns,neuter,seesaw,genders,man,0.5371227
en,nouns,neuter,necklace,genders,man,0.55874646
en,nouns,neuter,melon,genders,man,0.5470483
en,nouns,neuter,ladybug,genders,man,0.3856022
en,nouns,neuter,pumpkin,genders,man,0.5480312
en,nouns,neuter,star,genders,man,1.0000001
en,nouns,neuter,pinecone,genders,man,0.53672945
en,nouns,neuter,stripe,genders,man,0.5330131
en,nouns,neuter,plane,genders,man,1.0000001
en,nouns,neuter,chair,genders,man,1.0000001
en,nouns,neuter,chest,genders,man,1.0000001
en,nouns,neuter,movie,genders,man,1.0000001
en,nouns,neuter,wing,genders,man,1.0000001
en,nouns,neuter,ceiling,genders,man,1.0000001
en,nouns,neuter,barn,genders,man,1.0000001
en,nouns,neuter,burger,genders,man,0.5556721
en,nouns,neuter,peanut,genders,man,0.5580747
en,nouns,neuter,fingernail,genders,man,0.4108844
en,nouns,neuter,head,genders,man,1.0000001
en,nouns,neuter,key,genders,man,1.0000001
en,nouns,neuter,bridge,genders,man,1.0000001
en,nouns,neuter,belly,genders,man,0.5403239
en,nouns,neuter,toaster,genders,woman,0.53028953
en,nouns,neuter,moon,genders,woman,1.0000001
en,nouns,neuter,broom,genders,woman,0.5615912
en,nouns,neuter,whale,genders,woman,0.60828644
en,nouns,neuter,fork,genders,woman,0.59406817
en,nouns,neuter,mouse,genders,woman,1.0000001
en,nouns,neuter,snail,genders,woman,1.0000001
en,nouns,neuter,cat,genders,woman,1.0000001
en,nouns,neuter,spoon,genders,woman,0.5626024
en,nouns,neuter,sock,genders,woman,0.5562785
en,nouns,neuter,bean,genders,woman,0.57031983
en,nouns,neuter,soap,genders,woman,1.0000001
en,nouns,neuter,rock,genders,woman,1.0000001
en,nouns,neuter,toilet,genders,woman,0.54510814
en,nouns,neuter,rain,genders,woman,1.0000001
en,nouns,neuter,underpants,genders,woman,0.43457565
en,nouns,neuter,pants,genders,woman,0.5613498
en,nouns,neuter,tail,genders,woman,1.0000001
en,nouns,neuter,lip,genders,woman,0.55836266
en,nouns,neuter,butterfly,genders,woman,1.0000001
en,nouns,neuter,fish,genders,woman,1.0000001
en,nouns,neuter,boot,genders,woman,1.0000001
en,nouns,neuter,apple,genders,woman,0.5510975
en,nouns,neuter,sun,genders,woman,1.0000001
en,nouns,neuter,diaper,genders,woman,0.54350185
en,nouns,neuter,bumblebee,genders,woman,0.3911192
en,nouns,neuter,frog,genders,woman,0.5277851
en,nouns,neuter,spaghetti,genders,woman,0.39311522
en,nouns,neuter,toothbrush,genders,woman,0.34396046
en,nouns,neuter,pea,genders,woman,0.5580747
en,nouns,neuter,lettuce,genders,woman,0.5560211
en,nouns,neuter,wall,genders,woman,1.0000001
en,nouns,neuter,clock,genders,woman,1.0000001
en,nouns,neuter,dirt,genders,woman,0.5330698
en,nouns,neuter,dresser,genders,woman,0.52872604
en,nouns,neuter,sidewalk,genders,woman,0.541018
en,nouns,neuter,washcloth,genders,woman,0.35743165
en,nouns,neuter,stove,genders,woman,0.571439
en,nouns,neuter,tomato,genders,woman,0.56901455
en,nouns,neuter,sand,genders,woman,1.0000001
en,nouns,neuter,lemon,genders,woman,0.5780465
en,nouns,neuter,noodle,genders,woman,0.4117177
en,nouns,neuter,box,genders,woman,1.0000001
en,nouns,neuter,candy,genders,woman,0.5220772
en,nouns,neuter,sandbox,genders,woman,0.5432883
en,nouns,neuter,snow,genders,woman,1.0000001
en,nouns,neuter,bench,genders,woman,1.0000001
en,nouns,neuter,drum,genders,woman,1.0000001
en,nouns,neuter,shoulder,genders,woman,1.0000001
en,nouns,neuter,table,genders,woman,1.0000001
en,nouns,neuter,bowl,genders,woman,1.0000001
en,nouns,neuter,pancake,genders,woman,0.4115435
en,nouns,neuter,fist,genders,woman,0.5277291
en,nouns,neuter,pajamas,genders,woman,0.5463516
en,nouns,neuter,button,genders,woman,0.57676023
en,nouns,neuter,toast,genders,woman,0.53028953
en,nouns,neuter,sponge,genders,woman,0.5626024
en,nouns,neuter,couch,genders,woman,0.54333067
en,nouns,neuter,cage,genders,woman,0.5502643
en,nouns,neuter,mattress,genders,woman,0.5453615
en,nouns,neuter,seesaw,genders,woman,0.5371227
en,nouns,neuter,necklace,genders,woman,0.55874646
en,nouns,neuter,melon,genders,woman,0.5470483
en,nouns,neuter,ladybug,genders,woman,0.3856022
en,nouns,neuter,pumpkin,genders,woman,0.5480312
en,nouns,neuter,star,genders,woman,1.0000001
en,nouns,neuter,pinecone,genders,woman,0.53672945
en,nouns,neuter,stripe,genders,woman,0.5330131
en,nouns,neuter,plane,genders,woman,1.0000001
en,nouns,neuter,chair,genders,woman,1.0000001
en,nouns,neuter,chest,genders,woman,1.0000001
en,nouns,neuter,movie,genders,woman,1.0000001
en,nouns,neuter,wing,genders,woman,1.0000001
en,nouns,neuter,ceiling,genders,woman,1.0000001
en,nouns,neuter,barn,genders,woman,1.0000001
en,nouns,neuter,burger,genders,woman,0.5556721
en,nouns,neuter,peanut,genders,woman,0.5580747
en,nouns,neuter,fingernail,genders,woman,0.4108844
en,nouns,neuter,head,genders,woman,1.0000001
en,nouns,neuter,key,genders,woman,1.0000001
en,nouns,neuter,bridge,genders,woman,1.0000001
en,nouns,neuter,belly,genders,woman,0.5403239
en,nouns,neuter,toaster,determiners,the,0.53028953
en,nouns,neuter,moon,determiners,the,1.0000001
en,nouns,neuter,broom,determiners,the,0.5615912
en,nouns,neuter,whale,determiners,the,0.60828644
en,nouns,neuter,fork,determiners,the,0.59406817
en,nouns,neuter,mouse,determiners,the,1.0000001
en,nouns,neuter,snail,determiners,the,1.0000001
en,nouns,neuter,cat,determiners,the,1.0000001
en,nouns,neuter,spoon,determiners,the,0.5626024
en,nouns,neuter,sock,determiners,the,0.5562785
en,nouns,neuter,bean,determiners,the,0.57031983
en,nouns,neuter,soap,determiners,the,1.0000001
en,nouns,neuter,rock,determiners,the,1.0000001
en,nouns,neuter,toilet,determiners,the,0.54510814
en,nouns,neuter,rain,determiners,the,1.0000001
en,nouns,neuter,underpants,determiners,the,0.43457565
en,nouns,neuter,pants,determiners,the,0.5613498
en,nouns,neuter,tail,determiners,the,1.0000001
en,nouns,neuter,lip,determiners,the,0.55836266
en,nouns,neuter,butterfly,determiners,the,1.0000001
en,nouns,neuter,fish,determiners,the,1.0000001
en,nouns,neuter,boot,determiners,the,1.0000001
en,nouns,neuter,apple,determiners,the,0.5510975
en,nouns,neuter,sun,determiners,the,1.0000001
en,nouns,neuter,diaper,determiners,the,0.54350185
en,nouns,neuter,bumblebee,determiners,the,0.3911192
en,nouns,neuter,frog,determiners,the,0.5277851
en,nouns,neuter,spaghetti,determiners,the,0.39311522
en,nouns,neuter,toothbrush,determiners,the,0.34396046
en,nouns,neuter,pea,determiners,the,0.5580747
en,nouns,neuter,lettuce,determiners,the,0.5560211
en,nouns,neuter,wall,determiners,the,1.0000001
en,nouns,neuter,clock,determiners,the,1.0000001
en,nouns,neuter,dirt,determiners,the,0.5330698
en,nouns,neuter,dresser,determiners,the,0.52872604
en,nouns,neuter,sidewalk,determiners,the,0.541018
en,nouns,neuter,washcloth,determiners,the,0.35743165
en,nouns,neuter,stove,determiners,the,0.571439
en,nouns,neuter,tomato,determiners,the,0.56901455
en,nouns,neuter,sand,determiners,the,1.0000001
en,nouns,neuter,lemon,determiners,the,0.5780465
en,nouns,neuter,noodle,determiners,the,0.4117177
en,nouns,neuter,box,determiners,the,1.0000001
en,nouns,neuter,candy,determiners,the,0.5220772
en,nouns,neuter,sandbox,determiners,the,0.5432883
en,nouns,neuter,snow,determiners,the,1.0000001
en,nouns,neuter,bench,determiners,the,1.0000001
en,nouns,neuter,drum,determiners,the,1.0000001
en,nouns,neuter,shoulder,determiners,the,1.0000001
en,nouns,neuter,table,determiners,the,1.0000001
en,nouns,neuter,bowl,determiners,the,1.0000001
en,nouns,neuter,pancake,determiners,the,0.4115435
en,nouns,neuter,fist,determiners,the,0.5277291
en,nouns,neuter,pajamas,determiners,the,0.5463516
en,nouns,neuter,button,determiners,the,0.57676023
en,nouns,neuter,toast,determiners,the,0.53028953
en,nouns,neuter,sponge,determiners,the,0.5626024
en,nouns,neuter,couch,determiners,the,0.54333067
en,nouns,neuter,cage,determiners,the,0.5502643
en,nouns,neuter,mattress,determiners,the,0.5453615
en,nouns,neuter,seesaw,determiners,the,0.5371227
en,nouns,neuter,necklace,determiners,the,0.55874646
en,nouns,neuter,melon,determiners,the,0.5470483
en,nouns,neuter,ladybug,determiners,the,0.3856022
en,nouns,neuter,pumpkin,determiners,the,0.5480312
en,nouns,neuter,star,determiners,the,1.0000001
en,nouns,neuter,pinecone,determiners,the,0.53672945
en,nouns,neuter,stripe,determiners,the,0.5330131
en,nouns,neuter,plane,determiners,the,1.0000001
en,nouns,neuter,chair,determiners,the,1.0000001
en,nouns,neuter,chest,determiners,the,1.0000001
en,nouns,neuter,movie,determiners,the,1.0000001
en,nouns,neuter,wing,determiners,the,1.0000001
en,nouns,neuter,ceiling,determiners,the,1.0000001
en,nouns,neuter,barn,determiners,the,1.0000001
en,nouns,neuter,burger,determiners,the,0.5556721
en,nouns,neuter,peanut,determiners,the,0.5580747
en,nouns,neuter,fingernail,determiners,the,0.4108844
en,nouns,neuter,head,determiners,the,1.0000001
en,nouns,neuter,key,determiners,the,1.0000001
en,nouns,neuter,bridge,determiners,the,1.0000001
en,nouns,neuter,belly,determiners,the,0.5403239
en,adjectives,masculine,young,genders,man,1.0000001
en,adjectives,masculine,bald-headed,genders,man,0.44757956
en,adjectives,masculine,heavyset,genders,man,0.55197245
en,adjectives,masculine,bearded,genders,man,0.530826
en,adjectives,masculine,middle-aged,genders,man,0.44273898
en,adjectives,masculine,handsome,genders,man,0.5448236
en,adjectives,masculine,white-haired,genders,man,0.35468185
en,adjectives,masculine,virile,genders,man,0.5473571
en,adjectives,masculine,well-dressed,genders,man,0.438889
en,adjectives,masculine,burly,genders,man,0.5556721
en,adjectives,masculine,bastard,genders,man,0.5373083
en,adjectives,masculine,manlike,genders,man,0.54245025
en,adjectives,masculine,manly,genders,man,0.54245025
en,adjectives,masculine,rascal,genders,man,0.5469824
en,adjectives,masculine,God-fearing,genders,man,0.35224965
en,adjectives,masculine,dark-haired,genders,man,0.34070578
en,adjectives,masculine,full-bearded,genders,man,0.34347525
en,adjectives,masculine,portly,genders,man,0.5318206
en,adjectives,masculine,one-eyed,genders,man,0.34162816
en,adjectives,masculine,good-looking,genders,man,0.44365534
en,adjectives,masculine,male,genders,man,1.0000001
en,adjectives,masculine,broad-shouldered,genders,man,0.34546545
en,adjectives,masculine,beast,genders,man,0.57031983
en,adjectives,masculine,youngish,genders,man,0.5462659
en,adjectives,masculine,grey-haired,genders,man,0.3489193
en,adjectives,masculine,bespectacled,genders,man,0.33371988
en,adjectives,masculine,goateed,genders,man,0.40853038
en,adjectives,masculine,balding,genders,man,0.5364258
