LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.50324684
en,nouns,neuter,moon,genders,man,0.7240438
en,nouns,neuter,broom,genders,man,0.5682309
en,nouns,neuter,whale,genders,man,0.5212854
en,nouns,neuter,fork,genders,man,0.5547638
en,nouns,neuter,mouse,genders,man,0.7510388
en,nouns,neuter,snail,genders,man,0.6457323
en,nouns,neuter,cat,genders,man,0.60048324
en,nouns,neuter,spoon,genders,man,0.5870346
en,nouns,neuter,sock,genders,man,0.5424468
en,nouns,neuter,bean,genders,man,0.6023541
en,nouns,neuter,soap,genders,man,0.6651544
en,nouns,neuter,rock,genders,man,0.5571245
en,nouns,neuter,toilet,genders,man,0.39470544
en,nouns,neuter,rain,genders,man,0.6860438
en,nouns,neuter,underpants,genders,man,0.4421393
en,nouns,neuter,pants,genders,man,0.61079043
en,nouns,neuter,tail,genders,man,0.62541413
en,nouns,neuter,lip,genders,man,0.53334594
en,nouns,neuter,butterfly,genders,man,0.5312719
en,nouns,neuter,fish,genders,man,0.6624799
en,nouns,neuter,boot,genders,man,0.6740282
en,nouns,neuter,apple,genders,man,0.57861286
en,nouns,neuter,sun,genders,man,0.7398095
en,nouns,neuter,diaper,genders,man,0.5446998
en,nouns,neuter,bumblebee,genders,man,0.5510926
en,nouns,neuter,frog,genders,man,0.60601676
en,nouns,neuter,spaghetti,genders,man,0.34726426
en,nouns,neuter,toothbrush,genders,man,0.49307683
en,nouns,neuter,pea,genders,man,0.6231679
en,nouns,neuter,lettuce,genders,man,0.37709996
en,nouns,neuter,wall,genders,man,0.6159409
en,nouns,neuter,clock,genders,man,0.66006494
en,nouns,neuter,dirt,genders,man,0.54417664
en,nouns,neuter,dresser,genders,man,0.38759565
en,nouns,neuter,sidewalk,genders,man,0.505011
en,nouns,neuter,washcloth,genders,man,0.43368873
en,nouns,neuter,stove,genders,man,0.6406182
en,nouns,neuter,tomato,genders,man,0.49873134
en,nouns,neuter,sand,genders,man,0.72597873
en,nouns,neuter,lemon,genders,man,0.5487596
en,nouns,neuter,noodle,genders,man,0.5450048
en,nouns,neuter,box,genders,man,0.7100691
en,nouns,neuter,candy,genders,man,0.5271327
en,nouns,neuter,sandbox,genders,man,0.58994764
en,nouns,neuter,snow,genders,man,0.6372916
en,nouns,neuter,bench,genders,man,0.5912243
en,nouns,neuter,drum,genders,man,0.64637536
en,nouns,neuter,shoulder,genders,man,0.5160566
en,nouns,neuter,table,genders,man,0.57513344
en,nouns,neuter,bowl,genders,man,0.7163561
en,nouns,neuter,pancake,genders,man,0.5081279
en,nouns,neuter,fist,genders,man,0.6211621
en,nouns,neuter,pajamas,genders,man,0.44064382
en,nouns,neuter,button,genders,man,0.6416581
en,nouns,neuter,toast,genders,man,0.54632777
en,nouns,neuter,sponge,genders,man,0.5876969
en,nouns,neuter,couch,genders,man,0.6032007
en,nouns,neuter,cage,genders,man,0.5803286
en,nouns,neuter,mattress,genders,man,0.6607839
en,nouns,neuter,seesaw,genders,man,0.44415364
en,nouns,neuter,necklace,genders,man,0.5347179
en,nouns,neuter,melon,genders,man,0.5469905
en,nouns,neuter,ladybug,genders,man,0.5368679
en,nouns,neuter,pumpkin,genders,man,0.60637236
en,nouns,neuter,star,genders,man,0.7241829
en,nouns,neuter,pinecone,genders,man,0.45334265
en,nouns,neuter,stripe,genders,man,0.48833585
en,nouns,neuter,plane,genders,man,0.65380496
en,nouns,neuter,chair,genders,man,0.68012184
