LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.7089581
en,nouns,neuter,moon,genders,man,0.81834745
en,nouns,neuter,broom,genders,man,0.7811452
en,nouns,neuter,whale,genders,man,0.71824205
en,nouns,neuter,fork,genders,man,0.7505752
en,nouns,neuter,mouse,genders,man,0.7989165
en,nouns,neuter,snail,genders,man,0.74505836
en,nouns,neuter,cat,genders,man,0.7424788
en,nouns,neuter,spoon,genders,man,0.7859286
en,nouns,neuter,sock,genders,man,0.7747428
en,nouns,neuter,bean,genders,man,0.82216036
en,nouns,neuter,soap,genders,man,0.7720839
en,nouns,neuter,rock,genders,man,0.73282933
en,nouns,neuter,toilet,genders,man,0.62684655
en,nouns,neuter,rain,genders,man,0.69781595
en,nouns,neuter,underpants,genders,man,0.7041912
en,nouns,neuter,pants,genders,man,0.77289534
en,nouns,neuter,tail,genders,man,0.77287096
en,nouns,neuter,lip,genders,man,0.765606
en,nouns,neuter,butterfly,genders,man,0.62842196
en,nouns,neuter,fish,genders,man,0.74708575
en,nouns,neuter,boot,genders,man,0.78999317
en,nouns,neuter,apple,genders,man,0.77544165
en,nouns,neuter,sun,genders,man,0.7869681
en,nouns,neuter,diaper,genders,man,0.7620838
en,nouns,neuter,bumblebee,genders,man,0.7512921
en,nouns,neuter,frog,genders,man,0.8032053
en,nouns,neuter,spaghetti,genders,man,0.5062409
en,nouns,neuter,toothbrush,genders,man,0.7503465
en,nouns,neuter,pea,genders,man,0.79730064
en,nouns,neuter,lettuce,genders,man,0.5893108
en,nouns,neuter,wall,genders,man,0.7285815
en,nouns,neuter,clock,genders,man,0.7817278
en,nouns,neuter,dirt,genders,man,0.7771519
en,nouns,neuter,dresser,genders,man,0.66680795
en,nouns,neuter,sidewalk,genders,man,0.7260733
en,nouns,neuter,washcloth,genders,man,0.7264323
en,nouns,neuter,stove,genders,man,0.8113135
en,nouns,neuter,tomato,genders,man,0.6855617
en,nouns,neuter,sand,genders,man,0.83206105
en,nouns,neuter,lemon,genders,man,0.77081937
en,nouns,neuter,noodle,genders,man,0.7939307
en,nouns,neuter,box,genders,man,0.75750095
en,nouns,neuter,candy,genders,man,0.7051643
en,nouns,neuter,sandbox,genders,man,0.7672655
en,nouns,neuter,snow,genders,man,0.62504846
en,nouns,neuter,bench,genders,man,0.47673526
en,nouns,neuter,drum,genders,man,0.717416
en,nouns,neuter,shoulder,genders,man,0.5645016
en,nouns,neuter,table,genders,man,0.7465126
en,nouns,neuter,bowl,genders,man,0.77662504
en,nouns,neuter,pancake,genders,man,0.6933673
en,nouns,neuter,fist,genders,man,0.81786925
en,nouns,neuter,pajamas,genders,man,0.6923689
en,nouns,neuter,button,genders,man,0.802631
en,nouns,neuter,toast,genders,man,0.7477038
en,nouns,neuter,sponge,genders,man,0.78762126
en,nouns,neuter,couch,genders,man,0.7959846
en,nouns,neuter,cage,genders,man,0.77466667
en,nouns,neuter,mattress,genders,man,0.77529144
en,nouns,neuter,seesaw,genders,man,0.7335411
en,nouns,neuter,necklace,genders,man,0.6048779
en,nouns,neuter,melon,genders,man,0.76712304
en,nouns,neuter,ladybug,genders,man,0.7881601
en,nouns,neuter,pumpkin,genders,man,0.546682
en,nouns,neuter,star,genders,man,0.84062386
en,nouns,neuter,pinecone,genders,man,0.70966053
en,nouns,neuter,stripe,genders,man,0.72369695
en,nouns,neuter,plane,genders,man,0.7017387
en,nouns,neuter,chair,genders,man,0.82262194
en,nouns,neuter,chest,genders,man,0.7065424
en,nouns,neuter,movie,genders,man,0.385752
en,nouns,neuter,wing,genders,man,0.76619506
en,nouns,neuter,ceiling,genders,man,0.43221146
en,nouns,neuter,barn,genders,man,0.7083645
en,nouns,neuter,burger,genders,man,0.72403294
en,nouns,neuter,peanut,genders,man,0.74328876
en,nouns,neuter,fingernail,genders,man,0.60863495
en,nouns,neuter,head,genders,man,0.7334258
en,nouns,neuter,key,genders,man,0.56461835
en,nouns,neuter,bridge,genders,man,0.5407365
en,nouns,neuter,belly,genders,man,0.74103415
en,nouns,neuter,toaster,genders,woman,0.54625356
en,nouns,neuter,moon,genders,woman,0.6676643
en,nouns,neuter,broom,genders,woman,0.61077625
en,nouns,neuter,whale,genders,woman,0.6135999
en,nouns,neuter,fork,genders,woman,0.5803891
en,nouns,neuter,mouse,genders,woman,0.6918949
en,nouns,neuter,snail,genders,woman,0.60170877
en,nouns,neuter,cat,genders,woman,0.66812384
en,nouns,neuter,spoon,genders,woman,0.5981717
en,nouns,neuter,sock,genders,woman,0.5773647
en,nouns,neuter,bean,genders,woman,0.6410654
en,nouns,neuter,soap,genders,woman,0.71538794
en,nouns,neuter,rock,genders,woman,0.6012743
en,nouns,neuter,toilet,genders,woman,0.52455115
en,nouns,neuter,rain,genders,woman,0.5826028
en,nouns,neuter,underpants,genders,woman,0.5305248
en,nouns,neuter,pants,genders,woman,0.6243127
en,nouns,neuter,tail,genders,woman,0.6407855
en,nouns,neuter,lip,genders,woman,0.59386826
en,nouns,neuter,butterfly,genders,woman,0.6138558
en,nouns,neuter,fish,genders,woman,0.65729773
en,nouns,neuter,boot,genders,woman,0.6111228
en,nouns,neuter,apple,genders,woman,0.6133572
en,nouns,neuter,sun,genders,woman,0.69018185
en,nouns,neuter,diaper,genders,woman,0.601859
en,nouns,neuter,bumblebee,genders,woman,0.62416583
en,nouns,neuter,frog,genders,woman,0.65772325
en,nouns,neuter,spaghetti,genders,woman,0.42182833
en,nouns,neuter,toothbrush,genders,woman,0.6144169
en,nouns,neuter,pea,genders,woman,0.6337746
en,nouns,neuter,lettuce,genders,woman,0.49080145
en,nouns,neuter,wall,genders,woman,0.580034
en,nouns,neuter,clock,genders,woman,0.68972313
en,nouns,neuter,dirt,genders,woman,0.5765199
en,nouns,neuter,dresser,genders,woman,0.6128001
en,nouns,neuter,sidewalk,genders,woman,0.6406585
en,nouns,neuter,washcloth,genders,woman,0.5873038
en,nouns,neuter,stove,genders,woman,0.5799662
en,nouns,neuter,tomato,genders,woman,0.4897572
en,nouns,neuter,sand,genders,woman,0.61595345
en,nouns,neuter,lemon,genders,woman,0.63610953
en,nouns,neuter,noodle,genders,woman,0.60411686
en,nouns,neuter,box,genders,woman,0.6122054
en,nouns,neuter,candy,genders,woman,0.57972413
en,nouns,neuter,sandbox,genders,woman,0.5969987
en,nouns,neuter,snow,genders,woman,0.57566994
en,nouns,neuter,bench,genders,woman,0.4428361
en,nouns,neuter,drum,genders,woman,0.5887502
en,nouns,neuter,shoulder,genders,woman,0.52368367
en,nouns,neuter,table,genders,woman,0.6249079
en,nouns,neuter,bowl,genders,woman,0.65845144
en,nouns,neuter,pancake,genders,woman,0.5589649
en,nouns,neuter,fist,genders,woman,0.63267064
en,nouns,neuter,pajamas,genders,woman,0.57331944
en,nouns,neuter,button,genders,woman,0.61074877
en,nouns,neuter,toast,genders,woman,0.5817495
en,nouns,neuter,sponge,genders,woman,0.62641406
en,nouns,neuter,couch,genders,woman,0.589999
en,nouns,neuter,cage,genders,woman,0.5761273
en,nouns,neuter,mattress,genders,woman,0.6601207
en,nouns,neuter,seesaw,genders,woman,0.59735197
en,nouns,neuter,necklace,genders,woman,0.5513346
en,nouns,neuter,melon,genders,woman,0.6249692
en,nouns,neuter,ladybug,genders,woman,0.6506747
en,nouns,neuter,pumpkin,genders,woman,0.5394947
en,nouns,neuter,star,genders,woman,0.65485394
en,nouns,neuter,pinecone,genders,woman,0.5409178
en,nouns,neuter,stripe,genders,woman,0.5517095
en,nouns,neuter,plane,genders,woman,0.63404363
en,nouns,neuter,chair,genders,woman,0.677891
en,nouns,neuter,chest,genders,woman,0.5571081
en,nouns,neuter,movie,genders,woman,0.40565208
en,nouns,neuter,wing,genders,woman,0.649447
en,nouns,neuter,ceiling,genders,woman,0.48966575
en,nouns,neuter,barn,genders,woman,0.58203393
en,nouns,neuter,burger,genders,woman,0.6305467
en,nouns,neuter,peanut,genders,woman,0.57638055
en,nouns,neuter,fingernail,genders,woman,0.5140367
en,nouns,neuter,head,genders,woman,0.6353215
en,nouns,neuter,key,genders,woman,0.6004388
en,nouns,neuter,bridge,genders,woman,0.54838896
en,nouns,neuter,belly,genders,woman,0.638178
en,nouns,neuter,toaster,determiners,the,0.5992079
en,nouns,neuter,moon,determiners,the,0.67691875
en,nouns,neuter,broom,determiners,the,0.67978597
en,nouns,neuter,whale,determiners,the,0.66985023
en,nouns,neuter,fork,determiners,the,0.71252537
en,nouns,neuter,mouse,determiners,the,0.6411709
