LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.44615477
en,nouns,neuter,moon,genders,man,0.7240438
en,nouns,neuter,broom,genders,man,0.54417676
en,nouns,neuter,whale,genders,man,0.4619853
en,nouns,neuter,fork,genders,man,0.5721821
en,nouns,neuter,mouse,genders,man,0.7510388
en,nouns,neuter,snail,genders,man,0.6457323
en,nouns,neuter,cat,genders,man,0.60048324
en,nouns,neuter,spoon,genders,man,0.5484287
en,nouns,neuter,sock,genders,man,0.53484774
en,nouns,neuter,bean,genders,man,0.60166895
en,nouns,neuter,soap,genders,man,0.6651544
en,nouns,neuter,rock,genders,man,0.5571245
en,nouns,neuter,toilet,genders,man,0.39427572
en,nouns,neuter,rain,genders,man,0.6860438
en,nouns,neuter,underpants,genders,man,0.44285917
en,nouns,neuter,pants,genders,man,0.5787554
en,nouns,neuter,tail,genders,man,0.62541413
en,nouns,neuter,lip,genders,man,0.54868627
en,nouns,neuter,butterfly,genders,man,0.5312719
en,nouns,neuter,fish,genders,man,0.6624799
en,nouns,neuter,boot,genders,man,0.6740282
en,nouns,neuter,apple,genders,man,0.55221015
en,nouns,neuter,sun,genders,man,0.7398095
en,nouns,neuter,diaper,genders,man,0.5384474
en,nouns,neuter,bumblebee,genders,man,0.48581696
en,nouns,neuter,frog,genders,man,0.5573526
en,nouns,neuter,spaghetti,genders,man,0.26017419
en,nouns,neuter,toothbrush,genders,man,0.47655472
en,nouns,neuter,pea,genders,man,0.6304346
en,nouns,neuter,lettuce,genders,man,0.3242761
en,nouns,neuter,wall,genders,man,0.6159409
en,nouns,neuter,clock,genders,man,0.66006494
en,nouns,neuter,dirt,genders,man,0.58849245
en,nouns,neuter,dresser,genders,man,0.409431
en,nouns,neuter,sidewalk,genders,man,0.49281013
en,nouns,neuter,washcloth,genders,man,0.5063912
en,nouns,neuter,stove,genders,man,0.64117074
en,nouns,neuter,tomato,genders,man,0.4916377
en,nouns,neuter,sand,genders,man,0.72597873
en,nouns,neuter,lemon,genders,man,0.53911793
en,nouns,neuter,noodle,genders,man,0.5474398
en,nouns,neuter,box,genders,man,0.7100691
en,nouns,neuter,candy,genders,man,0.49708903
en,nouns,neuter,sandbox,genders,man,0.5533486
en,nouns,neuter,snow,genders,man,0.6372916
en,nouns,neuter,bench,genders,man,0.5912243
en,nouns,neuter,drum,genders,man,0.64637536
en,nouns,neuter,shoulder,genders,man,0.5160566
en,nouns,neuter,table,genders,man,0.57513344
en,nouns,neuter,bowl,genders,man,0.7163561
en,nouns,neuter,pancake,genders,man,0.41767478
en,nouns,neuter,fist,genders,man,0.62800014
en,nouns,neuter,pajamas,genders,man,0.4164533
en,nouns,neuter,button,genders,man,0.60757774
en,nouns,neuter,toast,genders,man,0.52447236
en,nouns,neuter,sponge,genders,man,0.58342963
en,nouns,neuter,couch,genders,man,0.56816685
en,nouns,neuter,cage,genders,man,0.5495278
en,nouns,neuter,mattress,genders,man,0.63399315
en,nouns,neuter,seesaw,genders,man,0.4790256
en,nouns,neuter,necklace,genders,man,0.51625896
en,nouns,neuter,melon,genders,man,0.545872
en,nouns,neuter,ladybug,genders,man,0.5713229
en,nouns,neuter,pumpkin,genders,man,0.57942194
en,nouns,neuter,star,genders,man,0.7241829
en,nouns,neuter,pinecone,genders,man,0.40977377
en,nouns,neuter,stripe,genders,man,0.5114614
en,nouns,neuter,plane,genders,man,0.65380496
en,nouns,neuter,chair,genders,man,0.68012184
en,nouns,neuter,chest,genders,man,0.6530243
en,nouns,neuter,movie,genders,man,0.31910005
en,nouns,neuter,wing,genders,man,0.6729632
en,nouns,neuter,ceiling,genders,man,0.46270806
en,nouns,neuter,barn,genders,man,0.4789583
en,nouns,neuter,burger,genders,man,0.49160957
en,nouns,neuter,peanut,genders,man,0.52721214
en,nouns,neuter,fingernail,genders,man,0.45809525
en,nouns,neuter,head,genders,man,0.62354624
en,nouns,neuter,key,genders,man,0.39950895
en,nouns,neuter,bridge,genders,man,0.6004191
en,nouns,neuter,belly,genders,man,0.63832366
en,nouns,neuter,toaster,genders,woman,0.35083073
en,nouns,neuter,moon,genders,woman,0.5509032
en,nouns,neuter,broom,genders,woman,0.40776473
en,nouns,neuter,whale,genders,woman,0.44775632
en,nouns,neuter,fork,genders,woman,0.48579094
en,nouns,neuter,mouse,genders,woman,0.62224305
en,nouns,neuter,snail,genders,woman,0.4866754
en,nouns,neuter,cat,genders,woman,0.5661696
en,nouns,neuter,spoon,genders,woman,0.42524058
en,nouns,neuter,sock,genders,woman,0.37490618
en,nouns,neuter,bean,genders,woman,0.48851928
en,nouns,neuter,soap,genders,woman,0.6147032
en,nouns,neuter,rock,genders,woman,0.46126038
en,nouns,neuter,toilet,genders,woman,0.36412093
en,nouns,neuter,rain,genders,woman,0.51516354
en,nouns,neuter,underpants,genders,woman,0.3460604
en,nouns,neuter,pants,genders,woman,0.4850315
en,nouns,neuter,tail,genders,woman,0.5120938
en,nouns,neuter,lip,genders,woman,0.39760923
en,nouns,neuter,butterfly,genders,woman,0.5143203
en,nouns,neuter,fish,genders,woman,0.5391231
en,nouns,neuter,boot,genders,woman,0.4843976
en,nouns,neuter,apple,genders,woman,0.47865176
en,nouns,neuter,sun,genders,woman,0.6067528
en,nouns,neuter,diaper,genders,woman,0.44305962
en,nouns,neuter,bumblebee,genders,woman,0.39415905
en,nouns,neuter,frog,genders,woman,0.5082606
en,nouns,neuter,spaghetti,genders,woman,0.26229608
en,nouns,neuter,toothbrush,genders,woman,0.39363846
en,nouns,neuter,pea,genders,woman,0.5574865
en,nouns,neuter,lettuce,genders,woman,0.3299707
en,nouns,neuter,wall,genders,woman,0.4368372
en,nouns,neuter,clock,genders,woman,0.5743193
en,nouns,neuter,dirt,genders,woman,0.43590826
en,nouns,neuter,dresser,genders,woman,0.46112823
en,nouns,neuter,sidewalk,genders,woman,0.46393618
en,nouns,neuter,washcloth,genders,woman,0.3556238
en,nouns,neuter,stove,genders,woman,0.4485227
en,nouns,neuter,tomato,genders,woman,0.31510636
en,nouns,neuter,sand,genders,woman,0.4918977
en,nouns,neuter,lemon,genders,woman,0.45368344
en,nouns,neuter,noodle,genders,woman,0.406344
en,nouns,neuter,box,genders,woman,0.504121
en,nouns,neuter,candy,genders,woman,0.42867544
en,nouns,neuter,sandbox,genders,woman,0.4277072
en,nouns,neuter,snow,genders,woman,0.54444516
en,nouns,neuter,bench,genders,woman,0.4519011
en,nouns,neuter,drum,genders,woman,0.48875234
en,nouns,neuter,shoulder,genders,woman,0.4493042
en,nouns,neuter,table,genders,woman,0.49327224
en,nouns,neuter,bowl,genders,woman,0.57197016
en,nouns,neuter,pancake,genders,woman,0.32621098
