LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.35297647
en,nouns,neuter,moon,genders,man,0.81834745
en,nouns,neuter,broom,genders,man,0.42190588
en,nouns,neuter,whale,genders,man,0.37833527
en,nouns,neuter,fork,genders,man,0.45597294
en,nouns,neuter,mouse,genders,man,0.7989165
en,nouns,neuter,snail,genders,man,0.74505836
en,nouns,neuter,cat,genders,man,0.7424788
en,nouns,neuter,spoon,genders,man,0.4360827
en,nouns,neuter,sock,genders,man,0.41385597
en,nouns,neuter,bean,genders,man,0.43378848
en,nouns,neuter,soap,genders,man,0.7720839
en,nouns,neuter,rock,genders,man,0.73282933
en,nouns,neuter,toilet,genders,man,0.26211193
en,nouns,neuter,rain,genders,man,0.69781595
en,nouns,neuter,underpants,genders,man,0.30078492
en,nouns,neuter,pants,genders,man,0.44188252
en,nouns,neuter,tail,genders,man,0.77287096
en,nouns,neuter,lip,genders,man,0.40965348
en,nouns,neuter,butterfly,genders,man,0.62842196
en,nouns,neuter,fish,genders,man,0.74708575
en,nouns,neuter,boot,genders,man,0.78999317
en,nouns,neuter,apple,genders,man,0.42538378
en,nouns,neuter,sun,genders,man,0.7869681
en,nouns,neuter,diaper,genders,man,0.41834405
en,nouns,neuter,bumblebee,genders,man,0.33467656
en,nouns,neuter,frog,genders,man,0.4570354
en,nouns,neuter,spaghetti,genders,man,0.15965009
en,nouns,neuter,toothbrush,genders,man,0.30858505
en,nouns,neuter,pea,genders,man,0.4587206
en,nouns,neuter,lettuce,genders,man,0.26096767
en,nouns,neuter,wall,genders,man,0.7285815
en,nouns,neuter,clock,genders,man,0.7817278
en,nouns,neuter,dirt,genders,man,0.40866998
en,nouns,neuter,dresser,genders,man,0.26371658
en,nouns,neuter,sidewalk,genders,man,0.3711855
en,nouns,neuter,washcloth,genders,man,0.27657035
en,nouns,neuter,stove,genders,man,0.50006735
en,nouns,neuter,tomato,genders,man,0.36800444
en,nouns,neuter,sand,genders,man,0.83206105
en,nouns,neuter,lemon,genders,man,0.41012147
en,nouns,neuter,noodle,genders,man,0.37087867
en,nouns,neuter,box,genders,man,0.75750095
en,nouns,neuter,candy,genders,man,0.3632619
en,nouns,neuter,sandbox,genders,man,0.41275764
en,nouns,neuter,snow,genders,man,0.62504846
en,nouns,neuter,bench,genders,man,0.47673526
en,nouns,neuter,drum,genders,man,0.717416
en,nouns,neuter,shoulder,genders,man,0.5645016
en,nouns,neuter,table,genders,man,0.7465126
en,nouns,neuter,bowl,genders,man,0.77662504
en,nouns,neuter,pancake,genders,man,0.24937128
en,nouns,neuter,fist,genders,man,0.48162895
en,nouns,neuter,pajamas,genders,man,0.28129587
en,nouns,neuter,button,genders,man,0.46569017
