LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.501117
en,nouns,neuter,moon,genders,man,0.7240438
en,nouns,neuter,broom,genders,man,0.5968012
en,nouns,neuter,whale,genders,man,0.52834094
en,nouns,neuter,fork,genders,man,0.5927501
en,nouns,neuter,mouse,genders,man,0.7510388
en,nouns,neuter,snail,genders,man,0.6457323
en,nouns,neuter,cat,genders,man,0.60048324
en,nouns,neuter,spoon,genders,man,0.60161835
en,nouns,neuter,sock,genders,man,0.57918274
en,nouns,neuter,bean,genders,man,0.65091145
en,nouns,neuter,soap,genders,man,0.6651544
en,nouns,neuter,rock,genders,man,0.5571245
en,nouns,neuter,toilet,genders,man,0.41241118
en,nouns,neuter,rain,genders,man,0.6860438
en,nouns,neuter,underpants,genders,man,0.47584614
en,nouns,neuter,pants,genders,man,0.62057346
en,nouns,neuter,tail,genders,man,0.62541413
en,nouns,neuter,lip,genders,man,0.5773197
en,nouns,neuter,butterfly,genders,man,0.5312719
en,nouns,neuter,fish,genders,man,0.6624799
en,nouns,neuter,boot,genders,man,0.6740282
en,nouns,neuter,apple,genders,man,0.5947371
en,nouns,neuter,sun,genders,man,0.7398095
en,nouns,neuter,diaper,genders,man,0.5797455
en,nouns,neuter,bumblebee,genders,man,0.5392246
en,nouns,neuter,frog,genders,man,0.61540145
en,nouns,neuter,spaghetti,genders,man,0.32122448
en,nouns,neuter,toothbrush,genders,man,0.54053354
en,nouns,neuter,pea,genders,man,0.66907156
en,nouns,neuter,lettuce,genders,man,0.36349785
en,nouns,neuter,wall,genders,man,0.6159409
en,nouns,neuter,clock,genders,man,0.66006494
en,nouns,neuter,dirt,genders,man,0.60187477
en,nouns,neuter,dresser,genders,man,0.41352636
en,nouns,neuter,sidewalk,genders,man,0.5294123
en,nouns,neuter,washcloth,genders,man,0.51865566
en,nouns,neuter,stove,genders,man,0.67160726
en,nouns,neuter,tomato,genders,man,0.51346415
en,nouns,neuter,sand,genders,man,0.72597873
en,nouns,neuter,lemon,genders,man,0.58081746
en,nouns,neuter,noodle,genders,man,0.5918736
