LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.5791435
en,nouns,neuter,moon,genders,man,0.81834745
en,nouns,neuter,broom,genders,man,0.68343604
en,nouns,neuter,whale,genders,man,0.6091885
en,nouns,neuter,fork,genders,man,0.71154916
en,nouns,neuter,mouse,genders,man,0.7989165
en,nouns,neuter,snail,genders,man,0.74505836
en,nouns,neuter,cat,genders,man,0.7424788
en,nouns,neuter,spoon,genders,man,0.68085337
en,nouns,neuter,sock,genders,man,0.6635799
en,nouns,neuter,bean,genders,man,0.72945243
en,nouns,neuter,soap,genders,man,0.7720839
en,nouns,neuter,rock,genders,man,0.73282933
en,nouns,neuter,toilet,genders,man,0.484265
en,nouns,neuter,rain,genders,man,0.69781595
en,nouns,neuter,underpants,genders,man,0.5442614
en,nouns,neuter,pants,genders,man,0.6469589
en,nouns,neuter,tail,genders,man,0.77287096
en,nouns,neuter,lip,genders,man,0.6888228
en,nouns,neuter,butterfly,genders,man,0.62842196
en,nouns,neuter,fish,genders,man,0.74708575
en,nouns,neuter,boot,genders,man,0.78999317
en,nouns,neuter,apple,genders,man,0.6888232
en,nouns,neuter,sun,genders,man,0.7869681
en,nouns,neuter,diaper,genders,man,0.6967655
en,nouns,neuter,bumblebee,genders,man,0.52608836
en,nouns,neuter,frog,genders,man,0.6834415
en,nouns,neuter,spaghetti,genders,man,0.28886715
en,nouns,neuter,toothbrush,genders,man,0.51772016
en,nouns,neuter,pea,genders,man,0.7510402
en,nouns,neuter,lettuce,genders,man,0.44700053
en,nouns,neuter,wall,genders,man,0.7285815
en,nouns,neuter,clock,genders,man,0.7817278
en,nouns,neuter,dirt,genders,man,0.69655883
en,nouns,neuter,dresser,genders,man,0.5184314
en,nouns,neuter,sidewalk,genders,man,0.59196526
en,nouns,neuter,washcloth,genders,man,0.47103277
en,nouns,neuter,stove,genders,man,0.7533345
en,nouns,neuter,tomato,genders,man,0.5548913
en,nouns,neuter,sand,genders,man,0.83206105
en,nouns,neuter,lemon,genders,man,0.68221503
en,nouns,neuter,noodle,genders,man,0.6133999
en,nouns,neuter,box,genders,man,0.75750095
en,nouns,neuter,candy,genders,man,0.5642269
en,nouns,neuter,sandbox,genders,man,0.6527128
en,nouns,neuter,snow,genders,man,0.62504846
en,nouns,neuter,bench,genders,man,0.47673526
en,nouns,neuter,drum,genders,man,0.717416
en,nouns,neuter,shoulder,genders,man,0.5645016
en,nouns,neuter,table,genders,man,0.7465126
en,nouns,neuter,bowl,genders,man,0.77662504
en,nouns,neuter,pancake,genders,man,0.45882905
en,nouns,neuter,fist,genders,man,0.76404196
en,nouns,neuter,pajamas,genders,man,0.5617982
en,nouns,neuter,button,genders,man,0.7162113
en,nouns,neuter,toast,genders,man,0.65470946
en,nouns,neuter,sponge,genders,man,0.651922
en,nouns,neuter,couch,genders,man,0.70463955
en,nouns,neuter,cage,genders,man,0.7071635
en,nouns,neuter,mattress,genders,man,0.65565044
en,nouns,neuter,seesaw,genders,man,0.6113225
en,nouns,neuter,necklace,genders,man,0.5138495
en,nouns,neuter,melon,genders,man,0.6672471
en,nouns,neuter,ladybug,genders,man,0.587046
en,nouns,neuter,pumpkin,genders,man,0.51222783
en,nouns,neuter,star,genders,man,0.84062386
en,nouns,neuter,pinecone,genders,man,0.5563533
en,nouns,neuter,stripe,genders,man,0.6478494
en,nouns,neuter,plane,genders,man,0.7017387
en,nouns,neuter,chair,genders,man,0.82262194
en,nouns,neuter,chest,genders,man,0.7065424
en,nouns,neuter,movie,genders,man,0.385752
en,nouns,neuter,wing,genders,man,0.76619506
en,nouns,neuter,ceiling,genders,man,0.43221146
en,nouns,neuter,barn,genders,man,0.7083645
en,nouns,neuter,burger,genders,man,0.59730625
en,nouns,neuter,peanut,genders,man,0.67397195
en,nouns,neuter,fingernail,genders,man,0.4253717
en,nouns,neuter,head,genders,man,0.7334258
en,nouns,neuter,key,genders,man,0.56461835
en,nouns,neuter,bridge,genders,man,0.5407365
en,nouns,neuter,belly,genders,man,0.62893146
en,nouns,neuter,toaster,genders,woman,0.44953144
en,nouns,neuter,moon,genders,woman,0.6676643
en,nouns,neuter,broom,genders,woman,0.55932426
en,nouns,neuter,whale,genders,woman,0.5532895
en,nouns,neuter,fork,genders,woman,0.59323657
en,nouns,neuter,mouse,genders,woman,0.6918949
en,nouns,neuter,snail,genders,woman,0.60170877
en,nouns,neuter,cat,genders,woman,0.66812384
en,nouns,neuter,spoon,genders,woman,0.52695495
en,nouns,neuter,sock,genders,woman,0.4994513
en,nouns,neuter,bean,genders,woman,0.5924176
en,nouns,neuter,soap,genders,woman,0.71538794
en,nouns,neuter,rock,genders,woman,0.6012743
en,nouns,neuter,toilet,genders,woman,0.43512473
en,nouns,neuter,rain,genders,woman,0.5826028
en,nouns,neuter,underpants,genders,woman,0.4160367
en,nouns,neuter,pants,genders,woman,0.5464113
en,nouns,neuter,tail,genders,woman,0.6407855
en,nouns,neuter,lip,genders,woman,0.5507602
en,nouns,neuter,butterfly,genders,woman,0.6138558
en,nouns,neuter,fish,genders,woman,0.65729773
en,nouns,neuter,boot,genders,woman,0.6111228
en,nouns,neuter,apple,genders,woman,0.58949924
en,nouns,neuter,sun,genders,woman,0.69018185
en,nouns,neuter,diaper,genders,woman,0.57696986
en,nouns,neuter,bumblebee,genders,woman,0.44862202
en,nouns,neuter,frog,genders,woman,0.583932
en,nouns,neuter,spaghetti,genders,woman,0.2708946
en,nouns,neuter,toothbrush,genders,woman,0.44378072
en,nouns,neuter,pea,genders,woman,0.6297168
en,nouns,neuter,lettuce,genders,woman,0.38837242
en,nouns,neuter,wall,genders,woman,0.580034
en,nouns,neuter,clock,genders,woman,0.68972313
en,nouns,neuter,dirt,genders,woman,0.5313675
en,nouns,neuter,dresser,genders,woman,0.5415323
en,nouns,neuter,sidewalk,genders,woman,0.5390695
en,nouns,neuter,washcloth,genders,woman,0.37956813
en,nouns,neuter,stove,genders,woman,0.5301219
en,nouns,neuter,tomato,genders,woman,0.3859233
en,nouns,neuter,sand,genders,woman,0.61595345
en,nouns,neuter,lemon,genders,woman,0.6022209
en,nouns,neuter,noodle,genders,woman,0.49606478
en,nouns,neuter,box,genders,woman,0.6122054
en,nouns,neuter,candy,genders,woman,0.47142842
en,nouns,neuter,sandbox,genders,woman,0.50920653
en,nouns,neuter,snow,genders,woman,0.57566994
en,nouns,neuter,bench,genders,woman,0.4428361
en,nouns,neuter,drum,genders,woman,0.5887502
en,nouns,neuter,shoulder,genders,woman,0.52368367
en,nouns,neuter,table,genders,woman,0.6249079
en,nouns,neuter,bowl,genders,woman,0.65845144
en,nouns,neuter,pancake,genders,woman,0.39292568
en,nouns,neuter,fist,genders,woman,0.630018
en,nouns,neuter,pajamas,genders,woman,0.50034684
en,nouns,neuter,button,genders,woman,0.5363975
en,nouns,neuter,toast,genders,woman,0.5264035
en,nouns,neuter,sponge,genders,woman,0.5322818
en,nouns,neuter,couch,genders,woman,0.5337648
en,nouns,neuter,cage,genders,woman,0.54437
en,nouns,neuter,mattress,genders,woman,0.5608143
en,nouns,neuter,seesaw,genders,woman,0.52016556
en,nouns,neuter,necklace,genders,woman,0.47408256
