LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.82669055
es,nouns,feminine,luna,genders,hombre,0.85810655
es,nouns,feminine,escoba,genders,hombre,0.84499776
es,nouns,feminine,ballena,genders,hombre,0.74213016
es,nouns,feminine,cuchara,genders,hombre,0.8020147
es,nouns,feminine,roca,genders,hombre,0.8292285
es,nouns,feminine,lluvia,genders,hombre,0.84373945
es,nouns,feminine,cola,genders,hombre,0.8374153
es,nouns,feminine,mariposa,genders,hombre,0.8385281
es,nouns,feminine,pez,genders,hombre,0.81187415
es,nouns,feminine,bota,genders,hombre,0.8247493
es,nouns,feminine,manzana,genders,hombre,0.7325314
es,nouns,feminine,rana,genders,hombre,0.827647
es,nouns,feminine,lechuga,genders,hombre,0.8437512
es,nouns,feminine,suciedad,genders,hombre,0.8363955
es,nouns,feminine,acera,genders,hombre,0.8375758
es,nouns,feminine,tapa,genders,hombre,0.8627749
es,nouns,feminine,cocina,genders,hombre,0.83290184
es,nouns,feminine,arena,genders,hombre,0.7799323
es,nouns,feminine,caja,genders,hombre,0.85474586
es,nouns,feminine,salvadera,genders,hombre,0.7743807
es,nouns,feminine,nieve,genders,hombre,0.84107524
es,nouns,feminine,mesa,genders,hombre,0.8121734
es,nouns,feminine,tortita,genders,hombre,0.6958063
es,nouns,feminine,pijama,genders,hombre,0.79124874
es,nouns,feminine,tostada,genders,hombre,0.78663
es,nouns,feminine,esponja,genders,hombre,0.835638
es,nouns,feminine,jaula,genders,hombre,0.81736964
es,nouns,feminine,mariquita,genders,hombre,0.84033906
es,nouns,feminine,calabaza,genders,hombre,0.813271
es,nouns,feminine,estrella,genders,hombre,0.81302476
es,nouns,feminine,piña,genders,hombre,0.82296187
es,nouns,feminine,raya,genders,hombre,0.8616893
es,nouns,feminine,silla,genders,hombre,0.83189356
es,nouns,feminine,película,genders,hombre,0.66626155
es,nouns,feminine,ala,genders,hombre,0.8400709
es,nouns,feminine,hamburguesa,genders,hombre,0.8068962
es,nouns,feminine,uña,genders,hombre,0.8616599
es,nouns,feminine,cabeza,genders,hombre,0.84621865
es,nouns,feminine,llave,genders,hombre,0.8538751
es,nouns,feminine,barriga,genders,hombre,0.83084357
es,nouns,feminine,tostadora,genders,mujer,0.7905515
es,nouns,feminine,luna,genders,mujer,0.81474376
es,nouns,feminine,escoba,genders,mujer,0.80840266
es,nouns,feminine,ballena,genders,mujer,0.6896539
es,nouns,feminine,cuchara,genders,mujer,0.76785374
es,nouns,feminine,roca,genders,mujer,0.76667404
es,nouns,feminine,lluvia,genders,mujer,0.7930208
es,nouns,feminine,cola,genders,mujer,0.8096281
es,nouns,feminine,mariposa,genders,mujer,0.81955147
es,nouns,feminine,pez,genders,mujer,0.7714429
es,nouns,feminine,bota,genders,mujer,0.7730989
es,nouns,feminine,manzana,genders,mujer,0.7086981
es,nouns,feminine,rana,genders,mujer,0.7915534
es,nouns,feminine,lechuga,genders,mujer,0.8048387
es,nouns,feminine,suciedad,genders,mujer,0.798732
es,nouns,feminine,acera,genders,mujer,0.79941744
es,nouns,feminine,tapa,genders,mujer,0.8203543
es,nouns,feminine,cocina,genders,mujer,0.79011273
es,nouns,feminine,arena,genders,mujer,0.7194657
es,nouns,feminine,caja,genders,mujer,0.8038105
es,nouns,feminine,salvadera,genders,mujer,0.7277091
es,nouns,feminine,nieve,genders,mujer,0.79709035
es,nouns,feminine,mesa,genders,mujer,0.7691352
es,nouns,feminine,tortita,genders,mujer,0.65795225
es,nouns,feminine,pijama,genders,mujer,0.7392806
es,nouns,feminine,tostada,genders,mujer,0.7477988
es,nouns,feminine,esponja,genders,mujer,0.79768527
es,nouns,feminine,jaula,genders,mujer,0.7784725
es,nouns,feminine,mariquita,genders,mujer,0.8141314
es,nouns,feminine,calabaza,genders,mujer,0.78019726
es,nouns,feminine,estrella,genders,mujer,0.76979166
es,nouns,feminine,piña,genders,mujer,0.7747705
es,nouns,feminine,raya,genders,mujer,0.808945
