LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.085172825
es,nouns,feminine,luna,genders,hombre,0.17805673
es,nouns,feminine,escoba,genders,hombre,0.19937533
es,nouns,feminine,ballena,genders,hombre,0.16391186
es,nouns,feminine,cuchara,genders,hombre,0.12781747
es,nouns,feminine,roca,genders,hombre,0.1485463
es,nouns,feminine,lluvia,genders,hombre,0.12878413
es,nouns,feminine,cola,genders,hombre,0.10803354
es,nouns,feminine,mariposa,genders,hombre,0.17866984
es,nouns,feminine,pez,genders,hombre,0.19572514
es,nouns,feminine,bota,genders,hombre,0.089778356
es,nouns,feminine,manzana,genders,hombre,0.32612145
es,nouns,feminine,rana,genders,hombre,0.12477579
es,nouns,feminine,lechuga,genders,hombre,0.09683928
es,nouns,feminine,suciedad,genders,hombre,0.11903861
es,nouns,feminine,acera,genders,hombre,0.12572554
es,nouns,feminine,tapa,genders,hombre,0.108186
es,nouns,feminine,cocina,genders,hombre,0.1969254
es,nouns,feminine,arena,genders,hombre,0.17370103
es,nouns,feminine,caja,genders,hombre,0.24203229
es,nouns,feminine,salvadera,genders,hombre,0.17428577
es,nouns,feminine,nieve,genders,hombre,0.13097234
es,nouns,feminine,mesa,genders,hombre,0.14028141
es,nouns,feminine,tortita,genders,hombre,0.105699815
es,nouns,feminine,pijama,genders,hombre,0.13566273
es,nouns,feminine,tostada,genders,hombre,0.085172825
es,nouns,feminine,esponja,genders,hombre,0.19937533
es,nouns,feminine,jaula,genders,hombre,0.12051062
es,nouns,feminine,mariquita,genders,hombre,0.17866984
es,nouns,feminine,calabaza,genders,hombre,0.14004235
es,nouns,feminine,estrella,genders,hombre,0.21956916
es,nouns,feminine,piña,genders,hombre,0.13566273
es,nouns,feminine,raya,genders,hombre,0.12455538
es,nouns,feminine,silla,genders,hombre,0.15551475
es,nouns,feminine,película,genders,hombre,0.21359333
es,nouns,feminine,ala,genders,hombre,0.17102088
es,nouns,feminine,hamburguesa,genders,hombre,0.16818665
es,nouns,feminine,uña,genders,hombre,0.12088125
es,nouns,feminine,cabeza,genders,hombre,0.26964462
es,nouns,feminine,llave,genders,hombre,0.12878413
es,nouns,feminine,barriga,genders,hombre,0.14635868
es,nouns,feminine,tostadora,genders,mujer,0.11492218
es,nouns,feminine,luna,genders,mujer,0.19441684
es,nouns,feminine,escoba,genders,mujer,0.15005495
es,nouns,feminine,ballena,genders,mujer,0.13643931
es,nouns,feminine,cuchara,genders,mujer,0.1439282
es,nouns,feminine,roca,genders,mujer,0.19345772
es,nouns,feminine,lluvia,genders,mujer,0.15188606
es,nouns,feminine,cola,genders,mujer,0.12588821
es,nouns,feminine,mariposa,genders,mujer,0.22231591
es,nouns,feminine,pez,genders,mujer,0.20004414
es,nouns,feminine,bota,genders,mujer,0.090716995
es,nouns,feminine,manzana,genders,mujer,0.20079929
es,nouns,feminine,rana,genders,mujer,0.08587535
es,nouns,feminine,lechuga,genders,mujer,0.10394008
