LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,1.0000001
es,nouns,feminine,luna,genders,hombre,1.0000001
es,nouns,feminine,escoba,genders,hombre,1.0000001
es,nouns,feminine,ballena,genders,hombre,1.0000001
es,nouns,feminine,cuchara,genders,hombre,1.0000001
es,nouns,feminine,roca,genders,hombre,1.0000001
es,nouns,feminine,lluvia,genders,hombre,1.0000001
es,nouns,feminine,cola,genders,hombre,1.0000001
es,nouns,feminine,mariposa,genders,hombre,1.0000001
es,nouns,feminine,pez,genders,hombre,1.0000001
es,nouns,feminine,bota,genders,hombre,1.0000001
es,nouns,feminine,manzana,genders,hombre,1.0000001
es,nouns,feminine,rana,genders,hombre,1.0000001
es,nouns,feminine,lechuga,genders,hombre,1.0000001
es,nouns,feminine,suciedad,genders,hombre,1.0000001
es,nouns,feminine,acera,genders,hombre,1.0000001
es,nouns,feminine,tapa,genders,hombre,1.0000001
es,nouns,feminine,cocina,genders,hombre,1.0000001
es,nouns,feminine,arena,genders,hombre,1.0000001
es,nouns,feminine,caja,genders,hombre,1.0000001
es,nouns,feminine,salvadera,genders,hombre,1.0000001
es,nouns,feminine,nieve,genders,hombre,1.0000001
es,nouns,feminine,mesa,genders,hombre,1.0000001
es,nouns,feminine,tortita,genders,hombre,1.0000001
es,nouns,feminine,pijama,genders,hombre,1.0000001
es,nouns,feminine,tostada,genders,hombre,1.0000001
es,nouns,feminine,esponja,genders,hombre,1.0000001
es,nouns,feminine,jaula,genders,hombre,1.0000001
es,nouns,feminine,mariquita,genders,hombre,1.0000001
es,nouns,feminine,calabaza,genders,hombre,1.0000001
es,nouns,feminine,estrella,genders,hombre,1.0000001
es,nouns,feminine,piña,genders,hombre,1.0000001
es,nouns,feminine,raya,genders,hombre,1.0000001
es,nouns,feminine,silla,genders,hombre,1.0000001
es,nouns,feminine,película,genders,hombre,1.0000001
es,nouns,feminine,ala,genders,hombre,1.0000001
es,nouns,feminine,hamburguesa,genders,hombre,1.0000001
es,nouns,feminine,uña,genders,hombre,1.0000001
es,nouns,feminine,cabeza,genders,hombre,1.0000001
es,nouns,feminine,llave,genders,hombre,1.0000001
es,nouns,feminine,barriga,genders,hombre,1.0000001
es,nouns,feminine,tostadora,genders,mujer,1.0000001
es,nouns,feminine,luna,genders,mujer,1.0000001
es,nouns,feminine,escoba,genders,mujer,1.0000001
es,nouns,feminine,ballena,genders,mujer,1.0000001
es,nouns,feminine,cuchara,genders,mujer,1.0000001
es,nouns,feminine,roca,genders,mujer,1.0000001
es,nouns,feminine,lluvia,genders,mujer,1.0000001
es,nouns,feminine,cola,genders,mujer,1.0000001
es,nouns,feminine,mariposa,genders,mujer,1.0000001
es,nouns,feminine,pez,genders,mujer,1.0000001
es,nouns,feminine,bota,genders,mujer,1.0000001
es,nouns,feminine,manzana,genders,mujer,1.0000001
es,nouns,feminine,rana,genders,mujer,1.0000001
es,nouns,feminine,lechuga,genders,mujer,1.0000001
es,nouns,feminine,suciedad,genders,mujer,1.0000001
es,nouns,feminine,acera,genders,mujer,1.0000001
es,nouns,feminine,tapa,genders,mujer,1.0000001
es,nouns,feminine,cocina,genders,mujer,1.0000001
es,nouns,feminine,arena,genders,mujer,1.0000001
es,nouns,feminine,caja,genders,mujer,1.0000001
es,nouns,feminine,salvadera,genders,mujer,1.0000001
es,nouns,feminine,nieve,genders,mujer,1.0000001
es,nouns,feminine,mesa,genders,mujer,1.0000001
es,nouns,feminine,tortita,genders,mujer,1.0000001
es,nouns,feminine,pijama,genders,mujer,1.0000001
es,nouns,feminine,tostada,genders,mujer,1.0000001
es,nouns,feminine,esponja,genders,mujer,1.0000001
es,nouns,feminine,jaula,genders,mujer,1.0000001
es,nouns,feminine,mariquita,genders,mujer,1.0000001
es,nouns,feminine,calabaza,genders,mujer,1.0000001
es,nouns,feminine,estrella,genders,mujer,1.0000001
es,nouns,feminine,piña,genders,mujer,1.0000001
es,nouns,feminine,raya,genders,mujer,1.0000001
es,nouns,feminine,silla,genders,mujer,1.0000001
es,nouns,feminine,película,genders,mujer,1.0000001
es,nouns,feminine,ala,genders,mujer,1.0000001
es,nouns,feminine,hamburguesa,genders,mujer,1.0000001
es,nouns,feminine,uña,genders,mujer,1.0000001
es,nouns,feminine,cabeza,genders,mujer,1.0000001
es,nouns,feminine,llave,genders,mujer,1.0000001
es,nouns,feminine,barriga,genders,mujer,1.0000001
es,nouns,feminine,tostadora,determiners,el,1.0000001
es,nouns,feminine,luna,determiners,el,1.0000001
es,nouns,feminine,escoba,determiners,el,1.0000001
es,nouns,feminine,ballena,determiners,el,1.0000001
es,nouns,feminine,cuchara,determiners,el,1.0000001
es,nouns,feminine,roca,determiners,el,1.0000001
es,nouns,feminine,lluvia,determiners,el,1.0000001
es,nouns,feminine,cola,determiners,el,1.0000001
es,nouns,feminine,mariposa,determiners,el,1.0000001
es,nouns,feminine,pez,determiners,el,1.0000001
es,nouns,feminine,bota,determiners,el,1.0000001
es,nouns,feminine,manzana,determiners,el,1.0000001
es,nouns,feminine,rana,determiners,el,1.0000001
es,nouns,feminine,lechuga,determiners,el,1.0000001
es,nouns,feminine,suciedad,determiners,el,1.0000001
es,nouns,feminine,acera,determiners,el,1.0000001
es,nouns,feminine,tapa,determiners,el,1.0000001
es,nouns,feminine,cocina,determiners,el,1.0000001
es,nouns,feminine,arena,determiners,el,1.0000001
es,nouns,feminine,caja,determiners,el,1.0000001
es,nouns,feminine,salvadera,determiners,el,1.0000001
es,nouns,feminine,nieve,determiners,el,1.0000001
es,nouns,feminine,mesa,determiners,el,1.0000001
es,nouns,feminine,tortita,determiners,el,1.0000001
es,nouns,feminine,pijama,determiners,el,1.0000001
es,nouns,feminine,tostada,determiners,el,1.0000001
es,nouns,feminine,esponja,determiners,el,1.0000001
es,nouns,feminine,jaula,determiners,el,1.0000001
es,nouns,feminine,mariquita,determiners,el,1.0000001
es,nouns,feminine,calabaza,determiners,el,1.0000001
