LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.00992483
es,nouns,feminine,luna,genders,hombre,0.17805673
es,nouns,feminine,escoba,genders,hombre,0.042863924
es,nouns,feminine,ballena,genders,hombre,0.07813962
es,nouns,feminine,cuchara,genders,hombre,0.00992483
es,nouns,feminine,roca,genders,hombre,0.1485463
es,nouns,feminine,lluvia,genders,hombre,0.096523605
es,nouns,feminine,cola,genders,hombre,0.10803354
es,nouns,feminine,mariposa,genders,hombre,0.06840592
es,nouns,feminine,pez,genders,hombre,0.19572514
es,nouns,feminine,bota,genders,hombre,0.033151023
es,nouns,feminine,manzana,genders,hombre,0.050793808
es,nouns,feminine,rana,genders,hombre,0.033151023
es,nouns,feminine,lechuga,genders,hombre,0.0519605
es,nouns,feminine,suciedad,genders,hombre,0.13060385
es,nouns,feminine,acera,genders,hombre,0.052334245
es,nouns,feminine,tapa,genders,hombre,0.108186
es,nouns,feminine,cocina,genders,hombre,0.1969254
es,nouns,feminine,arena,genders,hombre,0.17370103
es,nouns,feminine,caja,genders,hombre,0.24203229
es,nouns,feminine,salvadera,genders,hombre,0.046690892
es,nouns,feminine,nieve,genders,hombre,0.019188413
es,nouns,feminine,mesa,genders,hombre,0.14028141
es,nouns,feminine,tortita,genders,hombre,0.024530241
es,nouns,feminine,pijama,genders,hombre,0.065866716
es,nouns,feminine,tostada,genders,hombre,0.08456693
es,nouns,feminine,esponja,genders,hombre,0.03762514
es,nouns,feminine,jaula,genders,hombre,0.010558361
es,nouns,feminine,mariquita,genders,hombre,0.034435842
es,nouns,feminine,calabaza,genders,hombre,0.042833675
es,nouns,feminine,estrella,genders,hombre,0.21956916
es,nouns,feminine,piña,genders,hombre,0.117570795
es,nouns,feminine,raya,genders,hombre,0.12455538
es,nouns,feminine,silla,genders,hombre,0.010558361
es,nouns,feminine,película,genders,hombre,0.21359333
es,nouns,feminine,ala,genders,hombre,0.17102088
es,nouns,feminine,hamburguesa,genders,hombre,0.084802836
es,nouns,feminine,uña,genders,hombre,0.117570795
es,nouns,feminine,cabeza,genders,hombre,0.26964462
es,nouns,feminine,llave,genders,hombre,0.09731134
es,nouns,feminine,barriga,genders,hombre,0.07176291
es,nouns,feminine,tostadora,genders,mujer,0.038197644
es,nouns,feminine,luna,genders,mujer,0.19441684
es,nouns,feminine,escoba,genders,mujer,0.04622105
es,nouns,feminine,ballena,genders,mujer,0.09823497
es,nouns,feminine,cuchara,genders,mujer,0.038197644
es,nouns,feminine,roca,genders,mujer,0.19345772
es,nouns,feminine,lluvia,genders,mujer,0.039556954
es,nouns,feminine,cola,genders,mujer,0.12588821
es,nouns,feminine,mariposa,genders,mujer,0.093591124
es,nouns,feminine,pez,genders,mujer,0.20004414
es,nouns,feminine,bota,genders,mujer,0.05669416
es,nouns,feminine,manzana,genders,mujer,0.10560516
es,nouns,feminine,rana,genders,mujer,0.05669416
es,nouns,feminine,lechuga,genders,mujer,0.03104703
es,nouns,feminine,suciedad,genders,mujer,0.13793023
es,nouns,feminine,acera,genders,mujer,0.015779966
es,nouns,feminine,tapa,genders,mujer,0.13618256
es,nouns,feminine,cocina,genders,mujer,0.2840632
es,nouns,feminine,arena,genders,mujer,0.13129963
es,nouns,feminine,caja,genders,mujer,0.2665955
es,nouns,feminine,salvadera,genders,mujer,0.026395462
es,nouns,feminine,nieve,genders,mujer,0.065380916
es,nouns,feminine,mesa,genders,mujer,0.14297687
es,nouns,feminine,tortita,genders,mujer,0.050164513
es,nouns,feminine,pijama,genders,mujer,0.047333375
es,nouns,feminine,tostada,genders,mujer,0.09664083
es,nouns,feminine,esponja,genders,mujer,0.019689115
es,nouns,feminine,jaula,genders,mujer,0.041585747
es,nouns,feminine,mariquita,genders,mujer,0.06391606
es,nouns,feminine,calabaza,genders,mujer,0.014004293
es,nouns,feminine,estrella,genders,mujer,0.27079344
es,nouns,feminine,piña,genders,mujer,0.15185437
es,nouns,feminine,raya,genders,mujer,0.13639781
es,nouns,feminine,silla,genders,mujer,0.041585747
es,nouns,feminine,película,genders,mujer,0.32324433
es,nouns,feminine,ala,genders,mujer,0.101327725
es,nouns,feminine,hamburguesa,genders,mujer,0.07112934
es,nouns,feminine,uña,genders,mujer,0.15185437
es,nouns,feminine,cabeza,genders,mujer,0.29746115
es,nouns,feminine,llave,genders,mujer,0.091471516
es,nouns,feminine,barriga,genders,mujer,0.046797097
es,nouns,feminine,tostadora,determiners,el,0.18132742
es,nouns,feminine,luna,determiners,el,0.07949517
es,nouns,feminine,escoba,determiners,el,0.1356611
es,nouns,feminine,ballena,determiners,el,0.028109726
es,nouns,feminine,cuchara,determiners,el,0.18132742
es,nouns,feminine,roca,determiners,el,0.10287427
es,nouns,feminine,lluvia,determiners,el,-0.016432345
es,nouns,feminine,cola,determiners,el,0.21655662
es,nouns,feminine,mariposa,determiners,el,0.010530925
es,nouns,feminine,pez,determiners,el,0.09624754
es,nouns,feminine,bota,determiners,el,0.19557528
es,nouns,feminine,manzana,determiners,el,0.0017721468
es,nouns,feminine,rana,determiners,el,0.19557528
es,nouns,feminine,lechuga,determiners,el,0.091833636
es,nouns,feminine,suciedad,determiners,el,0.0688994
es,nouns,feminine,acera,determiners,el,0.058324907
es,nouns,feminine,tapa,determiners,el,0.18948117
es,nouns,feminine,cocina,determiners,el,0.092907436
es,nouns,feminine,arena,determiners,el,0.12382601
es,nouns,feminine,caja,determiners,el,0.12607794
es,nouns,feminine,salvadera,determiners,el,0.01955311
es,nouns,feminine,nieve,determiners,el,0.094864525
es,nouns,feminine,mesa,determiners,el,0.089083485
es,nouns,feminine,tortita,determiners,el,0.12889186
es,nouns,feminine,pijama,determiners,el,-0.08228839
es,nouns,feminine,tostada,determiners,el,0.022187185
es,nouns,feminine,esponja,determiners,el,0.119773254
es,nouns,feminine,jaula,determiners,el,0.16059837
es,nouns,feminine,mariquita,determiners,el,0.015047469
es,nouns,feminine,calabaza,determiners,el,0.11976517
es,nouns,feminine,estrella,determiners,el,0.164374
es,nouns,feminine,piña,determiners,el,0.106313035
es,nouns,feminine,raya,determiners,el,0.11553843
es,nouns,feminine,silla,determiners,el,0.16059837
es,nouns,feminine,película,determiners,el,0.18195245
es,nouns,feminine,ala,determiners,el,0.21133545
es,nouns,feminine,hamburguesa,determiners,el,-0.019908004
es,nouns,feminine,uña,determiners,el,0.106313035
es,nouns,feminine,cabeza,determiners,el,0.15492314
