LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.0016491864
es,nouns,feminine,luna,genders,hombre,1.0000001
es,nouns,feminine,escoba,genders,hombre,-0.030156048
es,nouns,feminine,ballena,genders,hombre,-0.0291316
es,nouns,feminine,cuchara,genders,hombre,0.012839187
es,nouns,feminine,roca,genders,hombre,1.0000001
es,nouns,feminine,lluvia,genders,hombre,-0.037180573
es,nouns,feminine,cola,genders,hombre,1.0000001
es,nouns,feminine,mariposa,genders,hombre,-0.034157965
es,nouns,feminine,pez,genders,hombre,1.0000001
es,nouns,feminine,bota,genders,hombre,-0.0106493505
es,nouns,feminine,manzana,genders,hombre,-0.029480796
es,nouns,feminine,rana,genders,hombre,-0.017317856
es,nouns,feminine,lechuga,genders,hombre,-0.013270181
es,nouns,feminine,suciedad,genders,hombre,-0.0071811657
es,nouns,feminine,acera,genders,hombre,-0.00027456673
es,nouns,feminine,tapa,genders,hombre,1.0000001
es,nouns,feminine,cocina,genders,hombre,1.0000001
es,nouns,feminine,arena,genders,hombre,1.0000001
es,nouns,feminine,caja,genders,hombre,1.0000001
es,nouns,feminine,salvadera,genders,hombre,0.0014854987
es,nouns,feminine,nieve,genders,hombre,0.029140757
es,nouns,feminine,mesa,genders,hombre,1.0000001
es,nouns,feminine,tortita,genders,hombre,-0.003958573
es,nouns,feminine,pijama,genders,hombre,0.014569958
es,nouns,feminine,tostada,genders,hombre,-0.0046961806
es,nouns,feminine,esponja,genders,hombre,-0.015422526
es,nouns,feminine,jaula,genders,hombre,0.021176603
es,nouns,feminine,mariquita,genders,hombre,-0.034157965
es,nouns,feminine,calabaza,genders,hombre,-0.010980219
es,nouns,feminine,estrella,genders,hombre,1.0000001
es,nouns,feminine,piña,genders,hombre,0.014569958
es,nouns,feminine,raya,genders,hombre,1.0000001
es,nouns,feminine,silla,genders,hombre,-0.024216307
es,nouns,feminine,película,genders,hombre,1.0000001
es,nouns,feminine,ala,genders,hombre,1.0000001
es,nouns,feminine,hamburguesa,genders,hombre,-0.009429726
es,nouns,feminine,uña,genders,hombre,0.004640879
es,nouns,feminine,cabeza,genders,hombre,1.0000001
es,nouns,feminine,llave,genders,hombre,-0.037180573
es,nouns,feminine,barriga,genders,hombre,-0.035341438
es,nouns,feminine,tostadora,genders,mujer,0.0016491864
es,nouns,feminine,luna,genders,mujer,1.0000001
es,nouns,feminine,escoba,genders,mujer,-0.030156048
es,nouns,feminine,ballena,genders,mujer,-0.0291316
es,nouns,feminine,cuchara,genders,mujer,0.012839187
es,nouns,feminine,roca,genders,mujer,1.0000001
es,nouns,feminine,lluvia,genders,mujer,-0.037180573
es,nouns,feminine,cola,genders,mujer,1.0000001
es,nouns,feminine,mariposa,genders,mujer,-0.034157965
es,nouns,feminine,pez,genders,mujer,1.0000001
es,nouns,feminine,bota,genders,mujer,-0.0106493505
es,nouns,feminine,manzana,genders,mujer,-0.029480796
es,nouns,feminine,rana,genders,mujer,-0.017317856
es,nouns,feminine,lechuga,genders,mujer,-0.013270181
es,nouns,feminine,suciedad,genders,mujer,-0.0071811657
es,nouns,feminine,acera,genders,mujer,-0.00027456673
es,nouns,feminine,tapa,genders,mujer,1.0000001
es,nouns,feminine,cocina,genders,mujer,1.0000001
es,nouns,feminine,arena,genders,mujer,1.0000001
es,nouns,feminine,caja,genders,mujer,1.0000001
es,nouns,feminine,salvadera,genders,mujer,0.0014854987
es,nouns,feminine,nieve,genders,mujer,0.029140757
es,nouns,feminine,mesa,genders,mujer,1.0000001
es,nouns,feminine,tortita,genders,mujer,-0.003958573
es,nouns,feminine,pijama,genders,mujer,0.014569958
es,nouns,feminine,tostada,genders,mujer,-0.0046961806
es,nouns,feminine,esponja,genders,mujer,-0.015422526
es,nouns,feminine,jaula,genders,mujer,0.021176603
es,nouns,feminine,mariquita,genders,mujer,-0.034157965
es,nouns,feminine,calabaza,genders,mujer,-0.010980219
es,nouns,feminine,estrella,genders,mujer,1.0000001
es,nouns,feminine,piña,genders,mujer,0.014569958
es,nouns,feminine,raya,genders,mujer,1.0000001
es,nouns,feminine,silla,genders,mujer,-0.024216307
es,nouns,feminine,película,genders,mujer,1.0000001
es,nouns,feminine,ala,genders,mujer,1.0000001
es,nouns,feminine,hamburguesa,genders,mujer,-0.009429726
es,nouns,feminine,uña,genders,mujer,0.004640879
es,nouns,feminine,cabeza,genders,mujer,1.0000001
es,nouns,feminine,llave,genders,mujer,-0.037180573
es,nouns,feminine,barriga,genders,mujer,-0.035341438
es,nouns,feminine,tostadora,determiners,el,0.0016491864
es,nouns,feminine,luna,determiners,el,1.0000001
es,nouns,feminine,escoba,determiners,el,-0.030156048
es,nouns,feminine,ballena,determiners,el,-0.0291316
es,nouns,feminine,cuchara,determiners,el,0.012839187
es,nouns,feminine,roca,determiners,el,1.0000001
es,nouns,feminine,lluvia,determiners,el,-0.037180573
es,nouns,feminine,cola,determiners,el,1.0000001
es,nouns,feminine,mariposa,determiners,el,-0.034157965
es,nouns,feminine,pez,determiners,el,1.0000001
es,nouns,feminine,bota,determiners,el,-0.0106493505
es,nouns,feminine,manzana,determiners,el,-0.029480796
es,nouns,feminine,rana,determiners,el,-0.017317856
es,nouns,feminine,lechuga,determiners,el,-0.013270181
es,nouns,feminine,suciedad,determiners,el,-0.0071811657
es,nouns,feminine,acera,determiners,el,-0.00027456673
es,nouns,feminine,tapa,determiners,el,1.0000001
es,nouns,feminine,cocina,determiners,el,1.0000001
es,nouns,feminine,arena,determiners,el,1.0000001
es,nouns,feminine,caja,determiners,el,1.0000001
es,nouns,feminine,salvadera,determiners,el,0.0014854987
es,nouns,feminine,nieve,determiners,el,0.029140757
es,nouns,feminine,mesa,determiners,el,1.0000001
es,nouns,feminine,tortita,determiners,el,-0.003958573
es,nouns,feminine,pijama,determiners,el,0.014569958
es,nouns,feminine,tostada,determiners,el,-0.0046961806
es,nouns,feminine,esponja,determiners,el,-0.015422526
es,nouns,feminine,jaula,determiners,el,0.021176603
es,nouns,feminine,mariquita,determiners,el,-0.034157965
es,nouns,feminine,calabaza,determiners,el,-0.010980219
es,nouns,feminine,estrella,determiners,el,1.0000001
es,nouns,feminine,piña,determiners,el,0.014569958
es,nouns,feminine,raya,determiners,el,1.0000001
es,nouns,feminine,silla,determiners,el,-0.024216307
es,nouns,feminine,película,determiners,el,1.0000001
es,nouns,feminine,ala,determiners,el,1.0000001
es,nouns,feminine,hamburguesa,determiners,el,-0.009429726
es,nouns,feminine,uña,determiners,el,0.004640879
es,nouns,feminine,cabeza,determiners,el,1.0000001
es,nouns,feminine,llave,determiners,el,-0.037180573
es,nouns,feminine,barriga,determiners,el,-0.035341438
es,nouns,feminine,tostadora,determiners,la,0.0016491864
es,nouns,feminine,luna,determiners,la,1.0000001
es,nouns,feminine,escoba,determiners,la,-0.030156048
es,nouns,feminine,ballena,determiners,la,-0.0291316
es,nouns,feminine,cuchara,determiners,la,0.012839187
es,nouns,feminine,roca,determiners,la,1.0000001
es,nouns,feminine,lluvia,determiners,la,-0.037180573
es,nouns,feminine,cola,determiners,la,1.0000001
es,nouns,feminine,mariposa,determiners,la,-0.034157965
es,nouns,feminine,pez,determiners,la,1.0000001
es,nouns,feminine,bota,determiners,la,-0.0106493505
es,nouns,feminine,manzana,determiners,la,-0.029480796
