LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.1337633
es,nouns,feminine,luna,genders,hombre,0.17805673
es,nouns,feminine,escoba,genders,hombre,0.1418272
es,nouns,feminine,ballena,genders,hombre,0.16629231
es,nouns,feminine,cuchara,genders,hombre,0.11932729
es,nouns,feminine,roca,genders,hombre,0.1485463
es,nouns,feminine,lluvia,genders,hombre,0.15617625
es,nouns,feminine,cola,genders,hombre,0.10803354
es,nouns,feminine,mariposa,genders,hombre,0.16058658
es,nouns,feminine,pez,genders,hombre,0.19572514
es,nouns,feminine,bota,genders,hombre,0.087676376
es,nouns,feminine,manzana,genders,hombre,0.2527222
es,nouns,feminine,rana,genders,hombre,0.11291386
es,nouns,feminine,lechuga,genders,hombre,0.116540395
es,nouns,feminine,suciedad,genders,hombre,0.13509527
es,nouns,feminine,acera,genders,hombre,0.11918537
es,nouns,feminine,tapa,genders,hombre,0.108186
es,nouns,feminine,cocina,genders,hombre,0.1969254
es,nouns,feminine,arena,genders,hombre,0.17370103
es,nouns,feminine,caja,genders,hombre,0.24203229
es,nouns,feminine,salvadera,genders,hombre,0.1500948
es,nouns,feminine,nieve,genders,hombre,0.10399834
es,nouns,feminine,mesa,genders,hombre,0.14028141
es,nouns,feminine,tortita,genders,hombre,0.08831598
es,nouns,feminine,pijama,genders,hombre,0.1381872
es,nouns,feminine,tostada,genders,hombre,0.11603307
es,nouns,feminine,esponja,genders,hombre,0.10343322
es,nouns,feminine,jaula,genders,hombre,0.09236065
es,nouns,feminine,mariquita,genders,hombre,0.14496754
es,nouns,feminine,calabaza,genders,hombre,0.1283735
es,nouns,feminine,estrella,genders,hombre,0.21956916
es,nouns,feminine,piña,genders,hombre,0.17430982
es,nouns,feminine,raya,genders,hombre,0.12455538
es,nouns,feminine,silla,genders,hombre,0.11668249
es,nouns,feminine,película,genders,hombre,0.21359333
es,nouns,feminine,ala,genders,hombre,0.17102088
es,nouns,feminine,hamburguesa,genders,hombre,0.12382215
es,nouns,feminine,uña,genders,hombre,0.16761924
es,nouns,feminine,cabeza,genders,hombre,0.26964462
es,nouns,feminine,llave,genders,hombre,0.15237153
es,nouns,feminine,barriga,genders,hombre,0.15451194
es,nouns,feminine,tostadora,genders,mujer,0.11799873
es,nouns,feminine,luna,genders,mujer,0.19441684
es,nouns,feminine,escoba,genders,mujer,0.12705782
es,nouns,feminine,ballena,genders,mujer,0.16038339
es,nouns,feminine,cuchara,genders,mujer,0.13045368
es,nouns,feminine,roca,genders,mujer,0.19345772
es,nouns,feminine,lluvia,genders,mujer,0.13167319
es,nouns,feminine,cola,genders,mujer,0.12588821
es,nouns,feminine,mariposa,genders,mujer,0.20536171
es,nouns,feminine,pez,genders,mujer,0.20004414
es,nouns,feminine,bota,genders,mujer,0.10292975
es,nouns,feminine,manzana,genders,mujer,0.20807065
es,nouns,feminine,rana,genders,mujer,0.09844848
es,nouns,feminine,lechuga,genders,mujer,0.086189516
es,nouns,feminine,suciedad,genders,mujer,0.20205635
es,nouns,feminine,acera,genders,mujer,0.08422204
es,nouns,feminine,tapa,genders,mujer,0.13618256
