LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.3937568
es,nouns,feminine,luna,genders,hombre,1.0000001
es,nouns,feminine,escoba,genders,hombre,0.40342098
es,nouns,feminine,ballena,genders,hombre,0.51604265
es,nouns,feminine,cuchara,genders,hombre,0.41750973
es,nouns,feminine,roca,genders,hombre,1.0000001
es,nouns,feminine,lluvia,genders,hombre,0.52071095
es,nouns,feminine,cola,genders,hombre,1.0000001
es,nouns,feminine,mariposa,genders,hombre,0.5214164
es,nouns,feminine,pez,genders,hombre,1.0000001
es,nouns,feminine,bota,genders,hombre,0.535839
es,nouns,feminine,manzana,genders,hombre,0.54245025
es,nouns,feminine,rana,genders,hombre,0.53123426
es,nouns,feminine,lechuga,genders,hombre,0.4083288
es,nouns,feminine,suciedad,genders,hombre,0.43428537
es,nouns,feminine,acera,genders,hombre,0.5640262
es,nouns,feminine,tapa,genders,hombre,1.0000001
es,nouns,feminine,cocina,genders,hombre,1.0000001
es,nouns,feminine,arena,genders,hombre,1.0000001
es,nouns,feminine,caja,genders,hombre,1.0000001
es,nouns,feminine,salvadera,genders,hombre,0.5450201
es,nouns,feminine,nieve,genders,hombre,0.5815723
es,nouns,feminine,mesa,genders,hombre,1.0000001
es,nouns,feminine,tortita,genders,hombre,0.4193472
es,nouns,feminine,pijama,genders,hombre,0.57016927
es,nouns,feminine,tostada,genders,hombre,0.53679264
es,nouns,feminine,esponja,genders,hombre,0.39995986
es,nouns,feminine,jaula,genders,hombre,0.56048685
es,nouns,feminine,mariquita,genders,hombre,0.5214164
es,nouns,feminine,calabaza,genders,hombre,0.40284416
es,nouns,feminine,estrella,genders,hombre,1.0000001
es,nouns,feminine,piña,genders,hombre,0.57016927
es,nouns,feminine,raya,genders,hombre,1.0000001
es,nouns,feminine,silla,genders,hombre,0.5374044
es,nouns,feminine,película,genders,hombre,1.0000001
es,nouns,feminine,ala,genders,hombre,1.0000001
es,nouns,feminine,hamburguesa,genders,hombre,0.41071928
es,nouns,feminine,uña,genders,hombre,0.5856144
es,nouns,feminine,cabeza,genders,hombre,1.0000001
es,nouns,feminine,llave,genders,hombre,0.52071095
es,nouns,feminine,barriga,genders,hombre,0.5079439
es,nouns,feminine,tostadora,genders,mujer,0.3937568
es,nouns,feminine,luna,genders,mujer,1.0000001
es,nouns,feminine,escoba,genders,mujer,0.40342098
es,nouns,feminine,ballena,genders,mujer,0.51604265
es,nouns,feminine,cuchara,genders,mujer,0.41750973
es,nouns,feminine,roca,genders,mujer,1.0000001
es,nouns,feminine,lluvia,genders,mujer,0.52071095
es,nouns,feminine,cola,genders,mujer,1.0000001
