LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.403403
es,nouns,feminine,luna,genders,hombre,0.659636
es,nouns,feminine,escoba,genders,hombre,0.48849025
es,nouns,feminine,ballena,genders,hombre,0.40682006
es,nouns,feminine,cuchara,genders,hombre,0.35783538
es,nouns,feminine,roca,genders,hombre,0.5299714
es,nouns,feminine,lluvia,genders,hombre,0.5588077
es,nouns,feminine,cola,genders,hombre,0.5821087
es,nouns,feminine,mariposa,genders,hombre,0.51788855
es,nouns,feminine,pez,genders,hombre,0.5959155
es,nouns,feminine,bota,genders,hombre,0.49640125
es,nouns,feminine,manzana,genders,hombre,0.5318177
es,nouns,feminine,rana,genders,hombre,0.49574396
es,nouns,feminine,lechuga,genders,hombre,0.45542216
es,nouns,feminine,suciedad,genders,hombre,0.47562355
es,nouns,feminine,acera,genders,hombre,0.5032112
es,nouns,feminine,tapa,genders,hombre,0.61376387
es,nouns,feminine,cocina,genders,hombre,0.56136644
es,nouns,feminine,arena,genders,hombre,0.5540571
es,nouns,feminine,caja,genders,hombre,0.6078604
es,nouns,feminine,salvadera,genders,hombre,0.3913358
es,nouns,feminine,nieve,genders,hombre,0.5460742
es,nouns,feminine,mesa,genders,hombre,0.56946653
es,nouns,feminine,tortita,genders,hombre,0.32071832
es,nouns,feminine,pijama,genders,hombre,0.47439745
es,nouns,feminine,tostada,genders,hombre,0.38120398
es,nouns,feminine,esponja,genders,hombre,0.49292988
es,nouns,feminine,jaula,genders,hombre,0.4263807
es,nouns,feminine,mariquita,genders,hombre,0.49406067
es,nouns,feminine,calabaza,genders,hombre,0.37966898
es,nouns,feminine,estrella,genders,hombre,0.5573073
es,nouns,feminine,piña,genders,hombre,0.50978744
es,nouns,feminine,raya,genders,hombre,0.5845667
es,nouns,feminine,silla,genders,hombre,0.49016678
es,nouns,feminine,película,genders,hombre,0.34566227
es,nouns,feminine,ala,genders,hombre,0.5962774
es,nouns,feminine,hamburguesa,genders,hombre,0.47088382
es,nouns,feminine,uña,genders,hombre,0.53784204
es,nouns,feminine,cabeza,genders,hombre,0.60016996
es,nouns,feminine,llave,genders,hombre,0.5265723
