LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.8266906
es,nouns,feminine,luna,genders,hombre,0.8581066
es,nouns,feminine,escoba,genders,hombre,0.84499806
es,nouns,feminine,ballena,genders,hombre,0.7421299
es,nouns,feminine,cuchara,genders,hombre,0.802015
es,nouns,feminine,roca,genders,hombre,0.8292287
es,nouns,feminine,lluvia,genders,hombre,0.84373957
es,nouns,feminine,cola,genders,hombre,0.8374154
es,nouns,feminine,mariposa,genders,hombre,0.8385285
es,nouns,feminine,pez,genders,hombre,0.81187415
es,nouns,feminine,bota,genders,hombre,0.82474947
es,nouns,feminine,manzana,genders,hombre,0.7325322
es,nouns,feminine,rana,genders,hombre,0.8276471
es,nouns,feminine,lechuga,genders,hombre,0.8437513
es,nouns,feminine,suciedad,genders,hombre,0.83639586
es,nouns,feminine,acera,genders,hombre,0.8375758
es,nouns,feminine,tapa,genders,hombre,0.8627751
es,nouns,feminine,cocina,genders,hombre,0.83290225
es,nouns,feminine,arena,genders,hombre,0.7799321
es,nouns,feminine,caja,genders,hombre,0.8547461
es,nouns,feminine,salvadera,genders,hombre,0.774381
es,nouns,feminine,nieve,genders,hombre,0.84107566
es,nouns,feminine,mesa,genders,hombre,0.8121734
es,nouns,feminine,tortita,genders,hombre,0.6958061
es,nouns,feminine,pijama,genders,hombre,0.7912488
es,nouns,feminine,tostada,genders,hombre,0.78663033
es,nouns,feminine,esponja,genders,hombre,0.8356383
es,nouns,feminine,jaula,genders,hombre,0.8173697
es,nouns,feminine,mariquita,genders,hombre,0.8403394
es,nouns,feminine,calabaza,genders,hombre,0.813271
es,nouns,feminine,estrella,genders,hombre,0.81302464
es,nouns,feminine,piña,genders,hombre,0.82296205
es,nouns,feminine,raya,genders,hombre,0.86168945
es,nouns,feminine,silla,genders,hombre,0.8318936
es,nouns,feminine,película,genders,hombre,0.66626215
es,nouns,feminine,ala,genders,hombre,0.8400715
es,nouns,feminine,hamburguesa,genders,hombre,0.80689645
es,nouns,feminine,uña,genders,hombre,0.8616602
es,nouns,feminine,cabeza,genders,hombre,0.8462188
es,nouns,feminine,llave,genders,hombre,0.85387534
