LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.43169045
es,nouns,feminine,luna,genders,hombre,0.659636
es,nouns,feminine,escoba,genders,hombre,0.46814397
es,nouns,feminine,ballena,genders,hombre,0.40566164
es,nouns,feminine,cuchara,genders,hombre,0.4062031
es,nouns,feminine,roca,genders,hombre,0.5299714
es,nouns,feminine,lluvia,genders,hombre,0.53272164
es,nouns,feminine,cola,genders,hombre,0.5821087
es,nouns,feminine,mariposa,genders,hombre,0.4881272
es,nouns,feminine,pez,genders,hombre,0.5959155
es,nouns,feminine,bota,genders,hombre,0.48510274
es,nouns,feminine,manzana,genders,hombre,0.49468812
es,nouns,feminine,rana,genders,hombre,0.52761275
es,nouns,feminine,lechuga,genders,hombre,0.50122744
es,nouns,feminine,suciedad,genders,hombre,0.5018684
es,nouns,feminine,acera,genders,hombre,0.48707044
es,nouns,feminine,tapa,genders,hombre,0.61376387
es,nouns,feminine,cocina,genders,hombre,0.56136644
es,nouns,feminine,arena,genders,hombre,0.5540571
es,nouns,feminine,caja,genders,hombre,0.6078604
es,nouns,feminine,salvadera,genders,hombre,0.38372108
es,nouns,feminine,nieve,genders,hombre,0.5589439
es,nouns,feminine,mesa,genders,hombre,0.56946653
es,nouns,feminine,tortita,genders,hombre,0.26343662
es,nouns,feminine,pijama,genders,hombre,0.46802866
es,nouns,feminine,tostada,genders,hombre,0.39784265
es,nouns,feminine,esponja,genders,hombre,0.47585946
es,nouns,feminine,jaula,genders,hombre,0.480445
es,nouns,feminine,mariquita,genders,hombre,0.46913153
es,nouns,feminine,calabaza,genders,hombre,0.42763862
es,nouns,feminine,estrella,genders,hombre,0.5573073
es,nouns,feminine,piña,genders,hombre,0.51396817
es,nouns,feminine,raya,genders,hombre,0.5845667
es,nouns,feminine,silla,genders,hombre,0.4776201
es,nouns,feminine,película,genders,hombre,0.34566227
es,nouns,feminine,ala,genders,hombre,0.5962774
es,nouns,feminine,hamburguesa,genders,hombre,0.43546417
es,nouns,feminine,uña,genders,hombre,0.55270875
es,nouns,feminine,cabeza,genders,hombre,0.60016996
es,nouns,feminine,llave,genders,hombre,0.53946483
es,nouns,feminine,barriga,genders,hombre,0.5275441
es,nouns,feminine,tostadora,genders,mujer,0.4576055
es,nouns,feminine,luna,genders,mujer,0.6296114
es,nouns,feminine,escoba,genders,mujer,0.47539067
es,nouns,feminine,ballena,genders,mujer,0.37540627
es,nouns,feminine,cuchara,genders,mujer,0.4479577
es,nouns,feminine,roca,genders,mujer,0.47779202
es,nouns,feminine,lluvia,genders,mujer,0.50598735
es,nouns,feminine,cola,genders,mujer,0.5942329
