LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.24337229
es,nouns,feminine,luna,genders,hombre,0.8581066
es,nouns,feminine,escoba,genders,hombre,0.22860706
es,nouns,feminine,ballena,genders,hombre,0.20656085
es,nouns,feminine,cuchara,genders,hombre,0.15805088
es,nouns,feminine,roca,genders,hombre,0.8292287
es,nouns,feminine,lluvia,genders,hombre,0.35121414
es,nouns,feminine,cola,genders,hombre,0.8374154
es,nouns,feminine,mariposa,genders,hombre,0.30687112
es,nouns,feminine,pez,genders,hombre,0.81187415
es,nouns,feminine,bota,genders,hombre,0.2826841
es,nouns,feminine,manzana,genders,hombre,0.31443244
es,nouns,feminine,rana,genders,hombre,0.29222164
es,nouns,feminine,lechuga,genders,hombre,0.28037566
es,nouns,feminine,suciedad,genders,hombre,0.20748472
es,nouns,feminine,acera,genders,hombre,0.2812277
es,nouns,feminine,tapa,genders,hombre,0.8627751
es,nouns,feminine,cocina,genders,hombre,0.83290225
es,nouns,feminine,arena,genders,hombre,0.7799321
es,nouns,feminine,caja,genders,hombre,0.8547461
es,nouns,feminine,salvadera,genders,hombre,0.19767004
es,nouns,feminine,nieve,genders,hombre,0.35654888
es,nouns,feminine,mesa,genders,hombre,0.8121734
es,nouns,feminine,tortita,genders,hombre,0.08938621
es,nouns,feminine,pijama,genders,hombre,0.23334405
es,nouns,feminine,tostada,genders,hombre,0.22502308
es,nouns,feminine,esponja,genders,hombre,0.25464258
es,nouns,feminine,jaula,genders,hombre,0.26752555
es,nouns,feminine,mariquita,genders,hombre,0.30059206
es,nouns,feminine,calabaza,genders,hombre,0.19945647
es,nouns,feminine,estrella,genders,hombre,0.81302464
es,nouns,feminine,piña,genders,hombre,0.30637243
es,nouns,feminine,raya,genders,hombre,0.86168945
es,nouns,feminine,silla,genders,hombre,0.31211755
es,nouns,feminine,película,genders,hombre,0.66626215
es,nouns,feminine,ala,genders,hombre,0.8400715
es,nouns,feminine,hamburguesa,genders,hombre,0.2409956
es,nouns,feminine,uña,genders,hombre,0.32260516
es,nouns,feminine,cabeza,genders,hombre,0.8462188
es,nouns,feminine,llave,genders,hombre,0.34790808
es,nouns,feminine,barriga,genders,hombre,0.3071798
es,nouns,feminine,tostadora,genders,mujer,0.26160064
es,nouns,feminine,luna,genders,mujer,0.8147435
es,nouns,feminine,escoba,genders,mujer,0.2560235
es,nouns,feminine,ballena,genders,mujer,0.19670188
es,nouns,feminine,cuchara,genders,mujer,0.17702703
es,nouns,feminine,roca,genders,mujer,0.7666736
es,nouns,feminine,lluvia,genders,mujer,0.34738755
es,nouns,feminine,cola,genders,mujer,0.8096276
es,nouns,feminine,mariposa,genders,mujer,0.347073
es,nouns,feminine,pez,genders,mujer,0.7714428
es,nouns,feminine,bota,genders,mujer,0.25954857
es,nouns,feminine,manzana,genders,mujer,0.31636843
es,nouns,feminine,rana,genders,mujer,0.31355917
es,nouns,feminine,lechuga,genders,mujer,0.29455703
es,nouns,feminine,suciedad,genders,mujer,0.22098084
es,nouns,feminine,acera,genders,mujer,0.2949517
es,nouns,feminine,tapa,genders,mujer,0.8203539
es,nouns,feminine,cocina,genders,mujer,0.79011256
es,nouns,feminine,arena,genders,mujer,0.7194653
es,nouns,feminine,caja,genders,mujer,0.8038102
es,nouns,feminine,salvadera,genders,mujer,0.19168869
es,nouns,feminine,nieve,genders,mujer,0.36017767
es,nouns,feminine,mesa,genders,mujer,0.76913464
es,nouns,feminine,tortita,genders,mujer,0.10442002
es,nouns,feminine,pijama,genders,mujer,0.22880264
es,nouns,feminine,tostada,genders,mujer,0.24780042
es,nouns,feminine,esponja,genders,mujer,0.26981598
es,nouns,feminine,jaula,genders,mujer,0.2700829
es,nouns,feminine,mariquita,genders,mujer,0.34780905
es,nouns,feminine,calabaza,genders,mujer,0.23112659
es,nouns,feminine,estrella,genders,mujer,0.769791
es,nouns,feminine,piña,genders,mujer,0.2943066
es,nouns,feminine,raya,genders,mujer,0.8089444
es,nouns,feminine,silla,genders,mujer,0.32660356
es,nouns,feminine,película,genders,mujer,0.6345609
es,nouns,feminine,ala,genders,mujer,0.7961463
es,nouns,feminine,hamburguesa,genders,mujer,0.29072168
es,nouns,feminine,uña,genders,mujer,0.32374805
es,nouns,feminine,cabeza,genders,mujer,0.80662537
es,nouns,feminine,llave,genders,mujer,0.35221317
es,nouns,feminine,barriga,genders,mujer,0.27024856
es,nouns,feminine,tostadora,determiners,el,0.10814399
es,nouns,feminine,luna,determiners,el,0.76106125
es,nouns,feminine,escoba,determiners,el,0.15393735
es,nouns,feminine,ballena,determiners,el,0.084443256
es,nouns,feminine,cuchara,determiners,el,0.057478067
es,nouns,feminine,roca,determiners,el,0.7775913
es,nouns,feminine,lluvia,determiners,el,0.1686788
es,nouns,feminine,cola,determiners,el,0.7834422
es,nouns,feminine,mariposa,determiners,el,0.14080437
es,nouns,feminine,pez,determiners,el,0.70746946
es,nouns,feminine,bota,determiners,el,0.1421279
es,nouns,feminine,manzana,determiners,el,0.13558346
es,nouns,feminine,rana,determiners,el,0.14380713
es,nouns,feminine,lechuga,determiners,el,0.15929642
es,nouns,feminine,suciedad,determiners,el,0.10307528
es,nouns,feminine,acera,determiners,el,0.08781821
es,nouns,feminine,tapa,determiners,el,0.8370281
es,nouns,feminine,cocina,determiners,el,0.7837896
es,nouns,feminine,arena,determiners,el,0.7117762
es,nouns,feminine,caja,determiners,el,0.7920016
es,nouns,feminine,salvadera,determiners,el,0.0862856
es,nouns,feminine,nieve,determiners,el,0.18983492
es,nouns,feminine,mesa,determiners,el,0.75510675
es,nouns,feminine,tortita,determiners,el,0.0325348
es,nouns,feminine,pijama,determiners,el,0.057491
es,nouns,feminine,tostada,determiners,el,0.11013298
es,nouns,feminine,esponja,determiners,el,0.12125992
es,nouns,feminine,jaula,determiners,el,0.13712898
es,nouns,feminine,mariquita,determiners,el,0.13257991
es,nouns,feminine,calabaza,determiners,el,0.09202044
es,nouns,feminine,estrella,determiners,el,0.775309
es,nouns,feminine,piña,determiners,el,0.11416814
es,nouns,feminine,raya,determiners,el,0.8377909
es,nouns,feminine,silla,determiners,el,0.18007968
es,nouns,feminine,película,determiners,el,0.6868807
es,nouns,feminine,ala,determiners,el,0.85655445
es,nouns,feminine,hamburguesa,determiners,el,0.10666611
es,nouns,feminine,uña,determiners,el,0.1721704
es,nouns,feminine,cabeza,determiners,el,0.7561283
es,nouns,feminine,llave,determiners,el,0.1803133
es,nouns,feminine,barriga,determiners,el,0.14211573
es,nouns,feminine,tostadora,determiners,la,0.14908934
es,nouns,feminine,luna,determiners,la,0.77329504
es,nouns,feminine,escoba,determiners,la,0.19231813
es,nouns,feminine,ballena,determiners,la,0.1602092
es,nouns,feminine,cuchara,determiners,la,0.11424005
es,nouns,feminine,roca,determiners,la,0.7852723
es,nouns,feminine,lluvia,determiners,la,0.21298651
es,nouns,feminine,cola,determiners,la,0.78130364
es,nouns,feminine,mariposa,determiners,la,0.23934318
es,nouns,feminine,pez,determiners,la,0.719291
es,nouns,feminine,bota,determiners,la,0.2038049
es,nouns,feminine,manzana,determiners,la,0.21257874
es,nouns,feminine,rana,determiners,la,0.24698657
es,nouns,feminine,lechuga,determiners,la,0.21882947
es,nouns,feminine,suciedad,determiners,la,0.13067375
es,nouns,feminine,acera,determiners,la,0.20129132
es,nouns,feminine,tapa,determiners,la,0.82002413
es,nouns,feminine,cocina,determiners,la,0.790843
es,nouns,feminine,arena,determiners,la,0.7161273
es,nouns,feminine,caja,determiners,la,0.7883245
es,nouns,feminine,salvadera,determiners,la,0.15041558
es,nouns,feminine,nieve,determiners,la,0.24940243
es,nouns,feminine,mesa,determiners,la,0.7784417
es,nouns,feminine,tortita,determiners,la,0.09235158
es,nouns,feminine,pijama,determiners,la,0.11182727
es,nouns,feminine,tostada,determiners,la,0.17293604
es,nouns,feminine,esponja,determiners,la,0.16716641
es,nouns,feminine,jaula,determiners,la,0.23249337
es,nouns,feminine,mariquita,determiners,la,0.24993898
es,nouns,feminine,calabaza,determiners,la,0.092630714
es,nouns,feminine,estrella,determiners,la,0.7415968
es,nouns,feminine,piña,determiners,la,0.18402414
es,nouns,feminine,raya,determiners,la,0.80605966
es,nouns,feminine,silla,determiners,la,0.27075496
es,nouns,feminine,película,determiners,la,0.67726856
es,nouns,feminine,ala,determiners,la,0.8523012
es,nouns,feminine,hamburguesa,determiners,la,0.14876229
es,nouns,feminine,uña,determiners,la,0.22897556
es,nouns,feminine,cabeza,determiners,la,0.7463916
es,nouns,feminine,llave,determiners,la,0.18419167
es,nouns,feminine,barriga,determiners,la,0.19573918
es,nouns,masculine,tenedor,genders,hombre,0.20663919
es,nouns,masculine,ratón,genders,hombre,0.35842994
es,nouns,masculine,caracol,genders,hombre,0.25881165
es,nouns,masculine,gato,genders,hombre,0.31177244
es,nouns,masculine,calcetín,genders,hombre,0.10571974
es,nouns,masculine,frijol,genders,hombre,0.21585476
es,nouns,masculine,jabón,genders,hombre,0.34643584
es,nouns,masculine,baño,genders,hombre,0.3618422
