LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.47445562
es,nouns,feminine,luna,genders,hombre,0.659636
es,nouns,feminine,escoba,genders,hombre,0.50669193
es,nouns,feminine,ballena,genders,hombre,0.4277623
es,nouns,feminine,cuchara,genders,hombre,0.39649642
es,nouns,feminine,roca,genders,hombre,0.5299714
es,nouns,feminine,lluvia,genders,hombre,0.5766945
es,nouns,feminine,cola,genders,hombre,0.5821087
es,nouns,feminine,mariposa,genders,hombre,0.53220636
es,nouns,feminine,pez,genders,hombre,0.5959155
es,nouns,feminine,bota,genders,hombre,0.51826894
es,nouns,feminine,manzana,genders,hombre,0.54153436
es,nouns,feminine,rana,genders,hombre,0.53702396
es,nouns,feminine,lechuga,genders,hombre,0.5182671
es,nouns,feminine,suciedad,genders,hombre,0.5151123
es,nouns,feminine,acera,genders,hombre,0.52316356
es,nouns,feminine,tapa,genders,hombre,0.61376387
es,nouns,feminine,cocina,genders,hombre,0.56136644
es,nouns,feminine,arena,genders,hombre,0.5540571
es,nouns,feminine,caja,genders,hombre,0.6078604
es,nouns,feminine,salvadera,genders,hombre,0.42059043
es,nouns,feminine,nieve,genders,hombre,0.58009267
es,nouns,feminine,mesa,genders,hombre,0.56946653
es,nouns,feminine,tortita,genders,hombre,0.30676535
es,nouns,feminine,pijama,genders,hombre,0.4932005
es,nouns,feminine,tostada,genders,hombre,0.40663576
es,nouns,feminine,esponja,genders,hombre,0.52151614
es,nouns,feminine,jaula,genders,hombre,0.47880852
es,nouns,feminine,mariquita,genders,hombre,0.51319385
es,nouns,feminine,calabaza,genders,hombre,0.42849582
es,nouns,feminine,estrella,genders,hombre,0.5573073
es,nouns,feminine,piña,genders,hombre,0.5374302
es,nouns,feminine,raya,genders,hombre,0.5845667
es,nouns,feminine,silla,genders,hombre,0.5120871
es,nouns,feminine,película,genders,hombre,0.34566227
es,nouns,feminine,ala,genders,hombre,0.5962774
es,nouns,feminine,hamburguesa,genders,hombre,0.47780576
es,nouns,feminine,uña,genders,hombre,0.5823293
es,nouns,feminine,cabeza,genders,hombre,0.60016996
es,nouns,feminine,llave,genders,hombre,0.56658286
es,nouns,feminine,barriga,genders,hombre,0.53317624
es,nouns,feminine,tostadora,genders,mujer,0.49242166
es,nouns,feminine,luna,genders,mujer,0.6296114
