LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,0.50876004
es,nouns,feminine,luna,genders,hombre,0.8581066
es,nouns,feminine,escoba,genders,hombre,0.57317924
es,nouns,feminine,ballena,genders,hombre,0.5209444
es,nouns,feminine,cuchara,genders,hombre,0.4806433
es,nouns,feminine,roca,genders,hombre,0.8292287
es,nouns,feminine,lluvia,genders,hombre,0.67511326
es,nouns,feminine,cola,genders,hombre,0.8374154
es,nouns,feminine,mariposa,genders,hombre,0.6640485
es,nouns,feminine,pez,genders,hombre,0.81187415
es,nouns,feminine,bota,genders,hombre,0.66005
es,nouns,feminine,manzana,genders,hombre,0.5483553
es,nouns,feminine,rana,genders,hombre,0.6493621
es,nouns,feminine,lechuga,genders,hombre,0.57990545
es,nouns,feminine,suciedad,genders,hombre,0.5341332
es,nouns,feminine,acera,genders,hombre,0.6306071
es,nouns,feminine,tapa,genders,hombre,0.8627751
es,nouns,feminine,cocina,genders,hombre,0.83290225
es,nouns,feminine,arena,genders,hombre,0.7799321
es,nouns,feminine,caja,genders,hombre,0.8547461
es,nouns,feminine,salvadera,genders,hombre,0.5768872
es,nouns,feminine,nieve,genders,hombre,0.710822
es,nouns,feminine,mesa,genders,hombre,0.8121734
es,nouns,feminine,tortita,genders,hombre,0.36554044
es,nouns,feminine,pijama,genders,hombre,0.5793146
es,nouns,feminine,tostada,genders,hombre,0.5744138
es,nouns,feminine,esponja,genders,hombre,0.5828218
es,nouns,feminine,jaula,genders,hombre,0.6445273
es,nouns,feminine,mariquita,genders,hombre,0.6846555
es,nouns,feminine,calabaza,genders,hombre,0.46148208
es,nouns,feminine,estrella,genders,hombre,0.81302464
es,nouns,feminine,piña,genders,hombre,0.6303461
es,nouns,feminine,raya,genders,hombre,0.86168945
es,nouns,feminine,silla,genders,hombre,0.67400944
es,nouns,feminine,película,genders,hombre,0.66626215
es,nouns,feminine,ala,genders,hombre,0.8400715
es,nouns,feminine,hamburguesa,genders,hombre,0.50542
es,nouns,feminine,uña,genders,hombre,0.7180171
es,nouns,feminine,cabeza,genders,hombre,0.8462188
es,nouns,feminine,llave,genders,hombre,0.6975108
es,nouns,feminine,barriga,genders,hombre,0.66532916
es,nouns,feminine,tostadora,genders,mujer,0.51152974
es,nouns,feminine,luna,genders,mujer,0.8147435
es,nouns,feminine,escoba,genders,mujer,0.57831395
es,nouns,feminine,ballena,genders,mujer,0.48694435
es,nouns,feminine,cuchara,genders,mujer,0.48204842
es,nouns,feminine,roca,genders,mujer,0.7666736
es,nouns,feminine,lluvia,genders,mujer,0.64469266
es,nouns,feminine,cola,genders,mujer,0.8096276
es,nouns,feminine,mariposa,genders,mujer,0.67718655
es,nouns,feminine,pez,genders,mujer,0.7714428
es,nouns,feminine,bota,genders,mujer,0.61544013
es,nouns,feminine,manzana,genders,mujer,0.5376709
es,nouns,feminine,rana,genders,mujer,0.6411585
es,nouns,feminine,lechuga,genders,mujer,0.57626176
es,nouns,feminine,suciedad,genders,mujer,0.53808427
es,nouns,feminine,acera,genders,mujer,0.61843497
es,nouns,feminine,tapa,genders,mujer,0.8203539
es,nouns,feminine,cocina,genders,mujer,0.79011256
es,nouns,feminine,arena,genders,mujer,0.7194653
es,nouns,feminine,caja,genders,mujer,0.8038102
es,nouns,feminine,salvadera,genders,mujer,0.54573876
es,nouns,feminine,nieve,genders,mujer,0.6870945
es,nouns,feminine,mesa,genders,mujer,0.76913464
es,nouns,feminine,tortita,genders,mujer,0.35663697
es,nouns,feminine,pijama,genders,mujer,0.5477483
es,nouns,feminine,tostada,genders,mujer,0.5664885
es,nouns,feminine,esponja,genders,mujer,0.5813933
es,nouns,feminine,jaula,genders,mujer,0.6229946
es,nouns,feminine,mariquita,genders,mujer,0.69716996
es,nouns,feminine,calabaza,genders,mujer,0.47545192
es,nouns,feminine,estrella,genders,mujer,0.769791
es,nouns,feminine,piña,genders,mujer,0.5969806
es,nouns,feminine,raya,genders,mujer,0.8089444
es,nouns,feminine,silla,genders,mujer,0.6627349
es,nouns,feminine,película,genders,mujer,0.6345609
es,nouns,feminine,ala,genders,mujer,0.7961463
es,nouns,feminine,hamburguesa,genders,mujer,0.5319646
es,nouns,feminine,uña,genders,mujer,0.6912376
es,nouns,feminine,cabeza,genders,mujer,0.80662537
es,nouns,feminine,llave,genders,mujer,0.6732961
es,nouns,feminine,barriga,genders,mujer,0.60637003
es,nouns,feminine,tostadora,determiners,el,0.40169397
es,nouns,feminine,luna,determiners,el,0.76106125
es,nouns,feminine,escoba,determiners,el,0.51565224
es,nouns,feminine,ballena,determiners,el,0.4366064
es,nouns,feminine,cuchara,determiners,el,0.3983763
es,nouns,feminine,roca,determiners,el,0.7775913
es,nouns,feminine,lluvia,determiners,el,0.5425677
es,nouns,feminine,cola,determiners,el,0.7834422
es,nouns,feminine,mariposa,determiners,el,0.5499531
es,nouns,feminine,pez,determiners,el,0.70746946
es,nouns,feminine,bota,determiners,el,0.5769884
es,nouns,feminine,manzana,determiners,el,0.39059702
es,nouns,feminine,rana,determiners,el,0.5528447
es,nouns,feminine,lechuga,determiners,el,0.47774896
es,nouns,feminine,suciedad,determiners,el,0.44286138
es,nouns,feminine,acera,determiners,el,0.4786386
es,nouns,feminine,tapa,determiners,el,0.8370281
es,nouns,feminine,cocina,determiners,el,0.7837896
es,nouns,feminine,arena,determiners,el,0.7117762
es,nouns,feminine,caja,determiners,el,0.7920016
es,nouns,feminine,salvadera,determiners,el,0.51813275
es,nouns,feminine,nieve,determiners,el,0.6159896
es,nouns,feminine,mesa,determiners,el,0.75510675
es,nouns,feminine,tortita,determiners,el,0.33125895
es,nouns,feminine,pijama,determiners,el,0.4532846
es,nouns,feminine,tostada,determiners,el,0.5127548
es,nouns,feminine,esponja,determiners,el,0.4846995
es,nouns,feminine,jaula,determiners,el,0.5734341
es,nouns,feminine,mariquita,determiners,el,0.58357704
es,nouns,feminine,calabaza,determiners,el,0.36840868
es,nouns,feminine,estrella,determiners,el,0.775309
es,nouns,feminine,piña,determiners,el,0.4830034
es,nouns,feminine,raya,determiners,el,0.8377909
es,nouns,feminine,silla,determiners,el,0.5991566
es,nouns,feminine,película,determiners,el,0.6868807
es,nouns,feminine,ala,determiners,el,0.85655445
es,nouns,feminine,hamburguesa,determiners,el,0.38819706
es,nouns,feminine,uña,determiners,el,0.6260812
es,nouns,feminine,cabeza,determiners,el,0.7561283
es,nouns,feminine,llave,determiners,el,0.5870191
es,nouns,feminine,barriga,determiners,el,0.5604254
es,nouns,feminine,tostadora,determiners,la,0.42804885
es,nouns,feminine,luna,determiners,la,0.77329504
es,nouns,feminine,escoba,determiners,la,0.5467644
es,nouns,feminine,ballena,determiners,la,0.48729715
es,nouns,feminine,cuchara,determiners,la,0.44360647
es,nouns,feminine,roca,determiners,la,0.7852723
es,nouns,feminine,lluvia,determiners,la,0.5562158
es,nouns,feminine,cola,determiners,la,0.78130364
es,nouns,feminine,mariposa,determiners,la,0.611667
es,nouns,feminine,pez,determiners,la,0.719291
es,nouns,feminine,bota,determiners,la,0.6052213
es,nouns,feminine,manzana,determiners,la,0.46237767
es,nouns,feminine,rana,determiners,la,0.61566865
es,nouns,feminine,lechuga,determiners,la,0.5439078
es,nouns,feminine,suciedad,determiners,la,0.45580167
es,nouns,feminine,acera,determiners,la,0.55785817
es,nouns,feminine,tapa,determiners,la,0.82002413
es,nouns,feminine,cocina,determiners,la,0.790843
es,nouns,feminine,arena,determiners,la,0.7161273
es,nouns,feminine,caja,determiners,la,0.7883245
es,nouns,feminine,salvadera,determiners,la,0.55123246
es,nouns,feminine,nieve,determiners,la,0.63192314
es,nouns,feminine,mesa,determiners,la,0.7784417
es,nouns,feminine,tortita,determiners,la,0.37779355
es,nouns,feminine,pijama,determiners,la,0.47719434
es,nouns,feminine,tostada,determiners,la,0.5382784
es,nouns,feminine,esponja,determiners,la,0.51913005
es,nouns,feminine,jaula,determiners,la,0.6244463
es,nouns,feminine,mariquita,determiners,la,0.6537757
es,nouns,feminine,calabaza,determiners,la,0.38087276
es,nouns,feminine,estrella,determiners,la,0.7415968
es,nouns,feminine,piña,determiners,la,0.5244008
es,nouns,feminine,raya,determiners,la,0.80605966
es,nouns,feminine,silla,determiners,la,0.65634143
es,nouns,feminine,película,determiners,la,0.67726856
es,nouns,feminine,ala,determiners,la,0.8523012
es,nouns,feminine,hamburguesa,determiners,la,0.42487532
es,nouns,feminine,uña,determiners,la,0.6447137
es,nouns,feminine,cabeza,determiners,la,0.7463916
es,nouns,feminine,llave,determiners,la,0.55539477
es,nouns,feminine,barriga,determiners,la,0.57191503
es,nouns,masculine,tenedor,genders,hombre,0.50066274
es,nouns,masculine,ratón,genders,hombre,0.69623834
es,nouns,masculine,caracol,genders,hombre,0.52489346
es,nouns,masculine,gato,genders,hombre,0.68529606
es,nouns,masculine,calcetín,genders,hombre,0.33822116
es,nouns,masculine,frijol,genders,hombre,0.5514984
es,nouns,masculine,jabón,genders,hombre,0.7110626
es,nouns,masculine,baño,genders,hombre,0.71167827
es,nouns,masculine,calzoncillos,genders,hombre,0.43993416
es,nouns,masculine,pantalones,genders,hombre,0.5176974
es,nouns,masculine,labio,genders,hombre,0.671693
es,nouns,masculine,sol,genders,hombre,0.8702323
es,nouns,masculine,pañal,genders,hombre,0.5789875
es,nouns,masculine,abejorro,genders,hombre,0.4607593
es,nouns,masculine,espaguetis,genders,hombre,0.47738403
es,nouns,masculine,cepillo de dientes,genders,hombre,0.39100027
es,nouns,masculine,guisante,genders,hombre,0.49857605
es,nouns,masculine,muro,genders,hombre,0.8656857
es,nouns,masculine,reloj,genders,hombre,0.60528284
es,nouns,masculine,vestidor,genders,hombre,0.62719744
es,nouns,masculine,tomate,genders,hombre,0.33412135
es,nouns,masculine,limón,genders,hombre,0.50311124
es,nouns,masculine,fideos,genders,hombre,0.47423923
es,nouns,masculine,dulce,genders,hombre,0.81174475
es,nouns,masculine,banco,genders,hombre,0.8135269
