LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.32162154,masculine
de,masculine,Toaster,kreationär,0.22767349,masculine
de,masculine,Toaster,betrunken,0.3488932,masculine
de,masculine,Toaster,unzukömmlich,0.17819703,masculine
de,masculine,Toaster,diensthabend,0.2515233,masculine
de,masculine,Toaster,unverheiratet,0.26927966,masculine
de,masculine,Toaster,schlohweiß,0.13284785,masculine
de,masculine,Toaster,schwanger,0.29268748,masculine
de,masculine,Toaster,verhutzelt,0.2855864,masculine
de,masculine,Toaster,verwitwet,0.30835617,masculine
de,masculine,Toaster,traut,0.3371994,masculine
de,masculine,Toaster,präsidiabel,0.28391722,masculine
de,masculine,Toaster,hochschwanger,0.29641503,masculine
de,masculine,Toaster,diskretionär,0.18539387,masculine
de,masculine,Toaster,lebend,0.26908407,masculine
de,masculine,Toaster,sturzbetrunken,0.32865536,masculine
de,masculine,Toaster,jungsteinzeitlich,0.21889313,masculine
de,masculine,Toaster,allein,0.3619342,masculine
de,masculine,Toaster,mutmaßlich,0.17986572,masculine
de,masculine,Toaster,männisch,0.28551844,masculine
de,masculine,Toaster,alt,0.3528196,masculine
de,masculine,Toaster,fraulich,0.21958038,masculine
de,masculine,Toaster,elterlich,0.23868415,masculine
de,masculine,Toaster,zärtlich,0.21716626,masculine
de,masculine,Toaster,plötzlich,0.21128736,masculine
de,masculine,Toaster,alleinstehend,0.21761371,masculine
de,masculine,Toaster,quasistationär,0.1943263,masculine
de,masculine,Toaster,nackt,0.31068316,masculine
de,masculine,Toaster,sterbend,0.17737097,masculine
de,masculine,Toaster,eifersüchtig,0.29840302,masculine
de,masculine,Toaster,verliebt,0.3247227,masculine
de,masculine,Toaster,fusskrank,0.3183366,masculine
de,masculine,Toaster,verschnöselt,0.17182274,masculine
de,masculine,Toaster,elektrogen,0.2804373,masculine
de,masculine,Toaster,postsexuell,0.28658372,masculine
de,masculine,Toaster,mannstoll,0.3563992,masculine
de,masculine,Toaster,muskelbepackt,0.22658308,masculine
de,masculine,Toaster,wortmächtig,0.26595792,masculine
de,masculine,Toaster,unfallflüchtig,0.2254075,masculine
de,masculine,Toaster,geköpert,0.31290027,masculine
de,masculine,Toaster,mutistisch,0.30601647,masculine
de,masculine,Toaster,fluchtwillig,0.29403275,masculine
de,masculine,Toaster,anderer,0.3014019,masculine
de,masculine,Toaster,sexbesessen,0.22049667,masculine
de,masculine,Toaster,vorpubertierend,0.1918928,masculine
de,masculine,Toaster,augenrein,0.22200467,masculine
de,masculine,Toaster,stocknüchtern,0.19198814,masculine
de,masculine,Toaster,promigeil,0.3924508,masculine
de,masculine,Toaster,lebensmüde,0.29139948,masculine
de,masculine,Toaster,dahergelaufen,0.31005347,masculine
de,masculine,Toaster,gutsitzend,0.30665663,masculine
de,masculine,Toaster,wonnetrunken,0.30540356,masculine
de,masculine,Toaster,schnurrbärtig,0.2981597,masculine
de,masculine,Toaster,befotzt,0.38590878,masculine
de,masculine,Toaster,katexochen,0.26758194,masculine
de,masculine,Toaster,hochtechnologisch,0.1987131,masculine
de,masculine,Toaster,tot,0.36120915,masculine
de,masculine,Toaster,ausländerfrei,0.28387368,masculine
de,masculine,Toaster,feinpulvrig,0.15820973,masculine
de,masculine,Toaster,fluchtverdächtig,0.24199402,masculine
de,masculine,Toaster,jung,0.31980768,masculine
de,masculine,Toaster,kontraktlich,0.2481881,masculine
de,masculine,Toaster,homosexuell,0.2577944,masculine
de,masculine,Toaster,homonom,0.29513308,masculine
de,masculine,Toaster,besoffen,0.40964893,masculine
de,masculine,Toaster,beinamputiert,0.26106068,masculine
de,masculine,Toaster,ledig,0.22645384,masculine
de,masculine,Toaster,alleinerziehend,0.26709497,masculine
de,masculine,Toaster,transident,0.43020698,masculine
de,masculine,Toaster,sentimentalisch,0.2520972,masculine
de,masculine,Toaster,geraum,0.33917445,masculine
de,masculine,Toaster,männlich,0.24852715,masculine
de,masculine,Toaster,schwerreich,0.28693646,masculine
de,masculine,Toaster,impotent,0.35243422,masculine
de,masculine,Mond,verheiratet,0.6377162,masculine
de,masculine,Mond,kreationär,0.33944377,masculine
de,masculine,Mond,betrunken,0.413108,masculine
de,masculine,Mond,unzukömmlich,0.38518393,masculine
de,masculine,Mond,diensthabend,0.4138926,masculine
de,masculine,Mond,unverheiratet,0.46226284,masculine
de,masculine,Mond,schlohweiß,0.34320462,masculine
de,masculine,Mond,schwanger,0.468209,masculine
de,masculine,Mond,verhutzelt,0.38342118,masculine
de,masculine,Mond,verwitwet,0.42029193,masculine
de,masculine,Mond,traut,0.47707045,masculine
de,masculine,Mond,präsidiabel,0.32688317,masculine
de,masculine,Mond,hochschwanger,0.43186015,masculine
de,masculine,Mond,diskretionär,0.35812327,masculine
de,masculine,Mond,lebend,0.517749,masculine
de,masculine,Mond,sturzbetrunken,0.37717685,masculine
de,masculine,Mond,jungsteinzeitlich,0.42161953,masculine
de,masculine,Mond,allein,0.6383112,masculine
de,masculine,Mond,mutmaßlich,0.55379933,masculine
de,masculine,Mond,männisch,0.44621846,masculine
de,masculine,Mond,alt,0.6242799,masculine
de,masculine,Mond,fraulich,0.3829574,masculine
de,masculine,Mond,elterlich,0.46545175,masculine
de,masculine,Mond,zärtlich,0.44513902,masculine
de,masculine,Mond,plötzlich,0.41060743,masculine
de,masculine,Mond,alleinstehend,0.4313828,masculine
de,masculine,Mond,quasistationär,0.390033,masculine
de,masculine,Mond,nackt,0.43578917,masculine
de,masculine,Mond,sterbend,0.41026574,masculine
de,masculine,Mond,eifersüchtig,0.43248317,masculine
de,masculine,Mond,verliebt,0.49162745,masculine
de,masculine,Mond,fusskrank,0.46450895,masculine
de,masculine,Mond,verschnöselt,0.3308881,masculine
de,masculine,Mond,elektrogen,0.4035004,masculine
de,masculine,Mond,postsexuell,0.3735933,masculine
de,masculine,Mond,mannstoll,0.2932174,masculine
de,masculine,Mond,muskelbepackt,0.29719764,masculine
de,masculine,Mond,wortmächtig,0.40548357,masculine
de,masculine,Mond,unfallflüchtig,0.4266058,masculine
de,masculine,Mond,geköpert,0.36907697,masculine
de,masculine,Mond,mutistisch,0.31060863,masculine
de,masculine,Mond,fluchtwillig,0.37607867,masculine
de,masculine,Mond,anderer,0.67609704,masculine
de,masculine,Mond,sexbesessen,0.35426968,masculine
de,masculine,Mond,vorpubertierend,0.37354568,masculine
de,masculine,Mond,augenrein,0.37128803,masculine
de,masculine,Mond,stocknüchtern,0.34400126,masculine
de,masculine,Mond,promigeil,0.25825864,masculine
de,masculine,Mond,lebensmüde,0.44748756,masculine
de,masculine,Mond,dahergelaufen,0.47918844,masculine
de,masculine,Mond,gutsitzend,0.35936156,masculine
de,masculine,Mond,wonnetrunken,0.35465735,masculine
de,masculine,Mond,schnurrbärtig,0.37391597,masculine
