LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.15746342,masculine
de,masculine,Toaster,kreationär,0.14608991,masculine
de,masculine,Toaster,betrunken,0.123381056,masculine
de,masculine,Toaster,unzukömmlich,0.23868956,masculine
de,masculine,Toaster,diensthabend,0.07467223,masculine
de,masculine,Toaster,unverheiratet,0.16498773,masculine
de,masculine,Toaster,schlohweiß,0.16041914,masculine
de,masculine,Toaster,schwanger,0.19877529,masculine
de,masculine,Toaster,verhutzelt,0.16779073,masculine
de,masculine,Toaster,verwitwet,0.16438994,masculine
de,masculine,Toaster,traut,0.215319,masculine
de,masculine,Toaster,präsidiabel,0.14609921,masculine
de,masculine,Toaster,hochschwanger,0.1446912,masculine
de,masculine,Toaster,diskretionär,0.15000017,masculine
de,masculine,Toaster,lebend,0.10802001,masculine
de,masculine,Toaster,sturzbetrunken,0.20498878,masculine
de,masculine,Toaster,jungsteinzeitlich,0.11471647,masculine
de,masculine,Toaster,allein,0.15746342,masculine
de,masculine,Toaster,mutmaßlich,0.14643049,masculine
de,masculine,Toaster,männisch,0.06983866,masculine
de,masculine,Toaster,alt,0.15746342,masculine
de,masculine,Toaster,fraulich,0.19888029,masculine
de,masculine,Toaster,elterlich,0.2029552,masculine
de,masculine,Toaster,zärtlich,0.18385279,masculine
de,masculine,Toaster,plötzlich,0.101965345,masculine
de,masculine,Toaster,alleinstehend,0.1605607,masculine
de,masculine,Toaster,quasistationär,0.10224916,masculine
de,masculine,Toaster,nackt,0.24735267,masculine
de,masculine,Toaster,sterbend,0.13464044,masculine
de,masculine,Toaster,eifersüchtig,0.16294715,masculine
de,masculine,Toaster,verliebt,0.18805553,masculine
de,masculine,Toaster,fusskrank,0.20465234,masculine
de,masculine,Toaster,verschnöselt,0.124888524,masculine
de,masculine,Toaster,elektrogen,0.175731,masculine
de,masculine,Toaster,postsexuell,0.086040646,masculine
de,masculine,Toaster,mannstoll,0.09981345,masculine
de,masculine,Toaster,muskelbepackt,0.16293906,masculine
