LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.005324131,masculine
de,masculine,Toaster,kreationär,0.11494684,masculine
de,masculine,Toaster,betrunken,0.079298474,masculine
de,masculine,Toaster,unzukömmlich,0.113444194,masculine
de,masculine,Toaster,diensthabend,0.0258844,masculine
de,masculine,Toaster,unverheiratet,0.113444194,masculine
de,masculine,Toaster,schlohweiß,0.14424638,masculine
de,masculine,Toaster,schwanger,0.14424638,masculine
de,masculine,Toaster,verhutzelt,0.079078056,masculine
de,masculine,Toaster,verwitwet,0.079078056,masculine
de,masculine,Toaster,traut,0.16290143,masculine
de,masculine,Toaster,präsidiabel,0.12828545,masculine
de,masculine,Toaster,hochschwanger,0.05853838,masculine
de,masculine,Toaster,diskretionär,0.025192074,masculine
de,masculine,Toaster,lebend,-0.020189486,masculine
de,masculine,Toaster,sturzbetrunken,0.16284014,masculine
de,masculine,Toaster,jungsteinzeitlich,0.026721342,masculine
de,masculine,Toaster,allein,0.034248523,masculine
de,masculine,Toaster,mutmaßlich,0.19894709,masculine
de,masculine,Toaster,männisch,-0.026206473,masculine
de,masculine,Toaster,alt,0.11834288,masculine
de,masculine,Toaster,fraulich,0.13816617,masculine
de,masculine,Toaster,elterlich,0.09393956,masculine
de,masculine,Toaster,zärtlich,0.13667044,masculine
de,masculine,Toaster,plötzlich,0.06885673,masculine
de,masculine,Toaster,alleinstehend,0.034248523,masculine
de,masculine,Toaster,quasistationär,0.075815625,masculine
de,masculine,Toaster,nackt,0.18010572,masculine
de,masculine,Toaster,sterbend,0.03603791,masculine
de,masculine,Toaster,eifersüchtig,0.09773712,masculine
de,masculine,Toaster,verliebt,0.079078056,masculine
de,masculine,Toaster,fusskrank,0.17854744,masculine
de,masculine,Toaster,verschnöselt,0.122472,masculine
de,masculine,Toaster,elektrogen,0.05203705,masculine
de,masculine,Toaster,postsexuell,0.026269699,masculine
de,masculine,Toaster,mannstoll,0.04288513,masculine
de,masculine,Toaster,muskelbepackt,0.19894709,masculine
de,masculine,Toaster,wortmächtig,0.10934345,masculine
de,masculine,Toaster,unfallflüchtig,0.113444194,masculine
de,masculine,Toaster,geköpert,0.13770936,masculine
de,masculine,Toaster,mutistisch,0.19894709,masculine
de,masculine,Toaster,fluchtwillig,0.11880155,masculine
de,masculine,Toaster,anderer,-0.028452508,masculine
de,masculine,Toaster,sexbesessen,0.05114042,masculine
de,masculine,Toaster,vorpubertierend,0.07697815,masculine
de,masculine,Toaster,augenrein,0.009442193,masculine
de,masculine,Toaster,stocknüchtern,0.057261817,masculine
de,masculine,Toaster,promigeil,0.13376892,masculine
de,masculine,Toaster,lebensmüde,-0.020189486,masculine
de,masculine,Toaster,dahergelaufen,0.01936766,masculine
de,masculine,Toaster,gutsitzend,0.05366948,masculine
de,masculine,Toaster,wonnetrunken,0.06380901,masculine
de,masculine,Toaster,schnurrbärtig,0.14424638,masculine
de,masculine,Toaster,befotzt,0.21004342,masculine
de,masculine,Toaster,katexochen,0.06079403,masculine
de,masculine,Toaster,hochtechnologisch,0.05853838,masculine
de,masculine,Toaster,tot,0.21858536,masculine
de,masculine,Toaster,ausländerfrei,0.076326795,masculine
de,masculine,Toaster,feinpulvrig,0.097132854,masculine
de,masculine,Toaster,fluchtverdächtig,0.11880155,masculine
de,masculine,Toaster,jung,0.026721342,masculine
de,masculine,Toaster,kontraktlich,0.06918506,masculine
de,masculine,Toaster,homosexuell,0.04747378,masculine
de,masculine,Toaster,homonom,0.04747378,masculine
de,masculine,Toaster,besoffen,0.21004342,masculine
de,masculine,Toaster,beinamputiert,0.11253684,masculine
de,masculine,Toaster,ledig,0.081428,masculine
de,masculine,Toaster,alleinerziehend,0.034248523,masculine
de,masculine,Toaster,transident,0.10826568,masculine
de,masculine,Toaster,sentimentalisch,0.031713545,masculine
de,masculine,Toaster,geraum,0.084381446,masculine
de,masculine,Toaster,männlich,-0.026206473,masculine
de,masculine,Toaster,schwerreich,0.022239078,masculine
de,masculine,Toaster,impotent,0.10018882,masculine
de,masculine,Mond,verheiratet,0.1264771,masculine
de,masculine,Mond,kreationär,0.055096418,masculine
de,masculine,Mond,betrunken,0.07319325,masculine
de,masculine,Mond,unzukömmlich,0.07731701,masculine
de,masculine,Mond,diensthabend,0.11069243,masculine
de,masculine,Mond,unverheiratet,0.07731701,masculine
de,masculine,Mond,schlohweiß,0.05451789,masculine
de,masculine,Mond,schwanger,0.05451789,masculine
de,masculine,Mond,verhutzelt,0.08953419,masculine
de,masculine,Mond,verwitwet,0.08953419,masculine
de,masculine,Mond,traut,0.047095086,masculine
de,masculine,Mond,präsidiabel,0.04028498,masculine
de,masculine,Mond,hochschwanger,0.14666675,masculine
de,masculine,Mond,diskretionär,0.08526054,masculine
de,masculine,Mond,lebend,0.15013076,masculine
de,masculine,Mond,sturzbetrunken,0.049533915,masculine
de,masculine,Mond,jungsteinzeitlich,0.14964083,masculine
de,masculine,Mond,allein,0.1019059,masculine
de,masculine,Mond,mutmaßlich,0.082917675,masculine
de,masculine,Mond,männisch,0.025470588,masculine
de,masculine,Mond,alt,0.082429454,masculine
de,masculine,Mond,fraulich,0.060557507,masculine
de,masculine,Mond,elterlich,0.07374719,masculine
de,masculine,Mond,zärtlich,0.11410455,masculine
de,masculine,Mond,plötzlich,0.04057509,masculine
de,masculine,Mond,alleinstehend,0.1019059,masculine
de,masculine,Mond,quasistationär,0.120385,masculine
de,masculine,Mond,nackt,0.048277963,masculine
de,masculine,Mond,sterbend,0.11201497,masculine
de,masculine,Mond,eifersüchtig,0.06246232,masculine
de,masculine,Mond,verliebt,0.08953419,masculine
de,masculine,Mond,fusskrank,0.08393725,masculine
de,masculine,Mond,verschnöselt,0.11469156,masculine
de,masculine,Mond,elektrogen,0.06634914,masculine
de,masculine,Mond,postsexuell,0.03217253,masculine
de,masculine,Mond,mannstoll,0.11524405,masculine
de,masculine,Mond,muskelbepackt,0.082917675,masculine
de,masculine,Mond,wortmächtig,0.027830144,masculine
de,masculine,Mond,unfallflüchtig,0.07731701,masculine
de,masculine,Mond,geköpert,0.069052264,masculine
de,masculine,Mond,mutistisch,0.082917675,masculine
de,masculine,Mond,fluchtwillig,0.076270334,masculine
de,masculine,Mond,anderer,0.13892773,masculine
de,masculine,Mond,sexbesessen,0.060109768,masculine
de,masculine,Mond,vorpubertierend,0.087570906,masculine
de,masculine,Mond,augenrein,0.09165631,masculine
de,masculine,Mond,stocknüchtern,0.07142034,masculine
de,masculine,Mond,promigeil,0.040506504,masculine
de,masculine,Mond,lebensmüde,0.15013076,masculine
de,masculine,Mond,dahergelaufen,0.11649854,masculine
de,masculine,Mond,gutsitzend,0.08892852,masculine
de,masculine,Mond,wonnetrunken,0.09639955,masculine
de,masculine,Mond,schnurrbärtig,0.05451789,masculine
de,masculine,Mond,befotzt,0.06860252,masculine
de,masculine,Mond,katexochen,0.012109005,masculine
de,masculine,Mond,hochtechnologisch,0.14666675,masculine
de,masculine,Mond,tot,0.10362674,masculine
de,masculine,Mond,ausländerfrei,0.10812817,masculine
de,masculine,Mond,feinpulvrig,0.032029957,masculine
de,masculine,Mond,fluchtverdächtig,0.076270334,masculine
de,masculine,Mond,jung,0.14964083,masculine
de,masculine,Mond,kontraktlich,0.05788493,masculine
de,masculine,Mond,homosexuell,0.052130762,masculine
de,masculine,Mond,homonom,0.052130762,masculine
de,masculine,Mond,besoffen,0.06860252,masculine
de,masculine,Mond,beinamputiert,0.061991952,masculine
de,masculine,Mond,ledig,0.0703821,masculine
de,masculine,Mond,alleinerziehend,0.1019059,masculine
de,masculine,Mond,transident,0.09851909,masculine
de,masculine,Mond,sentimentalisch,0.123393625,masculine
de,masculine,Mond,geraum,0.07864554,masculine
de,masculine,Mond,männlich,0.025470588,masculine
de,masculine,Mond,schwerreich,0.124382876,masculine
de,masculine,Mond,impotent,0.055685982,masculine
de,masculine,Besen,verheiratet,0.02538358,masculine
de,masculine,Besen,kreationär,0.14640947,masculine
de,masculine,Besen,betrunken,0.22249606,masculine
de,masculine,Besen,unzukömmlich,0.15496746,masculine
de,masculine,Besen,diensthabend,0.033291277,masculine
de,masculine,Besen,unverheiratet,0.15496746,masculine
de,masculine,Besen,schlohweiß,0.18220015,masculine
de,masculine,Besen,schwanger,0.18220015,masculine
de,masculine,Besen,verhutzelt,0.2458178,masculine
de,masculine,Besen,verwitwet,0.2458178,masculine
de,masculine,Besen,traut,0.12959887,masculine
de,masculine,Besen,präsidiabel,0.17267089,masculine
de,masculine,Besen,hochschwanger,0.07125587,masculine
de,masculine,Besen,diskretionär,0.11558809,masculine
de,masculine,Besen,lebend,0.106802285,masculine
de,masculine,Besen,sturzbetrunken,0.0908998,masculine
de,masculine,Besen,jungsteinzeitlich,0.048739742,masculine
de,masculine,Besen,allein,0.009344791,masculine
de,masculine,Besen,mutmaßlich,0.095124625,masculine
de,masculine,Besen,männisch,0.017917527,masculine
de,masculine,Besen,alt,0.061509345,masculine
de,masculine,Besen,fraulich,0.13120952,masculine
de,masculine,Besen,elterlich,0.17776746,masculine
de,masculine,Besen,zärtlich,0.18210337,masculine
de,masculine,Besen,plötzlich,0.104376525,masculine
de,masculine,Besen,alleinstehend,0.009344791,masculine
de,masculine,Besen,quasistationär,0.01853995,masculine
de,masculine,Besen,nackt,0.15040885,masculine
de,masculine,Besen,sterbend,0.016904034,masculine
de,masculine,Besen,eifersüchtig,0.14141764,masculine
de,masculine,Besen,verliebt,0.2458178,masculine
de,masculine,Besen,fusskrank,0.18823102,masculine
de,masculine,Besen,verschnöselt,0.12160276,masculine
de,masculine,Besen,elektrogen,0.09575129,masculine
de,masculine,Besen,postsexuell,0.017619804,masculine
de,masculine,Besen,mannstoll,0.06393963,masculine
de,masculine,Besen,muskelbepackt,0.095124625,masculine
de,masculine,Besen,wortmächtig,0.14384808,masculine
de,masculine,Besen,unfallflüchtig,0.15496746,masculine
de,masculine,Besen,geköpert,0.29719454,masculine
de,masculine,Besen,mutistisch,0.095124625,masculine
de,masculine,Besen,fluchtwillig,0.13939404,masculine
de,masculine,Besen,anderer,0.032997917,masculine
de,masculine,Besen,sexbesessen,0.019600267,masculine
de,masculine,Besen,vorpubertierend,0.14607726,masculine
de,masculine,Besen,augenrein,0.00020518545,masculine
de,masculine,Besen,stocknüchtern,0.025840115,masculine
de,masculine,Besen,promigeil,0.13692752,masculine
de,masculine,Besen,lebensmüde,0.106802285,masculine
de,masculine,Besen,dahergelaufen,0.03552394,masculine
de,masculine,Besen,gutsitzend,0.054242633,masculine
de,masculine,Besen,wonnetrunken,0.043008134,masculine
de,masculine,Besen,schnurrbärtig,0.18220015,masculine
de,masculine,Besen,befotzt,0.660659,masculine
de,masculine,Besen,katexochen,0.09630648,masculine
de,masculine,Besen,hochtechnologisch,0.07125587,masculine
de,masculine,Besen,tot,0.069448374,masculine
de,masculine,Besen,ausländerfrei,0.16245534,masculine
