LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.23918496,masculine
de,masculine,Toaster,kreationär,0.23918496,masculine
de,masculine,Toaster,betrunken,0.23918496,masculine
de,masculine,Toaster,unzukömmlich,0.23918496,masculine
de,masculine,Toaster,diensthabend,0.23918496,masculine
de,masculine,Toaster,unverheiratet,0.23918496,masculine
de,masculine,Toaster,schlohweiß,0.23918496,masculine
de,masculine,Toaster,schwanger,0.23918496,masculine
de,masculine,Toaster,verhutzelt,0.23918496,masculine
de,masculine,Toaster,verwitwet,0.23918496,masculine
de,masculine,Toaster,traut,0.23918496,masculine
de,masculine,Toaster,präsidiabel,0.23918496,masculine
de,masculine,Toaster,hochschwanger,0.23918496,masculine
de,masculine,Toaster,diskretionär,0.23918496,masculine
de,masculine,Toaster,lebend,0.23918496,masculine
de,masculine,Toaster,sturzbetrunken,0.23918496,masculine
de,masculine,Toaster,jungsteinzeitlich,0.23918496,masculine
de,masculine,Toaster,allein,0.23918496,masculine
de,masculine,Toaster,mutmaßlich,0.23918496,masculine
de,masculine,Toaster,männisch,0.23918496,masculine
de,masculine,Toaster,alt,0.23918496,masculine
de,masculine,Toaster,fraulich,0.23918496,masculine
de,masculine,Toaster,elterlich,0.23918496,masculine
de,masculine,Toaster,zärtlich,0.23918496,masculine
de,masculine,Toaster,plötzlich,0.23918496,masculine
de,masculine,Toaster,alleinstehend,0.23918496,masculine
de,masculine,Toaster,quasistationär,0.23918496,masculine
de,masculine,Toaster,nackt,0.23918496,masculine
de,masculine,Toaster,sterbend,0.23918496,masculine
de,masculine,Toaster,eifersüchtig,0.23918496,masculine
de,masculine,Toaster,verliebt,0.23918496,masculine
de,masculine,Toaster,fusskrank,0.23918496,masculine
de,masculine,Toaster,verschnöselt,0.23918496,masculine
de,masculine,Toaster,elektrogen,0.23918496,masculine
de,masculine,Toaster,postsexuell,0.23918496,masculine
de,masculine,Toaster,mannstoll,0.23918496,masculine
de,masculine,Toaster,muskelbepackt,0.23918496,masculine
de,masculine,Toaster,wortmächtig,0.23918496,masculine
de,masculine,Toaster,unfallflüchtig,0.23918496,masculine
de,masculine,Toaster,geköpert,0.23918496,masculine
de,masculine,Toaster,mutistisch,0.23918496,masculine
de,masculine,Toaster,fluchtwillig,0.23918496,masculine
de,masculine,Toaster,anderer,0.23918496,masculine
de,masculine,Toaster,sexbesessen,0.23918496,masculine
de,masculine,Toaster,vorpubertierend,0.23918496,masculine
de,masculine,Toaster,augenrein,0.23918496,masculine
de,masculine,Toaster,stocknüchtern,0.23918496,masculine
de,masculine,Toaster,promigeil,0.23918496,masculine
de,masculine,Toaster,lebensmüde,0.23918496,masculine
de,masculine,Toaster,dahergelaufen,0.23918496,masculine
de,masculine,Toaster,gutsitzend,0.23918496,masculine
de,masculine,Toaster,wonnetrunken,0.23918496,masculine
de,masculine,Toaster,schnurrbärtig,0.23918496,masculine
de,masculine,Toaster,befotzt,0.23918496,masculine
de,masculine,Toaster,katexochen,0.23918496,masculine
de,masculine,Toaster,hochtechnologisch,0.23918496,masculine
de,masculine,Toaster,tot,0.23918496,masculine
de,masculine,Toaster,ausländerfrei,0.23918496,masculine
de,masculine,Toaster,feinpulvrig,0.23918496,masculine
de,masculine,Toaster,fluchtverdächtig,0.23918496,masculine
de,masculine,Toaster,jung,0.23918496,masculine
de,masculine,Toaster,kontraktlich,0.23918496,masculine
de,masculine,Toaster,homosexuell,0.23918496,masculine
de,masculine,Toaster,homonom,0.23918496,masculine
de,masculine,Toaster,besoffen,0.23918496,masculine
de,masculine,Toaster,beinamputiert,0.23918496,masculine
de,masculine,Toaster,ledig,0.23918496,masculine
de,masculine,Toaster,alleinerziehend,0.23918496,masculine
de,masculine,Toaster,transident,0.23918496,masculine
de,masculine,Toaster,sentimentalisch,0.23918496,masculine
de,masculine,Toaster,geraum,0.23918496,masculine
de,masculine,Toaster,männlich,0.23918496,masculine
de,masculine,Toaster,schwerreich,0.23918496,masculine
de,masculine,Toaster,impotent,0.23918496,masculine
de,masculine,Mond,verheiratet,0.23628825,masculine
de,masculine,Mond,kreationär,0.23628825,masculine
de,masculine,Mond,betrunken,0.23628825,masculine
de,masculine,Mond,unzukömmlich,0.23628825,masculine
de,masculine,Mond,diensthabend,0.23628825,masculine
de,masculine,Mond,unverheiratet,0.23628825,masculine
de,masculine,Mond,schlohweiß,0.23628825,masculine
de,masculine,Mond,schwanger,0.23628825,masculine
de,masculine,Mond,verhutzelt,0.23628825,masculine
de,masculine,Mond,verwitwet,0.23628825,masculine
de,masculine,Mond,traut,0.23628825,masculine
de,masculine,Mond,präsidiabel,0.23628825,masculine
de,masculine,Mond,hochschwanger,0.23628825,masculine
de,masculine,Mond,diskretionär,0.23628825,masculine
de,masculine,Mond,lebend,0.23628825,masculine
de,masculine,Mond,sturzbetrunken,0.23628825,masculine
de,masculine,Mond,jungsteinzeitlich,0.23628825,masculine
de,masculine,Mond,allein,0.23628825,masculine
de,masculine,Mond,mutmaßlich,0.23628825,masculine
de,masculine,Mond,männisch,0.23628825,masculine
de,masculine,Mond,alt,0.23628825,masculine
de,masculine,Mond,fraulich,0.23628825,masculine
de,masculine,Mond,elterlich,0.23628825,masculine
de,masculine,Mond,zärtlich,0.23628825,masculine
de,masculine,Mond,plötzlich,0.23628825,masculine
de,masculine,Mond,alleinstehend,0.23628825,masculine
de,masculine,Mond,quasistationär,0.23628825,masculine
de,masculine,Mond,nackt,0.23628825,masculine
de,masculine,Mond,sterbend,0.23628825,masculine
de,masculine,Mond,eifersüchtig,0.23628825,masculine
de,masculine,Mond,verliebt,0.23628825,masculine
de,masculine,Mond,fusskrank,0.23628825,masculine
de,masculine,Mond,verschnöselt,0.23628825,masculine
de,masculine,Mond,elektrogen,0.23628825,masculine
de,masculine,Mond,postsexuell,0.23628825,masculine
de,masculine,Mond,mannstoll,0.23628825,masculine
de,masculine,Mond,muskelbepackt,0.23628825,masculine
de,masculine,Mond,wortmächtig,0.23628825,masculine
de,masculine,Mond,unfallflüchtig,0.23628825,masculine
de,masculine,Mond,geköpert,0.23628825,masculine
de,masculine,Mond,mutistisch,0.23628825,masculine
de,masculine,Mond,fluchtwillig,0.23628825,masculine
de,masculine,Mond,anderer,0.23628825,masculine
de,masculine,Mond,sexbesessen,0.23628825,masculine
de,masculine,Mond,vorpubertierend,0.23628825,masculine
de,masculine,Mond,augenrein,0.23628825,masculine
de,masculine,Mond,stocknüchtern,0.23628825,masculine
de,masculine,Mond,promigeil,0.23628825,masculine
de,masculine,Mond,lebensmüde,0.23628825,masculine
de,masculine,Mond,dahergelaufen,0.23628825,masculine
de,masculine,Mond,gutsitzend,0.23628825,masculine
de,masculine,Mond,wonnetrunken,0.23628825,masculine
de,masculine,Mond,schnurrbärtig,0.23628825,masculine
de,masculine,Mond,befotzt,0.23628825,masculine
de,masculine,Mond,katexochen,0.23628825,masculine
de,masculine,Mond,hochtechnologisch,0.23628825,masculine
de,masculine,Mond,tot,0.23628825,masculine
de,masculine,Mond,ausländerfrei,0.23628825,masculine
de,masculine,Mond,feinpulvrig,0.23628825,masculine
de,masculine,Mond,fluchtverdächtig,0.23628825,masculine
de,masculine,Mond,jung,0.23628825,masculine
de,masculine,Mond,kontraktlich,0.23628825,masculine
de,masculine,Mond,homosexuell,0.23628825,masculine
de,masculine,Mond,homonom,0.23628825,masculine
de,masculine,Mond,besoffen,0.23628825,masculine
de,masculine,Mond,beinamputiert,0.23628825,masculine
de,masculine,Mond,ledig,0.23628825,masculine
de,masculine,Mond,alleinerziehend,0.23628825,masculine
de,masculine,Mond,transident,0.23628825,masculine
de,masculine,Mond,sentimentalisch,0.23628825,masculine
de,masculine,Mond,geraum,0.23628825,masculine
de,masculine,Mond,männlich,0.23628825,masculine
de,masculine,Mond,schwerreich,0.23628825,masculine
de,masculine,Mond,impotent,0.23628825,masculine
de,masculine,Besen,verheiratet,0.23918496,masculine
de,masculine,Besen,kreationär,0.23918496,masculine
de,masculine,Besen,betrunken,0.23918496,masculine
de,masculine,Besen,unzukömmlich,0.23918496,masculine
de,masculine,Besen,diensthabend,0.23918496,masculine
de,masculine,Besen,unverheiratet,0.23918496,masculine
de,masculine,Besen,schlohweiß,0.23918496,masculine
de,masculine,Besen,schwanger,0.23918496,masculine
de,masculine,Besen,verhutzelt,0.23918496,masculine
de,masculine,Besen,verwitwet,0.23918496,masculine
de,masculine,Besen,traut,0.23918496,masculine
de,masculine,Besen,präsidiabel,0.23918496,masculine
de,masculine,Besen,hochschwanger,0.23918496,masculine
de,masculine,Besen,diskretionär,0.23918496,masculine
de,masculine,Besen,lebend,0.23918496,masculine
de,masculine,Besen,sturzbetrunken,0.23918496,masculine
de,masculine,Besen,jungsteinzeitlich,0.23918496,masculine
de,masculine,Besen,allein,0.23918496,masculine
de,masculine,Besen,mutmaßlich,0.23918496,masculine
de,masculine,Besen,männisch,0.23918496,masculine
de,masculine,Besen,alt,0.23918496,masculine
de,masculine,Besen,fraulich,0.23918496,masculine
de,masculine,Besen,elterlich,0.23918496,masculine
de,masculine,Besen,zärtlich,0.23918496,masculine
de,masculine,Besen,plötzlich,0.23918496,masculine
de,masculine,Besen,alleinstehend,0.23918496,masculine
de,masculine,Besen,quasistationär,0.23918496,masculine
de,masculine,Besen,nackt,0.23918496,masculine
de,masculine,Besen,sterbend,0.23918496,masculine
de,masculine,Besen,eifersüchtig,0.23918496,masculine
de,masculine,Besen,verliebt,0.23918496,masculine
de,masculine,Besen,fusskrank,0.23918496,masculine
de,masculine,Besen,verschnöselt,0.23918496,masculine
de,masculine,Besen,elektrogen,0.23918496,masculine
de,masculine,Besen,postsexuell,0.23918496,masculine
de,masculine,Besen,mannstoll,0.23918496,masculine
de,masculine,Besen,muskelbepackt,0.23918496,masculine
de,masculine,Besen,wortmächtig,0.23918496,masculine
de,masculine,Besen,unfallflüchtig,0.23918496,masculine
de,masculine,Besen,geköpert,0.23918496,masculine
de,masculine,Besen,mutistisch,0.23918496,masculine
de,masculine,Besen,fluchtwillig,0.23918496,masculine
de,masculine,Besen,anderer,0.23918496,masculine
de,masculine,Besen,sexbesessen,0.23918496,masculine
de,masculine,Besen,vorpubertierend,0.23918496,masculine
de,masculine,Besen,augenrein,0.23918496,masculine
de,masculine,Besen,stocknüchtern,0.23918496,masculine
de,masculine,Besen,promigeil,0.23918496,masculine
de,masculine,Besen,lebensmüde,0.23918496,masculine
de,masculine,Besen,dahergelaufen,0.23918496,masculine
de,masculine,Besen,gutsitzend,0.23918496,masculine
de,masculine,Besen,wonnetrunken,0.23918496,masculine
de,masculine,Besen,schnurrbärtig,0.23918496,masculine
de,masculine,Besen,befotzt,0.23918496,masculine
de,masculine,Besen,katexochen,0.23918496,masculine
de,masculine,Besen,hochtechnologisch,0.23918496,masculine
de,masculine,Besen,tot,0.23918496,masculine
de,masculine,Besen,ausländerfrei,0.23918496,masculine
de,masculine,Besen,feinpulvrig,0.23918496,masculine
de,masculine,Besen,fluchtverdächtig,0.23918496,masculine
de,masculine,Besen,jung,0.23918496,masculine
de,masculine,Besen,kontraktlich,0.23918496,masculine
de,masculine,Besen,homosexuell,0.23918496,masculine
de,masculine,Besen,homonom,0.23918496,masculine
de,masculine,Besen,besoffen,0.23918496,masculine
de,masculine,Besen,beinamputiert,0.23918496,masculine
de,masculine,Besen,ledig,0.23918496,masculine
de,masculine,Besen,alleinerziehend,0.23918496,masculine
de,masculine,Besen,transident,0.23918496,masculine
de,masculine,Besen,sentimentalisch,0.23918496,masculine
de,masculine,Besen,geraum,0.23918496,masculine
de,masculine,Besen,männlich,0.23918496,masculine
de,masculine,Besen,schwerreich,0.23918496,masculine
de,masculine,Besen,impotent,0.23918496,masculine
de,masculine,Wal,verheiratet,0.23918496,masculine
de,masculine,Wal,kreationär,0.23918496,masculine
de,masculine,Wal,betrunken,0.23918496,masculine
de,masculine,Wal,unzukömmlich,0.23918496,masculine
de,masculine,Wal,diensthabend,0.23918496,masculine
de,masculine,Wal,unverheiratet,0.23918496,masculine
de,masculine,Wal,schlohweiß,0.23918496,masculine
de,masculine,Wal,schwanger,0.23918496,masculine
de,masculine,Wal,verhutzelt,0.23918496,masculine
de,masculine,Wal,verwitwet,0.23918496,masculine
de,masculine,Wal,traut,0.23918496,masculine
de,masculine,Wal,präsidiabel,0.23918496,masculine
de,masculine,Wal,hochschwanger,0.23918496,masculine
de,masculine,Wal,diskretionär,0.23918496,masculine
de,masculine,Wal,lebend,0.23918496,masculine
de,masculine,Wal,sturzbetrunken,0.23918496,masculine
de,masculine,Wal,jungsteinzeitlich,0.23918496,masculine
de,masculine,Wal,allein,0.23918496,masculine
de,masculine,Wal,mutmaßlich,0.23918496,masculine
de,masculine,Wal,männisch,0.23918496,masculine
de,masculine,Wal,alt,0.23918496,masculine
de,masculine,Wal,fraulich,0.23918496,masculine
de,masculine,Wal,elterlich,0.23918496,masculine
de,masculine,Wal,zärtlich,0.23918496,masculine
de,masculine,Wal,plötzlich,0.23918496,masculine
de,masculine,Wal,alleinstehend,0.23918496,masculine
de,masculine,Wal,quasistationär,0.23918496,masculine
de,masculine,Wal,nackt,0.23918496,masculine
de,masculine,Wal,sterbend,0.23918496,masculine
de,masculine,Wal,eifersüchtig,0.23918496,masculine
de,masculine,Wal,verliebt,0.23918496,masculine
de,masculine,Wal,fusskrank,0.23918496,masculine
de,masculine,Wal,verschnöselt,0.23918496,masculine
de,masculine,Wal,elektrogen,0.23918496,masculine
de,masculine,Wal,postsexuell,0.23918496,masculine
de,masculine,Wal,mannstoll,0.23918496,masculine
de,masculine,Wal,muskelbepackt,0.23918496,masculine
de,masculine,Wal,wortmächtig,0.23918496,masculine
de,masculine,Wal,unfallflüchtig,0.23918496,masculine
de,masculine,Wal,geköpert,0.23918496,masculine
de,masculine,Wal,mutistisch,0.23918496,masculine
de,masculine,Wal,fluchtwillig,0.23918496,masculine
