LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.02337538,masculine
de,masculine,Toaster,kreationär,0.0153445415,masculine
de,masculine,Toaster,betrunken,0.054506242,masculine
de,masculine,Toaster,unzukömmlich,-0.034829266,masculine
de,masculine,Toaster,diensthabend,-0.009010154,masculine
de,masculine,Toaster,unverheiratet,0.048477117,masculine
de,masculine,Toaster,schlohweiß,-0.024318727,masculine
de,masculine,Toaster,schwanger,0.063289255,masculine
de,masculine,Toaster,verhutzelt,0.081824265,masculine
de,masculine,Toaster,verwitwet,-0.016232,masculine
de,masculine,Toaster,traut,0.11367684,masculine
de,masculine,Toaster,präsidiabel,0.05361088,masculine
de,masculine,Toaster,hochschwanger,0.063289255,masculine
de,masculine,Toaster,diskretionär,0.0153445415,masculine
de,masculine,Toaster,lebend,0.009394002,masculine
de,masculine,Toaster,sturzbetrunken,0.027437413,masculine
de,masculine,Toaster,jungsteinzeitlich,-0.022839513,masculine
de,masculine,Toaster,allein,0.002278931,masculine
de,masculine,Toaster,mutmaßlich,-0.022839513,masculine
de,masculine,Toaster,männisch,0.06147809,masculine
de,masculine,Toaster,alt,0.079293855,masculine
de,masculine,Toaster,fraulich,0.020409435,masculine
de,masculine,Toaster,elterlich,-0.012902624,masculine
de,masculine,Toaster,zärtlich,-0.012902624,masculine
de,masculine,Toaster,plötzlich,0.009888713,masculine
de,masculine,Toaster,alleinstehend,-0.02137185,masculine
de,masculine,Toaster,quasistationär,0.02551683,masculine
de,masculine,Toaster,nackt,0.065950185,masculine
de,masculine,Toaster,sterbend,-0.009010154,masculine
de,masculine,Toaster,eifersüchtig,0.052403226,masculine
de,masculine,Toaster,verliebt,0.12661211,masculine
de,masculine,Toaster,fusskrank,0.021664154,masculine
de,masculine,Toaster,verschnöselt,0.01921268,masculine
de,masculine,Toaster,elektrogen,0.0423619,masculine
de,masculine,Toaster,postsexuell,0.1542348,masculine
de,masculine,Toaster,mannstoll,-0.021992885,masculine
de,masculine,Toaster,muskelbepackt,0.07108703,masculine
de,masculine,Toaster,wortmächtig,0.052403226,masculine
de,masculine,Toaster,unfallflüchtig,0.053580917,masculine
de,masculine,Toaster,geköpert,0.07100821,masculine
de,masculine,Toaster,mutistisch,0.06908347,masculine
de,masculine,Toaster,fluchtwillig,0.012844783,masculine
de,masculine,Toaster,anderer,0.05443733,masculine
de,masculine,Toaster,sexbesessen,0.06136245,masculine
de,masculine,Toaster,vorpubertierend,-0.019564087,masculine
de,masculine,Toaster,augenrein,0.019060697,masculine
de,masculine,Toaster,stocknüchtern,0.019060697,masculine
de,masculine,Toaster,promigeil,0.06092068,masculine
de,masculine,Toaster,lebensmüde,0.05955156,masculine
de,masculine,Toaster,dahergelaufen,0.108032964,masculine
de,masculine,Toaster,gutsitzend,0.046693098,masculine
de,masculine,Toaster,wonnetrunken,0.0423619,masculine
de,masculine,Toaster,schnurrbärtig,0.0031241286,masculine
de,masculine,Toaster,befotzt,0.069620766,masculine
de,masculine,Toaster,katexochen,0.019060697,masculine
de,masculine,Toaster,hochtechnologisch,0.08802309,masculine
de,masculine,Toaster,tot,0.052952096,masculine
de,masculine,Toaster,ausländerfrei,0.070905246,masculine
de,masculine,Toaster,feinpulvrig,0.016869828,masculine
de,masculine,Toaster,fluchtverdächtig,0.042203683,masculine
de,masculine,Toaster,jung,0.07843134,masculine
de,masculine,Toaster,kontraktlich,0.0018921255,masculine
de,masculine,Toaster,homosexuell,0.054873846,masculine
de,masculine,Toaster,homonom,0.036828663,masculine
de,masculine,Toaster,besoffen,0.07028771,masculine
de,masculine,Toaster,beinamputiert,0.09259769,masculine
de,masculine,Toaster,ledig,0.04059522,masculine
de,masculine,Toaster,alleinerziehend,-0.02137185,masculine
de,masculine,Toaster,transident,0.100024566,masculine
de,masculine,Toaster,sentimentalisch,0.020409435,masculine
de,masculine,Toaster,geraum,0.03810559,masculine
de,masculine,Toaster,männlich,0.095623635,masculine
de,masculine,Toaster,schwerreich,0.085857004,masculine
de,masculine,Toaster,impotent,0.071838304,masculine
de,masculine,Mond,verheiratet,0.1264771,masculine
de,masculine,Mond,kreationär,0.033279233,masculine
de,masculine,Mond,betrunken,0.039997697,masculine
de,masculine,Mond,unzukömmlich,0.057952877,masculine
de,masculine,Mond,diensthabend,0.054130558,masculine
de,masculine,Mond,unverheiratet,-0.021104608,masculine
de,masculine,Mond,schlohweiß,0.08148839,masculine
de,masculine,Mond,schwanger,0.045890898,masculine
de,masculine,Mond,verhutzelt,0.11401515,masculine
de,masculine,Mond,verwitwet,0.047917455,masculine
de,masculine,Mond,traut,0.055863075,masculine
de,masculine,Mond,präsidiabel,0.074381046,masculine
de,masculine,Mond,hochschwanger,0.045890898,masculine
de,masculine,Mond,diskretionär,0.033279233,masculine
de,masculine,Mond,lebend,0.07169885,masculine
de,masculine,Mond,sturzbetrunken,0.021054462,masculine
de,masculine,Mond,jungsteinzeitlich,0.076966114,masculine
de,masculine,Mond,allein,0.1019059,masculine
de,masculine,Mond,mutmaßlich,0.076966114,masculine
de,masculine,Mond,männisch,0.11676227,masculine
de,masculine,Mond,alt,0.082429454,masculine
de,masculine,Mond,fraulich,0.036909387,masculine
de,masculine,Mond,elterlich,0.07314711,masculine
de,masculine,Mond,zärtlich,0.07314711,masculine
de,masculine,Mond,plötzlich,0.07262846,masculine
de,masculine,Mond,alleinstehend,0.058949426,masculine
de,masculine,Mond,quasistationär,0.029291548,masculine
de,masculine,Mond,nackt,0.114764005,masculine
de,masculine,Mond,sterbend,0.054130558,masculine
de,masculine,Mond,eifersüchtig,0.03339279,masculine
de,masculine,Mond,verliebt,0.11714294,masculine
de,masculine,Mond,fusskrank,0.09285233,masculine
de,masculine,Mond,verschnöselt,0.054695286,masculine
de,masculine,Mond,elektrogen,0.044897936,masculine
de,masculine,Mond,postsexuell,0.059957556,masculine
de,masculine,Mond,mannstoll,0.048796266,masculine
de,masculine,Mond,muskelbepackt,0.02131594,masculine
de,masculine,Mond,wortmächtig,0.03339279,masculine
de,masculine,Mond,unfallflüchtig,0.022369893,masculine
de,masculine,Mond,geköpert,0.015866632,masculine
de,masculine,Mond,mutistisch,0.068588145,masculine
de,masculine,Mond,fluchtwillig,0.05072214,masculine
de,masculine,Mond,anderer,0.13892773,masculine
de,masculine,Mond,sexbesessen,0.019667942,masculine
de,masculine,Mond,vorpubertierend,0.0429039,masculine
de,masculine,Mond,augenrein,0.027482793,masculine
de,masculine,Mond,stocknüchtern,0.027482793,masculine
de,masculine,Mond,promigeil,0.060774356,masculine
de,masculine,Mond,lebensmüde,0.0054545654,masculine
de,masculine,Mond,dahergelaufen,0.08144845,masculine
de,masculine,Mond,gutsitzend,0.12920175,masculine
de,masculine,Mond,wonnetrunken,0.044897936,masculine
de,masculine,Mond,schnurrbärtig,0.036016244,masculine
de,masculine,Mond,befotzt,0.058742274,masculine
de,masculine,Mond,katexochen,0.027482793,masculine
de,masculine,Mond,hochtechnologisch,0.08720074,masculine
de,masculine,Mond,tot,0.10362674,masculine
de,masculine,Mond,ausländerfrei,-0.0031221658,masculine
de,masculine,Mond,feinpulvrig,0.0423866,masculine
de,masculine,Mond,fluchtverdächtig,0.017086428,masculine
de,masculine,Mond,jung,0.14964083,masculine
de,masculine,Mond,kontraktlich,0.08720536,masculine
de,masculine,Mond,homosexuell,0.02608749,masculine
de,masculine,Mond,homonom,0.048984025,masculine
de,masculine,Mond,besoffen,0.04616307,masculine
de,masculine,Mond,beinamputiert,0.031333268,masculine
de,masculine,Mond,ledig,0.0659646,masculine
de,masculine,Mond,alleinerziehend,0.058949426,masculine
de,masculine,Mond,transident,0.06666635,masculine
de,masculine,Mond,sentimentalisch,0.036909387,masculine
de,masculine,Mond,geraum,0.019690244,masculine
de,masculine,Mond,männlich,0.05869645,masculine
de,masculine,Mond,schwerreich,0.13528946,masculine
de,masculine,Mond,impotent,0.0629792,masculine
de,masculine,Besen,verheiratet,-0.0069592996,masculine
de,masculine,Besen,kreationär,0.067787394,masculine
de,masculine,Besen,betrunken,0.40392178,masculine
de,masculine,Besen,unzukömmlich,0.09946102,masculine
de,masculine,Besen,diensthabend,0.18728617,masculine
de,masculine,Besen,unverheiratet,0.20478018,masculine
de,masculine,Besen,schlohweiß,0.11882491,masculine
de,masculine,Besen,schwanger,0.14458537,masculine
de,masculine,Besen,verhutzelt,0.022999141,masculine
de,masculine,Besen,verwitwet,0.060865194,masculine
de,masculine,Besen,traut,0.14615063,masculine
de,masculine,Besen,präsidiabel,0.122526154,masculine
de,masculine,Besen,hochschwanger,0.14458537,masculine
de,masculine,Besen,diskretionär,0.067787394,masculine
de,masculine,Besen,lebend,0.211595,masculine
de,masculine,Besen,sturzbetrunken,0.36821455,masculine
de,masculine,Besen,jungsteinzeitlich,0.11500668,masculine
de,masculine,Besen,allein,-0.004610191,masculine
de,masculine,Besen,mutmaßlich,0.11500668,masculine
de,masculine,Besen,männisch,0.11835127,masculine
de,masculine,Besen,alt,0.015016589,masculine
de,masculine,Besen,fraulich,0.17133184,masculine
de,masculine,Besen,elterlich,0.1285844,masculine
de,masculine,Besen,zärtlich,0.1285844,masculine
de,masculine,Besen,plötzlich,0.09217528,masculine
de,masculine,Besen,alleinstehend,0.17061703,masculine
de,masculine,Besen,quasistationär,0.0816119,masculine
de,masculine,Besen,nackt,0.10210801,masculine
de,masculine,Besen,sterbend,0.18728617,masculine
de,masculine,Besen,eifersüchtig,0.029808432,masculine
de,masculine,Besen,verliebt,0.087853864,masculine
de,masculine,Besen,fusskrank,0.08775407,masculine
de,masculine,Besen,verschnöselt,0.13069016,masculine
de,masculine,Besen,elektrogen,0.38846952,masculine
de,masculine,Besen,postsexuell,0.05513023,masculine
de,masculine,Besen,mannstoll,0.1687348,masculine
de,masculine,Besen,muskelbepackt,0.11497853,masculine
de,masculine,Besen,wortmächtig,0.029808432,masculine
de,masculine,Besen,unfallflüchtig,0.032298833,masculine
de,masculine,Besen,geköpert,0.073631555,masculine
de,masculine,Besen,mutistisch,0.09425624,masculine
de,masculine,Besen,fluchtwillig,0.013606901,masculine
de,masculine,Besen,anderer,0.026045313,masculine
de,masculine,Besen,sexbesessen,0.27798772,masculine
de,masculine,Besen,vorpubertierend,0.17438784,masculine
de,masculine,Besen,augenrein,0.27724904,masculine
de,masculine,Besen,stocknüchtern,0.27724904,masculine
de,masculine,Besen,promigeil,0.05577294,masculine
de,masculine,Besen,lebensmüde,0.02902925,masculine
de,masculine,Besen,dahergelaufen,0.07159398,masculine
de,masculine,Besen,gutsitzend,0.10103098,masculine
de,masculine,Besen,wonnetrunken,0.38846952,masculine
de,masculine,Besen,schnurrbärtig,0.10662575,masculine
de,masculine,Besen,befotzt,0.017423641,masculine
de,masculine,Besen,katexochen,0.27724904,masculine
