LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,-0.0025218518,masculine
de,masculine,Toaster,kreationär,-0.039953485,masculine
de,masculine,Toaster,betrunken,-0.015454184,masculine
de,masculine,Toaster,unzukömmlich,0.025176529,masculine
de,masculine,Toaster,diensthabend,-0.055579357,masculine
de,masculine,Toaster,unverheiratet,0.007848561,masculine
de,masculine,Toaster,schlohweiß,-0.029560335,masculine
de,masculine,Toaster,schwanger,0.011511856,masculine
de,masculine,Toaster,verhutzelt,0.0013906205,masculine
de,masculine,Toaster,verwitwet,0.014921195,masculine
de,masculine,Toaster,traut,0.110348,masculine
de,masculine,Toaster,präsidiabel,0.010584081,masculine
de,masculine,Toaster,hochschwanger,0.011511856,masculine
de,masculine,Toaster,diskretionär,0.037613194,masculine
de,masculine,Toaster,lebend,-0.055123057,masculine
de,masculine,Toaster,sturzbetrunken,-0.008911983,masculine
de,masculine,Toaster,jungsteinzeitlich,-0.02700509,masculine
de,masculine,Toaster,allein,-0.0025218518,masculine
de,masculine,Toaster,mutmaßlich,-0.038358763,masculine
de,masculine,Toaster,männisch,-0.060971487,masculine
de,masculine,Toaster,alt,-0.0025218518,masculine
de,masculine,Toaster,fraulich,0.030461531,masculine
de,masculine,Toaster,elterlich,-0.022387369,masculine
de,masculine,Toaster,zärtlich,0.011919948,masculine
de,masculine,Toaster,plötzlich,-0.04531708,masculine
de,masculine,Toaster,alleinstehend,-0.027118893,masculine
de,masculine,Toaster,quasistationär,-0.06003867,masculine
de,masculine,Toaster,nackt,0.12951608,masculine
de,masculine,Toaster,sterbend,-0.023440836,masculine
de,masculine,Toaster,eifersüchtig,0.035595477,masculine
de,masculine,Toaster,verliebt,0.03867242,masculine
de,masculine,Toaster,fusskrank,0.03834692,masculine
de,masculine,Toaster,verschnöselt,-0.016424034,masculine
de,masculine,Toaster,elektrogen,-0.013886199,masculine
de,masculine,Toaster,postsexuell,-0.014375515,masculine
de,masculine,Toaster,mannstoll,0.016828299,masculine
de,masculine,Toaster,muskelbepackt,0.0022583255,masculine
de,masculine,Toaster,wortmächtig,0.0137804635,masculine
de,masculine,Toaster,unfallflüchtig,0.029416993,masculine
de,masculine,Toaster,geköpert,0.004859499,masculine
de,masculine,Toaster,mutistisch,-0.022852926,masculine
de,masculine,Toaster,fluchtwillig,0.009928389,masculine
de,masculine,Toaster,anderer,-0.0025218518,masculine
de,masculine,Toaster,sexbesessen,0.012726282,masculine
de,masculine,Toaster,vorpubertierend,-0.021584362,masculine
de,masculine,Toaster,augenrein,-0.04791766,masculine
de,masculine,Toaster,stocknüchtern,-0.028658563,masculine
de,masculine,Toaster,promigeil,0.009529161,masculine
de,masculine,Toaster,lebensmüde,0.038232706,masculine
de,masculine,Toaster,dahergelaufen,-0.027594723,masculine
de,masculine,Toaster,gutsitzend,-0.0916342,masculine
de,masculine,Toaster,wonnetrunken,-0.021960266,masculine
de,masculine,Toaster,schnurrbärtig,0.018852087,masculine
de,masculine,Toaster,befotzt,0.0917996,masculine
de,masculine,Toaster,katexochen,-0.039076224,masculine
de,masculine,Toaster,hochtechnologisch,-0.037097983,masculine
de,masculine,Toaster,tot,-0.0025218518,masculine
de,masculine,Toaster,ausländerfrei,0.03032715,masculine
de,masculine,Toaster,feinpulvrig,-0.010121531,masculine
de,masculine,Toaster,fluchtverdächtig,0.064268716,masculine
de,masculine,Toaster,jung,-0.0025218518,masculine
de,masculine,Toaster,kontraktlich,0.030956987,masculine
de,masculine,Toaster,homosexuell,-0.04423158,masculine
de,masculine,Toaster,homonom,0.005726942,masculine
de,masculine,Toaster,besoffen,0.091025524,masculine
de,masculine,Toaster,beinamputiert,0.012958704,masculine
de,masculine,Toaster,ledig,0.03139162,masculine
de,masculine,Toaster,alleinerziehend,-0.08797905,masculine
de,masculine,Toaster,transident,0.06095725,masculine
de,masculine,Toaster,sentimentalisch,-0.014435621,masculine
de,masculine,Toaster,geraum,0.02654601,masculine
de,masculine,Toaster,männlich,-0.009524395,masculine
de,masculine,Toaster,schwerreich,-0.01263942,masculine
de,masculine,Toaster,impotent,-0.0016949823,masculine
de,masculine,Mond,verheiratet,0.23628825,masculine
de,masculine,Mond,kreationär,0.040671803,masculine
de,masculine,Mond,betrunken,-0.024339894,masculine
de,masculine,Mond,unzukömmlich,0.02757757,masculine
de,masculine,Mond,diensthabend,-0.010579981,masculine
de,masculine,Mond,unverheiratet,0.037198655,masculine
de,masculine,Mond,schlohweiß,0.09894418,masculine
de,masculine,Mond,schwanger,0.015395312,masculine
de,masculine,Mond,verhutzelt,0.018411715,masculine
de,masculine,Mond,verwitwet,0.011994638,masculine
de,masculine,Mond,traut,0.14856222,masculine
de,masculine,Mond,präsidiabel,0.035782762,masculine
