LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.020639636,masculine
de,masculine,Toaster,kreationär,0.1024166,masculine
de,masculine,Toaster,betrunken,0.13544919,masculine
de,masculine,Toaster,unzukömmlich,0.1330658,masculine
de,masculine,Toaster,diensthabend,0.06824155,masculine
de,masculine,Toaster,unverheiratet,0.10957217,masculine
de,masculine,Toaster,schlohweiß,0.05412816,masculine
de,masculine,Toaster,schwanger,0.13555512,masculine
de,masculine,Toaster,verhutzelt,0.08907282,masculine
de,masculine,Toaster,verwitwet,0.067319356,masculine
de,masculine,Toaster,traut,0.14493902,masculine
de,masculine,Toaster,präsidiabel,0.10732802,masculine
de,masculine,Toaster,hochschwanger,0.120202675,masculine
de,masculine,Toaster,diskretionär,0.08183015,masculine
de,masculine,Toaster,lebend,0.055807795,masculine
de,masculine,Toaster,sturzbetrunken,0.16337691,masculine
de,masculine,Toaster,jungsteinzeitlich,0.093024045,masculine
de,masculine,Toaster,allein,0.024857448,masculine
de,masculine,Toaster,mutmaßlich,0.03089679,masculine
de,masculine,Toaster,männisch,0.024428252,masculine
de,masculine,Toaster,alt,0.13793574,masculine
de,masculine,Toaster,fraulich,0.14148001,masculine
de,masculine,Toaster,elterlich,0.12168938,masculine
de,masculine,Toaster,zärtlich,0.09157115,masculine
de,masculine,Toaster,plötzlich,0.027836898,masculine
de,masculine,Toaster,alleinstehend,0.11524599,masculine
de,masculine,Toaster,quasistationär,0.08977537,masculine
de,masculine,Toaster,nackt,0.16324939,masculine
de,masculine,Toaster,sterbend,0.14943461,masculine
de,masculine,Toaster,eifersüchtig,0.09379348,masculine
de,masculine,Toaster,verliebt,0.13393548,masculine
de,masculine,Toaster,fusskrank,0.13395056,masculine
de,masculine,Toaster,verschnöselt,0.08090531,masculine
de,masculine,Toaster,elektrogen,0.1371733,masculine
de,masculine,Toaster,postsexuell,0.1558885,masculine
de,masculine,Toaster,mannstoll,0.16797183,masculine
de,masculine,Toaster,muskelbepackt,0.17972039,masculine
de,masculine,Toaster,wortmächtig,0.11997328,masculine
de,masculine,Toaster,unfallflüchtig,0.08379063,masculine
de,masculine,Toaster,geköpert,0.13304603,masculine
de,masculine,Toaster,mutistisch,0.14199373,masculine
de,masculine,Toaster,fluchtwillig,0.11314125,masculine
de,masculine,Toaster,anderer,0.020397192,masculine
de,masculine,Toaster,sexbesessen,0.08084898,masculine
de,masculine,Toaster,vorpubertierend,0.1238909,masculine
de,masculine,Toaster,augenrein,0.09757316,masculine
de,masculine,Toaster,stocknüchtern,0.15169,masculine
de,masculine,Toaster,promigeil,0.14054134,masculine
de,masculine,Toaster,lebensmüde,0.061487973,masculine
de,masculine,Toaster,dahergelaufen,0.10675219,masculine
de,masculine,Toaster,gutsitzend,0.056802496,masculine
de,masculine,Toaster,wonnetrunken,0.14672531,masculine
de,masculine,Toaster,schnurrbärtig,0.12355307,masculine
de,masculine,Toaster,befotzt,0.13093056,masculine
de,masculine,Toaster,katexochen,0.17322111,masculine
de,masculine,Toaster,hochtechnologisch,0.12720913,masculine
de,masculine,Toaster,tot,0.18663561,masculine
de,masculine,Toaster,ausländerfrei,0.09757608,masculine
de,masculine,Toaster,feinpulvrig,0.11730603,masculine
de,masculine,Toaster,fluchtverdächtig,0.13963237,masculine
de,masculine,Toaster,jung,0.07525123,masculine
de,masculine,Toaster,kontraktlich,0.09198312,masculine
de,masculine,Toaster,homosexuell,0.06818339,masculine
de,masculine,Toaster,homonom,0.08532543,masculine
de,masculine,Toaster,besoffen,0.13834542,masculine
de,masculine,Toaster,beinamputiert,0.14950342,masculine
de,masculine,Toaster,ledig,0.080758005,masculine
de,masculine,Toaster,alleinerziehend,0.07141081,masculine
de,masculine,Toaster,transident,0.14169839,masculine
de,masculine,Toaster,sentimentalisch,0.13729942,masculine
de,masculine,Toaster,geraum,0.1699175,masculine
de,masculine,Toaster,männlich,0.0427517,masculine
de,masculine,Toaster,schwerreich,0.042109665,masculine
de,masculine,Toaster,impotent,0.0992944,masculine
de,masculine,Mond,verheiratet,0.1264771,masculine
de,masculine,Mond,kreationär,0.06696689,masculine
de,masculine,Mond,betrunken,0.109226264,masculine
de,masculine,Mond,unzukömmlich,0.08665347,masculine
de,masculine,Mond,diensthabend,0.097498745,masculine
de,masculine,Mond,unverheiratet,0.084004715,masculine
de,masculine,Mond,schlohweiß,0.114272505,masculine
de,masculine,Mond,schwanger,0.081625074,masculine
de,masculine,Mond,verhutzelt,0.16896224,masculine
de,masculine,Mond,verwitwet,0.09830099,masculine
de,masculine,Mond,traut,0.06990917,masculine
