LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.15746342,masculine
de,masculine,Toaster,kreationär,0.14608994,masculine
de,masculine,Toaster,betrunken,0.123381086,masculine
de,masculine,Toaster,unzukömmlich,0.23868953,masculine
de,masculine,Toaster,diensthabend,0.074672244,masculine
de,masculine,Toaster,unverheiratet,0.16498776,masculine
de,masculine,Toaster,schlohweiß,0.16041917,masculine
de,masculine,Toaster,schwanger,0.19877532,masculine
de,masculine,Toaster,verhutzelt,0.16779077,masculine
de,masculine,Toaster,verwitwet,0.16438992,masculine
de,masculine,Toaster,traut,0.21531901,masculine
de,masculine,Toaster,präsidiabel,0.14609921,masculine
de,masculine,Toaster,hochschwanger,0.14469121,masculine
de,masculine,Toaster,diskretionär,0.15000018,masculine
de,masculine,Toaster,lebend,0.10802001,masculine
de,masculine,Toaster,sturzbetrunken,0.20498878,masculine
de,masculine,Toaster,jungsteinzeitlich,0.11471647,masculine
de,masculine,Toaster,allein,0.15746342,masculine
de,masculine,Toaster,mutmaßlich,0.1464305,masculine
de,masculine,Toaster,männisch,0.069838665,masculine
de,masculine,Toaster,alt,0.15746342,masculine
de,masculine,Toaster,fraulich,0.1988803,masculine
de,masculine,Toaster,elterlich,0.20295522,masculine
de,masculine,Toaster,zärtlich,0.18385279,masculine
de,masculine,Toaster,plötzlich,0.10196535,masculine
de,masculine,Toaster,alleinstehend,0.16056071,masculine
de,masculine,Toaster,quasistationär,0.102249175,masculine
de,masculine,Toaster,nackt,0.24735272,masculine
de,masculine,Toaster,sterbend,0.13464043,masculine
de,masculine,Toaster,eifersüchtig,0.16294713,masculine
de,masculine,Toaster,verliebt,0.18805556,masculine
de,masculine,Toaster,fusskrank,0.20465235,masculine
de,masculine,Toaster,verschnöselt,0.12488855,masculine
de,masculine,Toaster,elektrogen,0.17573102,masculine
de,masculine,Toaster,postsexuell,0.08604066,masculine
de,masculine,Toaster,mannstoll,0.09981346,masculine
de,masculine,Toaster,muskelbepackt,0.16293906,masculine
de,masculine,Toaster,wortmächtig,0.19041291,masculine
de,masculine,Toaster,unfallflüchtig,0.21175724,masculine
de,masculine,Toaster,geköpert,0.21773157,masculine
de,masculine,Toaster,mutistisch,0.15771581,masculine
de,masculine,Toaster,fluchtwillig,0.1728364,masculine
de,masculine,Toaster,anderer,0.15746342,masculine
de,masculine,Toaster,sexbesessen,0.13345848,masculine
de,masculine,Toaster,vorpubertierend,0.16928066,masculine
de,masculine,Toaster,augenrein,0.12859131,masculine
de,masculine,Toaster,stocknüchtern,0.08211603,masculine
de,masculine,Toaster,promigeil,0.1862535,masculine
de,masculine,Toaster,lebensmüde,0.11460239,masculine
de,masculine,Toaster,dahergelaufen,0.1303557,masculine
de,masculine,Toaster,gutsitzend,0.091049,masculine
de,masculine,Toaster,wonnetrunken,0.10577613,masculine
de,masculine,Toaster,schnurrbärtig,0.16730441,masculine
de,masculine,Toaster,befotzt,0.2774608,masculine
de,masculine,Toaster,katexochen,0.089924715,masculine
de,masculine,Toaster,hochtechnologisch,0.10630277,masculine
de,masculine,Toaster,tot,0.15746342,masculine
de,masculine,Toaster,ausländerfrei,0.17986128,masculine
de,masculine,Toaster,feinpulvrig,0.14732309,masculine
de,masculine,Toaster,fluchtverdächtig,0.23015532,masculine
de,masculine,Toaster,jung,0.15746342,masculine
de,masculine,Toaster,kontraktlich,0.11618186,masculine
de,masculine,Toaster,homosexuell,0.120813414,masculine
de,masculine,Toaster,homonom,0.1215366,masculine
de,masculine,Toaster,besoffen,0.2701372,masculine
de,masculine,Toaster,beinamputiert,0.19166917,masculine
de,masculine,Toaster,ledig,0.15024701,masculine
de,masculine,Toaster,alleinerziehend,0.0502045,masculine
de,masculine,Toaster,transident,0.16800888,masculine
de,masculine,Toaster,sentimentalisch,0.08459183,masculine
de,masculine,Toaster,geraum,0.19288638,masculine
de,masculine,Toaster,männlich,0.07843746,masculine
de,masculine,Toaster,schwerreich,0.13740975,masculine
de,masculine,Toaster,impotent,0.2008322,masculine
de,masculine,Mond,verheiratet,0.23628825,masculine
de,masculine,Mond,kreationär,0.21450184,masculine
