LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.22994435,masculine
de,masculine,Toaster,kreationär,0.28553766,masculine
de,masculine,Toaster,betrunken,0.32957456,masculine
de,masculine,Toaster,unzukömmlich,0.30901968,masculine
de,masculine,Toaster,diensthabend,0.3160684,masculine
de,masculine,Toaster,unverheiratet,0.32748258,masculine
de,masculine,Toaster,schlohweiß,0.28127727,masculine
de,masculine,Toaster,schwanger,0.28768516,masculine
de,masculine,Toaster,verhutzelt,0.3741266,masculine
de,masculine,Toaster,verwitwet,0.32848084,masculine
de,masculine,Toaster,traut,0.5512566,masculine
de,masculine,Toaster,präsidiabel,0.2883275,masculine
de,masculine,Toaster,hochschwanger,0.3043503,masculine
de,masculine,Toaster,diskretionär,0.35069516,masculine
de,masculine,Toaster,lebend,0.3575754,masculine
de,masculine,Toaster,sturzbetrunken,0.33816966,masculine
de,masculine,Toaster,jungsteinzeitlich,0.25501847,masculine
de,masculine,Toaster,allein,0.2514847,masculine
de,masculine,Toaster,mutmaßlich,0.31302953,masculine
de,masculine,Toaster,männisch,0.34480104,masculine
de,masculine,Toaster,alt,0.33667186,masculine
de,masculine,Toaster,fraulich,0.4006182,masculine
de,masculine,Toaster,elterlich,0.36255133,masculine
de,masculine,Toaster,zärtlich,0.3605404,masculine
de,masculine,Toaster,plötzlich,0.252514,masculine
de,masculine,Toaster,alleinstehend,0.2547532,masculine
de,masculine,Toaster,quasistationär,0.39724147,masculine
de,masculine,Toaster,nackt,0.35300103,masculine
de,masculine,Toaster,sterbend,0.42449695,masculine
de,masculine,Toaster,eifersüchtig,0.28380546,masculine
de,masculine,Toaster,verliebt,0.3781052,masculine
de,masculine,Toaster,fusskrank,0.36876565,masculine
de,masculine,Toaster,verschnöselt,0.31936347,masculine
de,masculine,Toaster,elektrogen,0.35971317,masculine
de,masculine,Toaster,postsexuell,0.3719571,masculine
de,masculine,Toaster,mannstoll,0.44848475,masculine
de,masculine,Toaster,muskelbepackt,0.39488468,masculine
de,masculine,Toaster,wortmächtig,0.4087193,masculine
de,masculine,Toaster,unfallflüchtig,0.3212216,masculine
de,masculine,Toaster,geköpert,0.3464656,masculine
de,masculine,Toaster,mutistisch,0.41556895,masculine
de,masculine,Toaster,fluchtwillig,0.36339584,masculine
de,masculine,Toaster,anderer,0.33373073,masculine
de,masculine,Toaster,sexbesessen,0.41735205,masculine
de,masculine,Toaster,vorpubertierend,0.19890049,masculine
de,masculine,Toaster,augenrein,0.36303616,masculine
de,masculine,Toaster,stocknüchtern,0.36750954,masculine
de,masculine,Toaster,promigeil,0.39807817,masculine
de,masculine,Toaster,lebensmüde,0.36403814,masculine
de,masculine,Toaster,dahergelaufen,0.26310623,masculine
de,masculine,Toaster,gutsitzend,0.29847157,masculine
de,masculine,Toaster,wonnetrunken,0.3566502,masculine
de,masculine,Toaster,schnurrbärtig,0.27758622,masculine
de,masculine,Toaster,befotzt,0.33836755,masculine
de,masculine,Toaster,katexochen,0.4151454,masculine
de,masculine,Toaster,hochtechnologisch,0.30836305,masculine
de,masculine,Toaster,tot,0.26216227,masculine
de,masculine,Toaster,ausländerfrei,0.27782515,masculine
de,masculine,Toaster,feinpulvrig,0.34807518,masculine
de,masculine,Toaster,fluchtverdächtig,0.302804,masculine
de,masculine,Toaster,jung,0.29864314,masculine
de,masculine,Toaster,kontraktlich,0.35888752,masculine
de,masculine,Toaster,homosexuell,0.35435694,masculine
de,masculine,Toaster,homonom,0.41188973,masculine
de,masculine,Toaster,besoffen,0.31796372,masculine
de,masculine,Toaster,beinamputiert,0.27888656,masculine
de,masculine,Toaster,ledig,0.36681893,masculine
de,masculine,Toaster,alleinerziehend,0.26926872,masculine
de,masculine,Toaster,transident,0.55404377,masculine
de,masculine,Toaster,sentimentalisch,0.43218645,masculine
de,masculine,Toaster,geraum,0.39721057,masculine
de,masculine,Toaster,männlich,0.3192332,masculine
de,masculine,Toaster,schwerreich,0.41949525,masculine
de,masculine,Toaster,impotent,0.39449477,masculine
de,masculine,Mond,verheiratet,0.4097439,masculine
de,masculine,Mond,kreationär,0.3124454,masculine
de,masculine,Mond,betrunken,0.40404537,masculine
de,masculine,Mond,unzukömmlich,0.38054106,masculine
de,masculine,Mond,diensthabend,0.37050545,masculine
de,masculine,Mond,unverheiratet,0.3547625,masculine
de,masculine,Mond,schlohweiß,0.36017856,masculine
de,masculine,Mond,schwanger,0.43222186,masculine
de,masculine,Mond,verhutzelt,0.40733412,masculine
de,masculine,Mond,verwitwet,0.3917228,masculine
de,masculine,Mond,traut,0.5068149,masculine
de,masculine,Mond,präsidiabel,0.3947284,masculine
de,masculine,Mond,hochschwanger,0.45916656,masculine
de,masculine,Mond,diskretionär,0.37614763,masculine
de,masculine,Mond,lebend,0.48272717,masculine
de,masculine,Mond,sturzbetrunken,0.31179687,masculine
de,masculine,Mond,jungsteinzeitlich,0.3129657,masculine
de,masculine,Mond,allein,0.40577754,masculine
de,masculine,Mond,mutmaßlich,0.44159403,masculine
de,masculine,Mond,männisch,0.44764674,masculine
de,masculine,Mond,alt,0.46155548,masculine
de,masculine,Mond,fraulich,0.43900687,masculine
de,masculine,Mond,elterlich,0.4751357,masculine
de,masculine,Mond,zärtlich,0.42329624,masculine
de,masculine,Mond,plötzlich,0.35385355,masculine
de,masculine,Mond,alleinstehend,0.36312777,masculine
de,masculine,Mond,quasistationär,0.3877913,masculine
de,masculine,Mond,nackt,0.46234217,masculine
de,masculine,Mond,sterbend,0.44189572,masculine
de,masculine,Mond,eifersüchtig,0.3625352,masculine
de,masculine,Mond,verliebt,0.4518748,masculine
de,masculine,Mond,fusskrank,0.42940602,masculine
de,masculine,Mond,verschnöselt,0.35833713,masculine
de,masculine,Mond,elektrogen,0.4210695,masculine
de,masculine,Mond,postsexuell,0.36156976,masculine
de,masculine,Mond,mannstoll,0.5492662,masculine
de,masculine,Mond,muskelbepackt,0.40068442,masculine
de,masculine,Mond,wortmächtig,0.38793936,masculine
de,masculine,Mond,unfallflüchtig,0.39099517,masculine
de,masculine,Mond,geköpert,0.40349683,masculine
de,masculine,Mond,mutistisch,0.49299407,masculine
de,masculine,Mond,fluchtwillig,0.4113704,masculine
de,masculine,Mond,anderer,0.46212852,masculine
de,masculine,Mond,sexbesessen,0.4263135,masculine
de,masculine,Mond,vorpubertierend,0.3144203,masculine
de,masculine,Mond,augenrein,0.3965833,masculine
de,masculine,Mond,stocknüchtern,0.3909297,masculine
de,masculine,Mond,promigeil,0.46345237,masculine
