LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.5423512,masculine
de,masculine,Toaster,kreationär,0.5110414,masculine
de,masculine,Toaster,betrunken,0.51241755,masculine
de,masculine,Toaster,unzukömmlich,0.523408,masculine
de,masculine,Toaster,diensthabend,0.4797377,masculine
de,masculine,Toaster,unverheiratet,0.48089543,masculine
de,masculine,Toaster,schlohweiß,0.47809926,masculine
de,masculine,Toaster,schwanger,0.51571625,masculine
de,masculine,Toaster,verhutzelt,0.48582157,masculine
de,masculine,Toaster,verwitwet,0.5223055,masculine
de,masculine,Toaster,traut,0.5581721,masculine
de,masculine,Toaster,präsidiabel,0.5263251,masculine
de,masculine,Toaster,hochschwanger,0.5293558,masculine
de,masculine,Toaster,diskretionär,0.56908774,masculine
de,masculine,Toaster,lebend,0.5483366,masculine
de,masculine,Toaster,sturzbetrunken,0.52186596,masculine
de,masculine,Toaster,jungsteinzeitlich,0.4345058,masculine
de,masculine,Toaster,allein,0.590442,masculine
de,masculine,Toaster,mutmaßlich,0.62412,masculine
de,masculine,Toaster,männisch,0.5413924,masculine
de,masculine,Toaster,alt,0.531394,masculine
de,masculine,Toaster,fraulich,0.54075146,masculine
de,masculine,Toaster,elterlich,0.5620129,masculine
de,masculine,Toaster,zärtlich,0.56389046,masculine
de,masculine,Toaster,plötzlich,0.5067423,masculine
de,masculine,Toaster,alleinstehend,0.54863536,masculine
de,masculine,Toaster,quasistationär,0.47017112,masculine
de,masculine,Toaster,nackt,0.52937436,masculine
de,masculine,Toaster,sterbend,0.5160662,masculine
de,masculine,Toaster,eifersüchtig,0.49451864,masculine
de,masculine,Toaster,verliebt,0.54646516,masculine
de,masculine,Toaster,fusskrank,0.5071183,masculine
de,masculine,Toaster,verschnöselt,0.5348942,masculine
de,masculine,Toaster,elektrogen,0.5431228,masculine
