LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.25191367,masculine
de,masculine,Toaster,kreationär,0.3387632,masculine
de,masculine,Toaster,betrunken,0.31414738,masculine
de,masculine,Toaster,unzukömmlich,0.25791985,masculine
de,masculine,Toaster,diensthabend,0.25531182,masculine
de,masculine,Toaster,unverheiratet,0.25307167,masculine
de,masculine,Toaster,schlohweiß,0.33117726,masculine
de,masculine,Toaster,schwanger,0.3224772,masculine
de,masculine,Toaster,verhutzelt,0.38073748,masculine
de,masculine,Toaster,verwitwet,0.32832745,masculine
de,masculine,Toaster,traut,0.5258953,masculine
de,masculine,Toaster,präsidiabel,0.3436707,masculine
de,masculine,Toaster,hochschwanger,0.3281957,masculine
de,masculine,Toaster,diskretionär,0.35179764,masculine
de,masculine,Toaster,lebend,0.32928476,masculine
de,masculine,Toaster,sturzbetrunken,0.31139022,masculine
de,masculine,Toaster,jungsteinzeitlich,0.17885779,masculine
de,masculine,Toaster,allein,0.25805083,masculine
de,masculine,Toaster,mutmaßlich,0.23888814,masculine
de,masculine,Toaster,männisch,0.40007997,masculine
de,masculine,Toaster,alt,0.3421451,masculine
de,masculine,Toaster,fraulich,0.32738662,masculine
de,masculine,Toaster,elterlich,0.31513613,masculine
de,masculine,Toaster,zärtlich,0.2887283,masculine
de,masculine,Toaster,plötzlich,0.21954194,masculine
de,masculine,Toaster,alleinstehend,0.20663144,masculine
de,masculine,Toaster,quasistationär,0.342813,masculine
de,masculine,Toaster,nackt,0.41138855,masculine
de,masculine,Toaster,sterbend,0.29255542,masculine
de,masculine,Toaster,eifersüchtig,0.28021204,masculine
de,masculine,Toaster,verliebt,0.35283434,masculine
de,masculine,Toaster,fusskrank,0.38526884,masculine
de,masculine,Toaster,verschnöselt,0.28725007,masculine
de,masculine,Toaster,elektrogen,0.34826842,masculine
de,masculine,Toaster,postsexuell,0.39248607,masculine
