LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.3216213,masculine
de,masculine,Toaster,kreationär,0.22767355,masculine
de,masculine,Toaster,betrunken,0.34889317,masculine
de,masculine,Toaster,unzukömmlich,0.17819686,masculine
de,masculine,Toaster,diensthabend,0.25152323,masculine
de,masculine,Toaster,unverheiratet,0.26927957,masculine
de,masculine,Toaster,schlohweiß,0.13284765,masculine
de,masculine,Toaster,schwanger,0.29268712,masculine
de,masculine,Toaster,verhutzelt,0.28558627,masculine
de,masculine,Toaster,verwitwet,0.3083558,masculine
de,masculine,Toaster,traut,0.3371992,masculine
de,masculine,Toaster,präsidiabel,0.28391743,masculine
de,masculine,Toaster,hochschwanger,0.29641497,masculine
de,masculine,Toaster,diskretionär,0.18539408,masculine
de,masculine,Toaster,lebend,0.269084,masculine
de,masculine,Toaster,sturzbetrunken,0.32865533,masculine
de,masculine,Toaster,jungsteinzeitlich,0.21889299,masculine
de,masculine,Toaster,allein,0.36193413,masculine
de,masculine,Toaster,mutmaßlich,0.17986582,masculine
de,masculine,Toaster,männisch,0.28551802,masculine
de,masculine,Toaster,alt,0.35281938,masculine
de,masculine,Toaster,fraulich,0.2195803,masculine
de,masculine,Toaster,elterlich,0.23868413,masculine
de,masculine,Toaster,zärtlich,0.21716622,masculine
de,masculine,Toaster,plötzlich,0.21128744,masculine
de,masculine,Toaster,alleinstehend,0.21761364,masculine
de,masculine,Toaster,quasistationär,0.19432628,masculine
de,masculine,Toaster,nackt,0.31068328,masculine
de,masculine,Toaster,sterbend,0.17737089,masculine
de,masculine,Toaster,eifersüchtig,0.29840276,masculine
de,masculine,Toaster,verliebt,0.3247228,masculine
de,masculine,Toaster,fusskrank,0.3183366,masculine
de,masculine,Toaster,verschnöselt,0.17182279,masculine
de,masculine,Toaster,elektrogen,0.2804374,masculine
de,masculine,Toaster,postsexuell,0.28658363,masculine
de,masculine,Toaster,mannstoll,0.3563991,masculine
de,masculine,Toaster,muskelbepackt,0.2265828,masculine
de,masculine,Toaster,wortmächtig,0.26595777,masculine
de,masculine,Toaster,unfallflüchtig,0.22540742,masculine
de,masculine,Toaster,geköpert,0.31289995,masculine
de,masculine,Toaster,mutistisch,0.30601627,masculine
de,masculine,Toaster,fluchtwillig,0.29403287,masculine
de,masculine,Toaster,anderer,0.30140188,masculine
de,masculine,Toaster,sexbesessen,0.22049649,masculine
de,masculine,Toaster,vorpubertierend,0.19189294,masculine
de,masculine,Toaster,augenrein,0.2220045,masculine
de,masculine,Toaster,stocknüchtern,0.19198819,masculine
de,masculine,Toaster,promigeil,0.39245108,masculine
de,masculine,Toaster,lebensmüde,0.2913993,masculine
de,masculine,Toaster,dahergelaufen,0.31005383,masculine
de,masculine,Toaster,gutsitzend,0.30665642,masculine
de,masculine,Toaster,wonnetrunken,0.30540338,masculine
de,masculine,Toaster,schnurrbärtig,0.29815978,masculine
de,masculine,Toaster,befotzt,0.3859083,masculine
de,masculine,Toaster,katexochen,0.26758224,masculine
de,masculine,Toaster,hochtechnologisch,0.19871314,masculine
de,masculine,Toaster,tot,0.36120906,masculine
de,masculine,Toaster,ausländerfrei,0.28387377,masculine
de,masculine,Toaster,feinpulvrig,0.15820952,masculine
de,masculine,Toaster,fluchtverdächtig,0.24199374,masculine
de,masculine,Toaster,jung,0.3198077,masculine
de,masculine,Toaster,kontraktlich,0.24818806,masculine
de,masculine,Toaster,homosexuell,0.25779444,masculine
de,masculine,Toaster,homonom,0.29513326,masculine
de,masculine,Toaster,besoffen,0.40964863,masculine
de,masculine,Toaster,beinamputiert,0.26106066,masculine
de,masculine,Toaster,ledig,0.22645399,masculine
de,masculine,Toaster,alleinerziehend,0.26709506,masculine
de,masculine,Toaster,transident,0.43020663,masculine
de,masculine,Toaster,sentimentalisch,0.25209707,masculine
de,masculine,Toaster,geraum,0.33917427,masculine
de,masculine,Toaster,männlich,0.24852705,masculine
de,masculine,Toaster,schwerreich,0.2869365,masculine
de,masculine,Toaster,impotent,0.35243407,masculine
de,masculine,Mond,verheiratet,0.63771665,masculine
de,masculine,Mond,kreationär,0.3394442,masculine
de,masculine,Mond,betrunken,0.41310835,masculine
de,masculine,Mond,unzukömmlich,0.385184,masculine
de,masculine,Mond,diensthabend,0.4138933,masculine
de,masculine,Mond,unverheiratet,0.4622631,masculine
de,masculine,Mond,schlohweiß,0.3432048,masculine
de,masculine,Mond,schwanger,0.4682092,masculine
de,masculine,Mond,verhutzelt,0.38342142,masculine
de,masculine,Mond,verwitwet,0.42029235,masculine
de,masculine,Mond,traut,0.47707072,masculine
de,masculine,Mond,präsidiabel,0.3268832,masculine
de,masculine,Mond,hochschwanger,0.4318605,masculine
de,masculine,Mond,diskretionär,0.3581232,masculine
de,masculine,Mond,lebend,0.51774925,masculine
de,masculine,Mond,sturzbetrunken,0.37717736,masculine
de,masculine,Mond,jungsteinzeitlich,0.42161965,masculine
de,masculine,Mond,allein,0.6383113,masculine
de,masculine,Mond,mutmaßlich,0.5537996,masculine
de,masculine,Mond,männisch,0.4462186,masculine
de,masculine,Mond,alt,0.6242802,masculine
de,masculine,Mond,fraulich,0.3829576,masculine
de,masculine,Mond,elterlich,0.46545216,masculine
de,masculine,Mond,zärtlich,0.44513908,masculine
de,masculine,Mond,plötzlich,0.4106077,masculine
de,masculine,Mond,alleinstehend,0.43138328,masculine
de,masculine,Mond,quasistationär,0.39003333,masculine
de,masculine,Mond,nackt,0.4357898,masculine
de,masculine,Mond,sterbend,0.41026613,masculine
de,masculine,Mond,eifersüchtig,0.4324834,masculine
de,masculine,Mond,verliebt,0.49162796,masculine
de,masculine,Mond,fusskrank,0.46450937,masculine
de,masculine,Mond,verschnöselt,0.33088827,masculine
de,masculine,Mond,elektrogen,0.40350047,masculine
de,masculine,Mond,postsexuell,0.37359345,masculine
de,masculine,Mond,mannstoll,0.29321784,masculine
de,masculine,Mond,muskelbepackt,0.29719764,masculine
de,masculine,Mond,wortmächtig,0.40548393,masculine
de,masculine,Mond,unfallflüchtig,0.42660627,masculine
de,masculine,Mond,geköpert,0.36907738,masculine
de,masculine,Mond,mutistisch,0.31060869,masculine
de,masculine,Mond,fluchtwillig,0.37607878,masculine
de,masculine,Mond,anderer,0.6760975,masculine
