LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.25621036,masculine
de,masculine,Toaster,kreationär,0.33600327,masculine
de,masculine,Toaster,betrunken,0.3723243,masculine
de,masculine,Toaster,unzukömmlich,0.36012962,masculine
de,masculine,Toaster,diensthabend,0.3287212,masculine
de,masculine,Toaster,unverheiratet,0.32048425,masculine
de,masculine,Toaster,schlohweiß,0.32741904,masculine
de,masculine,Toaster,schwanger,0.30925712,masculine
de,masculine,Toaster,verhutzelt,0.43314993,masculine
de,masculine,Toaster,verwitwet,0.36070067,masculine
de,masculine,Toaster,traut,0.55390763,masculine
de,masculine,Toaster,präsidiabel,0.37543473,masculine
de,masculine,Toaster,hochschwanger,0.34558347,masculine
de,masculine,Toaster,diskretionär,0.40252936,masculine
de,masculine,Toaster,lebend,0.39066678,masculine
de,masculine,Toaster,sturzbetrunken,0.3725774,masculine
de,masculine,Toaster,jungsteinzeitlich,0.27700913,masculine
de,masculine,Toaster,allein,0.27085224,masculine
de,masculine,Toaster,mutmaßlich,0.31511968,masculine
de,masculine,Toaster,männisch,0.4054465,masculine
de,masculine,Toaster,alt,0.36082208,masculine
de,masculine,Toaster,fraulich,0.4390317,masculine
de,masculine,Toaster,elterlich,0.4072964,masculine
de,masculine,Toaster,zärtlich,0.38316384,masculine
de,masculine,Toaster,plötzlich,0.26121154,masculine
de,masculine,Toaster,alleinstehend,0.31784612,masculine
de,masculine,Toaster,quasistationär,0.42959994,masculine
de,masculine,Toaster,nackt,0.40583718,masculine
de,masculine,Toaster,sterbend,0.4207062,masculine
de,masculine,Toaster,eifersüchtig,0.30648375,masculine
de,masculine,Toaster,verliebt,0.38977435,masculine
de,masculine,Toaster,fusskrank,0.4171992,masculine
de,masculine,Toaster,verschnöselt,0.35325128,masculine
de,masculine,Toaster,elektrogen,0.3942681,masculine
de,masculine,Toaster,postsexuell,0.43034935,masculine
de,masculine,Toaster,mannstoll,0.5197271,masculine
de,masculine,Toaster,muskelbepackt,0.4947908,masculine
de,masculine,Toaster,wortmächtig,0.41711256,masculine
de,masculine,Toaster,unfallflüchtig,0.30312702,masculine
de,masculine,Toaster,geköpert,0.37894905,masculine
de,masculine,Toaster,mutistisch,0.48006603,masculine
de,masculine,Toaster,fluchtwillig,0.38543275,masculine
de,masculine,Toaster,anderer,0.35594875,masculine
de,masculine,Toaster,sexbesessen,0.44449544,masculine
de,masculine,Toaster,vorpubertierend,0.26511782,masculine
de,masculine,Toaster,augenrein,0.39846998,masculine
de,masculine,Toaster,stocknüchtern,0.45063266,masculine
de,masculine,Toaster,promigeil,0.43383968,masculine
de,masculine,Toaster,lebensmüde,0.38813335,masculine
de,masculine,Toaster,dahergelaufen,0.29987538,masculine
de,masculine,Toaster,gutsitzend,0.34555376,masculine
de,masculine,Toaster,wonnetrunken,0.49368408,masculine
de,masculine,Toaster,schnurrbärtig,0.37384197,masculine
de,masculine,Toaster,befotzt,0.37582257,masculine
de,masculine,Toaster,katexochen,0.5434343,masculine
de,masculine,Toaster,hochtechnologisch,0.33199868,masculine
de,masculine,Toaster,tot,0.28774709,masculine
de,masculine,Toaster,ausländerfrei,0.362677,masculine
de,masculine,Toaster,feinpulvrig,0.4043245,masculine
de,masculine,Toaster,fluchtverdächtig,0.31364328,masculine
de,masculine,Toaster,jung,0.32096255,masculine
de,masculine,Toaster,kontraktlich,0.40177393,masculine
de,masculine,Toaster,homosexuell,0.40667883,masculine
de,masculine,Toaster,homonom,0.4571171,masculine
de,masculine,Toaster,besoffen,0.3650904,masculine
de,masculine,Toaster,beinamputiert,0.3728989,masculine
de,masculine,Toaster,ledig,0.41852298,masculine
de,masculine,Toaster,alleinerziehend,0.2925782,masculine
de,masculine,Toaster,transident,0.5602737,masculine
de,masculine,Toaster,sentimentalisch,0.41332763,masculine
de,masculine,Toaster,geraum,0.46297595,masculine
de,masculine,Toaster,männlich,0.34742168,masculine
de,masculine,Toaster,schwerreich,0.42879483,masculine
de,masculine,Toaster,impotent,0.4488518,masculine
de,masculine,Mond,verheiratet,0.4097439,masculine
de,masculine,Mond,kreationär,0.37410033,masculine
de,masculine,Mond,betrunken,0.42144632,masculine
de,masculine,Mond,unzukömmlich,0.407187,masculine
de,masculine,Mond,diensthabend,0.41378,masculine
de,masculine,Mond,unverheiratet,0.36815566,masculine
de,masculine,Mond,schlohweiß,0.42681015,masculine
de,masculine,Mond,schwanger,0.4218665,masculine
de,masculine,Mond,verhutzelt,0.45290494,masculine
de,masculine,Mond,verwitwet,0.4139698,masculine
de,masculine,Mond,traut,0.5481776,masculine
de,masculine,Mond,präsidiabel,0.4414691,masculine
de,masculine,Mond,hochschwanger,0.4550624,masculine
de,masculine,Mond,diskretionär,0.40657553,masculine
de,masculine,Mond,lebend,0.5195406,masculine
de,masculine,Mond,sturzbetrunken,0.40893248,masculine
de,masculine,Mond,jungsteinzeitlich,0.3202096,masculine
de,masculine,Mond,allein,0.40577754,masculine
de,masculine,Mond,mutmaßlich,0.4388345,masculine
de,masculine,Mond,männisch,0.49228606,masculine
de,masculine,Mond,alt,0.46155548,masculine
