LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.49373564,masculine
de,masculine,Toaster,kreationär,0.44688565,masculine
de,masculine,Toaster,betrunken,0.47193995,masculine
de,masculine,Toaster,unzukömmlich,0.4327112,masculine
de,masculine,Toaster,diensthabend,0.42549926,masculine
de,masculine,Toaster,unverheiratet,0.4626474,masculine
de,masculine,Toaster,schlohweiß,0.391758,masculine
de,masculine,Toaster,schwanger,0.4697034,masculine
de,masculine,Toaster,verhutzelt,0.41465437,masculine
de,masculine,Toaster,verwitwet,0.45193988,masculine
de,masculine,Toaster,traut,0.4917648,masculine
de,masculine,Toaster,präsidiabel,0.47066045,masculine
de,masculine,Toaster,hochschwanger,0.49115908,masculine
de,masculine,Toaster,diskretionär,0.4411669,masculine
de,masculine,Toaster,lebend,0.4846917,masculine
de,masculine,Toaster,sturzbetrunken,0.44767508,masculine
de,masculine,Toaster,jungsteinzeitlich,0.3542956,masculine
de,masculine,Toaster,allein,0.54471934,masculine
de,masculine,Toaster,mutmaßlich,0.50046283,masculine
de,masculine,Toaster,männisch,0.47754726,masculine
de,masculine,Toaster,alt,0.50678414,masculine
de,masculine,Toaster,fraulich,0.46131855,masculine
de,masculine,Toaster,elterlich,0.4782917,masculine
de,masculine,Toaster,zärtlich,0.43437317,masculine
de,masculine,Toaster,plötzlich,0.3891736,masculine
de,masculine,Toaster,alleinstehend,0.48505193,masculine
de,masculine,Toaster,quasistationär,0.37617424,masculine
de,masculine,Toaster,nackt,0.44201377,masculine
de,masculine,Toaster,sterbend,0.45903713,masculine
de,masculine,Toaster,eifersüchtig,0.41897216,masculine
de,masculine,Toaster,verliebt,0.49842688,masculine
de,masculine,Toaster,fusskrank,0.46930194,masculine
de,masculine,Toaster,verschnöselt,0.45446336,masculine
de,masculine,Toaster,elektrogen,0.46506056,masculine
de,masculine,Toaster,postsexuell,0.39970237,masculine
de,masculine,Toaster,mannstoll,0.49430388,masculine
de,masculine,Toaster,muskelbepackt,0.41093162,masculine
de,masculine,Toaster,wortmächtig,0.46781743,masculine
de,masculine,Toaster,unfallflüchtig,0.4175627,masculine
de,masculine,Toaster,geköpert,0.46759984,masculine
de,masculine,Toaster,mutistisch,0.44355136,masculine
de,masculine,Toaster,fluchtwillig,0.4582792,masculine
de,masculine,Toaster,anderer,0.51824933,masculine
de,masculine,Toaster,sexbesessen,0.4204607,masculine
de,masculine,Toaster,vorpubertierend,0.44692588,masculine
de,masculine,Toaster,augenrein,0.44731534,masculine
de,masculine,Toaster,stocknüchtern,0.4120902,masculine
de,masculine,Toaster,promigeil,0.56195784,masculine
de,masculine,Toaster,lebensmüde,0.51629585,masculine
de,masculine,Toaster,dahergelaufen,0.48212546,masculine
de,masculine,Toaster,gutsitzend,0.4348173,masculine
de,masculine,Toaster,wonnetrunken,0.42205957,masculine
de,masculine,Toaster,schnurrbärtig,0.4396556,masculine
de,masculine,Toaster,befotzt,0.5247554,masculine
de,masculine,Toaster,katexochen,0.46580997,masculine
de,masculine,Toaster,hochtechnologisch,0.3721504,masculine
de,masculine,Toaster,tot,0.52656025,masculine
de,masculine,Toaster,ausländerfrei,0.47928968,masculine
de,masculine,Toaster,feinpulvrig,0.37546912,masculine
de,masculine,Toaster,fluchtverdächtig,0.40250084,masculine
de,masculine,Toaster,jung,0.47147343,masculine
de,masculine,Toaster,kontraktlich,0.4899722,masculine
de,masculine,Toaster,homosexuell,0.42077205,masculine
de,masculine,Toaster,homonom,0.4805912,masculine
de,masculine,Toaster,besoffen,0.5528304,masculine
de,masculine,Toaster,beinamputiert,0.46093985,masculine
de,masculine,Toaster,ledig,0.44902566,masculine
de,masculine,Toaster,alleinerziehend,0.4641662,masculine
de,masculine,Toaster,transident,0.5573403,masculine
de,masculine,Toaster,sentimentalisch,0.43087682,masculine
de,masculine,Toaster,geraum,0.5600265,masculine
de,masculine,Toaster,männlich,0.4379654,masculine
de,masculine,Toaster,schwerreich,0.41641155,masculine
de,masculine,Toaster,impotent,0.49355525,masculine
de,masculine,Mond,verheiratet,0.63771665,masculine
de,masculine,Mond,kreationär,0.5122265,masculine
de,masculine,Mond,betrunken,0.53810745,masculine
de,masculine,Mond,unzukömmlich,0.57669353,masculine
de,masculine,Mond,diensthabend,0.5237187,masculine
de,masculine,Mond,unverheiratet,0.58477145,masculine
de,masculine,Mond,schlohweiß,0.5472675,masculine
de,masculine,Mond,schwanger,0.5859577,masculine
de,masculine,Mond,verhutzelt,0.54732764,masculine
de,masculine,Mond,verwitwet,0.5501559,masculine
de,masculine,Mond,traut,0.5723671,masculine
de,masculine,Mond,präsidiabel,0.52859896,masculine
de,masculine,Mond,hochschwanger,0.5736027,masculine
de,masculine,Mond,diskretionär,0.55753464,masculine
de,masculine,Mond,lebend,0.5955984,masculine
de,masculine,Mond,sturzbetrunken,0.51920766,masculine
de,masculine,Mond,jungsteinzeitlich,0.48069134,masculine
de,masculine,Mond,allein,0.6383113,masculine
de,masculine,Mond,mutmaßlich,0.6621598,masculine
de,masculine,Mond,männisch,0.59348345,masculine
de,masculine,Mond,alt,0.6242802,masculine
de,masculine,Mond,fraulich,0.5611539,masculine
de,masculine,Mond,elterlich,0.60546106,masculine
de,masculine,Mond,zärtlich,0.6206012,masculine
de,masculine,Mond,plötzlich,0.540752,masculine
de,masculine,Mond,alleinstehend,0.5717804,masculine
de,masculine,Mond,quasistationär,0.5515518,masculine
de,masculine,Mond,nackt,0.5839479,masculine
de,masculine,Mond,sterbend,0.5463099,masculine
de,masculine,Mond,eifersüchtig,0.5671635,masculine
de,masculine,Mond,verliebt,0.58859044,masculine
de,masculine,Mond,fusskrank,0.5841292,masculine
de,masculine,Mond,verschnöselt,0.5147733,masculine
de,masculine,Mond,elektrogen,0.5825987,masculine
de,masculine,Mond,postsexuell,0.5149949,masculine
de,masculine,Mond,mannstoll,0.47007626,masculine
