LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.08432214,masculine
en,neuter,toaster,bald-headed,0.029274734,masculine
en,neuter,toaster,heavyset,0.21157056,masculine
en,neuter,toaster,bearded,0.11375184,masculine
en,neuter,toaster,middle-aged,0.032530915,masculine
en,neuter,toaster,handsome,0.13512576,masculine
en,neuter,toaster,white-haired,0.09362326,masculine
en,neuter,toaster,virile,0.13576803,masculine
en,neuter,toaster,well-dressed,0.045059584,masculine
en,neuter,toaster,burly,0.12015577,masculine
en,neuter,toaster,bastard,0.16209328,masculine
en,neuter,toaster,manlike,0.05149478,masculine
en,neuter,toaster,manly,0.16849749,masculine
en,neuter,toaster,rascal,0.06513187,masculine
en,neuter,toaster,God-fearing,0.13646846,masculine
en,neuter,toaster,dark-haired,0.09362326,masculine
en,neuter,toaster,full-bearded,0.08617797,masculine
en,neuter,toaster,portly,0.16849749,masculine
en,neuter,toaster,one-eyed,0.11555745,masculine
en,neuter,toaster,good-looking,0.028960925,masculine
en,neuter,toaster,male,0.020879861,masculine
en,neuter,toaster,broad-shouldered,0.09362326,masculine
en,neuter,toaster,beast,0.16721308,masculine
en,neuter,toaster,youngish,0.15547211,masculine
en,neuter,toaster,grey-haired,0.09362326,masculine
en,neuter,toaster,bespectacled,0.11555745,masculine
en,neuter,toaster,goateed,0.10504522,masculine
en,neuter,toaster,balding,0.17020936,masculine
en,neuter,toaster,bull-necked,0.09746034,masculine
en,neuter,toaster,lantern-jawed,0.040467188,masculine
en,neuter,toaster,sixtyish,0.15547211,masculine
en,neuter,toaster,fine-looking,0.028960925,masculine
en,neuter,toaster,assailant,0.060585245,masculine
en,neuter,toaster,kind-hearted,0.09362326,masculine
en,neuter,toaster,silver-haired,0.09362326,masculine
en,neuter,toaster,dapper,0.19008197,masculine
en,neuter,toaster,black-haired,0.09362326,masculine
en,neuter,toaster,hunky,0.11914412,masculine
en,neuter,toaster,lion-hearted,0.09362326,masculine
en,neuter,toaster,septuagenarian,0.05568274,masculine
en,neuter,toaster,schoolboy,0.14199254,masculine
en,neuter,toaster,studly,0.1478762,masculine
en,neuter,toaster,self-made,0.048449077,masculine
en,neuter,toaster,red-haired,0.09362326,masculine
en,neuter,toaster,reverend,0.12768187,masculine
en,neuter,toaster,beer-bellied,0.09362326,masculine
en,neuter,toaster,ginger-haired,0.09746034,masculine
en,neuter,toaster,moustached,0.027245967,masculine
en,neuter,toaster,thick-set,0.06049459,masculine
en,neuter,toaster,coward,0.14855121,masculine
en,neuter,toaster,paraplegic,0.057119984,masculine
en,neuter,toaster,paunchy,0.103361525,masculine
en,neuter,toaster,blond,0.11422828,masculine
en,neuter,toaster,true-hearted,0.09362326,masculine
en,neuter,toaster,gentle-hearted,0.09746034,masculine
en,neuter,toaster,macho,0.060936347,masculine
en,neuter,toaster,weakling,0.18372016,masculine
en,neuter,toaster,ruffian,0.07723299,masculine
en,neuter,toaster,fiftyish,0.15547211,masculine
en,neuter,toaster,chivalrous,0.026573865,masculine
en,neuter,toaster,octogenarian,0.05568274,masculine
en,neuter,toaster,stocky,0.12630884,masculine
en,neuter,toaster,barrel-chested,0.09362326,masculine
en,neuter,toaster,clean-shaven,0.059048437,masculine
en,neuter,toaster,well-spoken,0.008729966,masculine
en,neuter,toaster,brawny,0.03031588,masculine
en,neuter,toaster,one-armed,0.012644081,masculine
en,neuter,toaster,shlubby,0.12860289,masculine
en,neuter,toaster,bewhiskered,0.119653486,masculine
en,neuter,toaster,metrosexual,0.006128449,masculine
en,neuter,toaster,genius,0.16791892,masculine
en,neuter,toaster,fair-haired,0.09362326,masculine
en,neuter,toaster,fortyish,0.15547211,masculine
en,neuter,toaster,unshaven,0.11630843,masculine
en,neuter,toaster,grandfatherly,0.16849749,masculine
en,neuter,toaster,red-blooded,0.09362326,masculine
en,neuter,toaster,long-haired,0.09362326,masculine
en,neuter,toaster,bald,0.02988546,masculine
en,neuter,toaster,hunchbacked,0.09362326,masculine
en,neuter,toaster,year-old,0.09146416,masculine
en,neuter,toaster,bullet-headed,0.019796964,masculine
en,neuter,moon,young,0.18273993,masculine
en,neuter,moon,bald-headed,0.08073191,masculine
en,neuter,moon,heavyset,0.08210595,masculine
en,neuter,moon,bearded,0.029611165,masculine
en,neuter,moon,middle-aged,0.07613573,masculine
en,neuter,moon,handsome,0.07839946,masculine
en,neuter,moon,white-haired,0.045622118,masculine
en,neuter,moon,virile,0.031710967,masculine
en,neuter,moon,well-dressed,0.0973475,masculine
en,neuter,moon,burly,0.07504461,masculine
en,neuter,moon,bastard,0.046217788,masculine
en,neuter,moon,manlike,0.037499607,masculine
en,neuter,moon,manly,0.039623294,masculine
en,neuter,moon,rascal,0.019900724,masculine
en,neuter,moon,God-fearing,0.0639822,masculine
en,neuter,moon,dark-haired,0.045622118,masculine
en,neuter,moon,full-bearded,0.02178617,masculine
en,neuter,moon,portly,0.039623294,masculine
en,neuter,moon,one-eyed,-0.017392468,masculine
en,neuter,moon,good-looking,0.080573626,masculine
en,neuter,moon,male,0.118825674,masculine
en,neuter,moon,broad-shouldered,0.045622118,masculine
en,neuter,moon,beast,0.10776836,masculine
en,neuter,moon,youngish,0.09656148,masculine
en,neuter,moon,grey-haired,0.045622118,masculine
en,neuter,moon,bespectacled,-0.017392468,masculine
en,neuter,moon,goateed,0.042888,masculine
en,neuter,moon,balding,0.0735035,masculine
en,neuter,moon,bull-necked,0.031793263,masculine
en,neuter,moon,lantern-jawed,0.052884225,masculine
en,neuter,moon,sixtyish,0.09656148,masculine
en,neuter,moon,fine-looking,0.080573626,masculine
en,neuter,moon,assailant,-0.014875498,masculine
en,neuter,moon,kind-hearted,0.045622118,masculine
en,neuter,moon,silver-haired,0.045622118,masculine
en,neuter,moon,dapper,0.10157255,masculine
en,neuter,moon,black-haired,0.045622118,masculine
en,neuter,moon,hunky,0.050973043,masculine
en,neuter,moon,lion-hearted,0.045622118,masculine
en,neuter,moon,septuagenarian,0.05193547,masculine
en,neuter,moon,schoolboy,0.10049411,masculine
en,neuter,moon,studly,0.02819361,masculine
en,neuter,moon,self-made,0.038618248,masculine
en,neuter,moon,red-haired,0.045622118,masculine
en,neuter,moon,reverend,-0.020375388,masculine
en,neuter,moon,beer-bellied,0.045622118,masculine
en,neuter,moon,ginger-haired,0.031793263,masculine
en,neuter,moon,moustached,0.027404428,masculine
en,neuter,moon,thick-set,0.10208648,masculine
en,neuter,moon,coward,0.040980726,masculine
en,neuter,moon,paraplegic,0.029625941,masculine
en,neuter,moon,paunchy,0.023669213,masculine
en,neuter,moon,blond,0.1119591,masculine
en,neuter,moon,true-hearted,0.045622118,masculine
en,neuter,moon,gentle-hearted,0.031793263,masculine
en,neuter,moon,macho,0.10569354,masculine
en,neuter,moon,weakling,0.021752913,masculine
en,neuter,moon,ruffian,0.034814432,masculine
en,neuter,moon,fiftyish,0.09656148,masculine
en,neuter,moon,chivalrous,0.068230025,masculine
en,neuter,moon,octogenarian,0.05193547,masculine
en,neuter,moon,stocky,0.036505107,masculine
en,neuter,moon,barrel-chested,0.045622118,masculine
en,neuter,moon,clean-shaven,0.10041087,masculine
en,neuter,moon,well-spoken,0.09328108,masculine
en,neuter,moon,brawny,0.07122459,masculine
en,neuter,moon,one-armed,0.10376779,masculine
en,neuter,moon,shlubby,0.010263779,masculine
en,neuter,moon,bewhiskered,-0.032365866,masculine
en,neuter,moon,metrosexual,0.008071273,masculine
en,neuter,moon,genius,0.06037145,masculine
en,neuter,moon,fair-haired,0.045622118,masculine
en,neuter,moon,fortyish,0.09656148,masculine
en,neuter,moon,unshaven,0.091633335,masculine
en,neuter,moon,grandfatherly,0.039623294,masculine
en,neuter,moon,red-blooded,0.045622118,masculine
en,neuter,moon,long-haired,0.045622118,masculine
en,neuter,moon,bald,0.13737334,masculine
en,neuter,moon,hunchbacked,0.045622118,masculine
en,neuter,moon,year-old,0.060168304,masculine
en,neuter,moon,bullet-headed,0.08313679,masculine
en,neuter,broom,young,-0.007795526,masculine
en,neuter,broom,bald-headed,0.0068920245,masculine
en,neuter,broom,heavyset,0.09539566,masculine
en,neuter,broom,bearded,0.03491937,masculine
en,neuter,broom,middle-aged,-0.055428497,masculine
en,neuter,broom,handsome,0.38395524,masculine
