LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.16897143,masculine
en,neuter,toaster,bald-headed,0.15668356,masculine
en,neuter,toaster,heavyset,0.23345746,masculine
en,neuter,toaster,bearded,0.18259251,masculine
en,neuter,toaster,middle-aged,0.15824705,masculine
en,neuter,toaster,handsome,0.18928641,masculine
en,neuter,toaster,white-haired,0.1893014,masculine
en,neuter,toaster,virile,0.12365558,masculine
en,neuter,toaster,well-dressed,0.17767388,masculine
en,neuter,toaster,burly,0.19575605,masculine
en,neuter,toaster,bastard,0.1744072,masculine
en,neuter,toaster,manlike,0.13976106,masculine
en,neuter,toaster,manly,0.18178858,masculine
en,neuter,toaster,rascal,0.11237625,masculine
en,neuter,toaster,God-fearing,0.17639238,masculine
en,neuter,toaster,dark-haired,0.17214662,masculine
en,neuter,toaster,full-bearded,0.20665114,masculine
en,neuter,toaster,portly,0.15320282,masculine
en,neuter,toaster,one-eyed,0.16589308,masculine
en,neuter,toaster,good-looking,0.17896767,masculine
en,neuter,toaster,male,0.06740648,masculine
en,neuter,toaster,broad-shouldered,0.14654297,masculine
en,neuter,toaster,beast,0.19785906,masculine
en,neuter,toaster,youngish,0.1977078,masculine
en,neuter,toaster,grey-haired,0.16890468,masculine
en,neuter,toaster,bespectacled,0.16543792,masculine
en,neuter,toaster,goateed,0.15553433,masculine
en,neuter,toaster,balding,0.15338722,masculine
en,neuter,toaster,bull-necked,0.19818735,masculine
en,neuter,toaster,lantern-jawed,0.16317385,masculine
en,neuter,toaster,sixtyish,0.146487,masculine
en,neuter,toaster,fine-looking,0.17896561,masculine
en,neuter,toaster,assailant,0.05174557,masculine
en,neuter,toaster,kind-hearted,0.17444125,masculine
en,neuter,toaster,silver-haired,0.16492331,masculine
en,neuter,toaster,dapper,0.18187863,masculine
en,neuter,toaster,black-haired,0.18140443,masculine
en,neuter,toaster,hunky,0.1254305,masculine
en,neuter,toaster,lion-hearted,0.16077997,masculine
en,neuter,toaster,septuagenarian,0.16889787,masculine
en,neuter,toaster,schoolboy,0.18061788,masculine
en,neuter,toaster,studly,0.18183808,masculine
en,neuter,toaster,self-made,0.15391131,masculine
en,neuter,toaster,red-haired,0.17159018,masculine
en,neuter,toaster,reverend,0.1677124,masculine
en,neuter,toaster,beer-bellied,0.21586844,masculine
en,neuter,toaster,ginger-haired,0.17756824,masculine
en,neuter,toaster,moustached,0.17333679,masculine
en,neuter,toaster,thick-set,0.16992389,masculine
en,neuter,toaster,coward,0.14975865,masculine
en,neuter,toaster,paraplegic,0.14699654,masculine
en,neuter,toaster,paunchy,0.17436887,masculine
en,neuter,toaster,blond,0.17218313,masculine
en,neuter,toaster,true-hearted,0.19904365,masculine
en,neuter,toaster,gentle-hearted,0.16447273,masculine
en,neuter,toaster,macho,0.13848864,masculine
en,neuter,toaster,weakling,0.14541972,masculine
en,neuter,toaster,ruffian,0.15662773,masculine
en,neuter,toaster,fiftyish,0.17897752,masculine
en,neuter,toaster,chivalrous,0.15129596,masculine
en,neuter,toaster,octogenarian,0.16106789,masculine
en,neuter,toaster,stocky,0.15734138,masculine
en,neuter,toaster,barrel-chested,0.18052857,masculine
en,neuter,toaster,clean-shaven,0.18104392,masculine
en,neuter,toaster,well-spoken,0.18222658,masculine
en,neuter,toaster,brawny,0.17141898,masculine
en,neuter,toaster,one-armed,0.13028844,masculine
en,neuter,toaster,shlubby,0.16625823,masculine
en,neuter,toaster,bewhiskered,0.16150522,masculine
en,neuter,toaster,metrosexual,0.1354515,masculine
en,neuter,toaster,genius,0.18728435,masculine
en,neuter,toaster,fair-haired,0.206941,masculine
en,neuter,toaster,fortyish,0.18023726,masculine
en,neuter,toaster,unshaven,0.12553681,masculine
en,neuter,toaster,grandfatherly,0.1461278,masculine
en,neuter,toaster,red-blooded,0.18632606,masculine
en,neuter,toaster,long-haired,0.14518633,masculine
en,neuter,toaster,bald,0.114670865,masculine
en,neuter,toaster,hunchbacked,0.18748324,masculine
en,neuter,toaster,year-old,0.15618417,masculine
en,neuter,toaster,bullet-headed,0.17095931,masculine
en,neuter,moon,young,0.18273993,masculine
en,neuter,moon,bald-headed,0.14096935,masculine
en,neuter,moon,heavyset,0.17747529,masculine
en,neuter,moon,bearded,0.15299283,masculine
en,neuter,moon,middle-aged,0.16030337,masculine
en,neuter,moon,handsome,0.111843325,masculine
en,neuter,moon,white-haired,0.24827564,masculine
en,neuter,moon,virile,0.11102027,masculine
en,neuter,moon,well-dressed,0.1590903,masculine
en,neuter,moon,burly,0.15233333,masculine
en,neuter,moon,bastard,0.08388982,masculine
en,neuter,moon,manlike,0.117950395,masculine
en,neuter,moon,manly,0.12165787,masculine
en,neuter,moon,rascal,0.086361766,masculine
en,neuter,moon,God-fearing,0.14346486,masculine
en,neuter,moon,dark-haired,0.26045305,masculine
en,neuter,moon,full-bearded,0.16560726,masculine
en,neuter,moon,portly,0.10753985,masculine
en,neuter,moon,one-eyed,0.13905594,masculine
en,neuter,moon,good-looking,0.14793022,masculine
en,neuter,moon,male,0.118825674,masculine
en,neuter,moon,broad-shouldered,0.1880209,masculine
en,neuter,moon,beast,0.15494204,masculine
en,neuter,moon,youngish,0.1853625,masculine
en,neuter,moon,grey-haired,0.22375831,masculine
en,neuter,moon,bespectacled,0.05259639,masculine
en,neuter,moon,goateed,0.11269226,masculine
en,neuter,moon,balding,0.15171355,masculine
en,neuter,moon,bull-necked,0.17518018,masculine
en,neuter,moon,lantern-jawed,0.120833926,masculine
en,neuter,moon,sixtyish,0.20108896,masculine
en,neuter,moon,fine-looking,0.09682551,masculine
en,neuter,moon,assailant,0.04505812,masculine
en,neuter,moon,kind-hearted,0.16063924,masculine
en,neuter,moon,silver-haired,0.24375467,masculine
en,neuter,moon,dapper,0.12527163,masculine
en,neuter,moon,black-haired,0.24001458,masculine
en,neuter,moon,hunky,0.16232494,masculine
en,neuter,moon,lion-hearted,0.1985457,masculine
en,neuter,moon,septuagenarian,0.093985796,masculine
en,neuter,moon,schoolboy,0.16210571,masculine
en,neuter,moon,studly,0.096423544,masculine
