LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.24501912,masculine
en,neuter,toaster,bald-headed,0.24343136,masculine
en,neuter,toaster,heavyset,0.30025953,masculine
en,neuter,toaster,bearded,0.22512937,masculine
en,neuter,toaster,middle-aged,0.2927197,masculine
en,neuter,toaster,handsome,0.22608429,masculine
en,neuter,toaster,white-haired,0.27950293,masculine
en,neuter,toaster,virile,0.16265777,masculine
en,neuter,toaster,well-dressed,0.271114,masculine
en,neuter,toaster,burly,0.2740209,masculine
en,neuter,toaster,bastard,0.1995629,masculine
en,neuter,toaster,manlike,0.22999543,masculine
en,neuter,toaster,manly,0.22999543,masculine
en,neuter,toaster,rascal,0.18846387,masculine
en,neuter,toaster,God-fearing,0.25016105,masculine
en,neuter,toaster,dark-haired,0.26496664,masculine
en,neuter,toaster,full-bearded,0.2815377,masculine
en,neuter,toaster,portly,0.20718694,masculine
en,neuter,toaster,one-eyed,0.28214604,masculine
en,neuter,toaster,good-looking,0.30998418,masculine
en,neuter,toaster,male,0.24501912,masculine
en,neuter,toaster,broad-shouldered,0.25720766,masculine
en,neuter,toaster,beast,0.2315532,masculine
en,neuter,toaster,youngish,0.28134242,masculine
en,neuter,toaster,grey-haired,0.24703431,masculine
en,neuter,toaster,bespectacled,0.14997098,masculine
en,neuter,toaster,goateed,0.23233563,masculine
en,neuter,toaster,balding,0.21139537,masculine
en,neuter,toaster,bull-necked,0.27826977,masculine
en,neuter,toaster,lantern-jawed,0.2314382,masculine
en,neuter,toaster,sixtyish,0.22046183,masculine
en,neuter,toaster,fine-looking,0.2896159,masculine
en,neuter,toaster,assailant,0.1969235,masculine
en,neuter,toaster,kind-hearted,0.251472,masculine
en,neuter,toaster,silver-haired,0.23775955,masculine
en,neuter,toaster,dapper,0.24897705,masculine
en,neuter,toaster,black-haired,0.27600843,masculine
en,neuter,toaster,hunky,0.19881572,masculine
en,neuter,toaster,lion-hearted,0.2340506,masculine
en,neuter,toaster,septuagenarian,0.1642888,masculine
en,neuter,toaster,schoolboy,0.20614386,masculine
en,neuter,toaster,studly,0.2447195,masculine
en,neuter,toaster,self-made,0.24748059,masculine
en,neuter,toaster,red-haired,0.26201352,masculine
en,neuter,toaster,reverend,0.1743872,masculine
en,neuter,toaster,beer-bellied,0.26097438,masculine
en,neuter,toaster,ginger-haired,0.18665132,masculine
en,neuter,toaster,moustached,0.23205578,masculine
en,neuter,toaster,thick-set,0.28034595,masculine
en,neuter,toaster,coward,0.26293898,masculine
en,neuter,toaster,paraplegic,0.23254205,masculine
en,neuter,toaster,paunchy,0.18314257,masculine
en,neuter,toaster,blond,0.22593309,masculine
en,neuter,toaster,true-hearted,0.28880283,masculine
en,neuter,toaster,gentle-hearted,0.24402632,masculine
en,neuter,toaster,macho,0.24501912,masculine
en,neuter,toaster,weakling,0.24037415,masculine
en,neuter,toaster,ruffian,0.21582185,masculine
en,neuter,toaster,fiftyish,0.23674637,masculine
en,neuter,toaster,chivalrous,0.24124372,masculine
en,neuter,toaster,octogenarian,0.1695442,masculine
en,neuter,toaster,stocky,0.23341307,masculine
en,neuter,toaster,barrel-chested,0.24572939,masculine
en,neuter,toaster,clean-shaven,0.30217636,masculine
en,neuter,toaster,well-spoken,0.271114,masculine
en,neuter,toaster,brawny,0.22621003,masculine
en,neuter,toaster,one-armed,0.2955291,masculine
en,neuter,toaster,shlubby,0.20404425,masculine
en,neuter,toaster,bewhiskered,0.21607977,masculine
en,neuter,toaster,metrosexual,0.1696725,masculine
en,neuter,toaster,genius,0.22150698,masculine
en,neuter,toaster,fair-haired,0.27333173,masculine
en,neuter,toaster,fortyish,0.22253777,masculine
en,neuter,toaster,unshaven,0.21893468,masculine
en,neuter,toaster,grandfatherly,0.19095491,masculine
en,neuter,toaster,red-blooded,0.27942416,masculine
en,neuter,toaster,long-haired,0.24229461,masculine
en,neuter,toaster,bald,0.24501912,masculine
en,neuter,toaster,hunchbacked,0.18990335,masculine
en,neuter,toaster,year-old,0.2671828,masculine
en,neuter,toaster,bullet-headed,0.23063858,masculine
en,neuter,moon,young,0.28222713,masculine
en,neuter,moon,bald-headed,0.28545082,masculine
en,neuter,moon,heavyset,0.30426347,masculine
en,neuter,moon,bearded,0.21865188,masculine
en,neuter,moon,middle-aged,0.34661657,masculine
en,neuter,moon,handsome,0.22369598,masculine
en,neuter,moon,white-haired,0.33803174,masculine
en,neuter,moon,virile,0.17656045,masculine
en,neuter,moon,well-dressed,0.34603795,masculine
en,neuter,moon,burly,0.30803883,masculine
