LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.66051,masculine
en,neuter,toaster,bald-headed,0.6052345,masculine
en,neuter,toaster,heavyset,0.6368344,masculine
en,neuter,toaster,bearded,0.62111735,masculine
en,neuter,toaster,middle-aged,0.57219857,masculine
en,neuter,toaster,handsome,0.6431763,masculine
en,neuter,toaster,white-haired,0.622312,masculine
en,neuter,toaster,virile,0.63410324,masculine
en,neuter,toaster,well-dressed,0.56657976,masculine
en,neuter,toaster,burly,0.6432501,masculine
en,neuter,toaster,bastard,0.6540357,masculine
en,neuter,toaster,manlike,0.61634946,masculine
en,neuter,toaster,manly,0.66105014,masculine
en,neuter,toaster,rascal,0.62064123,masculine
en,neuter,toaster,God-fearing,0.6453318,masculine
en,neuter,toaster,dark-haired,0.62680334,masculine
en,neuter,toaster,full-bearded,0.6021693,masculine
en,neuter,toaster,portly,0.65983206,masculine
en,neuter,toaster,one-eyed,0.6196432,masculine
en,neuter,toaster,good-looking,0.60344636,masculine
en,neuter,toaster,male,0.6159221,masculine
en,neuter,toaster,broad-shouldered,0.56064785,masculine
en,neuter,toaster,beast,0.68887657,masculine
en,neuter,toaster,youngish,0.64015627,masculine
en,neuter,toaster,grey-haired,0.60211056,masculine
en,neuter,toaster,bespectacled,0.607362,masculine
en,neuter,toaster,goateed,0.63299626,masculine
en,neuter,toaster,balding,0.64418894,masculine
en,neuter,toaster,bull-necked,0.6174445,masculine
en,neuter,toaster,lantern-jawed,0.6062515,masculine
en,neuter,toaster,sixtyish,0.6070658,masculine
en,neuter,toaster,fine-looking,0.5987676,masculine
en,neuter,toaster,assailant,0.6186025,masculine
en,neuter,toaster,kind-hearted,0.60615,masculine
en,neuter,toaster,silver-haired,0.62324506,masculine
en,neuter,toaster,dapper,0.6698089,masculine
en,neuter,toaster,black-haired,0.6168798,masculine
en,neuter,toaster,hunky,0.6383117,masculine
en,neuter,toaster,lion-hearted,0.6302967,masculine
en,neuter,toaster,septuagenarian,0.51695156,masculine
en,neuter,toaster,schoolboy,0.67955273,masculine
en,neuter,toaster,studly,0.6510153,masculine
en,neuter,toaster,self-made,0.57707626,masculine
en,neuter,toaster,red-haired,0.6205066,masculine
en,neuter,toaster,reverend,0.6418165,masculine
en,neuter,toaster,beer-bellied,0.60237,masculine
en,neuter,toaster,ginger-haired,0.59837306,masculine
en,neuter,toaster,moustached,0.62853634,masculine
en,neuter,toaster,thick-set,0.6184695,masculine
en,neuter,toaster,coward,0.6648034,masculine
en,neuter,toaster,paraplegic,0.57964283,masculine
