LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.39317065,masculine
en,neuter,toaster,bald-headed,0.36683753,masculine
en,neuter,toaster,heavyset,0.43952018,masculine
en,neuter,toaster,bearded,0.47480965,masculine
en,neuter,toaster,middle-aged,0.29002237,masculine
en,neuter,toaster,handsome,0.42180797,masculine
en,neuter,toaster,white-haired,0.38168636,masculine
en,neuter,toaster,virile,0.31489658,masculine
en,neuter,toaster,well-dressed,0.37340462,masculine
en,neuter,toaster,burly,0.49002707,masculine
en,neuter,toaster,bastard,0.40783125,masculine
en,neuter,toaster,manlike,0.50284135,masculine
en,neuter,toaster,manly,0.48347685,masculine
en,neuter,toaster,rascal,0.44846073,masculine
en,neuter,toaster,God-fearing,0.3791942,masculine
en,neuter,toaster,dark-haired,0.382977,masculine
en,neuter,toaster,full-bearded,0.3817203,masculine
en,neuter,toaster,portly,0.44769892,masculine
en,neuter,toaster,one-eyed,0.3911964,masculine
en,neuter,toaster,good-looking,0.39039242,masculine
en,neuter,toaster,male,0.2575803,masculine
en,neuter,toaster,broad-shouldered,0.3562837,masculine
en,neuter,toaster,beast,0.4784528,masculine
en,neuter,toaster,youngish,0.4268255,masculine
en,neuter,toaster,grey-haired,0.35589832,masculine
en,neuter,toaster,bespectacled,0.34292585,masculine
en,neuter,toaster,goateed,0.44501227,masculine
en,neuter,toaster,balding,0.49483526,masculine
en,neuter,toaster,bull-necked,0.33344033,masculine
en,neuter,toaster,lantern-jawed,0.32218367,masculine
en,neuter,toaster,sixtyish,0.43053073,masculine
en,neuter,toaster,fine-looking,0.37477818,masculine
en,neuter,toaster,assailant,0.4120403,masculine
en,neuter,toaster,kind-hearted,0.3510899,masculine
en,neuter,toaster,silver-haired,0.3834654,masculine
en,neuter,toaster,dapper,0.49244633,masculine
en,neuter,toaster,black-haired,0.35980922,masculine
en,neuter,toaster,hunky,0.45018795,masculine
en,neuter,toaster,lion-hearted,0.34165242,masculine
en,neuter,toaster,septuagenarian,0.25567147,masculine
en,neuter,toaster,schoolboy,0.39711112,masculine
en,neuter,toaster,studly,0.4132451,masculine
en,neuter,toaster,self-made,0.39150164,masculine
en,neuter,toaster,red-haired,0.37594315,masculine
en,neuter,toaster,reverend,0.47071368,masculine
en,neuter,toaster,beer-bellied,0.36878416,masculine
en,neuter,toaster,ginger-haired,0.40997887,masculine
en,neuter,toaster,moustached,0.44316137,masculine
en,neuter,toaster,thick-set,0.41416872,masculine
en,neuter,toaster,coward,0.5102018,masculine
en,neuter,toaster,paraplegic,0.32037577,masculine
en,neuter,toaster,paunchy,0.41304237,masculine
en,neuter,toaster,blond,0.39171815,masculine
en,neuter,toaster,true-hearted,0.3584405,masculine
en,neuter,toaster,gentle-hearted,0.3504072,masculine
en,neuter,toaster,macho,0.43475944,masculine
en,neuter,toaster,weakling,0.46280804,masculine
en,neuter,toaster,ruffian,0.36930424,masculine
en,neuter,toaster,fiftyish,0.3873703,masculine
en,neuter,toaster,chivalrous,0.28240725,masculine
en,neuter,toaster,octogenarian,0.27490082,masculine
en,neuter,toaster,stocky,0.4824257,masculine
en,neuter,toaster,barrel-chested,0.40396857,masculine
en,neuter,toaster,clean-shaven,0.3530274,masculine
en,neuter,toaster,well-spoken,0.32741886,masculine
en,neuter,toaster,brawny,0.39259595,masculine
en,neuter,toaster,one-armed,0.3042522,masculine
en,neuter,toaster,shlubby,0.3666181,masculine
en,neuter,toaster,bewhiskered,0.3862633,masculine
en,neuter,toaster,metrosexual,0.31696466,masculine
en,neuter,toaster,genius,0.47700733,masculine
en,neuter,toaster,fair-haired,0.38735166,masculine
en,neuter,toaster,fortyish,0.44678277,masculine
en,neuter,toaster,unshaven,0.44046926,masculine
en,neuter,toaster,grandfatherly,0.43331417,masculine
en,neuter,toaster,red-blooded,0.33912003,masculine
en,neuter,toaster,long-haired,0.3905658,masculine
en,neuter,toaster,bald,0.43833262,masculine
en,neuter,toaster,hunchbacked,0.39300668,masculine
en,neuter,toaster,year-old,0.36153367,masculine
en,neuter,toaster,bullet-headed,0.3887537,masculine
en,neuter,moon,young,0.66471976,masculine
en,neuter,moon,bald-headed,0.51185095,masculine
