LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.5310102,masculine
en,neuter,toaster,bald-headed,0.4171968,masculine
en,neuter,toaster,heavyset,0.52545416,masculine
en,neuter,toaster,bearded,0.4127063,masculine
en,neuter,toaster,middle-aged,0.3536822,masculine
en,neuter,toaster,handsome,0.4865629,masculine
en,neuter,toaster,white-haired,0.3795832,masculine
en,neuter,toaster,virile,0.390845,masculine
en,neuter,toaster,well-dressed,0.4116813,masculine
en,neuter,toaster,burly,0.4893092,masculine
en,neuter,toaster,bastard,0.44069988,masculine
en,neuter,toaster,manlike,0.36558446,masculine
en,neuter,toaster,manly,0.42729267,masculine
en,neuter,toaster,rascal,0.4146319,masculine
en,neuter,toaster,God-fearing,0.3916431,masculine
en,neuter,toaster,dark-haired,0.37250027,masculine
en,neuter,toaster,full-bearded,0.38407603,masculine
en,neuter,toaster,portly,0.4382199,masculine
en,neuter,toaster,one-eyed,0.39662272,masculine
en,neuter,toaster,good-looking,0.48888448,masculine
en,neuter,toaster,male,0.41306525,masculine
en,neuter,toaster,broad-shouldered,0.3240027,masculine
en,neuter,toaster,beast,0.5249347,masculine
en,neuter,toaster,youngish,0.4803729,masculine
en,neuter,toaster,grey-haired,0.36352336,masculine
en,neuter,toaster,bespectacled,0.3091083,masculine
en,neuter,toaster,goateed,0.29589376,masculine
en,neuter,toaster,balding,0.39942968,masculine
en,neuter,toaster,bull-necked,0.3509738,masculine
en,neuter,toaster,lantern-jawed,0.33659902,masculine
en,neuter,toaster,sixtyish,0.4206646,masculine
en,neuter,toaster,fine-looking,0.452232,masculine
en,neuter,toaster,assailant,0.41040817,masculine
en,neuter,toaster,kind-hearted,0.41155583,masculine
en,neuter,toaster,silver-haired,0.3670889,masculine
en,neuter,toaster,dapper,0.47511664,masculine
en,neuter,toaster,black-haired,0.37008137,masculine
en,neuter,toaster,hunky,0.43282023,masculine
en,neuter,toaster,lion-hearted,0.36975297,masculine
en,neuter,toaster,septuagenarian,0.16053976,masculine
en,neuter,toaster,schoolboy,0.47222656,masculine
en,neuter,toaster,studly,0.41476545,masculine
en,neuter,toaster,self-made,0.42929998,masculine
en,neuter,toaster,red-haired,0.38022608,masculine
en,neuter,toaster,reverend,0.31090415,masculine
en,neuter,toaster,beer-bellied,0.40530127,masculine
en,neuter,toaster,ginger-haired,0.3727225,masculine
en,neuter,toaster,moustached,0.31229034,masculine
en,neuter,toaster,thick-set,0.42709914,masculine
en,neuter,toaster,coward,0.47383904,masculine
en,neuter,toaster,paraplegic,0.23646298,masculine
en,neuter,toaster,paunchy,0.31516278,masculine
en,neuter,toaster,blond,0.43016642,masculine
en,neuter,toaster,true-hearted,0.41279864,masculine
en,neuter,toaster,gentle-hearted,0.41246167,masculine
en,neuter,toaster,macho,0.47379655,masculine
en,neuter,toaster,weakling,0.44580257,masculine
en,neuter,toaster,ruffian,0.29885212,masculine
en,neuter,toaster,fiftyish,0.4058047,masculine
en,neuter,toaster,chivalrous,0.24304594,masculine
en,neuter,toaster,octogenarian,0.18855745,masculine
en,neuter,toaster,stocky,0.50631785,masculine
en,neuter,toaster,barrel-chested,0.3892567,masculine
en,neuter,toaster,clean-shaven,0.4798633,masculine
en,neuter,toaster,well-spoken,0.42050895,masculine
en,neuter,toaster,brawny,0.38854954,masculine
en,neuter,toaster,one-armed,0.4018935,masculine
en,neuter,toaster,shlubby,0.39216343,masculine
en,neuter,toaster,bewhiskered,0.38585952,masculine
en,neuter,toaster,metrosexual,0.2517722,masculine
en,neuter,toaster,genius,0.46970275,masculine
en,neuter,toaster,fair-haired,0.4020758,masculine
en,neuter,toaster,fortyish,0.43400648,masculine
en,neuter,toaster,unshaven,0.39356336,masculine
en,neuter,toaster,grandfatherly,0.3695578,masculine
en,neuter,toaster,red-blooded,0.37155464,masculine
en,neuter,toaster,long-haired,0.38504162,masculine
en,neuter,toaster,bald,0.51531196,masculine
en,neuter,toaster,hunchbacked,0.36884367,masculine
en,neuter,toaster,year-old,0.37785596,masculine
en,neuter,toaster,bullet-headed,0.450742,masculine
en,neuter,moon,young,0.70655584,masculine
en,neuter,moon,bald-headed,0.53268296,masculine
en,neuter,moon,heavyset,0.54336,masculine
en,neuter,moon,bearded,0.4300492,masculine
en,neuter,moon,middle-aged,0.5329908,masculine
en,neuter,moon,handsome,0.5488508,masculine
en,neuter,moon,white-haired,0.44474867,masculine
en,neuter,moon,virile,0.49640384,masculine
en,neuter,moon,well-dressed,0.47098926,masculine
en,neuter,moon,burly,0.4819216,masculine
en,neuter,moon,bastard,0.4613019,masculine
en,neuter,moon,manlike,0.4854816,masculine
en,neuter,moon,manly,0.56375784,masculine
en,neuter,moon,rascal,0.40431106,masculine
en,neuter,moon,God-fearing,0.45023865,masculine
en,neuter,moon,dark-haired,0.4256783,masculine
en,neuter,moon,full-bearded,0.3664974,masculine
en,neuter,moon,portly,0.43416736,masculine
en,neuter,moon,one-eyed,0.3802165,masculine
en,neuter,moon,good-looking,0.57308346,masculine
en,neuter,moon,male,0.68433553,masculine
en,neuter,moon,broad-shouldered,0.41055694,masculine
en,neuter,moon,beast,0.5367679,masculine
en,neuter,moon,youngish,0.5049335,masculine
en,neuter,moon,grey-haired,0.42581198,masculine
en,neuter,moon,bespectacled,0.29256657,masculine
en,neuter,moon,goateed,0.30829617,masculine
en,neuter,moon,balding,0.4943489,masculine
en,neuter,moon,bull-necked,0.34969702,masculine
en,neuter,moon,lantern-jawed,0.38357186,masculine
en,neuter,moon,sixtyish,0.42923054,masculine
en,neuter,moon,fine-looking,0.5183361,masculine
en,neuter,moon,assailant,0.35683075,masculine
en,neuter,moon,kind-hearted,0.37985894,masculine
en,neuter,moon,silver-haired,0.43468335,masculine
en,neuter,moon,dapper,0.4927698,masculine
en,neuter,moon,black-haired,0.438565,masculine
en,neuter,moon,hunky,0.4674701,masculine
en,neuter,moon,lion-hearted,0.39263886,masculine
en,neuter,moon,septuagenarian,0.2373293,masculine
en,neuter,moon,schoolboy,0.45458597,masculine
en,neuter,moon,studly,0.3890005,masculine
en,neuter,moon,self-made,0.5199469,masculine
en,neuter,moon,red-haired,0.43390214,masculine
en,neuter,moon,reverend,0.37919557,masculine
en,neuter,moon,beer-bellied,0.38302928,masculine
en,neuter,moon,ginger-haired,0.3901116,masculine
en,neuter,moon,moustached,0.3605781,masculine
en,neuter,moon,thick-set,0.5928262,masculine
en,neuter,moon,coward,0.5134533,masculine
en,neuter,moon,paraplegic,0.26521412,masculine
en,neuter,moon,paunchy,0.34548292,masculine
en,neuter,moon,blond,0.57875615,masculine
en,neuter,moon,true-hearted,0.4197049,masculine
en,neuter,moon,gentle-hearted,0.4117866,masculine
en,neuter,moon,macho,0.66081774,masculine
en,neuter,moon,weakling,0.48171893,masculine
en,neuter,moon,ruffian,0.36685765,masculine
en,neuter,moon,fiftyish,0.43717238,masculine
en,neuter,moon,chivalrous,0.3319123,masculine
en,neuter,moon,octogenarian,0.22263813,masculine
en,neuter,moon,stocky,0.49775776,masculine
en,neuter,moon,barrel-chested,0.37268624,masculine
en,neuter,moon,clean-shaven,0.53599197,masculine
en,neuter,moon,well-spoken,0.5240214,masculine
en,neuter,moon,brawny,0.5366161,masculine
en,neuter,moon,one-armed,0.5087582,masculine
en,neuter,moon,shlubby,0.39495972,masculine
en,neuter,moon,bewhiskered,0.39543593,masculine
en,neuter,moon,metrosexual,0.31907398,masculine
en,neuter,moon,genius,0.58074576,masculine
en,neuter,moon,fair-haired,0.43531895,masculine
en,neuter,moon,fortyish,0.42237,masculine
en,neuter,moon,unshaven,0.47872457,masculine
en,neuter,moon,grandfatherly,0.35077062,masculine
en,neuter,moon,red-blooded,0.40750843,masculine
en,neuter,moon,long-haired,0.43240747,masculine
en,neuter,moon,bald,0.67058885,masculine
en,neuter,moon,hunchbacked,0.3742577,masculine
en,neuter,moon,year-old,0.54437333,masculine
en,neuter,moon,bullet-headed,0.4895853,masculine
en,neuter,broom,young,0.382055,masculine
en,neuter,broom,bald-headed,0.4474341,masculine
en,neuter,broom,heavyset,0.42792603,masculine
en,neuter,broom,bearded,0.45686823,masculine
en,neuter,broom,middle-aged,0.3878729,masculine
en,neuter,broom,handsome,0.5598326,masculine
en,neuter,broom,white-haired,0.34751564,masculine
en,neuter,broom,virile,0.38657436,masculine
en,neuter,broom,well-dressed,0.3578414,masculine
en,neuter,broom,burly,0.52954805,masculine
en,neuter,broom,bastard,0.4544445,masculine
en,neuter,broom,manlike,0.3881059,masculine
en,neuter,broom,manly,0.46344605,masculine
en,neuter,broom,rascal,0.37577263,masculine
en,neuter,broom,God-fearing,0.44605544,masculine
en,neuter,broom,dark-haired,0.36778647,masculine
en,neuter,broom,full-bearded,0.3919192,masculine
en,neuter,broom,portly,0.4349439,masculine
en,neuter,broom,one-eyed,0.3642425,masculine
en,neuter,broom,good-looking,0.43533632,masculine
en,neuter,broom,male,0.3604898,masculine
en,neuter,broom,broad-shouldered,0.33957276,masculine
en,neuter,broom,beast,0.5421676,masculine
en,neuter,broom,youngish,0.34090853,masculine
en,neuter,broom,grey-haired,0.31871718,masculine
en,neuter,broom,bespectacled,0.21523514,masculine
en,neuter,broom,goateed,0.27444476,masculine
en,neuter,broom,balding,0.48861143,masculine
en,neuter,broom,bull-necked,0.3495419,masculine
en,neuter,broom,lantern-jawed,0.41547275,masculine
en,neuter,broom,sixtyish,0.4236178,masculine
en,neuter,broom,fine-looking,0.38732097,masculine
en,neuter,broom,assailant,0.36168995,masculine
en,neuter,broom,kind-hearted,0.3681087,masculine
en,neuter,broom,silver-haired,0.35720813,masculine
en,neuter,broom,dapper,0.50938356,masculine
en,neuter,broom,black-haired,0.36488625,masculine
en,neuter,broom,hunky,0.45147288,masculine
en,neuter,broom,lion-hearted,0.39058402,masculine
en,neuter,broom,septuagenarian,0.14011103,masculine
en,neuter,broom,schoolboy,0.40043634,masculine
en,neuter,broom,studly,0.36572447,masculine
en,neuter,broom,self-made,0.33393806,masculine
en,neuter,broom,red-haired,0.37142208,masculine
en,neuter,broom,reverend,0.41249382,masculine
en,neuter,broom,beer-bellied,0.4067642,masculine
en,neuter,broom,ginger-haired,0.3557472,masculine
en,neuter,broom,moustached,0.24805148,masculine
en,neuter,broom,thick-set,0.35527238,masculine
en,neuter,broom,coward,0.54320484,masculine
en,neuter,broom,paraplegic,0.21569028,masculine
en,neuter,broom,paunchy,0.29929817,masculine
