LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.43696263,masculine
en,neuter,toaster,bald-headed,0.45348382,masculine
en,neuter,toaster,heavyset,0.44817254,masculine
en,neuter,toaster,bearded,0.519086,masculine
en,neuter,toaster,middle-aged,0.3819037,masculine
en,neuter,toaster,handsome,0.47487208,masculine
en,neuter,toaster,white-haired,0.4312826,masculine
en,neuter,toaster,virile,0.33186215,masculine
en,neuter,toaster,well-dressed,0.4638722,masculine
en,neuter,toaster,burly,0.5183535,masculine
en,neuter,toaster,bastard,0.4806522,masculine
en,neuter,toaster,manlike,0.5059465,masculine
en,neuter,toaster,manly,0.5183006,masculine
en,neuter,toaster,rascal,0.49879298,masculine
en,neuter,toaster,God-fearing,0.4494461,masculine
en,neuter,toaster,dark-haired,0.42117786,masculine
en,neuter,toaster,full-bearded,0.46449265,masculine
en,neuter,toaster,portly,0.47960678,masculine
en,neuter,toaster,one-eyed,0.46594575,masculine
en,neuter,toaster,good-looking,0.4801846,masculine
en,neuter,toaster,male,0.28239122,masculine
en,neuter,toaster,broad-shouldered,0.4131316,masculine
en,neuter,toaster,beast,0.53438765,masculine
en,neuter,toaster,youngish,0.4623292,masculine
en,neuter,toaster,grey-haired,0.36866096,masculine
en,neuter,toaster,bespectacled,0.32823277,masculine
en,neuter,toaster,goateed,0.4998,masculine
en,neuter,toaster,balding,0.54693764,masculine
en,neuter,toaster,bull-necked,0.4125311,masculine
en,neuter,toaster,lantern-jawed,0.41947398,masculine
en,neuter,toaster,sixtyish,0.49130002,masculine
en,neuter,toaster,fine-looking,0.47766513,masculine
en,neuter,toaster,assailant,0.43930495,masculine
en,neuter,toaster,kind-hearted,0.4042882,masculine
en,neuter,toaster,silver-haired,0.42379764,masculine
en,neuter,toaster,dapper,0.5583449,masculine
en,neuter,toaster,black-haired,0.40902764,masculine
en,neuter,toaster,hunky,0.50459194,masculine
en,neuter,toaster,lion-hearted,0.39681786,masculine
en,neuter,toaster,septuagenarian,0.2903987,masculine
en,neuter,toaster,schoolboy,0.4683567,masculine
en,neuter,toaster,studly,0.48692596,masculine
en,neuter,toaster,self-made,0.52590275,masculine
en,neuter,toaster,red-haired,0.42458025,masculine
en,neuter,toaster,reverend,0.5207049,masculine
en,neuter,toaster,beer-bellied,0.40717158,masculine
en,neuter,toaster,ginger-haired,0.4470991,masculine
en,neuter,toaster,moustached,0.46333572,masculine
en,neuter,toaster,thick-set,0.5303988,masculine
en,neuter,toaster,coward,0.55818814,masculine
en,neuter,toaster,paraplegic,0.39779338,masculine
en,neuter,toaster,paunchy,0.4956512,masculine
en,neuter,toaster,blond,0.4366795,masculine
en,neuter,toaster,true-hearted,0.4453252,masculine
en,neuter,toaster,gentle-hearted,0.42059046,masculine
en,neuter,toaster,macho,0.4778386,masculine
en,neuter,toaster,weakling,0.5079164,masculine
en,neuter,toaster,ruffian,0.44101036,masculine
en,neuter,toaster,fiftyish,0.422762,masculine
en,neuter,toaster,chivalrous,0.35024336,masculine
en,neuter,toaster,octogenarian,0.3601885,masculine
en,neuter,toaster,stocky,0.5558818,masculine
en,neuter,toaster,barrel-chested,0.50094646,masculine
en,neuter,toaster,clean-shaven,0.42055553,masculine
en,neuter,toaster,well-spoken,0.43287703,masculine
en,neuter,toaster,brawny,0.43880194,masculine
en,neuter,toaster,one-armed,0.37131637,masculine
en,neuter,toaster,shlubby,0.43888465,masculine
en,neuter,toaster,bewhiskered,0.4533625,masculine
en,neuter,toaster,metrosexual,0.42402184,masculine
en,neuter,toaster,genius,0.49836951,masculine
en,neuter,toaster,fair-haired,0.4314713,masculine
en,neuter,toaster,fortyish,0.50921303,masculine
en,neuter,toaster,unshaven,0.5135329,masculine
