LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.6576442,masculine
en,neuter,toaster,bald-headed,0.6153048,masculine
en,neuter,toaster,heavyset,0.64909923,masculine
en,neuter,toaster,bearded,0.59417826,masculine
en,neuter,toaster,middle-aged,0.5467312,masculine
en,neuter,toaster,handsome,0.6609609,masculine
en,neuter,toaster,white-haired,0.5956661,masculine
en,neuter,toaster,virile,0.595892,masculine
en,neuter,toaster,well-dressed,0.5857344,masculine
en,neuter,toaster,burly,0.6605864,masculine
en,neuter,toaster,bastard,0.6236741,masculine
en,neuter,toaster,manlike,0.572203,masculine
en,neuter,toaster,manly,0.6371116,masculine
en,neuter,toaster,rascal,0.6066099,masculine
en,neuter,toaster,God-fearing,0.6215534,masculine
en,neuter,toaster,dark-haired,0.5856535,masculine
en,neuter,toaster,full-bearded,0.59114516,masculine
en,neuter,toaster,portly,0.63734525,masculine
en,neuter,toaster,one-eyed,0.5981396,masculine
en,neuter,toaster,good-looking,0.65821856,masculine
en,neuter,toaster,male,0.5621905,masculine
en,neuter,toaster,broad-shouldered,0.52815825,masculine
en,neuter,toaster,beast,0.69429964,masculine
en,neuter,toaster,youngish,0.64855003,masculine
en,neuter,toaster,grey-haired,0.56049514,masculine
en,neuter,toaster,bespectacled,0.55314523,masculine
en,neuter,toaster,goateed,0.5838003,masculine
en,neuter,toaster,balding,0.626785,masculine
en,neuter,toaster,bull-necked,0.5889102,masculine
en,neuter,toaster,lantern-jawed,0.58510506,masculine
en,neuter,toaster,sixtyish,0.60442424,masculine
en,neuter,toaster,fine-looking,0.64474857,masculine
en,neuter,toaster,assailant,0.5757262,masculine
en,neuter,toaster,kind-hearted,0.6077249,masculine
en,neuter,toaster,silver-haired,0.58039665,masculine
en,neuter,toaster,dapper,0.6608693,masculine
en,neuter,toaster,black-haired,0.58426666,masculine
en,neuter,toaster,hunky,0.61715454,masculine
en,neuter,toaster,lion-hearted,0.60470027,masculine
en,neuter,toaster,septuagenarian,0.3877214,masculine
en,neuter,toaster,schoolboy,0.6569483,masculine
