LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.40901673,masculine
es,feminine,tostadora,humana,0.41995966,masculine
es,feminine,tostadora,chica,0.46165434,masculine
es,feminine,tostadora,anciana,0.35481712,masculine
es,feminine,tostadora,joven,0.42046013,masculine
es,feminine,tostadora,sabia,0.3038924,masculine
es,feminine,tostadora,jovencita,0.41090378,masculine
es,feminine,tostadora,animal,0.39314213,masculine
es,feminine,tostadora,creyente,0.30749068,masculine
es,feminine,tostadora,campesina,0.39627522,masculine
es,feminine,tostadora,adinerada,0.4025173,masculine
es,feminine,tostadora,fornida,0.3313709,masculine
es,feminine,tostadora,trabajadora,0.4020952,masculine
es,feminine,tostadora,sujeta,0.42745268,masculine
es,feminine,tostadora,desgraciada,0.33270133,masculine
es,feminine,tostadora,vagabunda,0.41690186,masculine
es,feminine,tostadora,guapa,0.45443594,masculine
es,feminine,tostadora,cristiana,0.3836587,masculine
es,feminine,tostadora,desdichada,0.34706482,masculine
es,feminine,tostadora,pecadora,0.43069983,masculine
es,feminine,tostadora,soñadora,0.46070126,masculine
es,feminine,tostadora,procreadora,0.39697656,masculine
es,feminine,tostadora,barbuda,0.29931518,masculine
es,feminine,tostadora,corpulenta,0.4578968,masculine
es,feminine,tostadora,vieja,0.38251805,masculine
es,feminine,tostadora,amante,0.40970227,masculine
es,feminine,tostadora,perra,0.35626066,masculine
es,feminine,tostadora,cazadora,0.44961768,masculine
es,feminine,tostadora,pescadora,0.4195669,masculine
es,feminine,tostadora,soltera,0.42448142,masculine
es,feminine,tostadora,seductora,0.3459276,masculine
es,feminine,tostadora,señora,0.5219583,masculine
es,feminine,tostadora,delincuente,0.43500108,masculine
es,feminine,tostadora,afortunada,0.37451023,masculine
es,feminine,tostadora,guerrera,0.36632887,masculine
es,feminine,tostadora,camionera,0.43362466,masculine
es,feminine,tostadora,polifacética,0.23524638,masculine
es,feminine,tostadora,vaquera,0.41819757,masculine
es,feminine,tostadora,necia,0.32413024,masculine
es,feminine,tostadora,asesina,0.39528698,masculine
es,feminine,tostadora,visionaria,0.3857729,masculine
es,feminine,tostadora,piadosa,0.571261,masculine
es,feminine,tostadora,madura,0.37808684,masculine
es,feminine,tostadora,acaudalada,0.43585068,masculine
es,feminine,tostadora,metrosexual,0.3995023,masculine
es,feminine,tostadora,viviente,0.3783488,masculine
es,feminine,tostadora,macho,0.39571258,masculine
es,feminine,tostadora,mona,0.53543735,masculine
es,feminine,tostadora,poderosa,0.4366851,masculine
es,feminine,tostadora,encarnada,0.35946813,masculine
es,feminine,tostadora,honrada,0.38980737,masculine
es,feminine,tostadora,galana,0.31746152,masculine
es,feminine,tostadora,pensadora,0.31147248,masculine
es,feminine,tostadora,primitiva,0.41396964,masculine
es,feminine,tostadora,hombruna,0.53284484,masculine
es,feminine,tostadora,octogenaria,0.3303512,masculine
es,feminine,tostadora,masculina,0.39843416,masculine
es,feminine,tostadora,ruda,0.51603645,masculine
es,feminine,tostadora,depravada,0.38256103,masculine
es,feminine,tostadora,buenmoza,0.356501,masculine
es,feminine,tostadora,caballerosa,0.4831012,masculine
es,feminine,tostadora,astuta,0.3543692,masculine
es,feminine,tostadora,atea,0.4107395,masculine
es,feminine,tostadora,forzuda,0.37650985,masculine
es,feminine,tostadora,embarazada,0.37190223,masculine
es,feminine,tostadora,viajadora,0.39374942,masculine
es,feminine,tostadora,ciudadana,0.46780246,masculine
es,feminine,tostadora,infeliz,0.420994,masculine
es,feminine,tostadora,mujeriega,0.41081378,masculine
es,feminine,tostadora,agricultora,0.40464094,masculine
es,feminine,tostadora,intrépida,0.32248577,masculine
es,feminine,tostadora,civilizada,0.3352443,masculine
es,feminine,tostadora,aventurera,0.37654266,masculine
es,feminine,tostadora,bondadosa,0.48196575,masculine
es,feminine,tostadora,semihumana,0.43796813,masculine
es,feminine,tostadora,heterosexual,0.41509736,masculine
es,feminine,tostadora,tímido,0.4007057,masculine
es,feminine,tostadora,cultísima,0.40545857,masculine
es,feminine,tostadora,sapiente,0.37621894,masculine
es,feminine,luna,individua,0.36236343,masculine
es,feminine,luna,humana,0.57041496,masculine
es,feminine,luna,chica,0.56735885,masculine
es,feminine,luna,anciana,0.40588862,masculine
es,feminine,luna,joven,0.5863661,masculine
es,feminine,luna,sabia,0.45894328,masculine
es,feminine,luna,jovencita,0.4405207,masculine
es,feminine,luna,animal,0.5731146,masculine
es,feminine,luna,creyente,0.29125172,masculine
es,feminine,luna,campesina,0.36860156,masculine
es,feminine,luna,adinerada,0.31711283,masculine
es,feminine,luna,fornida,0.43076694,masculine
es,feminine,luna,trabajadora,0.3757137,masculine
es,feminine,luna,sujeta,0.40171477,masculine
es,feminine,luna,desgraciada,0.36387298,masculine
es,feminine,luna,vagabunda,0.40194494,masculine
es,feminine,luna,guapa,0.530155,masculine
es,feminine,luna,cristiana,0.56907475,masculine
es,feminine,luna,desdichada,0.28636298,masculine
es,feminine,luna,pecadora,0.29760242,masculine
es,feminine,luna,soñadora,0.33700672,masculine
es,feminine,luna,procreadora,0.3398915,masculine
es,feminine,luna,barbuda,0.36636153,masculine
es,feminine,luna,corpulenta,0.3251038,masculine
es,feminine,luna,vieja,0.49402538,masculine
es,feminine,luna,amante,0.56756866,masculine
es,feminine,luna,perra,0.38806212,masculine
es,feminine,luna,cazadora,0.40722883,masculine
es,feminine,luna,pescadora,0.3936762,masculine
es,feminine,luna,soltera,0.48297784,masculine
es,feminine,luna,seductora,0.28920576,masculine
es,feminine,luna,señora,0.4763834,masculine
es,feminine,luna,delincuente,0.27770895,masculine
es,feminine,luna,afortunada,0.33863837,masculine
es,feminine,luna,guerrera,0.3578518,masculine
es,feminine,luna,camionera,0.2736856,masculine
es,feminine,luna,polifacética,0.2506256,masculine
es,feminine,luna,vaquera,0.41630957,masculine
es,feminine,luna,necia,0.37762237,masculine
es,feminine,luna,asesina,0.3491541,masculine
es,feminine,luna,visionaria,0.41602603,masculine
es,feminine,luna,piadosa,0.33490458,masculine
es,feminine,luna,madura,0.51833194,masculine
es,feminine,luna,acaudalada,0.3863522,masculine
es,feminine,luna,metrosexual,0.2767114,masculine
es,feminine,luna,viviente,0.4241957,masculine
es,feminine,luna,macho,0.52820253,masculine
es,feminine,luna,mona,0.5364859,masculine
es,feminine,luna,poderosa,0.5735254,masculine
es,feminine,luna,encarnada,0.2990479,masculine
es,feminine,luna,honrada,0.46873528,masculine
es,feminine,luna,galana,0.44883493,masculine
es,feminine,luna,pensadora,0.44222134,masculine
es,feminine,luna,primitiva,0.5782048,masculine
es,feminine,luna,hombruna,0.32601687,masculine
es,feminine,luna,octogenaria,0.24020262,masculine
es,feminine,luna,masculina,0.57776684,masculine
es,feminine,luna,ruda,0.49517465,masculine
es,feminine,luna,depravada,0.4202624,masculine
es,feminine,luna,buenmoza,0.29429615,masculine
es,feminine,luna,caballerosa,0.32547897,masculine
es,feminine,luna,astuta,0.42395923,masculine
es,feminine,luna,atea,0.479208,masculine
es,feminine,luna,forzuda,0.3737958,masculine
es,feminine,luna,embarazada,0.43991327,masculine
es,feminine,luna,viajadora,0.28423876,masculine
es,feminine,luna,ciudadana,0.44085735,masculine
es,feminine,luna,infeliz,0.3639406,masculine
es,feminine,luna,mujeriega,0.31041795,masculine
es,feminine,luna,agricultora,0.3083798,masculine
es,feminine,luna,intrépida,0.3720469,masculine
es,feminine,luna,civilizada,0.45051378,masculine
es,feminine,luna,aventurera,0.311043,masculine
es,feminine,luna,bondadosa,0.3358286,masculine
es,feminine,luna,semihumana,0.3978345,masculine
