LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.08178913,masculine
es,feminine,tostadora,humana,0.11448867,masculine
es,feminine,tostadora,chica,0.16805312,masculine
es,feminine,tostadora,anciana,0.12232466,masculine
es,feminine,tostadora,joven,0.08904743,masculine
es,feminine,tostadora,sabia,0.13157703,masculine
es,feminine,tostadora,jovencita,0.08904743,masculine
es,feminine,tostadora,animal,0.12331608,masculine
es,feminine,tostadora,creyente,0.1143431,masculine
es,feminine,tostadora,campesina,0.086650535,masculine
es,feminine,tostadora,adinerada,0.104635976,masculine
es,feminine,tostadora,fornida,0.09697869,masculine
es,feminine,tostadora,trabajadora,0.08773179,masculine
es,feminine,tostadora,sujeta,0.13430212,masculine
es,feminine,tostadora,desgraciada,0.1420073,masculine
es,feminine,tostadora,vagabunda,0.11067316,masculine
es,feminine,tostadora,guapa,0.10216234,masculine
es,feminine,tostadora,cristiana,0.09332008,masculine
es,feminine,tostadora,desdichada,0.1420073,masculine
es,feminine,tostadora,pecadora,0.13906161,masculine
es,feminine,tostadora,soñadora,0.13913293,masculine
es,feminine,tostadora,procreadora,0.086606555,masculine
es,feminine,tostadora,barbuda,0.14686926,masculine
es,feminine,tostadora,corpulenta,0.15274218,masculine
es,feminine,tostadora,vieja,0.14646654,masculine
es,feminine,tostadora,amante,0.06460791,masculine
es,feminine,tostadora,perra,0.15228787,masculine
es,feminine,tostadora,cazadora,0.18463476,masculine
es,feminine,tostadora,pescadora,0.16173662,masculine
es,feminine,tostadora,soltera,0.16701563,masculine
es,feminine,tostadora,seductora,0.1105582,masculine
es,feminine,tostadora,señora,0.11630755,masculine
es,feminine,tostadora,delincuente,0.1506158,masculine
es,feminine,tostadora,afortunada,0.14421277,masculine
es,feminine,tostadora,guerrera,0.16006495,masculine
es,feminine,tostadora,camionera,0.12281564,masculine
es,feminine,tostadora,polifacética,0.15222333,masculine
es,feminine,tostadora,vaquera,0.1572709,masculine
es,feminine,tostadora,necia,0.18375917,masculine
es,feminine,tostadora,asesina,0.1733787,masculine
es,feminine,tostadora,visionaria,0.124759346,masculine
es,feminine,tostadora,piadosa,0.14220172,masculine
es,feminine,tostadora,madura,0.0925872,masculine
es,feminine,tostadora,acaudalada,0.10076779,masculine
es,feminine,tostadora,metrosexual,0.17237082,masculine
es,feminine,tostadora,viviente,0.056036465,masculine
es,feminine,tostadora,macho,0.10539371,masculine
es,feminine,tostadora,mona,0.13912006,masculine
es,feminine,tostadora,poderosa,0.12196552,masculine
es,feminine,tostadora,encarnada,0.12786542,masculine
es,feminine,tostadora,honrada,0.11710874,masculine
es,feminine,tostadora,galana,0.096177,masculine
es,feminine,tostadora,pensadora,0.13626966,masculine
es,feminine,tostadora,primitiva,0.11753942,masculine
es,feminine,tostadora,hombruna,0.11983073,masculine
es,feminine,tostadora,octogenaria,0.16564903,masculine
es,feminine,tostadora,masculina,0.10760569,masculine
es,feminine,tostadora,ruda,0.10729355,masculine
es,feminine,tostadora,depravada,0.14390051,masculine
es,feminine,tostadora,buenmoza,0.119472004,masculine
es,feminine,tostadora,caballerosa,0.07813743,masculine
es,feminine,tostadora,astuta,0.1733787,masculine
es,feminine,tostadora,atea,0.12348125,masculine
es,feminine,tostadora,forzuda,0.09697869,masculine
es,feminine,tostadora,embarazada,0.0943969,masculine
es,feminine,tostadora,viajadora,0.1117475,masculine
es,feminine,tostadora,ciudadana,0.10573294,masculine
es,feminine,tostadora,infeliz,0.13885272,masculine
es,feminine,tostadora,mujeriega,0.11492218,masculine
es,feminine,tostadora,agricultora,0.075490095,masculine
es,feminine,tostadora,intrépida,0.19930139,masculine
es,feminine,tostadora,civilizada,0.11778115,masculine
es,feminine,tostadora,aventurera,0.09939254,masculine
es,feminine,tostadora,bondadosa,0.14294371,masculine
es,feminine,tostadora,semihumana,0.16298524,masculine
es,feminine,tostadora,heterosexual,0.06922881,masculine
es,feminine,tostadora,tímido,0.09606456,masculine
es,feminine,tostadora,cultísima,0.086271815,masculine
es,feminine,tostadora,sapiente,0.15391506,masculine
es,feminine,luna,individua,0.069370344,masculine
es,feminine,luna,humana,0.1701954,masculine
es,feminine,luna,chica,0.23048773,masculine
es,feminine,luna,anciana,0.08378421,masculine
es,feminine,luna,joven,0.14678253,masculine
es,feminine,luna,sabia,0.10182477,masculine
es,feminine,luna,jovencita,0.14678253,masculine
es,feminine,luna,animal,0.19040434,masculine
es,feminine,luna,creyente,0.110478304,masculine
es,feminine,luna,campesina,0.077145554,masculine
es,feminine,luna,adinerada,0.029643295,masculine
es,feminine,luna,fornida,0.07099829,masculine
es,feminine,luna,trabajadora,0.15676142,masculine
es,feminine,luna,sujeta,0.09925652,masculine
es,feminine,luna,desgraciada,0.0914891,masculine
es,feminine,luna,vagabunda,0.17884935,masculine
es,feminine,luna,guapa,0.15639551,masculine
es,feminine,luna,cristiana,0.1716032,masculine
es,feminine,luna,desdichada,0.0914891,masculine
es,feminine,luna,pecadora,0.15854408,masculine
es,feminine,luna,soñadora,0.087270595,masculine
es,feminine,luna,procreadora,0.09001595,masculine
es,feminine,luna,barbuda,0.10768892,masculine
es,feminine,luna,corpulenta,0.12314756,masculine
es,feminine,luna,vieja,0.15816408,masculine
es,feminine,luna,amante,0.13061795,masculine
es,feminine,luna,perra,0.06857927,masculine
es,feminine,luna,cazadora,0.20323926,masculine
es,feminine,luna,pescadora,0.20726751,masculine
es,feminine,luna,soltera,0.21057665,masculine
es,feminine,luna,seductora,0.109307654,masculine
es,feminine,luna,señora,0.116349064,masculine
es,feminine,luna,delincuente,0.090577915,masculine
es,feminine,luna,afortunada,0.08842474,masculine
es,feminine,luna,guerrera,0.083497375,masculine
es,feminine,luna,camionera,0.1422866,masculine
es,feminine,luna,polifacética,0.16849388,masculine
es,feminine,luna,vaquera,0.13459116,masculine
es,feminine,luna,necia,0.11205792,masculine
