LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.96843994,masculine
es,feminine,tostadora,humana,0.0745984,masculine
es,feminine,tostadora,chica,-0.012007725,masculine
es,feminine,tostadora,anciana,0.036737446,masculine
es,feminine,tostadora,joven,0.007200501,masculine
es,feminine,tostadora,sabia,0.1992924,masculine
es,feminine,tostadora,jovencita,0.11002735,masculine
es,feminine,tostadora,animal,0.042015556,masculine
es,feminine,tostadora,creyente,0.12782362,masculine
es,feminine,tostadora,campesina,0.4965941,masculine
es,feminine,tostadora,adinerada,0.36179525,masculine
es,feminine,tostadora,fornida,0.07244381,masculine
es,feminine,tostadora,trabajadora,0.12317616,masculine
es,feminine,tostadora,sujeta,0.96843994,masculine
es,feminine,tostadora,desgraciada,0.4389468,masculine
es,feminine,tostadora,vagabunda,1.0,masculine
es,feminine,tostadora,guapa,0.18941242,masculine
es,feminine,tostadora,cristiana,0.041450918,masculine
es,feminine,tostadora,desdichada,0.07947049,masculine
es,feminine,tostadora,pecadora,0.5137847,masculine
es,feminine,tostadora,soñadora,0.5137847,masculine
es,feminine,tostadora,procreadora,0.20078106,masculine
es,feminine,tostadora,barbuda,0.01643147,masculine
es,feminine,tostadora,corpulenta,0.19626682,masculine
es,feminine,tostadora,vieja,0.39994216,masculine
es,feminine,tostadora,amante,0.014154952,masculine
es,feminine,tostadora,perra,0.4834503,masculine
es,feminine,tostadora,cazadora,0.12317616,masculine
es,feminine,tostadora,pescadora,0.12317616,masculine
es,feminine,tostadora,soltera,0.1543232,masculine
es,feminine,tostadora,seductora,0.10896941,masculine
es,feminine,tostadora,señora,0.96843994,masculine
es,feminine,tostadora,delincuente,0.10320513,masculine
es,feminine,tostadora,afortunada,0.4389468,masculine
es,feminine,tostadora,guerrera,0.4834503,masculine
es,feminine,tostadora,camionera,0.5137847,masculine
es,feminine,tostadora,polifacética,0.15675743,masculine
es,feminine,tostadora,vaquera,0.046894368,masculine
es,feminine,tostadora,necia,0.21708304,masculine
es,feminine,tostadora,asesina,0.4965941,masculine
es,feminine,tostadora,visionaria,0.28596014,masculine
es,feminine,tostadora,piadosa,1.0,masculine
es,feminine,tostadora,madura,0.07576846,masculine
es,feminine,tostadora,acaudalada,0.4389468,masculine
es,feminine,tostadora,metrosexual,0.1255799,masculine
es,feminine,tostadora,viviente,0.31422997,masculine
es,feminine,tostadora,macho,0.02192106,masculine
es,feminine,tostadora,mona,0.96843994,masculine
es,feminine,tostadora,poderosa,0.020628158,masculine
es,feminine,tostadora,encarnada,0.11442875,masculine
es,feminine,tostadora,honrada,0.4382766,masculine
es,feminine,tostadora,galana,0.4659231,masculine
es,feminine,tostadora,pensadora,0.12317616,masculine
es,feminine,tostadora,primitiva,0.06658619,masculine
es,feminine,tostadora,hombruna,1.0,masculine
es,feminine,tostadora,octogenaria,0.28655922,masculine
es,feminine,tostadora,masculina,0.035991274,masculine
es,feminine,tostadora,ruda,0.96843994,masculine
es,feminine,tostadora,depravada,0.46793276,masculine
es,feminine,tostadora,buenmoza,0.3897276,masculine
es,feminine,tostadora,caballerosa,0.96906507,masculine
es,feminine,tostadora,astuta,0.11857769,masculine
es,feminine,tostadora,atea,0.322167,masculine
es,feminine,tostadora,forzuda,0.46793276,masculine
es,feminine,tostadora,embarazada,0.14665051,masculine
es,feminine,tostadora,viajadora,0.5137847,masculine
es,feminine,tostadora,ciudadana,0.3775773,masculine
es,feminine,tostadora,infeliz,0.15915263,masculine
es,feminine,tostadora,mujeriega,0.048908975,masculine
es,feminine,tostadora,agricultora,0.4836278,masculine
es,feminine,tostadora,intrépida,0.110029474,masculine
es,feminine,tostadora,civilizada,0.12245551,masculine
es,feminine,tostadora,aventurera,0.4834503,masculine
es,feminine,tostadora,bondadosa,1.0,masculine
es,feminine,tostadora,semihumana,0.40433127,masculine
es,feminine,tostadora,heterosexual,0.35452318,masculine
es,feminine,tostadora,tímido,0.12672132,masculine
es,feminine,tostadora,cultísima,0.03835914,masculine
es,feminine,tostadora,sapiente,0.053159524,masculine
es,feminine,luna,individua,0.018800378,masculine
es,feminine,luna,humana,0.1701954,masculine
es,feminine,luna,chica,0.23048773,masculine
es,feminine,luna,anciana,0.09619719,masculine
es,feminine,luna,joven,0.14678253,masculine
es,feminine,luna,sabia,0.03796429,masculine
es,feminine,luna,jovencita,0.08208336,masculine
es,feminine,luna,animal,0.19040434,masculine
es,feminine,luna,creyente,0.044345144,masculine
es,feminine,luna,campesina,0.05959132,masculine
es,feminine,luna,adinerada,0.040236056,masculine
es,feminine,luna,fornida,0.022312751,masculine
es,feminine,luna,trabajadora,0.09678703,masculine
es,feminine,luna,sujeta,0.018800378,masculine
es,feminine,luna,desgraciada,0.06554556,masculine
es,feminine,luna,vagabunda,0.0067947996,masculine
es,feminine,luna,guapa,0.08450944,masculine
es,feminine,luna,cristiana,0.1716032,masculine
es,feminine,luna,desdichada,0.031433508,masculine
es,feminine,luna,pecadora,0.013158464,masculine
es,feminine,luna,soñadora,0.013158464,masculine
es,feminine,luna,procreadora,0.053208146,masculine
es,feminine,luna,barbuda,0.10084329,masculine
es,feminine,luna,corpulenta,0.10061272,masculine
es,feminine,luna,vieja,0.0064545716,masculine
es,feminine,luna,amante,0.13061795,masculine
es,feminine,luna,perra,0.024161043,masculine
es,feminine,luna,cazadora,0.09678703,masculine
es,feminine,luna,pescadora,0.09678703,masculine
es,feminine,luna,soltera,0.116769835,masculine
es,feminine,luna,seductora,0.1001527,masculine
es,feminine,luna,señora,0.018800378,masculine
es,feminine,luna,delincuente,0.047954187,masculine
es,feminine,luna,afortunada,0.06554556,masculine
es,feminine,luna,guerrera,0.024161043,masculine
es,feminine,luna,camionera,0.013158464,masculine
es,feminine,luna,polifacética,0.07795558,masculine
es,feminine,luna,vaquera,0.07708813,masculine
es,feminine,luna,necia,0.059055146,masculine
es,feminine,luna,asesina,0.05959132,masculine
es,feminine,luna,visionaria,0.016831057,masculine
es,feminine,luna,piadosa,0.0067947996,masculine
es,feminine,luna,madura,0.13808313,masculine
es,feminine,luna,acaudalada,0.06554556,masculine
es,feminine,luna,metrosexual,0.0025867473,masculine
es,feminine,luna,viviente,0.045048513,masculine
es,feminine,luna,macho,0.18504544,masculine
es,feminine,luna,mona,0.018800378,masculine
es,feminine,luna,poderosa,0.11537988,masculine
es,feminine,luna,encarnada,0.028926786,masculine
es,feminine,luna,honrada,0.07194056,masculine
es,feminine,luna,galana,0.070649214,masculine
es,feminine,luna,pensadora,0.09678703,masculine
es,feminine,luna,primitiva,0.1735772,masculine
es,feminine,luna,hombruna,0.0067947996,masculine
es,feminine,luna,octogenaria,0.011602166,masculine
es,feminine,luna,masculina,0.15822071,masculine
es,feminine,luna,ruda,0.018800378,masculine
es,feminine,luna,depravada,0.0608923,masculine
es,feminine,luna,buenmoza,0.027248694,masculine
es,feminine,luna,caballerosa,0.011685611,masculine
es,feminine,luna,astuta,0.15367873,masculine
es,feminine,luna,atea,0.07672854,masculine
es,feminine,luna,forzuda,0.0608923,masculine
es,feminine,luna,embarazada,0.029052693,masculine
es,feminine,luna,viajadora,0.013158464,masculine
es,feminine,luna,ciudadana,0.08493714,masculine
es,feminine,luna,infeliz,-0.014523181,masculine
es,feminine,luna,mujeriega,0.09212928,masculine
es,feminine,luna,agricultora,0.017642252,masculine
es,feminine,luna,intrépida,0.04081125,masculine
es,feminine,luna,civilizada,0.038040157,masculine
es,feminine,luna,aventurera,0.024161043,masculine
es,feminine,luna,bondadosa,0.0067947996,masculine
es,feminine,luna,semihumana,0.07503597,masculine
es,feminine,luna,heterosexual,-0.009826759,masculine
es,feminine,luna,tímido,0.04773328,masculine
es,feminine,luna,cultísima,0.06964102,masculine
es,feminine,luna,sapiente,0.024314137,masculine
es,feminine,escoba,individua,0.3244288,masculine
es,feminine,escoba,humana,0.043365262,masculine
es,feminine,escoba,chica,0.050296497,masculine
es,feminine,escoba,anciana,0.08249247,masculine
es,feminine,escoba,joven,0.04327574,masculine
es,feminine,escoba,sabia,0.2773687,masculine
es,feminine,escoba,jovencita,0.000437537,masculine
es,feminine,escoba,animal,0.06321346,masculine
es,feminine,escoba,creyente,0.11468403,masculine
es,feminine,escoba,campesina,0.35386226,masculine
es,feminine,escoba,adinerada,0.22414108,masculine
es,feminine,escoba,fornida,0.08771382,masculine
es,feminine,escoba,trabajadora,0.16892329,masculine
es,feminine,escoba,sujeta,0.3244288,masculine
es,feminine,escoba,desgraciada,0.3575981,masculine
es,feminine,escoba,vagabunda,0.34989408,masculine
