LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.35188884,masculine
es,feminine,tostadora,humana,0.16832565,masculine
es,feminine,tostadora,chica,0.1630591,masculine
es,feminine,tostadora,anciana,0.17292315,masculine
es,feminine,tostadora,joven,0.12072258,masculine
es,feminine,tostadora,sabia,0.21164297,masculine
es,feminine,tostadora,jovencita,0.15936093,masculine
es,feminine,tostadora,animal,0.13824418,masculine
es,feminine,tostadora,creyente,0.18010001,masculine
es,feminine,tostadora,campesina,0.24934177,masculine
es,feminine,tostadora,adinerada,0.25149027,masculine
es,feminine,tostadora,fornida,0.14863102,masculine
es,feminine,tostadora,trabajadora,0.19756328,masculine
es,feminine,tostadora,sujeta,0.3749974,masculine
es,feminine,tostadora,desgraciada,0.26877886,masculine
es,feminine,tostadora,vagabunda,0.3477668,masculine
es,feminine,tostadora,guapa,0.16506016,masculine
es,feminine,tostadora,cristiana,0.10450567,masculine
es,feminine,tostadora,desdichada,0.15712968,masculine
es,feminine,tostadora,pecadora,0.28430253,masculine
es,feminine,tostadora,soñadora,0.27340683,masculine
es,feminine,tostadora,procreadora,0.26450148,masculine
es,feminine,tostadora,barbuda,0.15620898,masculine
es,feminine,tostadora,corpulenta,0.18627574,masculine
es,feminine,tostadora,vieja,0.23166558,masculine
es,feminine,tostadora,amante,0.090910025,masculine
es,feminine,tostadora,perra,0.2648881,masculine
es,feminine,tostadora,cazadora,0.25318697,masculine
es,feminine,tostadora,pescadora,0.22596075,masculine
es,feminine,tostadora,soltera,0.22067647,masculine
es,feminine,tostadora,seductora,0.22834823,masculine
es,feminine,tostadora,señora,0.42810228,masculine
es,feminine,tostadora,delincuente,0.27059966,masculine
es,feminine,tostadora,afortunada,0.3217618,masculine
es,feminine,tostadora,guerrera,0.24062195,masculine
es,feminine,tostadora,camionera,0.27101028,masculine
es,feminine,tostadora,polifacética,0.18121538,masculine
es,feminine,tostadora,vaquera,0.21090382,masculine
es,feminine,tostadora,necia,0.2363501,masculine
es,feminine,tostadora,asesina,0.26731822,masculine
es,feminine,tostadora,visionaria,0.2125272,masculine
es,feminine,tostadora,piadosa,0.40651834,masculine
es,feminine,tostadora,madura,0.20000385,masculine
es,feminine,tostadora,acaudalada,0.31203118,masculine
es,feminine,tostadora,metrosexual,0.19055837,masculine
es,feminine,tostadora,viviente,0.17585176,masculine
es,feminine,tostadora,macho,0.086698376,masculine
es,feminine,tostadora,mona,0.3834859,masculine
es,feminine,tostadora,poderosa,0.18393493,masculine
es,feminine,tostadora,encarnada,0.20090637,masculine
es,feminine,tostadora,honrada,0.26075625,masculine
es,feminine,tostadora,galana,0.23532987,masculine
es,feminine,tostadora,pensadora,0.20239681,masculine
es,feminine,tostadora,primitiva,0.14371729,masculine
es,feminine,tostadora,hombruna,0.34776306,masculine
es,feminine,tostadora,octogenaria,0.2953174,masculine
es,feminine,tostadora,masculina,0.11288793,masculine
es,feminine,tostadora,ruda,0.37902206,masculine
es,feminine,tostadora,depravada,0.32302687,masculine
es,feminine,tostadora,buenmoza,0.24944398,masculine
es,feminine,tostadora,caballerosa,0.35663712,masculine
es,feminine,tostadora,astuta,0.254262,masculine
es,feminine,tostadora,atea,0.2288459,masculine
es,feminine,tostadora,forzuda,0.2598562,masculine
es,feminine,tostadora,embarazada,0.22511026,masculine
es,feminine,tostadora,viajadora,0.24168967,masculine
es,feminine,tostadora,ciudadana,0.26532826,masculine
es,feminine,tostadora,infeliz,0.20518062,masculine
es,feminine,tostadora,mujeriega,0.13420618,masculine
es,feminine,tostadora,agricultora,0.21307513,masculine
es,feminine,tostadora,intrépida,0.19901222,masculine
es,feminine,tostadora,civilizada,0.1757696,masculine
es,feminine,tostadora,aventurera,0.2366339,masculine
es,feminine,tostadora,bondadosa,0.4112331,masculine
es,feminine,tostadora,semihumana,0.23237142,masculine
es,feminine,tostadora,heterosexual,0.1929503,masculine
es,feminine,tostadora,tímido,0.17701818,masculine
es,feminine,tostadora,cultísima,0.13442478,masculine
es,feminine,tostadora,sapiente,0.17400481,masculine
es,feminine,luna,individua,0.065048955,masculine
es,feminine,luna,humana,0.1701954,masculine
es,feminine,luna,chica,0.23048772,masculine
es,feminine,luna,anciana,0.1275796,masculine
es,feminine,luna,joven,0.14678253,masculine
es,feminine,luna,sabia,0.09322108,masculine
es,feminine,luna,jovencita,0.15380889,masculine
es,feminine,luna,animal,0.19040434,masculine
es,feminine,luna,creyente,0.09904696,masculine
es,feminine,luna,campesina,0.11202438,masculine
es,feminine,luna,adinerada,0.04118012,masculine
es,feminine,luna,fornida,0.06463418,masculine
es,feminine,luna,trabajadora,0.16615933,masculine
es,feminine,luna,sujeta,0.08925202,masculine
es,feminine,luna,desgraciada,0.123247065,masculine
es,feminine,luna,vagabunda,0.107760414,masculine
es,feminine,luna,guapa,0.16316469,masculine
es,feminine,luna,cristiana,0.1716032,masculine
es,feminine,luna,desdichada,0.095228195,masculine
es,feminine,luna,pecadora,0.11843456,masculine
es,feminine,luna,soñadora,0.089728996,masculine
es,feminine,luna,procreadora,0.12599927,masculine
es,feminine,luna,barbuda,0.14085187,masculine
es,feminine,luna,corpulenta,0.13887578,masculine
es,feminine,luna,vieja,0.11590412,masculine
es,feminine,luna,amante,0.13061795,masculine
es,feminine,luna,perra,0.06264864,masculine
es,feminine,luna,cazadora,0.20333344,masculine
es,feminine,luna,pescadora,0.203894,masculine
es,feminine,luna,soltera,0.2260737,masculine
es,feminine,luna,seductora,0.1283539,masculine
es,feminine,luna,señora,0.1018742,masculine
es,feminine,luna,delincuente,0.08006538,masculine
es,feminine,luna,afortunada,0.14284186,masculine
es,feminine,luna,guerrera,0.077962756,masculine
es,feminine,luna,camionera,0.13494943,masculine
